ticker,earnings_date,px_-5,px_-1,px_+0,px_+1,px_+5,px_+10,pct_m5_p5,logpct_m5_p5,pct_m1_p1,logpct_m1_p1,pct_p0_p1,logpct_p0_p1,pct_p0_p5,logpct_p0_p5,pct_p0_p10,logpct_p0_p10,car_simple_m5_p5_pct,car_mm_1y_m5_p5_pct,car_mm_1q_m5_p5_pct,car_simple_m1_p1_pct,car_mm_1y_m1_p1_pct,car_mm_1q_m1_p1_pct,car_simple_p0_p1_pct,car_mm_1y_p0_p1_pct,car_mm_1q_p0_p1_pct,car_simple_p0_p5_pct,car_mm_1y_p0_p5_pct,car_mm_1q_p0_p5_pct,car_simple_p0_p10_pct,car_mm_1y_p0_p10_pct,car_mm_1q_p0_p10_pct,announce_timing,pre_close_date,day0_date,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays,event_date_dt,sur_period_end,sur_quarter_rank,sur_actual_revenue,sur_actual_ebitda,sur_actual_ebit,sur_actual_netIncome,sur_actual_eps,sur_est_revenue,sur_est_ebitda,sur_est_ebit,sur_est_netIncome,sur_est_eps,sur_surprise_revenue,sur_surprise_revenue_pct,sur_surprise_ebitda,sur_surprise_ebitda_pct,sur_surprise_ebit,sur_surprise_ebit_pct,sur_surprise_netIncome,sur_surprise_netIncome_pct,sur_surprise_eps,sur_surprise_eps_pct,sur_period_end_dt,gro_symbol,gro_date,gro_fiscalYear,gro_period,gro_reportedCurrency,gro_growthRevenue,gro_growthCostOfRevenue,gro_growthGrossProfit,gro_growthGrossProfitRatio,gro_growthResearchAndDevelopmentExpenses,gro_growthGeneralAndAdministrativeExpenses,gro_growthSellingAndMarketingExpenses,gro_growthOtherExpenses,gro_growthOperatingExpenses,gro_growthCostAndExpenses,gro_growthInterestIncome,gro_growthInterestExpense,gro_growthDepreciationAndAmortization,gro_growthEBITDA,gro_growthOperatingIncome,gro_growthIncomeBeforeTax,gro_growthIncomeTaxExpense,gro_growthNetIncome,gro_growthEPS,gro_growthEPSDiluted,gro_growthWeightedAverageShsOut,gro_growthWeightedAverageShsOutDil,gro_growthEBIT,gro_growthNonOperatingIncomeExcludingInterest,gro_growthNetInterestIncome,gro_growthTotalOtherIncomeExpensesNet,gro_growthNetIncomeFromContinuingOperations,gro_growthOtherAdjustmentsToNetIncome,gro_growthNetIncomeDeductions,gro_period_end_dt,gro_period_end,est_date_x,est_symbol,est_estimate_date_raw,est_revenueLow,est_revenueHigh,est_revenueAvg,est_ebitdaLow,est_ebitdaHigh,est_ebitdaAvg,est_ebitLow,est_ebitHigh,est_ebitAvg,est_netIncomeLow,est_netIncomeHigh,est_netIncomeAvg,est_sgaExpenseLow,est_sgaExpenseHigh,est_sgaExpenseAvg,est_epsAvg,est_epsHigh,est_epsLow,est_numAnalystsRevenue,est_numAnalystsEps,est_period_end_dt,est_period_end
AAPL,2021-01-27,133.2364044189453,138.2886199951172,133.4506072998047,128.456787109375,133.74261474609375,131.7391815185547,0.3799339447473571,0.3792140186550622,-7.109647117810081,-7.375038967037541,-3.742073784056133,-3.81388659152765,0.2188131265922654,0.2185740793181184,-1.2824413585508676,-1.2907356267996302,0.0483835654321043,-1.935224051150311,-1.6626434458198538,,,,,,,-1.908522923285108,-3.1327573965366255,-3.3046450693001335,-4.5639534377141056,-6.8823131788415886,-7.053577760764637,amc,2021-01-27,2021-01-28,2021-01-21,2021-01-27,2021-01-29,2021-02-04,2021-02-11,2021-01-21,2021-02-11,5,10,2021-01-27,2020-12-26,1,111439000000,36883000000,34217000000,28755000000,1.7,103266489504,29820297871,27112595744,23248723404,1.41599,8172510496,7.914000500310839,7062702129,23.684210531875408,7104404256,26.203334874611556,5506276596,23.6842105276741,0.2840099999999999,20.05734503774743,2020-12-26,AAPL,2020-12-26,2021,Q1,USD,0.7224489165043742,0.6773975855432528,0.7954554659970027,0.042385320685481,0.0371635194857372,0,0,0.0,0.0887633649384708,0.5605031748893295,-0.02734375,0.0063091482649842,-0.0133234641006661,1.0224269342545376,1.269644670050761,1.253472921280451,1.1651705565529622,1.2689970804071649,1.2972972972972974,1.3013698630136985,-0.0071817161852924,-0.0082770449501379,1.202574831026714,0.1013157894736842,-0.1865671641791045,-0.6428571428571429,1.2689970804071649,0,0,2020-12-26,2020-12-26,2020-12-26,AAPL,2020-12-26,100019410563,106268315723,103266489504,23856238297,35784357446,29820297871,21690076595,32535114893,27112595744,18598978723,27898468085,23248723404,3642178723,5463268085,4552723404,1.41599,1.4695,1.35811,7,6,2020-12-26,2020-12-26
AAPL,2021-04-28,128.62921142578125,130.2280731201172,130.13058471679688,128.1612548828125,126.48445892333984,122.04106903076172,-1.6673914724875116,-1.6814489250199165,-1.5870758030784526,-1.599804709003141,-1.5133489473441064,-1.5249169302087922,-2.801897648728846,-2.841899784734729,-6.216459953392484,-6.418082462145152,-3.191142380294439,-4.494782710673121,-0.5560951242633576,,,,,,,-2.528930658000174,-2.8942301163342576,-0.6750025944629408,-3.918325027213236,-4.128916873697641,0.7630527067659657,amc,2021-04-28,2021-04-29,2021-04-22,2021-04-28,2021-04-30,2021-05-06,2021-05-13,2021-04-22,2021-05-13,5,10,2021-04-28,2021-03-27,2,89584000000,31478000000,28681000000,23630000000,1.41,77088700724,20285822221,17724155555,15228222221,0.9864,12495299276,16.208989331311745,11192177779,55.1724138024526,10956844445,61.8187106911791,8401777779,55.17241380555764,0.4235999999999998,42.944038929440374,2021-03-27,AAPL,2021-03-27,2021,Q2,USD,-0.1961162609140426,-0.2325401200995366,-0.1409718462371413,0.068597499737974,0.0191748983149331,0,0,0.0,-0.0201964054104131,-0.2031191836210769,-0.038821954484605,0.0501567398119122,0.0491372843210802,-0.1465444784860233,-0.1798473191387845,-0.1658179219154829,-0.0918325041459369,-0.1782298730655538,-0.1705882352941176,-0.1666666666666666,-0.0107258177518563,-0.0107826553808857,-0.1617909226407926,-0.7247437774524158,-0.5596330275229358,10.28888888888889,-0.1782298730655538,0,0,2021-03-27,2021-03-27,2021-03-27,AAPL,2021-03-26,74664747920,79329571738,77088700724,16228657776,24342986666,20285822221,14179324444,21268986666,17724155555,12182577777,18273866666,15228222221,2739662222,4109493333,3424577777,0.9864,1.02368,0.94608,7,6,2021-03-27,2021-03-27
AAPL,2021-07-27,141.99227905273438,143.3301544189453,141.58209228515625,142.22662353515625,143.50588989257812,142.65487670898438,1.0659810870995434,1.060339565001922,-0.7699223434613156,-0.7729015470907289,0.4552350086067802,0.4542019480903831,1.3587859710020522,1.349637255568747,0.7577119440129954,0.7548557259260098,0.0835434475386909,-0.5128561374073772,-0.6870233255094419,,,,,,,1.3065376090340703,1.256444044953747,1.0927958966340263,-0.1872699803062337,-0.749033864955966,-0.9338894866864498,amc,2021-07-27,2021-07-28,2021-07-21,2021-07-27,2021-07-29,2021-08-04,2021-08-11,2021-07-21,2021-08-11,5,10,2021-07-27,2021-06-26,3,81434000000,27866000000,25034000000,21744000000,1.31,73334747261,19506200000,16888199999,15220799999,1.01066,8099252739,11.044222611383086,8359800000,42.857142857142854,8145800001,48.23367796143068,6523200001,42.857142866528505,0.2993400000000001,29.61826924979718,2021-06-26,AAPL,2021-06-26,2021,Q3,USD,-0.090976067154849,-0.1034074361712455,-0.0741616113868536,0.0184972640439668,0.0864690231851007,0,0,0.0,0.0522881996974281,-0.0768834264911969,0.0013927576601671,-0.0074626865671641,0.0125134072220235,-0.1147468072939831,-0.1227866050976257,-0.1300203491485488,-0.4008217301985848,-0.0798137960220059,-0.0709219858156027,-0.0714285714285713,-0.0074077164643325,-0.0087081713519462,-0.1271573515567797,0.2292020373514431,0.125,-0.5216535433070866,-0.0798137960220059,0,0,2021-06-26,2021-06-26,2021-06-26,AAPL,2021-06-26,71028832587,75466495596,73334747261,15604960000,23407440000,19506200000,13510560000,20265839999,16888199999,12176640000,18264959999,15220799999,3030720000,4546079999,3788399999,1.01066,1.01094,1.01038,8,9,2021-06-26,2021-06-26
AAPL,2021-10-28,145.42269897460938,149.21743774414062,146.50831604003906,145.686767578125,148.1717071533203,146.90821838378906,1.890357006227017,1.8727117831664004,-2.366124374866685,-2.394566646648108,-0.5607521020783213,-0.5623302189925226,1.1353561069029403,1.1289593115261851,0.2729553888536351,0.2725835421288737,-1.3833710128036911,-2.155980481102291,-2.383644888589595,,,,,,,-0.8465658124467812,-1.3583732467582714,-1.4643345964873768,-1.365985317678307,-1.512814152145409,-1.7797241536131856,amc,2021-10-28,2021-10-29,2021-10-22,2021-10-28,2021-11-01,2021-11-05,2021-11-12,2021-10-22,2021-11-12,5,10,2021-10-28,2021-09-25,4,83360000000,26909000000,23920000000,20551000000,1.25,85054907222,26909000000,23786000000,20551000000,1.23878,-1694907222,-1.992721263661083,0,0.0,134000000,0.5633565963171614,0,0.0,0.01122,0.905729830962722,2021-09-25,AAPL,2021-09-25,2021,Q4,USD,0.0236510548419579,0.0434613135840966,-0.0022975464473124,-0.0253490691046856,0.0096204302956095,0,0,0.0,0.0232725312247281,0.0395407272981084,-0.0834492350486787,0.0105263157894736,0.0554378531073446,-0.034342926864279,-0.0140926800961618,-0.0460010669292954,0.0274285714285714,-0.0548657100809418,-0.0458015267175572,-0.0461538461538461,-0.0085541419455973,-0.0087379523035013,-0.0444994807062395,0.8524229074889867,-1.2407407407407407,-3.213991769547325,-0.0548657100809418,0,0,2021-09-25,2021-09-25,2021-09-25,AAPL,2021-09-26,82380467533,87527345781,85054907222,21527200000,32290800000,26909000000,19028800000,28543200000,23786000000,16440800000,24661200000,20551000000,4492800000,6739200000,5616000000,1.23878,1.24205,1.23551,8,9,2021-09-25,2021-09-25
AAPL,2022-01-27,159.07305908203125,155.9486083984375,166.83029174804688,171.18885803222656,169.0631103515625,165.38546752929688,6.2801654329031065,6.090849147836474,9.772610214546653,9.324086037117816,2.612574873849738,2.579030136174618,1.338377209630326,1.329500060631781,-0.866044291843604,-0.8698162490912466,3.981627649855775,3.187108042695183,1.454192846707507,,,,,,,-0.213893800670857,-0.7449072838866009,-1.5452582302576598,-0.5561878002784343,-0.4692120071688456,-2.637799025356612,amc,2022-01-27,2022-01-28,2022-01-21,2022-01-27,2022-01-31,2022-02-04,2022-02-11,2022-01-21,2022-02-11,5,10,2022-01-27,2021-12-25,5,123945000000,44632000000,41935000000,34630000000,2.11,119002502550,39672888888,36878222221,30782222221,1.89912,4942497450,4.153271859071505,4959111112,12.500000002520617,5056777779,13.712097477737036,3847777779,12.500000004466862,0.2108799999999999,11.104090315514553,2021-12-25,AAPL,2021-12-25,2022,Q1,USD,0.4868642034548944,0.4465197360229112,0.5421333939841929,0.0371716466746086,0.0925155925155925,0,0,0.0,0.1200386371619248,0.3841105180112129,-0.0136570561456752,0.0327380952380952,-0.0976915356306457,0.6586272250919767,0.7442192886571933,0.773959050240881,1.4512421208750463,0.6850761520120675,0.688,0.6935483870967742,-0.0057861527188403,-0.0069615464220016,0.7531354515050167,-2.3358208955223883,-2.3846153846153846,0.5408921933085502,0.6850761520120675,0,0,2021-12-25,2021-12-25,2021-12-25,AAPL,2021-12-26,115260625375,122461754762,119002502550,31738311111,47607466665,39672888888,29502577777,44253866666,36878222221,24625777777,36938666666,30782222221,4585955555,6878933333,5732444444,1.89912,1.90291,1.89533,12,9,2021-12-25,2021-12-25
AAPL,2022-04-28,158.66763305664062,160.48196411132812,154.6075439453125,154.9115753173828,154.47134399414062,144.4829559326172,-2.6447038892941865,-2.6803052868912327,-3.4710372749931384,-3.53270908083535,0.1966471779526246,0.1964540804953342,-0.0880939879751574,-0.0881328135324068,-6.5485730866254315,-6.772838293209774,1.093874914299505,1.1394774165628652,1.2381827493611357,,,,,,,0.2557752183636906,-0.1221687992240167,-0.0768075914998429,-3.786985263372796,-3.9594892557059698,-3.862956283077301,amc,2022-04-28,2022-04-29,2022-04-22,2022-04-28,2022-05-02,2022-05-06,2022-05-13,2022-04-22,2022-05-13,5,10,2022-04-28,2022-03-26,6,97278000000,33567000000,30830000000,25010000000,1.54,94033796672,31454391608,28092209790,23435944055,1.42404,3244203328,3.4500397121219413,2112608392,6.716417911776384,2737790210,9.7457274826937,1574055945,6.716417914746555,0.11596,8.143029690177245,2022-03-26,AAPL,2022-03-26,2022,Q2,USD,-0.2151518818830933,-0.2149579639034748,-0.2154010655752816,-0.0003174930132766,0.0128449096098953,0,0,0.0,-0.013720109760878,-0.183829147313145,0.0769230769230769,-0.0043227665706051,0.0148312940304041,-0.2479162932425165,-0.2774055148476668,-0.2691981280764288,-0.2241718348207532,-0.2777938203869477,-0.2701421800947867,-0.2761904761904762,-0.006888964211452,-0.0070205797573273,-0.2648145940145463,-0.9038031319910514,1.2045454545454546,1.6477732793522266,-0.2777938203869477,0,0,2022-03-26,2022-03-26,2022-03-26,AAPL,2022-03-26,91077027613,96767240189,94033796672,25163513285,37745269930,31454391608,22473767832,33710651748,28092209790,18748755244,28123132867,23435944055,4642584615,6963876923,5803230769,1.42404,1.4263,1.42178,7,10,2022-03-26,2022-03-26
AAPL,2022-07-28,151.3383026123047,154.54006958007812,159.60794067382812,158.62582397460938,162.622802734375,169.26148986816406,7.456473296769239,7.191568002072635,2.6438155525833507,2.609470775718115,-0.6153307254466611,-0.617231687101015,1.888917335703244,1.871298812658535,6.048288796648138,5.872435907580289,2.784722896522798,0.7919064137804487,0.6653373597876533,,,,,,,1.5741629031219897,1.0729270122482588,1.078685902714906,2.390933769630142,0.6513132285577471,0.5600480704369762,amc,2022-07-28,2022-07-29,2022-07-22,2022-07-28,2022-08-01,2022-08-05,2022-08-12,2022-07-22,2022-08-12,5,10,2022-07-28,2022-06-25,7,82959000000,26590000000,23785000000,19442000000,1.2,82791243730,25673103447,22280275861,18771586206,1.1635,167756270,0.2026256188964731,916896553,3.571428576575704,1504724139,6.753615387832383,670413794,3.5714285763752573,0.0364999999999999,3.137086377309839,2022-06-25,AAPL,2022-06-25,2022,Q3,USD,-0.1471966940109788,-0.1397138105594035,-0.1568175943983646,-0.0112814998782339,0.0641928918114921,0,0,0.0,0.0182034976152623,-0.1101948023001827,0.0314285714285714,0.0405209840810419,0.0248447204968944,-0.2078529508147883,-0.2302611828279795,-0.2346793191545837,-0.2934295184246441,-0.2226309476209516,-0.2207792207792208,-0.2105263157894737,-0.007117047065257,-0.008602711793152,-0.228511190398962,0.1668625146886016,-0.6666666666666666,-1.0625,-0.2226309476209516,0,0,2022-06-25,2022-06-25,2022-06-25,AAPL,2022-06-26,80187981962,85197880455,82791243730,20538482758,30807724137,25673103447,17824220689,26736331034,22280275861,15017268965,22525903448,18771586206,4643751724,6965627586,5804689655,1.1635,1.16794,1.15906,10,10,2022-06-25,2022-06-25
AAPL,2022-10-27,144.8410186767578,142.4117431640625,153.1713104248047,150.81088256835938,136.32339477539062,147.4751739501953,-5.880671082806998,-6.06067522309212,5.897785686550305,5.730415692521762,-1.541037841811832,-1.5530352459191457,-10.99939381773788,-11.652700524249347,-3.718801163750396,-3.789712159019176,-6.079000573700244,-7.091958116868325,-5.957266644971747,,,,,,,-8.108556844411606,-7.751934304075582,-7.428285778822755,-5.706397532329527,-7.188761155896647,-5.92153257520776,amc,2022-10-27,2022-10-28,2022-10-21,2022-10-27,2022-10-31,2022-11-04,2022-11-11,2022-10-21,2022-11-11,5,10,2022-10-27,2022-09-24,8,90146000000,28349000000,25484000000,20721000000,1.29,88739279089,25159915000,22239910000,19215185000,1.26798,1406720911,1.585229140287635,3189085000,12.675261422783027,3244090000,14.58679464080565,1505815000,7.836588614681565,0.0220199999999999,1.736620451426673,2022-09-24,AAPL,2022-09-24,2022,Q4,USD,0.086633156137369,0.1057271529931597,0.0615856207328967,-0.0230505898802989,-0.0052964543180815,0,0,0.0,0.0306034819267702,0.0896581667585124,0.0429362880886426,0.1502086230876217,0.0213903743315508,0.0661526889808198,0.078783151326053,0.0689759819647966,0.086092715231788,0.0657854130233515,0.075,0.075,-0.0082016612690323,-0.0088387778703783,0.0714315745217574,0.1678420310296191,-25.666666666666668,-22.7,0.0657854130233515,0,0,2022-09-24,2022-09-24,2022-09-24,AAPL,2022-09-26,85948989172,91318817678,88739279089,20127932000,30191898000,25159915000,17791928000,26687892000,22239910000,15372148000,23058222000,19215185000,4200768000,6301152000,5250960000,1.26798,1.26982,1.26614,7,10,2022-09-24,2022-09-24
AAPL,2023-02-02,143.7611846923828,148.57850646972656,152.2038116455078,149.47499084472656,148.9927978515625,150.51226806640625,3.639099921424682,3.5744485004121787,0.6033742001456011,0.6015611871983377,-1.792872840226134,-1.8091395259556375,-2.10968027622328,-2.1322520566477956,-1.1113674229402792,-1.1175892518857862,3.202608634330417,3.067516121475342,4.684716029994037,,,,,,,-0.9809141323790548,-0.641078193787535,0.4409516549129306,0.3315025060292023,0.7628207496384013,2.7601885575987875,amc,2023-02-02,2023-02-03,2023-01-27,2023-02-02,2023-02-06,2023-02-10,2023-02-17,2023-01-27,2023-02-17,5,10,2023-02-02,2022-12-31,9,117154000000,38932000000,36016000000,29998000000,1.89,121333299852,43640177777,40566044443,33860444443,1.93875,-4179299852,-3.4444788504869055,-4708177777,-10.788631066212991,-4550044443,-11.216386772423276,-3862444443,-11.406951404615974,-0.04875,-2.5145067698259225,2022-12-31,AAPL,2022-12-31,2023,Q1,USD,0.2996028664610742,0.2837793702330407,0.3212232576453603,0.0166361521727074,0.140215944386925,0,0,0.0,0.0844632982349821,0.2434561392754245,0.1527224435590969,0.2128174123337363,0.0178010471204188,0.3733112279092737,0.4467743231300715,0.4447418582958186,0.4291158536585366,0.4477100526036388,0.4651162790697673,0.4573643410852712,-0.0085873811366441,-0.0100969292051073,0.4132789201067336,1.0,-0.8243243243243243,-0.6582278481012658,0.4477100526036388,0,0,2022-12-31,2022-12-31,2022-12-31,AAPL,2022-12-26,117518133822,124860305393,121333299852,34912142222,52368213332,43640177777,32452835553,48679253332,40566044443,27088355554,40632533332,33860444443,5044551110,7566826666,6305688888,1.93875,1.94633,1.93117,15,10,2022-12-31,2022-12-31
AAPL,2023-05-04,167.41343688964844,163.5753936767578,171.25149536132812,171.18243408203125,170.5003662109375,173.05931091308594,1.8438957939342917,1.8271021593946744,4.650479656069639,4.545584632456149,-0.040327402193574,-0.0403355358772214,-0.4386117322980443,-0.4395764555162327,1.0556494983845033,1.0501164249113628,3.0185960563467034,2.931792476553833,1.0628669475825805,,,,,,,-0.1353130718220747,-0.2529750296262085,-1.1398708105315232,-0.2823276655249868,-1.118805275985014,-2.5075308092916475,amc,2023-05-04,2023-05-05,2023-04-28,2023-05-04,2023-05-08,2023-05-12,2023-05-19,2023-04-28,2023-05-19,5,10,2023-05-04,2023-04-01,10,94836000000,31216000000,28318000000,24160000000,1.53,92906049631,34599830768,30901430768,25779538460,1.42908,1929950369,2.077313992646645,-3383830768,-9.779905545461713,-2583430768,-8.360230266992277,-1619538460,-6.282263208524487,0.1009200000000001,7.061885968595188,2023-04-01,AAPL,2023-04-01,2023,Q2,USD,-0.1905013913310685,-0.2089431624315345,-0.1660176428514662,0.0302455719735069,-0.0326890647295369,0,0,0.0,-0.0459625593741268,-0.1801868421701299,0.0576036866359447,-0.0727816550348953,-0.0061728395061728,-0.1981917188944827,-0.213738338516215,-0.2032675518625607,-0.2494222222222222,-0.1946129741982799,-0.1904761904761904,-0.1914893617021276,-0.0066425998867532,-0.0068105991845681,-0.213738338516215,0.0,0.9111111111111112,1.1628498727735368,-0.1946129741982799,0,0,2023-04-01,2023-04-01,2023-04-01,AAPL,2023-03-26,89984741095,95606710969,92906049631,27679864614,41519796923,34599830768,24721144614,37081716922,30901430768,20623630768,30935446153,25779538460,5106843076,7660264615,6383553845,1.42908,1.42915,1.42901,8,9,2023-04-01,2023-04-01
