date_x,symbol,date_y,revenueLow,revenueHigh,revenueAvg,ebitdaLow,ebitdaHigh,ebitdaAvg,ebitLow,ebitHigh,ebitAvg,netIncomeLow,netIncomeHigh,netIncomeAvg,sgaExpenseLow,sgaExpenseHigh,sgaExpenseAvg,epsAvg,epsHigh,epsLow,numAnalystsRevenue,numAnalystsEps
2020-12-26,AAPL,2020-12-26,100019410563,106268315723,103266489504,23856238297,35784357446,29820297871,21690076595,32535114893,27112595744,18598978723,27898468085,23248723404,3642178723,5463268085,4552723404,1.41599,1.4695,1.35811,7,6
2021-03-27,AAPL,2021-03-26,74664747920,79329571738,77088700724,16228657776,24342986666,20285822221,14179324444,21268986666,17724155555,12182577777,18273866666,15228222221,2739662222,4109493333,3424577777,0.9864,1.02368,0.94608,7,6
2021-06-26,AAPL,2021-06-26,71028832587,75466495596,73334747261,15604960000,23407440000,19506200000,13510560000,20265839999,16888199999,12176640000,18264959999,15220799999,3030720000,4546079999,3788399999,1.01066,1.01094,1.01038,8,9
2021-09-25,AAPL,2021-09-26,82380467533,87527345781,85054907222,21527200000,32290800000,26909000000,19028800000,28543200000,23786000000,16440800000,24661200000,20551000000,4492800000,6739200000,5616000000,1.23878,1.24205,1.23551,8,9
2021-12-25,AAPL,2021-12-26,115260625375,122461754762,119002502550,31738311111,47607466665,39672888888,29502577777,44253866666,36878222221,24625777777,36938666666,30782222221,4585955555,6878933333,5732444444,1.89912,1.90291,1.89533,12,9
2022-03-26,AAPL,2022-03-26,91077027613,96767240189,94033796672,25163513285,37745269930,31454391608,22473767832,33710651748,28092209790,18748755244,28123132867,23435944055,4642584615,6963876923,5803230769,1.42404,1.4263,1.42178,7,10
2022-06-25,AAPL,2022-06-26,80187981962,85197880455,82791243730,20538482758,30807724137,25673103447,17824220689,26736331034,22280275861,15017268965,22525903448,18771586206,4643751724,6965627586,5804689655,1.1635,1.16794,1.15906,10,10
2022-09-24,AAPL,2022-09-26,85948989172,91318817678,88739279089,20127932000,30191898000,25159915000,17791928000,26687892000,22239910000,15372148000,23058222000,19215185000,4200768000,6301152000,5250960000,1.26798,1.26982,1.26614,7,10
2022-12-31,AAPL,2022-12-26,117518133822,124860305393,121333299852,34912142222,52368213332,43640177777,32452835553,48679253332,40566044443,27088355554,40632533332,33860444443,5044551110,7566826666,6305688888,1.93875,1.94633,1.93117,15,10
2023-04-01,AAPL,2023-03-26,89984741095,95606710969,92906049631,27679864614,41519796923,34599830768,24721144614,37081716922,30901430768,20623630768,30935446153,25779538460,5106843076,7660264615,6383553845,1.42908,1.42915,1.42901,8,9
2023-07-01,AAPL,2023-06-26,79222982434,84172590725,81794915987,22592331033,33888496550,28240413791,19606642757,29409964137,24508303447,16518995861,24778493792,20648744826,5108126896,7662190344,6385158620,1.19527,1.19676,1.19378,15,9
2023-09-30,AAPL,2023-09-26,88049957909,90256723772,89303802150,22140725200,33211087800,27675906500,19571120800,29356681200,24463901000,16909362800,25364044200,21136703500,4620844800,6931267200,5776056000,1.39314,1.4429,1.35334,17,20
2023-12-30,AAPL,2023-12-27,111741022564,127121762173,117986596460,38403356444,57605034664,48004195554,35698119109,53547178665,44622648887,29797191109,44695786665,37246488887,5549006221,8323509332,6936257776,2.10071,2.40839,1.71876,23,25
2024-03-30,AAPL,2024-03-27,88970296459,91942667537,90366105851,30447851074,45671776615,38059813845,27193259076,40789888614,33991573845,22685993844,34028990767,28357492306,5617527383,8426291076,7021909229,1.50508,1.53498,1.48515,16,18
2024-06-29,AAPL,2024-06-27,82969800770,86732058982,84480707659,28254692725,29535899246,28769219812,25824731764,26995751921,26295008476,19035454360,20671406284,19927778310,5340140360,5582288548,5437386042,1.34553,1.39574,1.28528,15,18
2024-09-28,AAPL,2024-09-27,93972227723,96231079399,94511953345,32001479989,32770713607,32185279172,29249287713,29952365678,29417279793,14634853282,26247357215,23702197536,6048283609,6193668856,6083021677,1.60038,1.77223,0.98815,18,18
2024-12-28,AAPL,2024-12-27,123004798462,125159261328,124257393152,41888286486,42621971341,42314847448,38285808770,38956395238,38675684624,32854849441,36832762960,34770124679,7916891239,8055557766,7997511313,2.34769,2.48696,2.21837,19,18
2025-03-29,AAPL,2025-03-27,92417977488,95850932861,94542181546,31472192677,32641257787,32195573141,28765520185,29834043321,29426688460,23502702041,25149317421,24101484734,5948248242,6169201690,6084967238,1.62734,1.69809,1.58691,18,20
2025-06-28,AAPL,2025-06-27,88575652673,91375747220,89562736363,30163720125,31117269613,30499863470,27569578930,28441121225,27876813264,20097653093,23097342597,21297588136,5700946771,5881167740,5764477904,1.43802,1.55954,1.357,17,19
2025-09-27,AAPL,2025-09-27,98933988956,104055444174,102227074560,33691167535,35435237572,34812601129,30793658698,32387735169,31818646725,24190198767,27537339223,26320224167,6367634760,6697264209,6579585846,1.77715,1.85933,1.63333,19,21
