ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
AAPL,2023-11-02,2023-10-26,2023-11-16,AAPL,,2023-10-26 04:45:00,2023-10-26T04:45:00-04:00,2023-10-26,Apple Makes Up Almost 50% of Warren Buffett's Portfolio: Is the Stock a Buy?,"As a long-term investor, Warren Buffett could be in the early days of his relationship with Apple. The stock offers investors solid growth prospects along with the safety of dividend payments.",fool.com,https://www.fool.com/investing/2023/10/26/apple-makes-up-half-warren-buffetts-portfolio/,https://images.financialmodelingprep.com/news/apple-makes-up-almost-50-of-warren-buffetts-portfolio-20231026.jpg
AAPL,2023-11-02,2023-10-26,2023-11-16,AAPL,,2023-10-26 05:00:28,2023-10-26T05:00:28-04:00,2023-10-26,Inside Google's Plan to Stop Apple From Getting Serious About Search,"Google has worried for years that Apple would one day expand its internet search technology, and has been working on ways to prevent that from happening.",nytimes.com,https://www.nytimes.com/2023/10/26/technology/google-apple-search-spotlight.html,https://images.financialmodelingprep.com/news/inside-googles-plan-to-stop-apple-from-getting-serious-20231026.jpg
AAPL,2023-11-02,2023-10-26,2023-11-16,AAPL,,2023-10-26 05:57:00,2023-10-26T05:57:00-04:00,2023-10-26,3 No-Brainer Stocks I'd Buy Right Now Without Hesitation,"Apple is strengthening its business by expanding into a sector less vulnerable to economic headwinds. Meanwhile, Microsoft has endless earning opportunities in AI.",fool.com,https://www.fool.com/investing/2023/10/26/3-no-brainer-stocks-id-buy-right-now-without-hesit/,https://images.financialmodelingprep.com/news/3-nobrainer-stocks-id-buy-right-now-without-hesitation-20231026.jpg
AAPL,2023-11-02,2023-10-26,2023-11-16,AAPL,,2023-10-26 07:05:00,2023-10-26T07:05:00-04:00,2023-10-26,1 Simple Reason Warren Buffett Prefers to Buy Apple Rather Than Tesla Stock,"Apple is Berkshire Hathaway's top holding, accounting for 48% of the total portfolio. Tesla, despite its improved earnings numbers, isn't a stock that Warren Buffett has invested in.",fool.com,https://www.fool.com/investing/2023/10/26/1-simple-reason-warren-buffett-prefers-to-buy-appl/,https://images.financialmodelingprep.com/news/1-simple-reason-warren-buffett-prefers-to-buy-apple-20231026.jpg
AAPL,2023-11-02,2023-10-26,2023-11-16,AAPL,,2023-10-26 12:00:00,2023-10-26T12:00:00-04:00,2023-10-26,Apple and the Other 6 Big Tech Stocks Are Falling Today. That Happens More Often Than You Think.,"Though their businesses are different, their shares often move together.",barrons.com,https://www.barrons.com/articles/tech-stock-drop-apple-amazon-alphabet-a5dd5cfe,https://images.financialmodelingprep.com/news/apple-and-the-other-6-big-tech-stocks-are-20231026.jpg
AAPL,2023-11-02,2023-10-26,2023-11-16,AAPL,,2023-10-26 12:18:00,2023-10-26T12:18:00-04:00,2023-10-26,Apple Stock and Big Tech Went From Market Saviors to Market Destroyers,"Big Tech stocks were early winners this year, but they're slumping now due to a number of factors.",barrons.com,https://www.barrons.com/articles/apple-stock-big-tech-market-f291788e,https://images.financialmodelingprep.com/news/apple-stock-and-big-tech-went-from-market-saviors-20231026.jpg
AAPL,2023-11-02,2023-10-26,2023-11-16,AAPL,,2023-10-26 14:29:45,2023-10-26T14:29:45-04:00,2023-10-26,Apple Crosses Below Key Moving Average Level,"In trading on Thursday, shares of Apple crossed below their 200 day moving average of $170.18",forbes.com,https://www.forbes.com/sites/dividendchannel/2023/10/26/apple-crosses-below-key-moving-average-level/,https://images.financialmodelingprep.com/news/apple-crosses-below-key-moving-average-level-20231026.jpg
AAPL,2023-11-02,2023-10-26,2023-11-16,AAPL,,2023-10-26 18:51:10,2023-10-26T18:51:10-04:00,2023-10-26,International Trade Commission Issues Ruling Potentially Banning Apple Watches From Being Imported To U.S.,President Joe Biden has 60 days to determine whether he wants to veto the import ban.,forbes.com,https://www.forbes.com/sites/mollybohannon/2023/10/26/international-trade-commission-issues-ruling-potentially-banning-apple-watches-from-being-imported-to-us/,https://images.financialmodelingprep.com/news/international-trade-commission-issues-ruling-potentially-banning-apple-watches-20231026.jpg
AAPL,2023-11-02,2023-10-26,2023-11-16,AAPL,,2023-10-26 19:31:00,2023-10-26T19:31:00-04:00,2023-10-26,"United States International Trade Commission Issues Exclusion Order for Infringing Apple Watches, Finding that Apple Violated U.S. Trade Laws",WASHINGTON--(BUSINESS WIRE)--Masimo (NASDAQ: MASI) today announced that the United States International Trade Commission (USITC) has recommended a limited exclusion order for infringing Apple Watches with light-based pulse oximetry functionality. The USITC found that Apple (NASDAQ: AAPL) violated U.S. laws by incorporating Masimo's patented light-based pulse oximetry technology in its products. The exclusion is scheduled to go into effect after a 60-day Presidential review period. “Today's ruli.,businesswire.com,https://www.businesswire.com/news/home/20231026948697/en/United-States-International-Trade-Commission-Issues-Exclusion-Order-for-Infringing-Apple-Watches-Finding-that-Apple-Violated-U.S.-Trade-Laws/,https://images.financialmodelingprep.com/news/united-states-international-trade-commission-issues-exclusion-order-for-20231026.jpg
AAPL,2023-11-02,2023-10-26,2023-11-16,AAPL,,2023-10-26 20:11:54,2023-10-26T20:11:54-04:00,2023-10-26,The Magnificent 7 Stocks for October: 4 to Buy and 3 to Skip,"The Magnificent Seven stocks have propped up the stock market in what would have otherwise been a down year. If the S&P 500 was an equal-weighted index, it would have only been up by 0.1% year-to-date as of October 5th.",investorplace.com,https://investorplace.com/2023/10/the-magnificent-7-stocks-for-october-4-to-buy-and-3-to-skip/,https://images.financialmodelingprep.com/news/the-magnificent-7-stocks-for-october-4-to-buy-20231026.png
AAPL,2023-11-02,2023-10-26,2023-11-16,AAPL,,2023-10-27 04:06:08,2023-10-27T04:06:08-04:00,2023-10-27,Apple Watch models face US import ban in patent clash,Medical technology company Masimo Corp. on Thursday said a US trade commission has recommended banning imports of Apple Watch models that infringe its light technology for detecting blood oxygen levels.,techxplore.com,https://techxplore.com/news/2023-10-apple-import-patent-clash.html,https://images.financialmodelingprep.com/news/apple-watch-models-face-us-import-ban-in-patent-20231027.jpg
AAPL,2023-11-02,2023-10-26,2023-11-16,AAPL,,2023-10-27 06:00:00,2023-10-27T06:00:00-04:00,2023-10-27,"Up 34% This Year, Will Apple Stock Rally Further Following Q4 Results?","We expect earnings to stand at about $1.32 per share, slightly ahead of consensus estimates.",forbes.com,https://www.forbes.com/sites/greatspeculations/2023/10/27/up-34-this-year-will-apple-stock-rally-further-following-q4-results/,https://images.financialmodelingprep.com/news/up-34-this-year-will-apple-stock-rally-further-20231027.jpg
