ticker,earnings_date,day0_date,phase,n_tokens,n_tokens_raw,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
ABBV,2021-02-03,2021-02-03,post,176.0,332.0,6.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.03409090909090909,0.011363636363636364,0.011363636363636364,0.0,0.0,0.022727272727272728
ABBV,2021-02-03,2021-02-03,pre,217.0,371.0,6.0,6.0,6.0,0.0,2.0,2.0,2.0,1.0,0.027649769585253458,0.027649769585253458,0.027649769585253458,0.0,0.009216589861751152,0.0
ABBV,2021-04-30,2021-04-30,post,468.0,873.0,14.0,15.0,11.0,9.0,0.0,9.0,9.0,0.0,0.029914529914529916,0.03205128205128205,0.023504273504273504,0.019230769230769232,0.0,-0.002136752136752137
ABBV,2021-04-30,2021-04-30,pre,305.0,521.0,7.0,6.0,5.0,0.0,0.0,1.0,5.0,4.0,0.022950819672131147,0.019672131147540985,0.01639344262295082,0.0,0.0,0.003278688524590164
ABBV,2021-07-30,2021-07-30,post,353.0,652.0,14.0,10.0,4.0,0.0,0.0,3.0,1.0,1.0,0.039660056657223795,0.028328611898016998,0.0113314447592068,0.0,0.0,0.0113314447592068
ABBV,2021-07-30,2021-07-30,pre,292.0,505.0,7.0,4.0,2.0,0.0,1.0,1.0,2.0,0.0,0.023972602739726026,0.0136986301369863,0.00684931506849315,0.0,0.003424657534246575,0.010273972602739725
ABBV,2021-10-29,2021-10-29,post,501.0,888.0,14.0,14.0,5.0,0.0,0.0,3.0,3.0,0.0,0.027944111776447105,0.027944111776447105,0.00998003992015968,0.0,0.0,0.0
ABBV,2021-10-29,2021-10-29,pre,352.0,650.0,9.0,5.0,8.0,0.0,0.0,5.0,5.0,0.0,0.02556818181818182,0.014204545454545454,0.022727272727272728,0.0,0.0,0.011363636363636364
ABBV,2022-02-02,2022-02-02,post,257.0,492.0,13.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,0.05058365758754864,0.011673151750972763,0.019455252918287938,0.0,0.0,0.038910505836575876
ABBV,2022-02-02,2022-02-02,pre,270.0,543.0,8.0,4.0,2.0,0.0,0.0,5.0,2.0,0.0,0.02962962962962963,0.014814814814814815,0.007407407407407408,0.0,0.0,0.014814814814814815
