ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
ABBV,2024-02-02,2024-01-26,2024-02-16,ABBV,,2024-01-26 11:06:24,2024-01-26T11:06:24-05:00,2024-01-26,Earnings Preview: AbbVie (ABBV) Q4 Earnings Expected to Decline,AbbVie (ABBV) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,zacks.com,https://www.zacks.com/stock/news/2216550/earnings-preview-abbvie-abbv-q4-earnings-expected-to-decline?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_9-2216550,https://images.financialmodelingprep.com/news/earnings-preview-abbvie-abbv-q4-earnings-expected-to-decline-20240126.jpg
ABBV,2024-02-02,2024-01-26,2024-02-16,ABBV,,2024-01-26 12:24:04,2024-01-26T12:24:04-05:00,2024-01-26,AbbVie And Merck: Defensive Healthcare Plays Providing Income,"Healthcare had a mediocre performance in 2023, but it remains a suitable addition to a diversified portfolio due to its defensive characteristics. AbbVie Inc. and Merck & Co., Inc. are attractive healthcare players that also provide steady dividends and potential for growth. AbbVie is navigating the Humira patent cliff and expects to return to earnings growth in 2025, while Merck's Keytruda is driving sales but faces competition with a patent expiration in 2028.",seekingalpha.com,https://seekingalpha.com/article/4665307-abbvie-and-merck-defensive-healthcare-plays-providing-income,https://images.financialmodelingprep.com/news/abbvie-and-merck-defensive-healthcare-plays-providing-income-20240126.jpg
ABBV,2024-02-02,2024-01-26,2024-02-16,ABBV,,2024-01-26 18:41:00,2024-01-26T18:41:00-05:00,2024-01-26,"CEREVEL THERAPEUTICS INVESTOR ALERT BY THE FORMER ATTORNEY GENERAL OF LOUISIANA: Kahn Swick & Foti, LLC Investigates Adequacy of Price and Process in Proposed Sale of Cerevel Therapeutics - CERE","NEW ORLEANS , Jan. 26, 2024 /PRNewswire/ -- Former Attorney General of Louisiana Charles C. Foti, Jr., Esq.",prnewswire.com,https://www.prnewswire.com/news-releases/cerevel-therapeutics-investor-alert-by-the-former-attorney-general-of-louisiana-kahn-swick--foti-llc-investigates-adequacy-of-price-and-process-in-proposed-sale-of-cerevel-therapeutics---cere-302045996.html,https://images.financialmodelingprep.com/news/cerevel-therapeutics-investor-alert-by-the-former-attorney-general-20240126.jpg
ABBV,2024-02-02,2024-01-26,2024-02-16,ABBV,,2024-01-28 02:56:00,2024-01-28T02:56:00-05:00,2024-01-28,Why Aldeyra Therapeutics Is A Strong Buy: AbbVie Agreement And Reproxalap's Prospects,"Aldeyra Therapeutics is a biotech company focused on developing treatments for immune-mediated inflammatory diseases, with its leading drug candidate being Reproxalap for dry eye and allergic conjunctivitis. The company has an option agreement with AbbVie, indicating strategic M&A value and potential for a takeover. ALDX's current market cap of $181.76 million is mostly its cash value of $144.33 million, making it a strong buy with significant upside potential.",seekingalpha.com,https://seekingalpha.com/article/4665589-why-aldeyra-therapeutics-strong-buy-abbvie-agreement-and-reproxalaps-prospects,https://images.financialmodelingprep.com/news/why-aldeyra-therapeutics-is-a-strong-buy-abbvie-agreement-20240128.jpg
ABBV,2024-02-02,2024-01-26,2024-02-16,ABBV,,2024-01-28 11:42:00,2024-01-28T11:42:00-05:00,2024-01-28,2 High-Yield Healthcare Stocks to Buy With Both Hands and 1 to Avoid for Now,"Medtronic's global medical device business has supported annual dividend raises since 1978, and it's well positioned for more growth. AbbVie's lead drug fell off a patent cliff last year, but soaring sales of recently launched treatments make the stock a buy right now.",fool.com,https://www.fool.com/investing/2024/01/28/2-high-yield-healthcare-stocks-to-buy-with-both-ha/,https://images.financialmodelingprep.com/news/2-highyield-healthcare-stocks-to-buy-with-both-hands-20240128.jpg
ABBV,2024-02-02,2024-01-26,2024-02-16,ABBV,,2024-01-29 11:35:12,2024-01-29T11:35:12-05:00,2024-01-29,Pharma industry to get US government price cut proposals by Thursday,"Pharmaceutical companies are due to receive by Thursday the U.S. government's opening proposal for discounts it is seeking on 10 high-cost medicines, an important step in the Medicare health program's first ever price negotiations.",reuters.com,https://www.reuters.com/business/healthcare-pharmaceuticals/pharma-industry-get-us-government-price-cut-proposals-by-thursday-2024-01-29/,https://images.financialmodelingprep.com/news/pharma-industry-to-get-us-government-price-cut-proposals-20240129.jpg
ABBV,2024-02-02,2024-01-26,2024-02-16,ABBV,,2024-01-29 18:46:10,2024-01-29T18:46:10-05:00,2024-01-29,AbbVie (ABBV) Stock Sinks As Market Gains: Here's Why,"The latest trading day saw AbbVie (ABBV) settling at $163.91, representing a -0.3% change from its previous close.",zacks.com,https://www.zacks.com/stock/news/2217445/abbvie-abbv-stock-sinks-as-market-gains-here-s-why?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_6-2217445,https://images.financialmodelingprep.com/news/abbvie-abbv-stock-sinks-as-market-gains-heres-why-20240129.jpg
ABBV,2024-02-02,2024-01-26,2024-02-16,ABBV,,2024-01-29 19:11:03,2024-01-29T19:11:03-05:00,2024-01-29,3 Stocks Enjoying Favorable Analyst Coverage,"We see daily analyst upgrades and downgrades, coming with price targets. They can be helpful tools for investors, providing a more structured plan and helping to inject positivity surrounding future performance.",zacks.com,https://www.zacks.com/stock/news/2217509/3-stocks-enjoying-favorable-analyst-coverage?cid=CS-STOCKNEWSAPI-FT-stocks_in_the_news-2217509,https://images.financialmodelingprep.com/news/3-stocks-enjoying-favorable-analyst-coverage-20240129.jpg
ABBV,2024-02-02,2024-01-26,2024-02-16,ABBV,,2024-01-30 10:21:26,2024-01-30T10:21:26-05:00,2024-01-30,Unveiling AbbVie (ABBV) Q4 Outlook: Wall Street Estimates for Key Metrics,"Evaluate the expected performance of AbbVie (ABBV) for the quarter ended December 2023, looking beyond the conventional Wall Street top-and-bottom-line estimates and examining some of its key metrics for better insight.",zacks.com,https://www.zacks.com/stock/news/2217823/unveiling-abbvie-abbv-q4-outlook-wall-street-estimates-for-key-metrics?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|nfm_preview-2217823,https://images.financialmodelingprep.com/news/unveiling-abbvie-abbv-q4-outlook-wall-street-estimates-for-20240130.jpg
ABBV,2024-02-02,2024-01-26,2024-02-16,ABBV,,2024-01-31 11:00:00,2024-01-31T11:00:00-05:00,2024-01-31,"Allergan Aesthetics Releases ""Decoding the Future of Aesthetic Individuality"" Exploring the Power of Self-Expression","-- New report incorporates in-depth interviews, industry research and social listening to understand the role of individuality in the world of aesthetics -- -- Report underpins ongoing commitment to aesthetics accessibility and inclusivity to achieve desired patient outcomes -- IRVINE, Calif. , Jan. 31, 2024 /PRNewswire/ -- Today, Allergan Aesthetics, an AbbVie (NYSE: ABBV) company and a global leader in medical aesthetics treatments, released the ""Decoding the Future of Aesthetic Individuality"" report, which aims to deepen the understanding of the evolving consumer mix and their aesthetic needs.",prnewswire.com,https://www.prnewswire.com/news-releases/allergan-aesthetics-releases-decoding-the-future-of-aesthetic-individuality-exploring-the-power-of-self-expression-302048600.html,https://images.financialmodelingprep.com/news/allergan-aesthetics-releases-decoding-the-future-of-aesthetic-individuality-20240131.jpg
