ticker,earnings_date,day0_date,phase,n_tokens,n_tokens_raw,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
AMD,2021-01-26,2021-01-27,post,488.0,866.0,18.0,6.0,6.0,0.0,0.0,3.0,3.0,3.0,0.036885245901639344,0.012295081967213115,0.012295081967213115,0.0,0.0,0.02459016393442623
AMD,2021-01-26,2021-01-27,pre,684.0,1259.0,18.0,10.0,14.0,0.0,1.0,7.0,9.0,0.0,0.02631578947368421,0.014619883040935672,0.02046783625730994,0.0,0.0014619883040935672,0.011695906432748537
AMD,2021-04-27,2021-04-28,post,470.0,850.0,10.0,8.0,5.0,0.0,0.0,1.0,5.0,0.0,0.02127659574468085,0.01702127659574468,0.010638297872340425,0.0,0.0,0.00425531914893617
AMD,2021-04-27,2021-04-28,pre,490.0,857.0,17.0,10.0,6.0,0.0,0.0,2.0,3.0,1.0,0.03469387755102041,0.02040816326530612,0.012244897959183673,0.0,0.0,0.014285714285714285
AMD,2021-07-27,2021-07-28,post,1056.0,1862.0,37.0,13.0,11.0,1.0,1.0,7.0,8.0,2.0,0.035037878787878785,0.01231060606060606,0.010416666666666666,0.000946969696969697,0.000946969696969697,0.022727272727272728
AMD,2021-07-27,2021-07-28,pre,460.0,806.0,7.0,12.0,9.0,1.0,0.0,3.0,7.0,1.0,0.015217391304347827,0.02608695652173913,0.01956521739130435,0.002173913043478261,0.0,-0.010869565217391304
AMD,2021-10-26,2021-10-27,post,552.0,985.0,24.0,6.0,2.0,0.0,1.0,2.0,2.0,2.0,0.043478260869565216,0.010869565217391304,0.0036231884057971015,0.0,0.0018115942028985507,0.03260869565217391
AMD,2021-10-26,2021-10-27,pre,678.0,1170.0,28.0,6.0,6.0,0.0,0.0,5.0,5.0,2.0,0.04129793510324484,0.008849557522123894,0.008849557522123894,0.0,0.0,0.032448377581120944
AMD,2022-02-01,2022-02-02,post,1064.0,1855.0,37.0,12.0,16.0,2.0,2.0,5.0,11.0,1.0,0.03477443609022556,0.011278195488721804,0.015037593984962405,0.0018796992481203006,0.0018796992481203006,0.023496240601503758
AMD,2022-02-01,2022-02-02,pre,1175.0,2012.0,38.0,23.0,33.0,2.0,1.0,7.0,22.0,2.0,0.03234042553191489,0.01957446808510638,0.028085106382978724,0.001702127659574468,0.000851063829787234,0.01276595744680851
AMD,2022-05-03,2022-05-04,post,1129.0,1951.0,30.0,16.0,18.0,0.0,0.0,7.0,16.0,3.0,0.026572187776793623,0.0141718334809566,0.015943312666076175,0.0,0.0,0.012400354295837024
AMD,2022-05-03,2022-05-04,pre,605.0,1002.0,21.0,16.0,9.0,0.0,1.0,3.0,8.0,1.0,0.03471074380165289,0.026446280991735537,0.01487603305785124,0.0,0.001652892561983471,0.008264462809917356
AMD,2022-08-02,2022-08-03,post,511.0,871.0,16.0,14.0,7.0,0.0,0.0,4.0,3.0,0.0,0.03131115459882583,0.0273972602739726,0.0136986301369863,0.0,0.0,0.003913894324853229
AMD,2022-08-02,2022-08-03,pre,718.0,1303.0,36.0,21.0,9.0,0.0,1.0,9.0,5.0,1.0,0.05013927576601671,0.02924791086350975,0.012534818941504178,0.0,0.001392757660167131,0.020891364902506964
AMD,2022-11-01,2022-11-02,post,795.0,1374.0,35.0,21.0,10.0,0.0,1.0,4.0,7.0,2.0,0.0440251572327044,0.026415094339622643,0.012578616352201259,0.0,0.0012578616352201257,0.01761006289308176
AMD,2022-11-01,2022-11-02,pre,632.0,1100.0,14.0,14.0,7.0,1.0,0.0,5.0,3.0,2.0,0.022151898734177215,0.022151898734177215,0.011075949367088608,0.0015822784810126582,0.0,0.0
AMD,2023-01-31,2023-02-01,post,672.0,1206.0,29.0,22.0,12.0,1.0,0.0,5.0,9.0,2.0,0.043154761904761904,0.03273809523809524,0.017857142857142856,0.001488095238095238,0.0,0.010416666666666666
AMD,2023-01-31,2023-02-01,pre,541.0,962.0,18.0,15.0,9.0,1.0,0.0,7.0,7.0,3.0,0.033271719038817,0.027726432532347505,0.0166358595194085,0.0018484288354898336,0.0,0.005545286506469501
AMD,2023-05-02,2023-05-03,post,1268.0,2280.0,37.0,28.0,25.0,0.0,1.0,8.0,20.0,6.0,0.02917981072555205,0.022082018927444796,0.01971608832807571,0.0,0.0007886435331230284,0.007097791798107256
AMD,2023-05-02,2023-05-03,pre,825.0,1365.0,24.0,18.0,14.0,0.0,3.0,10.0,13.0,0.0,0.02909090909090909,0.02181818181818182,0.01696969696969697,0.0,0.0036363636363636364,0.007272727272727273
AMD,2023-08-01,2023-08-02,post,1286.0,2331.0,48.0,31.0,24.0,0.0,0.0,13.0,18.0,0.0,0.03732503888024884,0.02410575427682737,0.01866251944012442,0.0,0.0,0.013219284603421462
AMD,2023-08-01,2023-08-02,pre,1268.0,2216.0,39.0,25.0,26.0,1.0,2.0,13.0,13.0,5.0,0.030757097791798107,0.01971608832807571,0.02050473186119874,0.0007886435331230284,0.0015772870662460567,0.011041009463722398
AMD,2023-10-31,2023-11-01,post,1345.0,2437.0,54.0,37.0,29.0,1.0,1.0,8.0,17.0,3.0,0.04014869888475837,0.0275092936802974,0.021561338289962824,0.0007434944237918215,0.0007434944237918215,0.012639405204460967
AMD,2023-10-31,2023-11-01,pre,907.0,1614.0,21.0,17.0,18.0,2.0,4.0,12.0,10.0,2.0,0.023153252480705624,0.018743109151047408,0.019845644983461964,0.002205071664829107,0.004410143329658214,0.004410143329658214
AMD,2024-01-30,2024-01-31,post,1861.0,3275.0,61.0,45.0,30.0,3.0,2.0,10.0,20.0,4.0,0.03277807630306287,0.02418054809242343,0.016120365394948953,0.0016120365394948952,0.0010746910263299302,0.008597528210639442
AMD,2024-01-30,2024-01-31,pre,2731.0,4915.0,96.0,25.0,44.0,2.0,0.0,22.0,29.0,6.0,0.03515195898938118,0.009154155986818015,0.016111314536799707,0.0007323324789454412,0.0,0.025997803002563165
AMD,2024-04-30,2024-05-01,post,1621.0,2872.0,54.0,31.0,24.0,2.0,1.0,8.0,19.0,2.0,0.033312769895126465,0.019123997532387416,0.014805675508945095,0.0012338062924120913,0.0006169031462060457,0.01418877236273905
AMD,2024-04-30,2024-05-01,pre,2178.0,3820.0,71.0,43.0,35.0,1.0,0.0,17.0,26.0,3.0,0.032598714416896234,0.019742883379247015,0.016069788797061526,0.0004591368227731864,0.0,0.012855831037649219
AMD,2024-07-30,2024-07-31,post,2430.0,4331.0,115.0,68.0,27.0,7.0,3.0,16.0,15.0,12.0,0.047325102880658436,0.027983539094650206,0.011111111111111112,0.002880658436213992,0.0012345679012345679,0.01934156378600823
AMD,2024-07-30,2024-07-31,pre,1925.0,3395.0,58.0,34.0,35.0,0.0,4.0,21.0,26.0,2.0,0.03012987012987013,0.017662337662337664,0.01818181818181818,0.0,0.002077922077922078,0.012467532467532468
AMD,2024-10-29,2024-10-30,post,3482.0,6267.0,116.0,86.0,39.0,6.0,4.0,19.0,21.0,14.0,0.03331418724870764,0.02469844916714532,0.011200459506031017,0.0017231476163124641,0.0011487650775416428,0.00861573808156232
AMD,2024-10-29,2024-10-30,pre,1635.0,2833.0,64.0,56.0,14.0,3.0,4.0,13.0,11.0,8.0,0.03914373088685015,0.03425076452599388,0.00856269113149847,0.001834862385321101,0.0024464831804281344,0.004892966360856269
AMD,2025-02-04,2025-02-05,post,4243.0,7610.0,158.0,130.0,73.0,6.0,4.0,20.0,41.0,11.0,0.03723780344096159,0.03063869903370257,0.01720480791892529,0.0014140938015555031,0.0009427292010370022,0.0065991044072590144
AMD,2025-02-04,2025-02-05,pre,1739.0,3148.0,70.0,28.0,23.0,1.0,0.0,14.0,9.0,4.0,0.04025301897642323,0.016101207590569294,0.013225991949396205,0.0005750431282346176,0.0,0.024151811385853938
AMD,2025-05-06,2025-05-07,post,5054.0,9078.0,209.0,95.0,83.0,10.0,15.0,23.0,53.0,16.0,0.041353383458646614,0.018796992481203006,0.016422635536208943,0.0019786307874950534,0.00296794618124258,0.022556390977443608
AMD,2025-05-06,2025-05-07,pre,1863.0,3397.0,55.0,49.0,53.0,2.0,3.0,16.0,27.0,8.0,0.029522275899087493,0.026301663982823402,0.02844873859366613,0.0010735373054213634,0.001610305958132045,0.00322061191626409
AMD,2025-08-05,2025-08-06,post,4948.0,9082.0,148.0,105.0,69.0,7.0,17.0,32.0,36.0,10.0,0.029911075181891674,0.02122069523039612,0.013945028294260307,0.0014147130153597412,0.0034357316087308,0.008690379951495554
AMD,2025-08-05,2025-08-06,pre,3949.0,7246.0,128.0,73.0,80.0,4.0,12.0,31.0,42.0,10.0,0.03241326918207141,0.0184856925804001,0.02025829323879463,0.0010129146619397315,0.003038743985819195,0.013927576601671309
AMD,2025-11-04,2025-11-05,post,4993.0,8768.0,141.0,102.0,67.0,7.0,7.0,18.0,30.0,15.0,0.028239535349489284,0.020428600040056078,0.01341878630082115,0.0014019627478469858,0.0014019627478469858,0.007810935309433206
AMD,2025-11-04,2025-11-05,pre,2524.0,4382.0,87.0,42.0,25.0,8.0,2.0,17.0,16.0,5.0,0.034469096671949286,0.01664025356576862,0.009904912836767036,0.003169572107765452,0.000792393026941363,0.017828843106180665
AMD,2021-01-26,2021-01-27,all,1172.0,2125.0,36.0,16.0,20.0,0.0,1.0,10.0,12.0,3.0,0.030716723549488054,0.013651877133105802,0.017064846416382253,0.0,0.0008532423208191126,0.017064846416382253
AMD,2021-04-27,2021-04-28,all,960.0,1707.0,27.0,18.0,11.0,0.0,0.0,3.0,8.0,1.0,0.028125,0.01875,0.011458333333333333,0.0,0.0,0.009375
AMD,2021-07-27,2021-07-28,all,1516.0,2668.0,44.0,25.0,20.0,2.0,1.0,10.0,15.0,3.0,0.029023746701846966,0.016490765171503958,0.013192612137203167,0.0013192612137203166,0.0006596306068601583,0.012532981530343008
