date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-12-26,AMD,USD,0000002488,2021-01-29,2021-01-29 17:24:00,2020,Q4,3244000000,1793000000,1451000000,573000000,0,0,308000000,0,881000000,2674000000,-9000000,0,9000000,101000000,656000000,555000000,15000000,570000000,-21000000,549000000,-1232000000,1781000000,0,0,1781000000,-1000000,1782000000,1.48,1.45,1205000000,1226000000
2021-03-27,AMD,USD,0000002488,2021-04-28,2021-04-28 16:39:55,2021,Q1,3445000000,1858000000,1587000000,610000000,0,0,319000000,-4000000,925000000,2783000000,-9000000,0,9000000,107000000,758000000,651000000,11000000,662000000,-18000000,644000000,89000000,555000000,0,0,555000000,0,555000000,0.46,0.45,1213000000,1231000000
2021-06-26,AMD,USD,0000002488,2021-07-28,2021-07-28 16:46:31,2021,Q2,3850000000,2020000000,1830000000,659000000,0,0,341000000,-1000000,999000000,3019000000,-10000000,0,10000000,110000000,941000000,831000000,0,831000000,-8000000,823000000,113000000,710000000,0,0,710000000,0,710000000,0.58,0.58,1216000000,1232000000
2021-09-25,AMD,USD,0000002488,2021-10-27,2021-10-27 16:37:56,2021,Q3,4313000000,2227000000,2086000000,765000000,0,0,376000000,-3000000,1138000000,3365000000,-7000000,0,7000000,112000000,1122000000,1010000000,-62000000,948000000,57000000,1005000000,82000000,923000000,0,0,923000000,0,923000000,0.76,0.75,1214000000,1230000000
2021-12-25,AMD,USD,0000002488,2022-02-03,2022-02-03 17:22:50,2021,Q4,4826000000,2400000000,2426000000,811000000,0,0,412000000,-4000000,1219000000,3619000000,-8000000,0,8000000,134000000,1345000000,1211000000,-4000000,1207000000,-4000000,1203000000,229000000,974000000,0,0,974000000,0,974000000,0.81,0.8,1208000000,1222000000
2022-03-26,AMD,USD,0000002488,2022-05-04,2022-05-04 16:50:40,2022,Q1,5887000000,3069000000,2818000000,1060000000,0,0,597000000,210000000,1867000000,4936000000,-13000000,0,13000000,628000000,1537000000,909000000,42000000,951000000,-52000000,899000000,113000000,786000000,0,0,786000000,0,786000000,0.56,0.56,1393000000,1410000000
2022-06-25,AMD,USD,0000002488,2022-08-03,2022-08-03 17:15:57,2022,Q2,6550000000,3522000000,3028000000,1300000000,0,0,592000000,610000000,2502000000,6024000000,-25000000,0,25000000,1201000000,1723000000,522000000,4000000,526000000,-25000000,501000000,54000000,447000000,0,0,447000000,0,447000000,0.28,0.27,1618000000,1632000000
2022-09-24,AMD,USD,0000002488,2022-11-02,2022-11-02 16:35:10,2022,Q3,5565000000,3211000000,2354000000,1279000000,0,0,557000000,582000000,2418000000,5629000000,-31000000,0,31000000,1188000000,1146000000,-42000000,-22000000,-64000000,-5000000,-69000000,-135000000,66000000,0,0,66000000,0,66000000,0.0409,0.0406,1615000000,1625000000
2022-12-31,AMD,USD,0000002488,2023-02-27,2023-02-27 16:20:39,2022,Q4,5599000000,3196000000,2403000000,1366000000,0,0,590000000,596000000,2552000000,5748000000,-19000000,0,19000000,1245000000,1128000000,-117000000,-32000000,-149000000,16000000,-133000000,-154000000,21000000,0,0,21000000,0,21000000,0.013,0.013,1613000000,1618000000
2023-04-01,AMD,USD,0000002488,2023-05-03,2023-05-03 16:28:42,2023,Q1,5353000000,2994000000,2359000000,1411000000,0,0,585000000,508000000,2504000000,5498000000,-25000000,0,25000000,1006000000,904000000,-102000000,-43000000,-145000000,19000000,-126000000,13000000,-139000000,0,0,-139000000,0,-139000000,-0.09,-0.09,1611000000,1611000000
