ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
AMD,2025-02-04,2025-01-21,2025-02-18,AMD,,2025-01-21 04:29:14,2025-01-21T04:29:14-05:00,2025-01-21,AMD: DeepSeek Is A Big Deal,"AMD shares have fallen 23.37% since October, mainly due to concerns about competition with Nvidia's Blackwell chips, but AMD can still compete effectively. Breakthroughs from DeepSeek V3 model significantly reduce AI training costs, positioning AMD GPUs as an even more cost-effective alternative to Nvidia's, enhancing AMD's market position. AMD's forward P/E ratio is undervalued, and aligning its PEG ratio with the sector median could lift its valuation by approximately 130.49%.",seekingalpha.com,https://seekingalpha.com/article/4750764-amd-stock-deepseek-is-a-big-deal,https://images.financialmodelingprep.com/news/amd-deepseek-is-a-big-deal-20250121.jpg
AMD,2025-02-04,2025-01-21,2025-02-18,AMD,,2025-01-21 05:00:00,2025-01-21T05:00:00-05:00,2025-01-21,AMD's Stock Is Trading Near Its 52-Week Low. Is Now the Time to Buy?,"In this video, I will cover the recent updates regarding Advanced Micro Devices (AMD 2.55%). Watch the short video to learn more, consider subscribing, and click the special offer link below.",fool.com,https://www.fool.com/investing/2025/01/21/amds-stock-is-trading-near-its-52-week-low-is-now/,https://images.financialmodelingprep.com/news/amds-stock-is-trading-near-its-52week-low-is-20250121.jpg
AMD,2025-02-04,2025-01-21,2025-02-18,AMD,,2025-01-21 06:15:00,2025-01-21T06:15:00-05:00,2025-01-21,"Prediction: AMD Stock Will Grow Its AI Chip Revenue, but Not as Quickly as Investors Hope","In today's video, I discuss Advanced Micro Devices (AMD 2.55%) and my thoughts for the upcoming year. To learn more, check out the short video, consider subscribing, and click the special offer link below.",fool.com,https://www.fool.com/investing/2025/01/21/prediction-amd-stock-will-grow-its-ai-chip-revenue/,https://images.financialmodelingprep.com/news/prediction-amd-stock-will-grow-its-ai-chip-revenue-20250121.jpg
AMD,2025-02-04,2025-01-21,2025-02-18,AMD,,2025-01-21 07:01:47,2025-01-21T07:01:47-05:00,2025-01-21,Tech Titans in Chips: 3 Semiconductor Stocks Worth Buying Now,"The technology sector, and more specifically, the semiconductor industry, is a foundational element of modern economies and a hotbed of innovation and profit potential. As demand continues to soar from sectors like electric vehicles (EV) and artificial intelligence (AI), identifying the key players within this transformative terrain becomes a vital consideration for investors looking for long-term growth and substantial returns.",marketbeat.com,https://www.marketbeat.com/stock-ideas/tech-titans-in-chips-3-semiconductor-stocks-worth-buying-now/,https://images.financialmodelingprep.com/news/tech-titans-in-chips-3-semiconductor-stocks-worth-buying-20250121.jpg
AMD,2025-02-04,2025-01-21,2025-02-18,AMD,,2025-01-21 09:50:39,2025-01-21T09:50:39-05:00,2025-01-21,Analyst updates AMD stock price target,"Despite the semiconductor industry being a major beneficiary of the ongoing artificial intelligence (AI) boom, with Nvidia (NASDAQ: NVDA) adding more than $2 trillion to its market capitalization and Broadcom (NASDAQ: AVGO) seeing its valuation rocket above $1 trillion in 2024, not all chipmaker stocks enjoyed the upside.",finbold.com,https://finbold.com/analyst-updates-amd-stock-price-target/,https://images.financialmodelingprep.com/news/analyst-updates-amd-stock-price-target-20250121.jpg
AMD,2025-02-04,2025-01-21,2025-02-18,AMD,,2025-01-21 13:02:39,2025-01-21T13:02:39-05:00,2025-01-21,"If You Invested Just $1,845 in AMD Stock 10 Years Ago, Here's How Much You Would Have Today",Advanced Micro Devices (NASDAQ:AMD) is having a shockingly bad year.,247wallst.com,https://247wallst.com/investing/2025/01/21/if-you-invested-just-1845-in-amd-stock-10-years-ago-heres-how-much-you-would-have-today/,https://images.financialmodelingprep.com/news/if-you-invested-just-1845-in-amd-stock-10-20250121.jpg
AMD,2025-02-04,2025-01-21,2025-02-18,AMD,,2025-01-22 07:35:00,2025-01-22T07:35:00-05:00,2025-01-22,Why AMD could surprise Wall Street with better-than-expected earnings,AMD is under heavy pressure to defend its stock-market valuation.,marketwatch.com,https://www.marketwatch.com/story/why-amd-could-surprise-wall-street-with-better-than-expected-earnings-d2c1558c,https://images.financialmodelingprep.com/news/why-amd-could-surprise-wall-street-with-betterthanexpected-earnings-20250122.jpg
AMD,2025-02-04,2025-01-21,2025-02-18,AMD,,2025-01-22 13:22:46,2025-01-22T13:22:46-05:00,2025-01-22,"Analyst Praises AMD-Partner Absci's Practical Approach, Sees 118% Stock Upside","Needham analyst has initiated coverage on Absci Corporation ABSI, a drug and target discovery company that harnesses deep learning AI and synthetic biology to expand proteins' therapeutic potential.",benzinga.com,https://www.benzinga.com/general/health-care/25/01/43138866/analyst-praises-amd-partner-abscis-practical-approach-sees-118-stock-upside,https://images.financialmodelingprep.com/news/analyst-praises-amdpartner-abscis-practical-approach-sees-118-stock-20250122.jpg
AMD,2025-02-04,2025-01-21,2025-02-18,AMD,,2025-01-22 13:52:43,2025-01-22T13:52:43-05:00,2025-01-22,"Himax To Gain Big As TSMC, Nvidia and AMD Advance Silicon Photonics and COUPE Tech: Analyst","TF International Securities analyst Ming-Chi Kuo previously predicted Himax Technologies, Inc HIMX as a potential supplier for Taiwan Semiconductor Manufacturing Co TSM.",benzinga.com,https://www.benzinga.com/25/01/43139681/himax-to-gain-big-as-tsmc-nvidia-and-amd-advance-silicon-photonics-and-coupe-tech-analyst,https://images.financialmodelingprep.com/news/himax-to-gain-big-as-tsmc-nvidia-and-amd-20250122.jpg
AMD,2025-02-04,2025-01-21,2025-02-18,AMD,,2025-01-22 13:59:05,2025-01-22T13:59:05-05:00,2025-01-22,"Intel Vs. AMD: Server Battle, AI Race Frame Earnings Test",The semiconductor showdown between Intel Corp INTC and Advanced Micro Devices Inc AMD is reaching a critical juncture as both companies prepare to report their fourth quarter earnings.,benzinga.com,https://www.benzinga.com/analyst-ratings/analyst-color/25/01/43139850/intel-vs-amd-server-battle-ai-race-frame-earnings-test,https://images.financialmodelingprep.com/news/intel-vs-amd-server-battle-ai-race-frame-earnings-20250122.jpg
