ticker,earnings_date,announce_timing,eps_est,eps_actual,revenue_est,revenue_actual,event_datetime_et_placeholder
AMZN,2021-02-02,amc,0.36,0.7,120761622016.0,125555000000.0,2021-02-02T16:30:00-05:00
AMZN,2021-04-29,amc,0.48,0.79,92624208018.0,108518000000.0,2021-04-29T16:30:00-04:00
AMZN,2021-07-29,amc,0.62,0.76,111678000000.0,113080000000.0,2021-07-29T16:30:00-04:00
AMZN,2021-10-28,amc,0.45,0.31,137634000000.0,110812000000.0,2021-10-28T16:30:00-04:00
AMZN,2022-02-03,amc,0.19,1.39,137681864590.0,137412000000.0,2022-02-03T16:30:00-05:00
AMZN,2022-04-28,amc,0.44,0.21,116450273046.0,116444000000.0,2022-04-28T16:30:00-04:00
AMZN,2022-07-28,amc,0.15,0.1,118999465993.0,121234000000.0,2022-07-28T16:30:00-04:00
AMZN,2022-10-27,amc,0.22,0.2,127307504866.0,127101000000.0,2022-10-27T16:30:00-04:00
AMZN,2023-02-02,amc,0.15,0.21,145712886275.0,149204000000.0,2023-02-02T16:30:00-05:00
AMZN,2023-04-27,amc,0.21,0.31,124551000000.0,127358000000.0,2023-04-27T16:30:00-04:00
AMZN,2023-08-03,amc,0.35,0.65,119573000000.0,134383000000.0,2023-08-03T16:30:00-04:00
AMZN,2023-10-26,amc,0.58,0.94,133393000000.0,143083000000.0,2023-10-26T16:30:00-04:00
AMZN,2024-02-01,amc,0.8,1.0,166172000000.0,169961000000.0,2024-02-01T16:30:00-05:00
AMZN,2024-04-30,amc,0.83,0.98,142654161020.0,143313000000.0,2024-04-30T16:30:00-04:00
AMZN,2024-08-01,amc,1.03,1.26,148665347243.0,147977000000.0,2024-08-01T16:30:00-04:00
AMZN,2024-10-31,amc,1.14,1.43,157275157418.0,158877000000.0,2024-10-31T16:30:00-04:00
AMZN,2025-02-06,amc,1.49,1.86,187337375136.0,187792000000.0,2025-02-06T16:30:00-05:00
AMZN,2025-05-01,amc,1.37,1.59,155148014892.0,155667000000.0,2025-05-01T16:30:00-04:00
AMZN,2025-07-31,amc,1.31,1.68,161776404970.0,167702000000.0,2025-07-31T16:30:00-04:00
AMZN,2025-10-30,amc,1.57,1.95,177913214900.0,180169000000.0,2025-10-30T16:30:00-04:00
