ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
AMZN,2024-04-30,2024-04-23,2024-05-14,AMZN,,2024-04-28 10:00:00,2024-04-28T10:00:00-04:00,2024-04-28,"Amazon.com Stock Has 20% Upside, According to 1 Wall Street Analyst",BMO Capital analyst Brian Pitz raised his price target to $215 ahead of earnings on Tuesday. Pitz predicts Amazon will see better-than-expected growth in both e-commerce sales and at AWS as well.,fool.com,https://www.fool.com/investing/2024/04/28/wall-street-analyst-gives-amazon-stock-20-upside/,https://images.financialmodelingprep.com/news/amazoncom-stock-has-20-upside-according-to-1-wall-20240428.jpg
AMZN,2024-04-30,2024-04-23,2024-05-14,AMZN,,2024-04-28 10:01:00,2024-04-28T10:01:00-04:00,2024-04-28,"The most jam-packed earnings week for the quarter lies ahead, led by these two market bellwethers","This week, 175 companies in the S&P 500 index report quarterly results, making it the busiest for the U.S. earnings reporting season overall. But amid the stampede, much of Wall Street's attention will be on two of the massive companies that can make or break any given quarter for markets overall — Apple Inc. and Amazon.com Inc.",marketwatch.com,https://www.marketwatch.com/story/the-most-jam-packed-earnings-week-for-the-quarter-lies-ahead-led-by-these-two-market-bellwethers-97af6b4f,https://images.financialmodelingprep.com/news/the-most-jampacked-earnings-week-for-the-quarter-lies-20240428.jpg
AMZN,2024-04-30,2024-04-23,2024-05-14,AMZN,,2024-04-28 11:05:00,2024-04-28T11:05:00-04:00,2024-04-28,One Third of Billionaire David Tepper's Portfolio Is Made Up of These 3 Magnificent Seven Stocks,"Amazon is expanding its industries, which could help against e-commerce or cloud downturns. Microsoft's strategic partnership with OpenAI should help bolster its software offerings.",fool.com,https://www.fool.com/investing/2024/04/28/one-third-of-billionaire-david-teppers-portfolio-i/,https://images.financialmodelingprep.com/news/one-third-of-billionaire-david-teppers-portfolio-is-made-20240428.jpg
AMZN,2024-04-30,2024-04-23,2024-05-14,AMZN,,2024-04-28 16:00:00,2024-04-28T16:00:00-04:00,2024-04-28,"Apple and Amazon Earnings, the Fed, Jobs Data, and More to Watch","Earnings season gets busy. Plus, the Federal Reserve is expected to hold interest rates steady and jobs growth is expected to decelerate in April.",barrons.com,https://www.barrons.com/articles/apple-amd-amazon-earnings-fed-rate-decision-jobs-data-ac49c8d4,https://images.financialmodelingprep.com/news/apple-and-amazon-earnings-the-fed-jobs-data-and-20240428.jpg
AMZN,2024-04-30,2024-04-23,2024-05-14,AMZN,,2024-04-29 03:04:32,2024-04-29T03:04:32-04:00,2024-04-29,'It's a miracle': Cat survives week trapped inside Amazon return box to California,A cat from Utah has been found in a Californian Amazon warehouse after being accidentally shipped in a return box by her owners.,news.sky.com,https://news.sky.com/story/utah-pet-cat-found-after-week-trapped-inside-amazon-return-box-to-california-13125558,https://images.financialmodelingprep.com/news/its-a-miracle-cat-survives-week-trapped-inside-amazon-20240429.jpg
AMZN,2024-04-30,2024-04-23,2024-05-14,AMZN,,2024-04-29 04:05:00,2024-04-29T04:05:00-04:00,2024-04-29,Here's Exactly How Amazon Stock Could Double Again by 2030,Amazon will probably need external help doubling over the next six and a half years. The company's key growth drivers include AI and expanding into new markets.,fool.com,https://www.fool.com/investing/2024/04/29/heres-exactly-how-amazon-stock-could-double-again/,https://images.financialmodelingprep.com/news/heres-exactly-how-amazon-stock-could-double-again-by-20240429.jpg
AMZN,2024-04-30,2024-04-23,2024-05-14,AMZN,,2024-04-29 05:06:00,2024-04-29T05:06:00-04:00,2024-04-29,4 Artificial Intelligence (AI) Stocks Members of Congress Can't Stop Buying (and Nvidia Isn't 1 of Them!),Productivity gains and consumption-side effects traced back to the artificial intelligence (AI) revolution can add $15.7 trillion to the global economy by 2030. Select lawmakers on Capitol Hill have been eagerly buying shares of four AI stocks.,fool.com,https://www.fool.com/investing/2024/04/29/4-ai-stocks-congress-cant-stop-buying-nvidia-not-1/,https://images.financialmodelingprep.com/news/4-artificial-intelligence-ai-stocks-members-of-congress-cant-20240429.jpg
AMZN,2024-04-30,2024-04-23,2024-05-14,AMZN,,2024-04-29 05:08:00,2024-04-29T05:08:00-04:00,2024-04-29,"SoFi, ON Semiconductor, Amazon, Super Micro, and Other Tech Stocks in Focus Today",Tech stocks are rising to start a busy week of earnings as the sector looks to end a difficult month in style.,barrons.com,https://www.barrons.com/articles/sofi-amazon-super-micro-tech-stocks-today-0b3f2446,https://images.financialmodelingprep.com/news/sofi-on-semiconductor-amazon-super-micro-and-other-tech-20240429.jpg
AMZN,2024-04-30,2024-04-23,2024-05-14,AMZN,,2024-04-29 05:10:00,2024-04-29T05:10:00-04:00,2024-04-29,Nasdaq Bull Market: Here's the Best Investing Move You Can Make Right Now,"The Nasdaq this year rose to a new record, confirming a bull market. Excitement about artificial intelligence stocks and positive economic news have driven market optimism.",fool.com,https://www.fool.com/investing/2024/04/29/nasdaq-bull-market-best-investing-move/,https://images.financialmodelingprep.com/news/nasdaq-bull-market-heres-the-best-investing-move-you-20240429.jpg
AMZN,2024-04-30,2024-04-23,2024-05-14,AMZN,,2024-04-29 05:53:57,2024-04-29T05:53:57-04:00,2024-04-29,Shopify Direct Sales Should Win As Amazon Shifts Toward 'Pay To Play' Model,"As Amazon transitions toward a ""Pay to Play"" vendor ad model, its value to vendors and customers is increasingly compromised, expanding the potential for direct sales. Shopify's highly integrated platform with social media reach makes it far more valuable for vendors and potentially more valuable for customers than Amazon. If Shopify cut its R&D and marketing while continuing its sales growth, the company could earn an EPS of ~$5 by 2030, making it fairly valued today.",seekingalpha.com,https://seekingalpha.com/article/4687164-shopify-direct-sales-win-as-amazon-shifts-toward-pay-to-play-model,https://images.financialmodelingprep.com/news/shopify-direct-sales-should-win-as-amazon-shifts-toward-pay-20240429.jpg
