ticker,earnings_date,px_-10,px_-5,px_-1,px_+0,px_+1,px_+5,px_+10,pct_m10_p10,logpct_m10_p10,pct_m5_p5,logpct_m5_p5,pct_m1_p1,logpct_m1_p1,pct_p0_p1,logpct_p0_p1,pct_p0_p5,logpct_p0_p5,pct_p0_p10,logpct_p0_p10,car_simple_m10_p10_pct,car_mm_1y_m10_p10_pct,car_mm_1q_m10_p10_pct,car_simple_m5_p5_pct,car_mm_1y_m5_p5_pct,car_mm_1q_m5_p5_pct,car_simple_m1_p1_pct,car_mm_1y_m1_p1_pct,car_mm_1q_m1_p1_pct,car_simple_p0_p1_pct,car_mm_1y_p0_p1_pct,car_mm_1q_p0_p1_pct,car_simple_p0_p5_pct,car_mm_1y_p0_p5_pct,car_mm_1q_p0_p5_pct,car_simple_p0_p10_pct,car_mm_1y_p0_p10_pct,car_mm_1q_p0_p10_pct,announce_timing,pre_close_date,day0_date,dt_m10,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays,event_date_dt,sur_period_end,sur_quarter_rank,sur_actual_revenue,sur_actual_ebitda,sur_actual_ebit,sur_actual_netIncome,sur_actual_eps,sur_est_revenue,sur_est_ebitda,sur_est_ebit,sur_est_netIncome,sur_est_eps,sur_surprise_revenue,sur_surprise_revenue_pct,sur_surprise_ebitda,sur_surprise_ebitda_pct,sur_surprise_ebit,sur_surprise_ebit_pct,sur_surprise_netIncome,sur_surprise_netIncome_pct,sur_surprise_eps,sur_surprise_eps_pct,sur_period_end_dt,gro_symbol,gro_date,gro_fiscalYear,gro_period,gro_reportedCurrency,gro_growthRevenue,gro_growthCostOfRevenue,gro_growthGrossProfit,gro_growthGrossProfitRatio,gro_growthResearchAndDevelopmentExpenses,gro_growthGeneralAndAdministrativeExpenses,gro_growthSellingAndMarketingExpenses,gro_growthOtherExpenses,gro_growthOperatingExpenses,gro_growthCostAndExpenses,gro_growthInterestIncome,gro_growthInterestExpense,gro_growthDepreciationAndAmortization,gro_growthEBITDA,gro_growthOperatingIncome,gro_growthIncomeBeforeTax,gro_growthIncomeTaxExpense,gro_growthNetIncome,gro_growthEPS,gro_growthEPSDiluted,gro_growthWeightedAverageShsOut,gro_growthWeightedAverageShsOutDil,gro_growthEBIT,gro_growthNonOperatingIncomeExcludingInterest,gro_growthNetInterestIncome,gro_growthTotalOtherIncomeExpensesNet,gro_growthNetIncomeFromContinuingOperations,gro_growthOtherAdjustmentsToNetIncome,gro_growthNetIncomeDeductions,gro_period_end_dt,gro_period_end,est_date_x,est_symbol,est_estimate_date_raw,est_revenueLow,est_revenueHigh,est_revenueAvg,est_ebitdaLow,est_ebitdaHigh,est_ebitdaAvg,est_ebitLow,est_ebitHigh,est_ebitAvg,est_netIncomeLow,est_netIncomeHigh,est_netIncomeAvg,est_sgaExpenseLow,est_sgaExpenseHigh,est_sgaExpenseAvg,est_epsAvg,est_epsHigh,est_epsLow,est_numAnalystsRevenue,est_numAnalystsEps,est_period_end_dt,est_period_end
AVGO,2021-03-04,44.07716369628906,42.26985168457031,39.90568542480469,40.49493408203125,37.895965576171875,40.587589263916016,43.01642227172851,-2.406555539438804,-2.435986223715904,-3.979816236895783,-4.061176908683453,-5.036174237427349,-5.167414834981824,-6.41800898007292,-6.6332224649756295,0.2288068470418292,0.2285454827791909,6.226675624633526,6.040507418475627,-1.5766128154010477,-4.144525592676579,-3.753651836678458,-6.856728689327009,-9.015276817259505,-9.974475390798691,-6.355079423507208,-6.973672943708956,-7.412236655853939,-5.882085877056797,-5.866324250489647,-5.656464233613069,-1.967065244094069,-3.275391043301918,-4.057384283574398,4.839132266361855,3.106512956103154,2.7096253336307132,amc,2021-03-04,2021-03-05,2021-02-19,2021-02-26,2021-03-04,2021-03-08,2021-03-12,2021-03-19,2021-02-19,2021-03-19,10,10,2021-03-04,2021-01-31,1,6655000000,3487000000,1954000000,1378000000,0.32,6617570584,3124454886,1451421052,1259293232,0.65626,37429416,0.5656066002604802,362545114,11.603467716064184,502578948,34.62668171358452,118706768,9.426459619057177,-0.3362599999999999,-51.23883826532166,2021-01-31,AVGO,2021-01-31,2021,Q1,USD,0.0290706664604917,-0.00625,0.0547104350146784,0.0249154593960493,0.0245346869712351,-0.1629629629629629,0,-0.1088328075709779,-0.0477262494371904,-0.0248937462052216,0,0.3571428571428571,-0.1128472222222222,0.0614916286149162,0.2038007863695937,0.2172383465259454,1.032085561497326,0.0407854984894259,0.032258064516129,0.0344827586206896,0.0049382411979852,0.0046948059991425,0.2549775208734746,-2.774193548387097,-0.3571428571428571,-0.1645244215938303,0.0407854984894259,0.0,0,2021-01-31,2021-01-31,2021-01-31,AVGO,2021-02-01,6112109769,6986198009,6617570584,2499563909,3749345864,3124454886,1161136842,1741705263,1451421052,1007434586,1511151879,1259293232,308165413,462248120,385206766,0.65626,0.70378,0.5911,12,11,2021-01-31,2021-01-31
AVGO,2021-06-03,41.25208282470703,42.40171432495117,42.140602111816406,43.06536865234375,42.048126220703125,42.675514221191406,42.02273941040039,1.868164060874511,1.8509282078596707,0.6457283640513456,0.643652470082493,-0.2194460602814918,-0.2196871959881508,-2.362089222671182,-2.3904337892902503,-0.9052620315398774,-0.9093844261099842,-2.421038701329259,-2.4508276269979916,1.812736265001225,1.1075135896877149,6.634413783094419,-0.3733046057116667,-1.0545353725244335,0.924908444076819,-0.9713462158449192,-1.297100071274265,-1.3533307365881226,-2.2824153522260615,-2.2885104163438563,-1.9425822361696912,-1.290378301172721,-1.5858389004290596,-0.4883886254849541,-0.8797096304671873,-0.7119603452811694,3.2929440296258368,amc,2021-06-03,2021-06-04,2021-05-20,2021-05-27,2021-06-03,2021-06-07,2021-06-11,2021-06-18,2021-05-20,2021-06-18,10,10,2021-06-03,2021-05-02,2,6610000000,3456000000,1952000000,1493000000,0.35,6505687779,3460422255,1822998475,1367496950,0.64331,104312221,1.6034003558657406,-4422255,-0.1277952421445168,129001525,7.07633751586106,125503050,9.1775743997089,-0.29331,-45.593881643375674,2021-05-02,AVGO,2021-05-02,2021,Q2,USD,-0.0067618332081141,-0.0554938956714761,0.0265688259109311,0.0335575699209975,0.0222956234516928,-0.0412979351032448,0,-0.0814159292035398,-0.0156028368794326,-0.0379825653798256,0,-0.1824561403508772,-0.0189171559034572,-0.0088901634642959,0.075122482308111,0.0736994219653179,-2.1666666666666665,0.0834542815674891,0.0937499999999999,0.1,0.0049142198911818,0.0023364338957011,-0.0010235414534288,1.1965811965811963,0.1824561403508772,-0.0794701986754966,0.0834542815674891,0.0,0,2021-05-02,2021-05-02,2021-05-02,AVGO,2021-05-01,6008772755,6868082846,6505687779,2768337804,4152506707,3460422255,1458398780,2187598170,1822998475,1093997560,1640996341,1367496950,269132926,403699390,336416158,0.64331,0.6899,0.57943,6,5,2021-05-02,2021-05-02
AVGO,2021-09-02,43.41800308227539,45.31584167480469,44.94669342041016,45.47483825683594,45.37522888183594,45.59178924560547,45.21349334716797,4.135358923555721,4.052139501088423,0.6089428345633197,0.6070962702401773,0.9534304501945368,0.9489139869414208,-0.2190428351551698,-0.2192830848706405,0.2571773606076633,0.2568472255342559,-0.5747022302573734,-0.5763599980615853,6.0144929555666815,6.751440470432124,6.747936232660205,1.52480692019141,1.8793598280857295,1.8920196498685964,1.329064859938312,1.4767931547666762,1.3997974780398017,0.1205146054430105,0.2551986665314047,0.1537353471505996,1.7393899142472646,2.324894103279807,1.9085950732298056,3.4374742518107655,5.011735489978864,3.761658864486199,amc,2021-09-02,2021-09-03,2021-08-20,2021-08-27,2021-09-02,2021-09-07,2021-09-13,2021-09-20,2021-08-20,2021-09-20,10,10,2021-09-02,2021-08-01,3,6778000000,3644000000,2141000000,1876000000,0.44,6755170664,3353878693,1916640746,1448883359,0.68801,22829336,0.337953504589651,290121307,8.650322016879219,224359254,11.70585851669043,427116641,29.479021782318643,-0.24801,-36.04744117091322,2021-08-01,AVGO,2021-08-01,2021,Q3,USD,0.0254160363086232,0.0109674892283587,0.0345082573330046,0.0088668605925747,-0.0266558966074313,0.0646153846153846,0,0.001926782273603,-0.005283381364073,0.0036677454153182,0,-0.1094420600858369,-0.0006648936170212,0.0543981481481481,0.0764556962025316,0.161507402422611,-20.428571428571427,0.2565304755525787,0.2571428571428572,0.2727272727272726,0.0048899445424194,0.0,0.0968237704918032,-1.6521739130434785,0.1094420600858369,0.1820040899795501,0.2565304755525787,0.0,0,2021-08-01,2021-08-01,2021-08-01,AVGO,2021-08-01,6239199731,7131463011,6755170664,2683102954,4024654431,3353878693,1533312597,2299968895,1916640746,1159106687,1738660031,1448883359,252317262,378475894,315396578,0.68801,0.73783,0.61969,12,8,2021-08-01,2021-08-01
AVGO,2021-12-09,50.3099479675293,51.37120819091797,53.69989776611328,58.14191055297851,57.21963119506836,58.44380569458008,62.459964752197266,24.15032667596824,21.632295726321228,13.767629286383976,12.898784257182625,6.554450893528818,6.3485944499925,-1.5862556788012183,-1.598971362299248,0.5192384266879069,0.5178950322426649,7.426749754437756,7.163903168960956,18.019118095347768,15.5603378167178,13.422477984197798,11.643779260549888,10.571673545945844,9.4204193136777,6.644374127596629,6.597748239355656,6.279671598349795,-0.6726389176444442,-0.2219765527082903,-0.629098516550638,2.617563598048578,3.5319733717965445,2.1971589158098026,5.64638403060386,4.638126410655518,3.453453416608432,amc,2021-12-09,2021-12-10,2021-11-26,2021-12-03,2021-12-09,2021-12-13,2021-12-17,2021-12-27,2021-11-26,2021-12-27,10,10,2021-12-09,2021-10-31,4,7407000000,4104000000,2603000000,1989000000,0.46,7356459805,3456039933,2016339434,1779234608,0.77393,50540195,0.6870178909378273,647960067,18.7486278967136,586660566,29.0953277066147,209765392,11.78964207737578,-0.31393,-40.56310002196581,2021-10-31,AVGO,2021-10-31,2021,Q4,USD,0.0928002360578341,0.0728399845021309,0.1050750536097212,0.0112324439450117,-0.0041493775933609,-0.0260115606936416,0,0.0,-0.0067600193143408,0.0374032674118658,0,-0.0096385542168674,-0.0013306719893546,0.1262349066959385,0.2140169332079021,0.2566628041714948,2.2,0.0602345415778251,0.0454545454545455,0.0714285714285715,0.0024330746710009,0.0023309876970353,0.2157870154133582,-0.4666666666666667,0.0096385542168674,-0.03,0.0602345415778251,0.0,0,2021-10-31,2021-10-31,2021-10-31,AVGO,2021-11-01,6794561429,7766246569,7356459805,2764831946,4147247920,3456039933,1613071547,2419607321,2016339434,1423387687,2135081529,1779234608,262522462,393783693,328153077,0.77393,0.82997,0.69708,8,8,2021-10-31,2021-10-31
AVGO,2022-03-03,53.63398361206055,54.468597412109375,53.59693145751953,55.207801818847656,52.86512756347656,53.52745056152344,56.543548583984375,5.42485337835239,5.282822287621757,-1.727870544316057,-1.7429724410415872,-1.365383939233522,-1.3747910325140753,-4.243375353103296,-4.336037340788074,-3.0436844104714145,-3.090966367199284,2.4194891322057765,2.3906832064782666,3.698894564774683,1.8017829314584304,-1.0001217709700123,2.6559470735088095,4.362195169199697,3.07443963870348,2.507371948214385,4.362484281441796,4.169481990206549,-1.291559521758373,0.193628118059079,0.1209035344712707,-0.0715461316912483,1.1909351545263265,0.5645117623511541,-0.4791057108025248,-2.536724302072341,-3.984965411404915,amc,2022-03-03,2022-03-04,2022-02-17,2022-02-25,2022-03-03,2022-03-07,2022-03-11,2022-03-18,2022-02-17,2022-03-18,10,10,2022-03-03,2022-01-30,5,7706000000,4381000000,3094000000,2472000000,0.58,7606374830,4066883720,2557657622,1971011627,0.81276,99625170,1.3097588828658868,314116280,7.723758573554693,536342378,20.970061566747106,500988373,25.41782940989216,-0.23276,-28.63822038486147,2022-01-30,AVGO,2022-01-30,2022,Q1,USD,0.0403672201971108,-0.0404478150957024,0.0886157826649417,0.0463764731615492,0.005,-0.0474777448071216,0,-0.2365384615384615,-0.064657267865824,-0.0507666804807293,0,-0.0097323600973236,-0.1425716189207195,0.067495126705653,0.2115459124370399,0.2388197325956662,0.1944444444444444,0.2428355957767722,0.2608695652173912,0.2444444444444445,-0.0025000447906533,-0.0048197807495029,0.1886285055704955,2.5,0.0097323600973236,-0.0679611650485436,0.2428355957767722,0.0,0,2022-01-30,2022-01-30,2022-01-30,AVGO,2022-02-01,7025387537,8030082946,7606374830,3253506976,4880260465,4066883720,2046126098,3069189147,2557657622,1576809302,2365213953,1971011627,267161757,400742635,333952196,0.81276,0.87162,0.73206,10,10,2022-01-30,2022-01-30
AVGO,2022-05-26,54.85837173461914,50.657081604003906,51.353721618652344,54.395809173583984,54.102046966552734,52.33946228027344,48.27245330810547,-12.005311529065189,-12.789373161635115,3.321116461901652,3.2671588045486506,5.3517549678467,5.213461257467753,-0.54004566067547,-0.5415091787422379,-3.7803406632825,-3.853649018535111,-11.257036081471094,-11.942604056659857,-5.206502872557149,-5.185425604239549,-5.008996752978012,-2.001611363624456,-4.821610558808675,-4.233414735966114,3.5369567147143037,2.742659948527108,2.9009783713682222,0.0873912010904365,0.1813083525048013,0.173726581515371,-2.9625757809734803,-3.216078185104271,-3.1262619747307783,-1.577812142548237,0.5880586206844828,0.2955588378074051,amc,2022-05-26,2022-05-27,2022-05-13,2022-05-20,2022-05-26,2022-05-31,2022-06-06,2022-06-13,2022-05-13,2022-06-13,10,10,2022-05-26,2022-05-01,6,8103000000,4572000000,3308000000,2590000000,0.62,7911628296,4212917079,2988757425,2377158415,0.87134,191371704,2.418866216158748,359082921,8.523379745352923,319242575,10.681448160685038,212841585,8.953613846555532,-0.25134,-28.845226891913605,2022-05-01,AVGO,2022-05-01,2022,Q2,USD,0.0515182974305735,0.0026345502446368,0.077243018419489,0.0244643589275813,0.0456053067993366,0.146417445482866,0,0.0025188916876574,0.0535343035343035,0.0240122244051517,0,0.2727272727272727,-0.0178710178710178,0.0435973522026934,0.0914614646626159,0.0383327130628954,-0.0697674418604651,0.0477346278317152,0.0689655172413793,0.0535714285714284,-0.0072269417475728,-0.0091780885780885,0.0691661279896574,2.1818181818181817,-0.2727272727272727,-0.4159090909090909,0.0477346278317152,0.0,0,2022-05-01,2022-05-01,2022-05-01,AVGO,2022-05-01,7307325247,8352340356,7911628296,3370333663,5055500495,4212917079,2391005940,3586508910,2988757425,1901726732,2852590099,2377158415,246947524,370421287,308684405,0.87134,0.93444,0.78482,7,9,2022-05-01,2022-05-01
AVGO,2022-09-01,51.56975936889648,48.97731399536133,46.26449966430664,47.036495208740234,46.846561431884766,49.74837493896485,47.18883514404297,-8.495141878625478,-8.877812089339173,1.5743226418593492,1.5620587311747225,1.2581175021918467,1.250268964603913,-0.4038008699682516,-0.4046183470764239,5.765480013316759,5.605400432998498,0.3238760341872204,0.3233526854559024,-0.5107458069284736,0.1056304399882046,3.82018268033322,0.3183812776582367,-1.008499816099479,1.3275306696788116,2.74801129552946,3.0269896024689307,3.334806664060964,0.0057048284152443,0.0420392682934404,0.2261518839959357,0.9822354830443524,-0.9232069097495283,0.6084711062879458,1.0015135761312972,0.2412564924499416,2.411377354571445,amc,2022-09-01,2022-09-02,2022-08-19,2022-08-26,2022-09-01,2022-09-06,2022-09-12,2022-09-19,2022-08-19,2022-09-19,10,10,2022-09-01,2022-07-31,7,8464000000,4960000000,3743000000,3074000000,0.74,8410775320,3689266562,2108304820,1593771694,0.95592,53224680,0.632815382351695,1270733438,34.44406677166528,1634695180,77.53599785442789,1480228306,92.87580596220576,-0.21592,-22.587664239685328,2022-07-31,AVGO,2022-07-31,2022,Q3,USD,0.0445514007157842,0.0446696696696696,0.0444934730649016,-5.545690816426636e-05,-0.0047581284694686,-0.1222826086956521,0,-0.0979899497487437,-0.0444005920078934,0.0061820507354508,0,-0.2162162162162162,-0.0371835443037974,0.0848643919510061,0.0949311456196894,0.1960573476702509,0.315,0.1868725868725868,0.1935483870967742,0.1864406779661016,-0.0073528962343147,0.0141510920979639,0.1314993954050786,-1.0571428571428572,0.2162162162162162,0.3579454253611557,0.1868725868725868,0.0,0,2022-07-31,2022-07-31,2022-07-31,AVGO,2022-08-01,7768346608,8879292038,8410775320,2951413249,4427119875,3689266562,1686643856,2529965784,2108304820,1275017355,1912526034,1593771694,277548988,416323483,346936235,0.95592,1.02514,0.861,15,16,2022-07-31,2022-07-31
AVGO,2022-12-08,50.24612808227539,51.27872085571289,50.3570671081543,51.65040588378906,52.77971649169922,52.71144104003906,52.81852722167969,5.11959674821536,4.992853263178873,2.793985810132682,2.7556661529076107,4.810942182835398,4.698799059005012,2.1864505972151616,2.162890566570026,2.0542629590119432,2.033447563401055,2.261591787911299,2.2363969628190468,9.871510349389746,9.770524530943446,9.132441123549368,8.402261368574857,9.346057513750734,9.014091941271955,4.0618149839859194,3.7023263355324825,3.6430594018964895,0.7585209754042297,0.2463421842032669,0.2210297339052588,4.1884888119572565,4.453809000937105,4.2905113347331305,4.625425814415293,4.576391768348184,4.257331102201627,amc,2022-12-08,2022-12-09,2022-11-25,2022-12-02,2022-12-08,2022-12-12,2022-12-16,2022-12-23,2022-11-25,2022-12-23,10,10,2022-12-08,2022-10-30,8,8930000000,5242000000,4026000000,3359000000,0.81,8901091151,3801643926,2217973377,1957158069,1.02807,28908849,0.324778709818652,1440356074,37.88771652571651,1808026623,81.51705704626228,1401841931,71.62640326318987,-0.2180699999999999,-21.211590650442087,2022-10-30,AVGO,2022-10-30,2022,Q4,USD,0.0550567107750472,0.0794107078692059,0.043126210174265,-0.0113079235169693,-0.046215139442231,0.1455108359133126,0,-0.0027855153203342,-0.0061951471347444,0.0442796610169491,0,0.0,-0.000821692686935,0.0568548387096774,0.0666309874230666,0.0848067126161222,-0.0076045627376425,0.0927130774235523,0.0945945945945946,0.1,0.0122778715072103,-0.0048197807495029,0.0756078012289607,-5.666666666666667,0.0,0.085,0.0927130774235523,0.0,0,2022-10-30,2022-10-30,2022-10-30,AVGO,2022-11-01,8221211318,9396920590,8901091151,3041315140,4561972712,3801643926,1774378701,2661568053,2217973377,1565726455,2348589683,1957158069,288774708,433162062,360968385,1.02807,1.10252,0.92599,9,10,2022-10-30,2022-10-30
AVGO,2023-03-02,57.41839218139648,55.23940658569336,57.2376823425293,60.498985290527344,60.514278411865234,58.78466796875,60.32784652709961,5.067112183342881,4.942912364222779,6.417993244653797,6.220448606429771,5.724543579049368,5.56668803032031,0.0252783104781828,0.0252751160515997,-2.8336298758481204,-2.8745520765832,-0.2828787335951044,-0.2832795916245916,9.481371397757512,8.908822185955007,6.015054211427981,9.14644555996883,9.012210378689833,7.571012396114174,4.039612872109024,3.451484263173896,3.1422537318312433,-0.0434383665047361,-0.1425768102204028,-0.2899021945943449,1.7753954850360316,2.530367224583786,1.8405129154525164,2.970023874748487,2.9495906680364787,1.5126486773687224,amc,2023-03-02,2023-03-03,2023-02-16,2023-02-24,2023-03-02,2023-03-06,2023-03-10,2023-03-17,2023-02-16,2023-03-17,10,10,2023-03-02,2023-01-29,9,8915000000,5278000000,4246000000,3774000000,0.9,8895846962,4473572092,2813423384,2168112790,1.01666,19153038,0.2153031418122995,804427908,17.981780363806866,1432576616,50.919339909773065,1605887210,74.06843488064105,-0.1166599999999998,-11.474829343143222,2023-01-29,AVGO,2023-01-29,2023,Q1,USD,-0.0016797312430011,-0.0309587217043941,0.0131623354708066,0.0148670392220371,-0.0016708437761069,-0.0594594594594594,0,0.0,-0.0124675324675324,-0.0237370663420572,0,0.0,-0.1513157894736842,0.0068676077832888,0.0293527345709984,0.0607734806629834,-0.7471264367816092,0.1235486752009526,0.111111111111111,0.1428571428571428,0.0170316301703163,0.0,0.0546448087431694,-2.575,0.0,0.2814207650273224,0.1235486752009526,0.0,0,2023-01-29,2023-01-29,2023-01-29,AVGO,2023-02-01,8216367689,9391384277,8895846962,3578857673,5368286510,4473572092,2250738707,3376108061,2813423384,1734490232,2601735348,2168112790,293877932,440816898,367347415,1.01666,1.09028,0.91571,15,8,2023-01-29,2023-01-29
AVGO,2023-06-01,65.28140258789062,70.18302154541016,76.07174682617188,78.19512176513672,77.26103210449219,77.48445129394531,83.59849548339844,28.05866934437702,24.7318327172248,10.403413229809356,9.897086431366388,1.5633731680145146,1.5512783845612732,-1.1945625757193934,-1.2017548089909913,-0.9088424637612836,-0.9129976319969902,6.910116125262955,6.681825923318178,21.034568443188466,17.04114288778264,12.294611440456023,7.093243794094109,4.831554527937529,2.330604362555656,0.3436324391729087,-0.2490690741203921,-0.816896261259674,-0.994204412127616,-1.0790113391532157,-1.260988130926596,-1.2703149987637867,-2.0497685940193273,-3.130918583940196,4.056910364086537,1.9427404856494104,-0.4871243892089774,amc,2023-06-01,2023-06-02,2023-05-18,2023-05-25,2023-06-01,2023-06-05,2023-06-09,2023-06-16,2023-05-18,2023-06-16,10,10,2023-06-01,2023-04-30,10,8733000000,5060000000,4121000000,3481000000,0.84,8703053752,4634208786,3287633167,2614874256,1.01194,29946248,0.3440889698413987,425791214,9.188002389670494,833366833,25.3485346651511,866125744,33.123036108241834,-0.1719400000000001,-16.99112595608436,2023-04-30,AVGO,2023-04-30,2023,Q2,USD,-0.0204150308468872,-0.1006526966678117,0.018487674883411,0.039713457324756,0.0979079497907949,0.2586206896551724,0,-0.0279329608938547,0.103629668595476,-0.0199501246882793,0,-0.0024630541871921,-0.0901162790697674,-0.0413035240621447,-0.023153789909822,-0.0322916666666666,2.560606060606061,-0.0776364599894011,-0.0666666666666667,-0.0681818181818182,-0.0071770334928229,-0.0046620046620046,-0.0294394724446537,0.2097902097902098,0.0024630541871921,-0.1102661596958174,-0.0776364599894011,0.0,0,2023-04-30,2023-04-30,2023-04-30,AVGO,2023-05-01,8038300338,9187851648,8703053752,3707367029,5561050544,4634208786,2630106534,3945159801,3287633167,2091899405,3137849108,2614874256,271642276,407463415,339552845,1.01194,1.08522,0.91146,9,13,2023-04-30,2023-04-30
