ticker,earnings_date,day0_date,phase,n_tokens,n_tokens_raw,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
AVGO,2021-03-04,2021-03-05,post,310.0,563.0,8.0,5.0,3.0,0.0,0.0,5.0,3.0,1.0,0.025806451612903226,0.016129032258064516,0.00967741935483871,0.0,0.0,0.00967741935483871
AVGO,2021-03-04,2021-03-05,pre,473.0,935.0,22.0,9.0,4.0,0.0,0.0,1.0,3.0,3.0,0.046511627906976744,0.019027484143763214,0.008456659619450317,0.0,0.0,0.02748414376321353
AVGO,2021-06-03,2021-06-04,post,226.0,362.0,17.0,3.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0752212389380531,0.01327433628318584,0.02654867256637168,0.0,0.0,0.061946902654867256
AVGO,2021-06-03,2021-06-04,pre,255.0,451.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.01568627450980392,0.00392156862745098,0.00784313725490196,0.0,0.0,0.011764705882352941
AVGO,2021-09-02,2021-09-03,post,318.0,559.0,9.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.02830188679245283,0.009433962264150943,0.009433962264150943,0.0,0.0,0.018867924528301886
AVGO,2021-09-02,2021-09-03,pre,278.0,521.0,6.0,7.0,2.0,2.0,0.0,1.0,0.0,2.0,0.02158273381294964,0.025179856115107913,0.007194244604316547,0.007194244604316547,0.0,-0.0035971223021582736
AVGO,2021-12-09,2021-12-10,post,264.0,490.0,5.0,2.0,4.0,0.0,0.0,1.0,3.0,0.0,0.01893939393939394,0.007575757575757576,0.015151515151515152,0.0,0.0,0.011363636363636364
AVGO,2021-12-09,2021-12-10,pre,238.0,401.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.008403361344537815,0.0,0.004201680672268907,0.0,0.0,0.008403361344537815
AVGO,2022-03-03,2022-03-04,post,184.0,309.0,5.0,5.0,5.0,0.0,0.0,0.0,3.0,1.0,0.02717391304347826,0.02717391304347826,0.02717391304347826,0.0,0.0,0.0
AVGO,2022-03-03,2022-03-04,pre,174.0,292.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.017241379310344827,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218
AVGO,2022-05-26,2022-05-27,post,407.0,804.0,17.0,5.0,10.0,6.0,1.0,9.0,7.0,0.0,0.04176904176904177,0.012285012285012284,0.02457002457002457,0.014742014742014743,0.002457002457002457,0.029484029484029485
AVGO,2022-05-26,2022-05-27,pre,637.0,1211.0,14.0,7.0,19.0,6.0,1.0,11.0,10.0,4.0,0.02197802197802198,0.01098901098901099,0.029827315541601257,0.009419152276295133,0.0015698587127158557,0.01098901098901099
AVGO,2022-09-01,2022-09-02,post,294.0,542.0,10.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0,0.034013605442176874,0.017006802721088437,0.006802721088435374,0.0,0.003401360544217687,0.017006802721088437
AVGO,2022-09-01,2022-09-02,pre,315.0,498.0,3.0,2.0,5.0,0.0,0.0,1.0,3.0,2.0,0.009523809523809525,0.006349206349206349,0.015873015873015872,0.0,0.0,0.0031746031746031746
AVGO,2022-12-08,2022-12-09,post,500.0,914.0,20.0,20.0,6.0,7.0,1.0,3.0,4.0,0.0,0.04,0.04,0.012,0.014,0.002,0.0
AVGO,2022-12-08,2022-12-09,pre,298.0,505.0,5.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.016778523489932886,0.013422818791946308,0.013422818791946308,0.0,0.0,0.003355704697986577
AVGO,2023-03-02,2023-03-03,post,599.0,1004.0,21.0,8.0,10.0,0.0,0.0,4.0,5.0,1.0,0.035058430717863104,0.01335559265442404,0.01669449081803005,0.0,0.0,0.021702838063439065
AVGO,2023-03-02,2023-03-03,pre,146.0,273.0,9.0,4.0,1.0,4.0,0.0,2.0,1.0,0.0,0.06164383561643835,0.0273972602739726,0.00684931506849315,0.0273972602739726,0.0,0.03424657534246575
