date_x,symbol,date_y,revenueLow,revenueHigh,revenueAvg,ebitdaLow,ebitdaHigh,ebitdaAvg,ebitLow,ebitHigh,ebitAvg,netIncomeLow,netIncomeHigh,netIncomeAvg,sgaExpenseLow,sgaExpenseHigh,sgaExpenseAvg,epsAvg,epsHigh,epsLow,numAnalystsRevenue,numAnalystsEps
2021-01-31,AVGO,2021-02-01,6112109769,6986198009,6617570584,2499563909,3749345864,3124454886,1161136842,1741705263,1451421052,1007434586,1511151879,1259293232,308165413,462248120,385206766,0.65626,0.70378,0.5911,12,11
2021-05-02,AVGO,2021-05-01,6008772755,6868082846,6505687779,2768337804,4152506707,3460422255,1458398780,2187598170,1822998475,1093997560,1640996341,1367496950,269132926,403699390,336416158,0.64331,0.6899,0.57943,6,5
2021-08-01,AVGO,2021-08-01,6239199731,7131463011,6755170664,2683102954,4024654431,3353878693,1533312597,2299968895,1916640746,1159106687,1738660031,1448883359,252317262,378475894,315396578,0.68801,0.73783,0.61969,12,8
2021-10-31,AVGO,2021-11-01,6794561429,7766246569,7356459805,2764831946,4147247920,3456039933,1613071547,2419607321,2016339434,1423387687,2135081529,1779234608,262522462,393783693,328153077,0.77393,0.82997,0.69708,8,8
2022-01-30,AVGO,2022-02-01,7025387537,8030082946,7606374830,3253506976,4880260465,4066883720,2046126098,3069189147,2557657622,1576809302,2365213953,1971011627,267161757,400742635,333952196,0.81276,0.87162,0.73206,10,10
2022-05-01,AVGO,2022-05-01,7307325247,8352340356,7911628296,3370333663,5055500495,4212917079,2391005940,3586508910,2988757425,1901726732,2852590099,2377158415,246947524,370421287,308684405,0.87134,0.93444,0.78482,7,9
2022-07-31,AVGO,2022-08-01,7768346608,8879292038,8410775320,2951413249,4427119875,3689266562,1686643856,2529965784,2108304820,1275017355,1912526034,1593771694,277548988,416323483,346936235,0.95592,1.02514,0.861,15,16
2022-10-30,AVGO,2022-11-01,8221211318,9396920590,8901091151,3041315140,4561972712,3801643926,1774378701,2661568053,2217973377,1565726455,2348589683,1957158069,288774708,433162062,360968385,1.02807,1.10252,0.92599,9,10
2023-01-29,AVGO,2023-02-01,8216367689,9391384277,8895846962,3578857673,5368286510,4473572092,2250738707,3376108061,2813423384,1734490232,2601735348,2168112790,293877932,440816898,367347415,1.01666,1.09028,0.91571,15,8
2023-04-30,AVGO,2023-05-01,8038300338,9187851648,8703053752,3707367029,5561050544,4634208786,2630106534,3945159801,3287633167,2091899405,3137849108,2614874256,271642276,407463415,339552845,1.01194,1.08522,0.91146,9,13
2023-07-30,AVGO,2023-08-01,8178835709,9348484877,8855211153,3246554573,4869831862,4058193217,1855308241,2782962362,2319135301,1402519090,2103778637,1753148863,305303886,457955831,381629858,1.04404,1.11964,0.94037,8,8
2023-10-29,AVGO,2023-11-01,9266870225,9296860096,9276866849,3345446654,5018169983,4181808318,1951816571,2927724858,2439770714,1722299100,2583448651,2152873875,317652178,476478268,397065223,1.09596,1.10897,1.07294,17,18
2024-02-04,AVGO,2024-02-02,11079684441,12693390118,11794525537,5965959648,6834874553,6350872517,4173958538,4781876626,4443254754,4443123200,5664737631,5068719641,658589344,754509888,701080331,1.03676,1.15867,0.9088,22,22
2024-05-05,AVGO,2024-05-02,11688578148,12439128970,12048842543,4078103731,6117155597,5097629664,2893117187,4339675781,3616396484,2301089345,3451634018,2876361681,298806503,448209756,373508129,1.08387,1.1793,1.01255,18,19
2024-08-04,AVGO,2024-08-02,12777404430,13280451849,12978623398,6880112844,7150983429,6988461078,4813526648,5003035572,4889330218,5749659561,6146157461,5947908511,759503797,789405521,771464486,1.21659,1.25714,1.17604,18,20
2024-11-03,AVGO,2024-11-02,14008108353,14238241562,14068143104,7542796875,7666714252,7575123148,5277159631,5363855825,5299776030,6617897071,6863031531,6813994861,832658271,846337657,836226806,1.39374,1.40377,1.35363,21,22
2025-02-02,AVGO,2025-02-02,14595696177,14675672595,14615690282,7859189031,7902253081,7869955044,5498516767,5528645626,5506048982,7272974181,7469511981,7371243081,867585175,872339067,868773648,1.50772,1.52782,1.48762,19,20
2025-05-04,AVGO,2025-05-02,14360040410,15371020267,14958375428,7732297980,8276669534,8054477063,5409740105,5790598245,5635145943,7204919301,7982416971,7671427681,853577522,913671342,889143252,1.56912,1.63273,1.4737,20,21
2025-08-03,AVGO,2025-08-02,15796058344,15896033396,15826050860,8505535259,8559367761,8521685010,5950719349,5988382130,5962018184,7977870201,8369430211,8124686871,938936100,944878734,940718890,1.66183,1.71189,1.6318,22,23
2025-11-02,AVGO,2025-11-02,17366137665,17755378681,17465943054,9350959145,9560549608,9404700290,6542202439,6688838011,6579801304,8933669701,9324203021,9128936361,1032263443,1055400382,1038195992,1.86724,1.90718,1.8273,23,24
