date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2021-01-31,AVGO,USD,0001730168,2021-03-12,2021-03-12 16:37:52,2021,Q1,6655000000,2703000000,3952000000,1211000000,339000000,0,339000000,565000000,2115000000,4818000000,-570000000,0,570000000,1533000000,3487000000,1954000000,-117000000,1837000000,-453000000,1384000000,6000000,1378000000,0,0,1378000000,0,1304000000,0.32,0.3,4080200000,4290727000
2021-05-02,AVGO,USD,0001730168,2021-06-11,2021-06-11 15:22:26,2021,Q2,6610000000,2553000000,4057000000,1238000000,325000000,0,325000000,519000000,2082000000,4635000000,-466000000,0,466000000,1504000000,3456000000,1952000000,23000000,1975000000,-489000000,1486000000,-7000000,1493000000,0,0,1493000000,0,1417000000,0.35,0.33,4100251000,4300752000
2021-08-01,AVGO,USD,0001730168,2021-09-09,2021-09-09 16:19:53,2021,Q3,6778000000,2581000000,4197000000,1205000000,346000000,0,346000000,520000000,2071000000,4652000000,-415000000,0,415000000,1503000000,3644000000,2141000000,-15000000,2126000000,-400000000,1726000000,-150000000,1876000000,0,0,1876000000,0,1802000000,0.44,0.42,4120301000,4300752000
2021-10-31,AVGO,USD,0001730168,2021-12-17,2021-12-17 16:42:51,2021,Q4,7407000000,2769000000,4638000000,1200000000,337000000,0,337000000,520000000,2057000000,4826000000,-411000000,0,411000000,1501000000,4104000000,2603000000,-22000000,2581000000,-412000000,2169000000,180000000,1989000000,0,0,1989000000,0,1914000000,0.46,0.45,4130326000,4310777000
2022-01-30,AVGO,USD,0001730168,2022-03-10,2022-03-10 16:31:23,2022,Q1,7706000000,2657000000,5049000000,1206000000,321000000,0,321000000,397000000,1924000000,4581000000,-407000000,0,407000000,1287000000,4381000000,3094000000,33000000,3127000000,-440000000,2687000000,215000000,2472000000,0,0,2472000000,0,2398000000,0.58,0.56,4120000000,4290000000
2022-05-01,AVGO,USD,0001730168,2022-06-09,2022-06-09 16:12:03,2022,Q2,8103000000,2664000000,5439000000,1261000000,368000000,0,368000000,398000000,2027000000,4691000000,-518000000,0,518000000,1264000000,4572000000,3308000000,105000000,3413000000,-623000000,2790000000,200000000,2590000000,0,0,2590000000,0,2515000000,0.62,0.59,4090225000,4250626000
2022-07-31,AVGO,USD,0001730168,2022-07-31,2022-07-31 00:00:00,2022,Q3,8464000000,2783000000,5681000000,1255000000,323000000,0,323000000,359000000,1937000000,4720000000,-406000000,0,406000000,1217000000,4960000000,3743000000,-6000000,3737000000,-400000000,3337000000,263000000,3074000000,0,0,3074000000,0,2999000000,0.74,0.7,4060150000,4310777000
2022-10-30,AVGO,USD,0001730168,2022-12-16,2022-12-16 16:21:52,2022,Q4,8930000000,3004000000,5926000000,1197000000,370000000,0,370000000,358000000,1925000000,4929000000,-406000000,0,406000000,1216000000,5242000000,4026000000,-40000000,3986000000,-366000000,3620000000,261000000,3359000000,0,0,3359000000,0,3311000000,0.81,0.77,4110000000,4290000000
2023-01-29,AVGO,USD,0001730168,2023-03-08,2023-03-08 16:10:18,2023,Q1,8915000000,2911000000,6004000000,1195000000,348000000,0,348000000,358000000,1901000000,4812000000,-406000000,0,406000000,1032000000,5278000000,4246000000,-143000000,4103000000,-263000000,3840000000,66000000,3774000000,0,0,3774000000,0,3774000000,0.9,0.88,4180000000,4290000000
2023-04-30,AVGO,USD,0001730168,2023-06-07,2023-06-07 16:22:00,2023,Q2,8733000000,2618000000,6115000000,1312000000,438000000,0,438000000,348000000,2098000000,4716000000,-405000000,0,405000000,939000000,5060000000,4121000000,-113000000,4008000000,-292000000,3716000000,235000000,3481000000,0,0,3481000000,0,3481000000,0.84,0.82,4150000000,4270000000
2023-07-30,AVGO,USD,0001730168,2023-09-06,2023-09-06 16:16:18,2023,Q3,8876000000,2712000000,6164000000,1358000000,388000000,0,388000000,562000000,2308000000,5020000000,-406000000,0,406000000,932000000,4912000000,3980000000,-124000000,3856000000,-282000000,3574000000,271000000,3303000000,0,0,3303000000,0,3303000000,0.8,0.77,4130000000,4270000000
2023-10-29,AVGO,USD,0001730168,2023-12-14,2023-12-14 16:54:05,2023,Q4,9295000000,2888000000,6407000000,1388000000,418000000,0,418000000,348000000,2154000000,5042000000,-405000000,0,405000000,932000000,5304000000,4372000000,-132000000,4240000000,-273000000,3967000000,443000000,3524000000,0,0,3524000000,0,3524000000,0.85,0.83,4130000000,4270000000
2024-02-04,AVGO,USD,0001730168,2024-03-14,2024-03-14 16:59:58,2024,Q1,11961000000,4586000000,7375000000,2308000000,1572000000,0,1572000000,1412000000,5292000000,9878000000,-926000000,0,926000000,2345000000,4613000000,2268000000,-185000000,2083000000,-741000000,1342000000,68000000,1274000000,51000000,0,1325000000,0,1325000000,0.29,0.28,4520000000,4670000000
2024-05-05,AVGO,USD,0001730168,2024-06-13,2024-06-12 20:14:25,2024,Q2,12487000000,4711000000,7776000000,2415000000,1277000000,0,1277000000,1119000000,4811000000,9522000000,-1047000000,0,1047000000,2530000000,5582000000,3052000000,-87000000,2965000000,-960000000,2005000000,-116000000,2121000000,0,0,2121000000,0,2121000000,0.46,0.44,4650000000,4800000000
2024-08-04,AVGO,USD,0001730168,2024-09-11,2024-09-11 16:37:29,2024,Q3,13072000000,4716000000,8356000000,2353000000,1100000000,0,1100000000,1115000000,4568000000,9284000000,-1064000000,0,1064000000,2524000000,6394000000,3870000000,-82000000,3788000000,-982000000,2806000000,4238000000,-1432000000,-443000000,0,-1875000000,0,-1875000000,-0.4,-0.4,4663000000,4663000000
2024-11-03,AVGO,USD,0001730168,2024-12-20,2024-12-20 17:26:46,2024,Q4,14054000000,5052000000,9002000000,2234000000,1010000000,0,1010000000,1131000000,4375000000,9427000000,-864000000,0,864000000,2611000000,7290000000,4679000000,-52000000,4627000000,-864000000,3763000000,-442000000,4205000000,119000000,0,4324000000,0,4324000000,0.92,0.9,4679000000,4828000000
2025-02-02,AVGO,USD,0001730168,2025-03-12,2025-03-12 16:38:04,2025,Q1,14916000000,4771000000,10145000000,2253000000,949000000,0,949000000,683000000,3885000000,8656000000,-873000000,0,873000000,-103000000,6260000000,6363000000,-103000000,6260000000,-770000000,5490000000,-13000000,5503000000,0,0,5503000000,0,5503000000,1.17,1.14,4695000000,4836000000
2025-05-04,AVGO,USD,0001730168,2025-06-11,2025-06-11 16:08:32,2025,Q2,15004000000,4807000000,10197000000,2693000000,1083000000,0,1083000000,592000000,4368000000,9175000000,-769000000,0,769000000,4340000000,10194000000,5854000000,-25000000,5829000000,-744000000,5085000000,120000000,4965000000,0,0,4965000000,0,4965000000,1.05,1.03,4707000000,4826000000
2025-08-03,AVGO,USD,0001730168,2025-09-10,2025-09-10 16:00:41,2025,Q3,15952000000,5249000000,10703000000,3050000000,0,0,1072000000,694000000,4816000000,10065000000,-754000000,0,754000000,2202000000,8028000000,5826000000,61000000,5887000000,-602000000,5285000000,1145000000,4140000000,0,0,4140000000,0,4140000000,0.88,0.85,4714000000,4860000000
2025-11-02,AVGO,USD,0001730168,2025-12-18,2025-12-18 16:04:47,2025,Q4,18015000000,5766000000,12249000000,2981000000,0,0,1107000000,653000000,4741000000,10507000000,-761000000,0,761000000,2233000000,9863000000,7630000000,-122000000,7508000000,-639000000,6869000000,-1649000000,8518000000,0,0,8518000000,0,8518000000,1.8,1.74,4732000000,4889000000
