ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
AVGO,2021-09-02,2021-08-19,2021-09-16,AVGO,,2021-08-20 16:49:40,2021-08-20T16:49:40-04:00,2021-08-20,3 Top Stocks to Buy as the Semiconductor Shortage Continues,"With the tight supply of semiconductors expected to continue, many chip stocks are ripe for continued gains and are stocks to buy. The post 3 Top Stocks to Buy as the Semiconductor Shortage Continues appeared first on InvestorPlace.",investorplace.com,https://investorplace.com/2021/08/3-top-stocks-to-buy-as-the-semiconductor-shortage-continues/,https://images.financialmodelingprep.com/news/3-top-stocks-to-buy-as-the-semiconductor-shortage-20210820.jpg
AVGO,2021-09-02,2021-08-19,2021-09-16,AVGO,,2021-08-20 04:20:50,2021-08-20T04:20:50-04:00,2021-08-20,Sell Alert: 5 Dividend Blue Chips To Dump Before The Next Pullback,Sell Alert: 5 Dividend Blue Chips To Dump Before The Next Pullback,seekingalpha.com,https://seekingalpha.com/article/4450830-sell-5-dividend-blue-chips-dump-before-next-pullback,https://images.financialmodelingprep.com/news/sell-alert-5-dividend-blue-chips-to-dump-before-20210820.jpg
AVGO,2021-09-02,2021-08-19,2021-09-16,AVGO,,2021-08-23 19:05:31,2021-08-23T19:05:31-04:00,2021-08-23,Broadcom Inc. (AVGO) Outpaces Stock Market Gains: What You Should Know,"Broadcom Inc. (AVGO) closed the most recent trading day at $482.45, moving +1.53% from the previous trading session.",zacks.com,https://www.zacks.com/stock/news/1785581/broadcom-inc-avgo-outpaces-stock-market-gains-what-you-should-know,https://images.financialmodelingprep.com/news/broadcom-inc-avgo-outpaces-stock-market-gains-what-you-20210823.jpg
AVGO,2021-09-02,2021-08-19,2021-09-16,AVGO,,2021-08-31 13:52:00,2021-08-31T13:52:00-04:00,2021-08-31,"According to New Report by fibeReality, LLC, Lumentum Potentially Shifting Business Model","MCLEAN, Va.--(BUSINESS WIRE)--fibeReality, LLC announced in a newly published study that recent, corporate-wide reorganization efforts by Lumentum looks like an admission of the company’s inability and/or unwillingness to efficiently run its internal factories and fabs. Risk of Lumentum Applying 3D Sensing Business Model Across Firm says that given the great success the vendor has achieved with its 3DS products through its virtual vertical integration efforts, the supplier will slowly strive to transition its other businesses toward a greater amount of outsourcing. “Lumentum’s strategy, beyond staying ahead of its principal competitor, II-VI, on technology, such as its lead with LiDAR chips, is to continue to make up for its lack of complete control by excelling with both its operations team and its contract manufacturing partners to provide differentiated benefits,” said Mark Lutkowitz, Principal at fibeReality. “Supporters of Lumentum can take solace in the vendor not making unilateral, major changes overnight. In fairness, optics is as tough as ever as a business with problems needing to be faced and met with difficult decisions.” The report offers worldwide projections for both 3DS and datacom VCSEL chips. It also provides a discussion of the negotiating tactics as well as the support expectations by the primary customer, Apple. Additionally, the study delivers the following eight items: 1) a competitive analysis of the major VCSEL suppliers, 2) an evaluation of the principal emerging 3DS applications, 3) an assessment of the likelihood of Apple producing its own VCSEL chips, 4) an appraisal on the chances of silicon photonics becoming a true threat, 5) a determination of the odds of VCSELs making a difference with co-packaged optics, 6) a prognostication on the arrival of long-wavelength VCSELs including with singlemode fiber, 7) an outlook for development efforts on multi-junction VCSELs as well as on the maturity rates of PAM4-based VCSELs by speed, and 8) an examination of the potential merger of 3DS and datacom VCSEL markets. The 30-page publication cost $500 and can be purchased at https://www.fibereality.com/store. fibeReality, LLC is an independent research and consulting firm specializing in optical equipment and services including in telecommunications, datacom, consumer, automobile, AR/VR, and other markets. For more information, visit https://www.fibereality.com/.",businesswire.com,http://www.businesswire.com/news/home/20210831005891/en/According-to-New-Report-by-fibeReality-LLC-Lumentum-Potentially-Shifting-Business-Model,https://images.financialmodelingprep.com/news/according-to-new-report-by-fibereality-llc-lumentum-potentially-20210831.jpg
AVGO,2021-09-02,2021-08-19,2021-09-16,AVGO,,2021-08-31 13:52:00,2021-08-31T13:52:00-04:00,2021-08-31,"According to New Report by fibeReality, LLC, Lumentum Potentially Shifting Business Model","MCLEAN, Va.--(BUSINESS WIRE)---- $AVGO #3DS--According to a new report published by fibeReality, LLC, there are indications that Lumentum will increasingly move in an outsourcing direction.",businesswire.com,https://www.businesswire.com/news/home/20210831005891/en/According-to-New-Report-by-fibeReality-LLC-Lumentum-Potentially-Shifting-Business-Model/,https://images.financialmodelingprep.com/news/according-to-new-report-by-fibereality-llc-lumentum-potentially-shifting-20210831.jpg
AVGO,2021-09-02,2021-08-19,2021-09-16,AVGO,,2021-08-31 12:58:24,2021-08-31T12:58:24-04:00,2021-08-31,Broadcom (AVGO) to Report Q3 Earnings: What's in the Cards?,Broadcom's (AVGO) fiscal third-quarter results are likely to reflect gains from solid uptick in infrastructure software and Wi-Fi 6E-compliant solutions.,zacks.com,https://www.zacks.com/stock/news/1789312/broadcom-avgo-to-report-q3-earnings-what-s-in-the-cards,https://images.financialmodelingprep.com/news/broadcom-avgo-to-report-q3-earnings-whats-in-the-20210831.jpg
AVGO,2021-09-02,2021-08-19,2021-09-16,AVGO,,2021-09-01 12:30:43,2021-09-01T12:30:43-04:00,2021-09-01,"Earnings Previews: Broadcom, DocuSign, Hewlett Packard Enterprise",This is our last earnings preview for this week covering three stocks that report earnings after markets close on Thursday.,247wallst.com,https://247wallst.com/technology-3/2021/09/01/earnings-previews-broadcom-docusign-hewlett-packard-enterprise/,https://images.financialmodelingprep.com/news/earnings-previews-broadcom-docusign-hewlett-packard-enterprise-20210901.jpg
AVGO,2021-09-02,2021-08-19,2021-09-16,AVGO,,2021-09-02 22:46:05,2021-09-02T22:46:05-04:00,2021-09-02,Broadcom Inc. (AVGO) CEO Hock Tan on Q3 2021 Results - Earnings Call Transcript,Broadcom Inc. (AVGO) CEO Hock Tan on Q3 2021 Results - Earnings Call Transcript,seekingalpha.com,https://seekingalpha.com/article/4453351-broadcom-inc-avgo-ceo-hock-tan-on-q3-2021-results-earnings-call-transcript,https://images.financialmodelingprep.com/news/broadcom-inc-avgo-ceo-hock-tan-on-q3-2021-20210902.jpg
AVGO,2021-09-02,2021-08-19,2021-09-16,AVGO,,2021-09-02 17:38:41,2021-09-02T17:38:41-04:00,2021-09-02,"4 Top Stock Trades for Friday: AVGO, CHPT, T, V","ChargePoint, AT&T and Visa were our top stock trades, along with an earnings preview for Broadcom. Now, let's get a look at the charts.",investorplace.com,https://investorplace.com/2021/09/4-top-stock-trades-for-friday-avgo-chpt-t-v/,https://images.financialmodelingprep.com/news/4-top-stock-trades-for-friday-avgo-chpt-t-20210902.jpg
AVGO,2021-09-02,2021-08-19,2021-09-16,AVGO,,2021-09-02 17:37:00,2021-09-02T17:37:00-04:00,2021-09-02,Broadcom Beats Estimates But Sees Shares Dip Anyway,"Investors are expecting chip companies to handily beat Wall Street earnings estimates, and Broadcom's performance didn't wow them.",barrons.com,https://www.barrons.com/articles/broadcom-beats-estimatesbut-sees-shares-dip-anyway-51630618648,https://images.financialmodelingprep.com/news/broadcom-beats-estimates-but-sees-shares-dip-anyway-20210902.jpg
