date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-12-31,BAC,USD,0000070858,2021-02-24,2021-02-24 16:56:31,2020,Q4,21307000000,1261000000,20046000000,0,8807000000,1378000000,10185000000,3742000000,13927000000,15188000000,10253000000,11461000000,1208000000,487000000,6606000000,6119000000,0,6119000000,0,6119000000,649000000,5470000000,0,0,5470000000,0,5208000000,0.6,0.59,8724900000,8785000000
2021-03-31,BAC,USD,0000070858,2021-04-29,2021-04-29 16:24:56,2021,Q1,24019000000,-662000000,24681000000,0,10509000000,1348000000,11857000000,3658000000,15515000000,14853000000,10197000000,11395000000,1198000000,461000000,9627000000,9166000000,0,9166000000,0,9166000000,1116000000,8050000000,0,0,8050000000,0,7560000000,0.87,0.86,8700100000,8755600000
2021-06-30,BAC,USD,0000070858,2021-07-30,2021-07-30 16:26:34,2021,Q2,22620000000,-467000000,23087000000,0,9626000000,1786000000,11412000000,3633000000,15045000000,14578000000,10233000000,11387000000,1154000000,469000000,8511000000,8042000000,0,8042000000,0,8042000000,-1182000000,9224000000,0,0,9224000000,0,8964000000,1.04,1.03,8620800000,8735500000
2021-09-30,BAC,USD,0000070858,2021-10-29,2021-10-29 16:21:01,2021,Q3,24008000000,618000000,23390000000,0,9492000000,1334000000,10826000000,3614000000,14440000000,15058000000,11094000000,12336000000,1242000000,473000000,9423000000,8950000000,0,8950000000,0,8950000000,1259000000,7691000000,0,0,7691000000,0,7260000000,0.86,0.85,8430700000,8492800000
2021-12-31,BAC,USD,0000070858,2022-02-22,2022-02-22 17:15:02,2021,Q4,23204000000,655000000,22549000000,0,9602000000,1352000000,10954000000,3777000000,14731000000,15386000000,11410000000,12554000000,1144000000,495000000,8313000000,7818000000,0,7818000000,0,7818000000,805000000,7013000000,0,0,7013000000,0,6773000000,0.82,0.82,8226500000,8304700000
2022-03-31,BAC,USD,0000070858,2022-04-29,2022-04-29 16:49:28,2022,Q1,24550000000,1352000000,23198000000,0,10239000000,1330000000,11569000000,3750000000,15319000000,16671000000,11572000000,12894000000,1322000000,494000000,8373000000,7879000000,0,7879000000,0,7879000000,812000000,7067000000,0,0,7067000000,0,6600000000,0.81,0.8,8136800000,8202100000
2022-06-30,BAC,USD,0000070858,2022-07-29,2022-07-29 16:24:50,2022,Q2,25219000000,3054000000,22165000000,0,10085000000,1387000000,11472000000,3801000000,15273000000,18327000000,12444000000,14975000000,2531000000,491000000,7383000000,6892000000,0,6892000000,0,6892000000,645000000,6247000000,0,0,6247000000,0,5932000000,0.73,0.73,8121600000,8163100000
2022-09-30,BAC,USD,0000070858,2022-10-28,2022-10-28 16:32:46,2022,Q3,30358000000,6754000000,23604000000,0,10058000000,1397000000,11455000000,3848000000,15303000000,22057000000,13765000000,19621000000,5856000000,491000000,8792000000,8301000000,0,8301000000,0,8301000000,1219000000,7082000000,0,0,7082000000,0,6579000000,0.81,0.81,8107700000,8160800000
2022-12-31,BAC,USD,0000070858,2023-02-22,2023-02-22 16:33:50,2022,Q4,34926000000,11486000000,23440000000,0,10086000000,1364000000,11450000000,4093000000,15543000000,27029000000,14681000000,25075000000,10394000000,502000000,8399000000,7897000000,0,7897000000,0,7897000000,765000000,7132000000,0,0,7132000000,0,6904000000,0.85,0.85,8088300000,8155700000
2023-03-31,BAC,USD,0000070858,2023-05-01,2023-05-01 17:07:42,2023,Q1,40465000000,15138000000,25327000000,0,10857000000,1348000000,12205000000,4033000000,16238000000,31376000000,14448000000,28655000000,14207000000,503000000,9592000000,9089000000,0,9089000000,0,9089000000,928000000,8161000000,0,0,8161000000,0,7656000000,0.95,0.94,8065900000,8182300000
