date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2021-02-14,COST,USD,0000909832,2021-03-10,2021-03-10 16:43:23,2021,Q2,44769000000,39078000000,5691000000,0,0,0,4342000000,9000000,4351000000,43429000000,-20000000,20000000,40000000,416000000,1775000000,1359000000,-19000000,1340000000,-21000000,1319000000,348000000,971000000,0,0,951000000,0,951000000,2.15,2.14,443134000,444494000
2021-05-09,COST,USD,0000909832,2021-06-03,2021-06-02 21:21:48,2021,Q3,45277000000,39415000000,5862000000,0,0,0,4189000000,13000000,4199000000,43614000000,-19000000,21000000,40000000,402000000,2092000000,1690000000,-27000000,1663000000,-13000000,1650000000,417000000,1233000000,0,0,1220000000,0,1220000000,2.75,2.75,443043000,444127000
2021-08-31,COST,USD,0000909832,2021-10-06,2021-10-05 20:49:17,2021,Q4,62675000000,54733000000,7942000000,0,0,0,5632000000,13000000,5667000000,60400000000,-27000000,25000000,52000000,559000000,2902000000,2343000000,-68000000,2275000000,16000000,2291000000,597000000,1694000000,0,0,1670000000,0,1670000000,3.77,3.76,443227000,444376000
2021-11-21,COST,USD,0000909832,2021-12-22,2021-12-21 18:57:38,2022,Q1,50363000000,43952000000,6411000000,0,0,0,4690000000,8000000,4718000000,48670000000,-23000000,16000000,39000000,432000000,2167000000,1735000000,-42000000,1693000000,3000000,1696000000,351000000,1345000000,0,0,1324000000,0,1324000000,2.99,2.98,443377000,444604000
2022-02-13,COST,USD,0000909832,2022-03-10,2022-03-09 18:56:01,2022,Q2,51904000000,45517000000,6387000000,0,0,0,4575000000,7000000,4575000000,50092000000,-23000000,13000000,36000000,436000000,2273000000,1837000000,-25000000,1812000000,-11000000,1801000000,481000000,1320000000,0,0,1299000000,0,1299000000,2.93,2.92,443623000,444916000
2022-05-08,COST,USD,0000909832,2022-06-02,2022-06-01 19:26:13,2022,Q3,52596000000,46355000000,6241000000,0,0,0,4450000000,9000000,4450000000,50805000000,-20000000,15000000,35000000,431000000,2293000000,1862000000,-71000000,1791000000,36000000,1827000000,455000000,1372000000,0,0,1353000000,0,1353000000,3.05,3.04,443700000,444886000
2022-08-31,COST,USD,0000909832,2022-10-05,2022-10-04 21:59:05,2022,Q4,72091000000,63558000000,8533000000,0,0,0,6036000000,15000000,6036000000,69594000000,7000000,55000000,48000000,594000000,3158000000,2564000000,-67000000,2497000000,19000000,2516000000,638000000,1878000000,0,0,1868000000,0,1868000000,4.21,4.2,443839000,444655000
2022-11-20,COST,USD,0000909832,2022-12-29,2022-12-29 16:26:51,2023,Q1,54437000000,47769000000,6668000000,0,0,0,4917000000,0,4917000000,52686000000,28000000,62000000,34000000,447000000,2251000000,1804000000,-53000000,1751000000,19000000,1770000000,406000000,1364000000,0,0,1364000000,0,1364000000,3.07,3.07,443837000,444531000
2023-02-12,COST,USD,0000909832,2023-03-09,2023-03-08 19:32:17,2023,Q2,55266000000,48423000000,6843000000,0,0,0,4940000000,0,4940000000,53363000000,77000000,111000000,34000000,470000000,2487000000,2017000000,-114000000,1903000000,80000000,1983000000,517000000,1466000000,0,0,1466000000,0,1466000000,3.3,3.3,443877000,444475000
2023-05-07,COST,USD,0000909832,2023-06-01,2023-05-31 19:21:31,2023,Q3,53648000000,47175000000,6473000000,0,0,0,4794000000,0,4794000000,51969000000,83000000,119000000,36000000,472000000,2279000000,1807000000,-128000000,1679000000,92000000,1771000000,469000000,1302000000,0,0,1302000000,0,1302000000,2.93,2.93,443814000,444360000
2023-08-31,COST,USD,0000909832,2023-10-11,2023-10-10 19:13:15,2023,Q4,78939000000,69219000000,9720000000,0,0,0,6939000000,0,6939000000,76158000000,156000000,212000000,56000000,688000000,3707000000,3019000000,-238000000,2781000000,182000000,2963000000,803000000,2160000000,0,0,2160000000,0,2160000000,4.87,4.86,443876000,444445000
2023-11-26,COST,USD,0000909832,2023-12-20,2023-12-20 16:49:22,2024,Q1,57799000000,50457000000,7342000000,0,0,0,5358000000,0,5358000000,55815000000,119000000,157000000,38000000,501000000,2645000000,2144000000,-160000000,1984000000,122000000,2106000000,517000000,1589000000,0,0,1589000000,0,1589000000,3.58,3.58,443827000,444403000
2024-02-18,COST,USD,0000909832,2024-03-13,2024-03-13 17:23:57,2024,Q2,58442000000,51140000000,7302000000,0,0,0,5240000000,0,5240000000,56380000000,144000000,185000000,41000000,514000000,2792000000,2278000000,-216000000,2062000000,175000000,2237000000,494000000,1743000000,0,0,1743000000,0,1743000000,3.93,3.92,443892000,444754000
2024-05-12,COST,USD,0000909832,2024-06-06,2024-06-05 18:12:29,2024,Q3,58515000000,51173000000,7342000000,0,0,0,5145000000,0,5145000000,56318000000,67000000,108000000,41000000,516000000,2841000000,2325000000,-128000000,2197000000,87000000,2284000000,603000000,1681000000,0,0,1681000000,0,1681000000,3.79,3.78,443892000,444828000
2024-09-01,COST,USD,0000909832,2024-10-09,2024-10-08 18:40:07,2024,Q4,79697000000,69588000000,10109000000,0,0,0,7067000000,0,7067000000,76655000000,89000000,138000000,49000000,706000000,3868000000,3162000000,-120000000,3042000000,71000000,3113000000,759000000,2354000000,0,0,2354000000,0,2354000000,5.3,5.29,444013000,444977000
2024-11-24,COST,USD,0000909832,2024-12-19,2024-12-18 18:09:53,2025,Q1,62151000000,54109000000,8042000000,0,0,0,5846000000,0,5846000000,59955000000,59000000,96000000,37000000,548000000,2891000000,2343000000,-147000000,2196000000,110000000,2306000000,508000000,1798000000,0,0,1798000000,0,1798000000,4.05,4.04,444013000,444977000
