ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
COST,2022-12-08,2022-12-01,2022-12-22,COST,,2022-12-01 06:40:00,2022-12-01T06:40:00-05:00,2022-12-01,"Got $2,000? Here Are 3 Smart Stocks to Buy Now",Don't overthink things: Sometimes opportunities really are as simple as they seem to be on the surface.,fool.com,https://www.fool.com/investing/2022/12/01/got-2000-here-are-3-smart-stocks-to-buy-now/,https://images.financialmodelingprep.com/news/got-2000-here-are-3-smart-stocks-to-buy-20221201.jpg
COST,2022-12-08,2022-12-01,2022-12-22,COST,,2022-12-01 11:37:43,2022-12-01T11:37:43-05:00,2022-12-01,"Costco sales growth slows during November, sending shares falling","Costco (NASDAQ:COST) Wholesale Corporation reported muted November sales figures that sent its stock falling just ahead of the crucial holiday season. The retail giant reported net sales of $19.17 billion for the four weeks ended November 27, 2022.",proactiveinvestors.ca,https://www.proactiveinvestors.ca/companies/news/1000042?SNAPI,https://images.financialmodelingprep.com/news/costco-sales-growth-slows-during-november-sending-shares-falling-20221201.jpg
COST,2022-12-08,2022-12-01,2022-12-22,COST,,2022-12-01 11:42:10,2022-12-01T11:42:10-05:00,2022-12-01,5 Strong Retail Stocks Worth Ringing Up,"It's a month before Christmas and crumbs falling off vests, the traders have put down their last bets on retail stocks. The positions are hanging on desks with great care while out in the world the best deals sit there.",investorplace.com,https://investorplace.com/2022/12/5-strong-retail-stocks-worth-ringing-up/,https://images.financialmodelingprep.com/news/5-strong-retail-stocks-worth-ringing-up-20221201.png
COST,2022-12-08,2022-12-01,2022-12-22,COST,,2022-12-01 14:10:03,2022-12-01T14:10:03-05:00,2022-12-01,Costco stock slides 6% as Oppenheimer removes it from top pick list after disappointing November sales numbers,"Costco Wholesale Corp. stock COST, -6.66% tumbled 6% Thursday after an update of November sales with Oppenheimer analysts fretting that the figures showed trends have weakened ""meaningfully"" in the month. Costco said same-store sales excluding gas rose 4.6%, while three-year adjusted comparable sales were up 27.9% compared with 34.2% in October and 34.2% in September.",marketwatch.com,https://www.marketwatch.com/story/costco-stock-slides-6-as-oppenheimer-removes-it-from-top-pick-list-after-disappointing-november-sales-numbers-2022-12-01,https://images.financialmodelingprep.com/news/costco-stock-slides-6-as-oppenheimer-removes-it-from-20221201.jpg
COST,2022-12-08,2022-12-01,2022-12-22,COST,,2022-12-01 14:22:31,2022-12-01T14:22:31-05:00,2022-12-01,Costco (COST) Stock Falls 6% on Slowing Sales,"With the holiday season in full swing, many market observers turned to Costco (NASDAQ: COST ) for clues regarding the consumer economy. Unfortunately, the data turned out to be less than encouraging.",investorplace.com,https://investorplace.com/2022/12/costco-cost-stock-falls-6-percent-on-slowing-sales/,https://images.financialmodelingprep.com/news/costco-cost-stock-falls-6-on-slowing-sales-20221201.jpg
COST,2022-12-08,2022-12-01,2022-12-22,COST,,2022-12-01 17:11:44,2022-12-01T17:11:44-05:00,2022-12-01,Why Costco Stock Dropped Today,Sagging sales alarmed investors.,fool.com,https://www.fool.com/investing/2022/12/01/why-costco-stock-dropped-today/,https://images.financialmodelingprep.com/news/why-costco-stock-dropped-today-20221201.jpg
COST,2022-12-08,2022-12-01,2022-12-22,COST,,2022-12-01 22:51:55,2022-12-01T22:51:55-05:00,2022-12-01,These Are the 10 Biggest Companies Issuing Earnings Reports Next Week,"The third quarter 2022 earnings season is almost over. Over 70% of S&P 500 companies surpassed the EPS expectations, a drop of 5.7% from the second quarter.",247wallst.com,https://247wallst.com/investing/2022/12/01/these-are-the-10-biggest-companies-issuing-earnings-reports-next-week/,https://images.financialmodelingprep.com/news/these-are-the-10-biggest-companies-issuing-earnings-reports-20221201.jpg
COST,2022-12-08,2022-12-01,2022-12-22,COST,,2022-12-02 07:00:00,2022-12-02T07:00:00-05:00,2022-12-02,Costco Reports November 2022 Sales,Costco reported November sales that were below expectations.,forbes.com,https://www.forbes.com/sites/walterloeb/2022/12/02/costco-reports-november-2022-sales/,https://images.financialmodelingprep.com/news/costco-reports-november-2022-sales-20221202.jpg
COST,2022-12-08,2022-12-01,2022-12-22,COST,,2022-12-02 08:23:00,2022-12-02T08:23:00-05:00,2022-12-02,Better Buy: Costco Wholesale vs. Kroger,The retailers offer different growth and earnings prospects.,fool.com,https://www.fool.com/investing/2022/12/02/better-buy-costco-wholesale-vs-kroger/,https://images.financialmodelingprep.com/news/better-buy-costco-wholesale-vs-kroger-20221202.jpg
COST,2022-12-08,2022-12-01,2022-12-22,COST,,2022-12-02 10:54:30,2022-12-02T10:54:30-05:00,2022-12-02,"Sellers Slam Costco Stock Ahead Of Earnings; Lululemon, Ollie's Bargain Outlet, Broadcom Also Set To Report","Sellers hit Costco stock ahead of its quarterly report after the company posted another slowdown in monthly revenue. The post Sellers Slam Costco Stock Ahead Of Earnings; Lululemon, Ollie's Bargain Outlet, Broadcom Also Set To Report appeared first on Investor's Business Daily.",investors.com,https://www.investors.com/research/earnings-preview/costco-stock-slammed-ahead-of-earnings-lululemon-ollies-bargain-outlet-broadcom-set-to-report/,https://images.financialmodelingprep.com/news/sellers-slam-costco-stock-ahead-of-earnings-lululemon-ollies-20221202.jpg
COST,2022-12-08,2022-12-01,2022-12-22,COST,,2022-12-02 15:26:23,2022-12-02T15:26:23-05:00,2022-12-02,Why Costco Stock Was Down on Friday,Investors are looking ahead to the warehouse retailer's earnings report.,fool.com,https://www.fool.com/investing/2022/12/02/why-costco-stock-was-down-on-friday/,https://images.financialmodelingprep.com/news/why-costco-stock-was-down-on-friday-20221202.jpg
COST,2022-12-08,2022-12-01,2022-12-22,COST,,2022-12-02 15:48:04,2022-12-02T15:48:04-05:00,2022-12-02,Are We Headed for an Earnings Cliff?,"To get a sense of what is currently expected, take a look at the chart below that shows current earnings and revenue growth expectations for the S&P 500 index for 2022 Q3 and the following three quarters.",zacks.com,https://www.zacks.com/commentary/2025037/are-we-headed-for-an-earnings-cliff,https://images.financialmodelingprep.com/news/are-we-headed-for-an-earnings-cliff-20221202.jpg
COST,2022-12-08,2022-12-01,2022-12-22,COST,,2022-12-03 06:15:00,2022-12-03T06:15:00-05:00,2022-12-03,Should I Buy Costco Stock Before Earnings?,"Costco will release its Q1 2023 earnings on Thursday, Dec. 8.",fool.com,https://www.fool.com/investing/2022/12/03/should-i-buy-costco-stock-before-earnings/,https://images.financialmodelingprep.com/news/should-i-buy-costco-stock-before-earnings-20221203.jpg
COST,2022-12-08,2022-12-01,2022-12-22,COST,,2022-12-03 10:00:00,2022-12-03T10:00:00-05:00,2022-12-03,Stocks to Be Thankful for and Stocks to Avoid,"Plus, we talk with Scott Galloway, author of ""Adrift: America in 100 Charts.""",fool.com,https://www.fool.com/investing/2022/12/03/stocks-to-be-thankful-for-and-stocks-to-avoid/,https://images.financialmodelingprep.com/news/stocks-to-be-thankful-for-and-stocks-to-avoid-20221203.jpg
