,abs_corr_with_target
km_capexToRevenue,0.5396751970548956
rt_netProfitMargin,0.5292485107983579
rt_effectiveTaxRate,0.45660006658710933
rt_ebitPerRevenue,0.4553253634461336
rt_operatingProfitMargin,0.4553253634461336
rt_grossProfitMargin,0.4428287156701725
km_pbRatio,0.41229407957904585
rt_priceFairValue,0.41229407957904585
km_enterpriseValue,0.40674094829036617
km_marketCap,0.40553826717191466
rt_cashFlowToDebtRatio,0.36514044154762965
km_priceToSalesRatio,0.36280123031446837
km_evToSales,0.36269320421699863
km_operatingCashFlowPerShare,0.35495450509275767
rt_interestCoverage,0.3544805604680766
km_roic,0.35221575236915514
rt_operatingCashFlowSalesRatio,0.33507574358119147
km_pocfratio,0.33420768480259894
rt_priceToOperatingCashFlowsRatio,0.33420768480259894
rt_returnOnAssets,0.32454853563252806
rt_returnOnEquity,0.31292857937258717
rt_debtRatio,0.3106976947359222
rt_returnOnCapitalEmployed,0.30780395706407343
km_freeCashFlowPerShare,0.30258732761534035
km_incomeQuality,0.2948651732839722
rt_enterpriseValueMultiple,0.2911240755271142
km_enterpriseValueOverEBITDA,0.2911240755271142
rt_cashConversionCycle,0.2715587126241707
km_bookValuePerShare,0.2702215992403954
km_debtToEquity,0.26907103371302493
rt_debtEquityRatio,0.26907103371302493
km_revenuePerShare,0.2646804951016399
rt_currentRatio,0.247515568802241
rt_priceEarningsRatio,0.21050174022624052
km_peRatio,0.21050174022624052
km_freeCashFlowYield,0.20620966498084187
eps_surprise_pct,0.20334958264279046
rt_dividendYield,0.20285013344698463
km_earningsYield,0.17880847361675753
rt_cashRatio,0.17825110933031307
rt_payoutRatio,0.17697112590550226
rt_quickRatio,0.13425438955897426
km_cashPerShare,0.12682619902913586
rt_assetTurnover,0.1200546114422928
km_netDebtToEBITDA,0.10276026676723407
rt_inventoryTurnover,0.08131665536009386
rt_daysOfInventoryOutstanding,0.06291313939263467
rt_daysOfPayablesOutstanding,0.039723576053465416
revenue_surprise_pct,0.032979676636455756
rt_priceToFreeCashFlowsRatio,0.02763808095302895
km_pfcfRatio,0.02763808095302895
rt_receivablesTurnover,0.023648613953460157
rt_daysOfSalesOutstanding,0.011241232934980031
