ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20,pre_adj_close,react_adj_close,adj_close_p5,adj_close_p10,adj_close_p20,delta_react_vs_pre,delta_p5_vs_pre,delta_p10_vs_pre,delta_p20_vs_pre,delta_drift_5_vs_react,delta_drift_10_vs_react,delta_drift_20_vs_react,retpct_react_vs_pre,retpct_p5_vs_pre,retpct_p10_vs_pre,retpct_p20_vs_pre,retpct_drift_5_vs_react,retpct_drift_10_vs_react,retpct_drift_20_vs_react
GOOGL,2021-02-02,amc,2021-02-02,2021-02-03,2021-02-10,2021-02-18,2021-03-04,95.2364273071289,102.1720199584961,103.54167175292967,104.50092315673828,100.93387603759766,6.9355926513671875,8.305244445800767,9.264495849609375,5.69744873046875,1.3696517944335795,2.3289031982421875,-1.2381439208984375,7.282499824358735,8.720659395398256,9.727891009321677,5.982425938863689,1.3405351044150304,2.2793942991322202,-1.2118228859538949
GOOGL,2021-04-27,amc,2021-04-27,2021-04-28,2021-05-05,2021-05-12,2021-05-26,113.6899871826172,117.06746673583984,114.87057495117188,109.18750762939452,118.12299346923828,3.377479553222642,1.1805877685546733,-4.502479553222685,4.4330062866210795,-2.1968917846679688,-7.879959106445327,1.0555267333984375,2.9707801336959383,1.0384272158095342,-3.9603131857077867,3.8992055470113307,-1.8766031639047998,-6.731126354879002,0.9016396808006588
GOOGL,2021-07-27,amc,2021-07-27,2021-07-28,2021-08-04,2021-08-11,2021-08-25,130.91087341308594,135.07342529296875,134.11216735839844,135.25704956054688,141.01353454589844,4.1625518798828125,3.2012939453125,4.3461761474609375,10.1026611328125,-0.9612579345703125,0.183624267578125,5.9401092529296875,3.1796838347781797,2.445399577475049,3.3199504625919696,7.717205507394187,-0.7116558512419324,0.1359440372374232,4.397689064333599
GOOGL,2021-10-26,amc,2021-10-26,2021-10-27,2021-11-03,2021-11-10,2021-11-24,138.26380920410156,145.12100219726562,145.4986572265625,144.7994384765625,145.0242462158203,6.8571929931640625,7.2348480224609375,6.5356292724609375,6.76043701171875,0.377655029296875,-0.321563720703125,-0.0967559814453125,4.959499548462198,5.232640460368798,4.726926959471522,4.889520295031913,0.2602345791297145,-0.22158317254866722,-0.06667262489945536
GOOGL,2022-02-01,amc,2022-02-01,2022-02-02,2022-02-09,2022-02-16,2022-03-03,136.61180114746094,146.89013671875,140.5301971435547,136.70510864257812,132.89540100097656,10.278335571289062,3.91839599609375,0.0933074951171875,-3.716400146484375,-6.3599395751953125,-10.185028076171875,-13.994735717773438,7.523753793564625,2.8682705031201294,0.06830119677323498,-2.720409302321425,-4.329725410612606,-6.933772616518907,-9.527348827082315
GOOGL,2022-04-26,amc,2022-04-26,2022-04-27,2022-05-04,2022-05-11,2022-05-25,117.7602310180664,113.4374008178711,121.34416198730467,112.7505874633789,105.01156616210938,-4.3228302001953125,3.583930969238267,-5.0096435546875,-12.748664855957031,7.9067611694335795,-0.6868133544921875,-8.425834655761719,-3.6708744223948764,3.0434136705187242,-4.2541047273581984,-10.825950956228315,6.970153681613556,-0.6054558280957911,-7.427739524189015
GOOGL,2022-07-26,amc,2022-07-26,2022-07-27,2022-08-03,2022-08-10,2022-08-24,104.2324447631836,112.21214294433594,117.19451141357422,118.80236053466795,112.83743286132812,7.979698181152344,12.962066650390625,14.56991577148436,8.604988098144531,4.982368469238281,6.590217590332017,0.6252899169921875,7.655675926322414,12.435731196596688,13.978292272226023,8.255575428260453,4.440133071614039,5.872998605508473,0.5572390835654639
GOOGL,2022-10-25,amc,2022-10-25,2022-10-26,2022-11-02,2022-11-09,2022-11-23,103.69650268554688,94.21810913085938,86.31781005859375,86.66519165039062,97.72164916992188,-9.4783935546875,-17.378692626953125,-17.03131103515625,-5.974853515625,-7.900299072265625,-7.55291748046875,3.5035400390625,-9.140514201747118,-16.7591887642083,-16.424190396085613,-5.761865984760705,-8.385117410171027,-8.016418022121963,3.7185420842997807
GOOGL,2023-02-02,amc,2023-02-02,2023-02-03,2023-02-10,2023-02-17,2023-03-06,106.93204498291016,103.99425506591795,93.86080932617188,93.6424560546875,94.41661834716795,-2.9377899169922017,-13.071235656738281,-13.289588928222656,-12.515426635742202,-10.13344573974608,-10.351799011230455,-9.57763671875,-2.74734287318803,-12.223871393114493,-12.428069556087317,-11.704093602383093,-9.744236095852488,-9.954202763093834,-9.209774821387107
GOOGL,2023-04-25,amc,2023-04-25,2023-04-26,2023-05-03,2023-05-10,2023-05-24,103.07122039794922,102.93225860595705,104.6195297241211,110.91197967529295,119.99337005615234,-0.1389617919921733,1.548309326171875,7.840759277343736,16.922149658203125,1.6872711181640483,7.979721069335909,17.0611114501953,-0.13482113771007276,1.5021742443661612,7.607127622115306,16.417919175564364,1.6392053774154647,7.75240063456073,16.57508703419037
GOOGL,2023-07-25,amc,2023-07-25,2023-07-26,2023-08-02,2023-08-09,2023-08-23,121.29354095458984,128.30059814453125,127.4172821044922,128.6876678466797,131.3773193359375,7.007057189941406,6.123741149902358,7.394126892089844,10.083778381347656,-0.8833160400390483,0.3870697021484375,3.07672119140625,5.77694173555765,5.048695175116524,6.096059884060989,8.313532857551609,-0.6884738285038883,0.3016897097489757,2.3980567790808704
GOOGL,2023-10-24,amc,2023-10-24,2023-10-25,2023-11-01,2023-11-08,2023-11-22,137.76905822753906,124.66804504394533,125.50174713134766,130.851318359375,137.45147705078125,-13.101013183593736,-12.267311096191406,-6.9177398681640625,-0.3175811767578125,0.8337020874023295,6.183273315429673,12.783432006835923,-9.509401713377564,-8.90425706179303,-5.021258007540952,-0.23051705574795855,0.6687375959961939,4.959790067494896,10.253976471941773
GOOGL,2024-01-30,amc,2024-01-30,2024-01-31,2024-02-07,2024-02-14,2024-02-29,150.32418823242188,139.0493927001953,144.44857788085938,144.8455810546875,137.4216766357422,-11.274795532226562,-5.8756103515625,-5.478607177734375,-12.902511596679688,5.3991851806640625,5.7961883544921875,-1.627716064453125,-7.500320251052461,-3.9086260306145815,-3.644528031153371,-8.583124078961013,3.8829261141076987,4.168438453369849,-1.1706027857041001
GOOGL,2024-04-25,amc,2024-04-25,2024-04-26,2024-05-03,2024-05-10,2024-05-24,154.8301544189453,170.6605224609375,165.98587036132812,167.38526916503906,173.677734375,15.830368041992188,11.155715942382812,12.55511474609375,18.847579956054688,-4.674652099609375,-3.2752532958984375,3.0172119140625,10.224344283192899,7.205131315827051,8.108959648856029,12.173067983292318,-2.7391525774095538,-1.919162820240461,1.7679612546323442
GOOGL,2024-07-23,amc,2024-07-23,2024-07-24,2024-07-31,2024-08-07,2024-08-21,180.63381958007812,171.53207397460938,170.44900512695312,157.9291534423828,164.79519653320312,-9.10174560546875,-10.184814453125,-22.704666137695312,-15.838623046875,-1.08306884765625,-13.602920532226562,-6.73687744140625,-5.0387826745997515,-5.638376289003788,-12.569443634905774,-8.768359703457119,-0.6314089386085131,-7.930248971536424,-3.9274739034540374
GOOGL,2024-10-29,amc,2024-10-29,2024-10-30,2024-11-06,2024-11-13,2024-11-27,168.82455444335938,173.58047485351562,175.62013244628906,177.9781951904297,168.3768310546875,4.75592041015625,6.7955780029296875,9.153640747070312,-0.447723388671875,2.0396575927734375,4.3977203369140625,-5.203643798828125,2.8170786091141986,4.0252308234046685,5.421984247049427,-0.2652003970323391,1.1750501284748305,2.5335339937428314,-2.9978278393462565
GOOGL,2025-02-04,amc,2025-02-04,2025-02-05,2025-02-12,2025-02-20,2025-03-06,205.57489013671875,190.5835876464844,182.89370727539065,183.8400115966797,171.67764282226562,-14.991302490234347,-22.681182861328097,-21.734878540039062,-33.897247314453125,-7.68988037109375,-6.743576049804716,-18.90594482421878,-7.2923801541444515,-11.033051189395671,-10.572730222832249,-16.48900179000926,-4.034912169539906,-3.538382361818815,-9.920027772426876
GOOGL,2025-04-24,amc,2025-04-24,2025-04-25,2025-05-02,2025-05-09,2025-05-23,158.8413543701172,161.51397705078125,163.57826232910156,152.32933044433594,168.00604248046875,2.6726226806640625,4.736907958984375,-6.51202392578125,9.164688110351562,2.0642852783203125,-9.184646606445312,6.4920654296875,1.6825735912806339,2.9821629120253323,-4.09970309785167,5.769711638819741,1.278084606678509,-5.686595534427086,4.019506886172675
GOOGL,2025-07-23,amc,2025-07-23,2025-07-24,2025-07-31,2025-08-07,2025-08-21,189.9357757568359,191.87277221679688,191.60317993164065,196.2160491943359,199.4410400390625,1.936996459960966,1.6674041748047443,6.2802734375,9.505264282226591,-0.2695922851562216,4.343276977539034,7.568267822265625,1.019816541798213,0.8778778869650283,3.3065247515772223,5.004462294873635,-0.1405057539126009,2.2636234038624137,3.9444199063920493
GOOGL,2025-10-29,amc,2025-10-29,2025-10-30,2025-11-06,2025-11-13,2025-11-28,274.3905334472656,281.2960205078125,284.5638732910156,278.3879089355469,319.970703125,6.905487060546875,10.17333984375,3.99737548828125,45.580169677734375,3.267852783203125,-2.908111572265625,38.6746826171875,2.5166637397401326,3.707613275115107,1.4568197517825343,16.611422087013917,1.1617131224621602,-1.033826062315324,13.748748577164239
