date_x,symbol,date_y,revenueLow,revenueHigh,revenueAvg,ebitdaLow,ebitdaHigh,ebitdaAvg,ebitLow,ebitHigh,ebitAvg,netIncomeLow,netIncomeHigh,netIncomeAvg,sgaExpenseLow,sgaExpenseHigh,sgaExpenseAvg,epsAvg,epsHigh,epsLow,numAnalystsRevenue,numAnalystsEps
2020-12-31,GOOGL,2020-12-29,51249383551,54439622983,52686983687,11812837735,17719256603,14766047169,8229079245,12343618867,10286349056,8006145911,12009218867,10007682389,4282528301,6423792452,5353160376,0.78739,0.82144,0.75946,5,4
2021-03-31,GOOGL,2021-03-29,50103068693,53221950802,51508513469,15532926271,23299389407,19416157839,10588698951,15883048427,13235873689,11550488057,17325732086,14438110071,4695566505,7043349758,5869458131,0.78795,0.82202,0.76,8,7
2021-06-30,GOOGL,2021-06-29,54657160080,58059531294,56190352000,12592262242,18888393363,15740327802,9749611664,14624417496,12187014580,9328627450,13992941176,11660784313,4339259527,6508889291,5424074409,0.96207,0.98665,0.93749,16,17
2021-09-30,GOOGL,2021-09-29,61795899065,65642651949,63529340265,16710770428,25066155642,20888463035,13289628015,19934442023,16612035019,11965783657,17948675486,14957229571,5543084824,8314627237,6928856030,1.18668,1.216,1.15737,18,17
2021-12-31,GOOGL,2021-12-29,70299033353,74675100590,72270996583,19625820629,29438730943,24532275786,15362725676,23044088514,19203407095,14490170592,21735255888,18112713240,8243995903,12365993855,10304994879,1.384,1.44385,1.33491,30,17
2022-03-31,GOOGL,2022-03-29,66198314398,70319114656,68055248066,19084244444,28626366666,23855305555,16881440740,25322161111,21101800925,13808269135,20712403703,17260336419,7728295679,11592443517,9660369598,1.28702,1.35779,1.21625,15,18
2022-06-30,GOOGL,2022-06-29,67894332438,72120708671,69798841230,19332843750,28999265625,24166054687,16413468750,24620203125,20516835937,13501687500,20252531250,16877109375,8679656250,13019484375,10849570312,1.26598,1.32166,1.2103,21,19
2022-09-30,GOOGL,2022-09-29,69039931236,73337620219,70976575302,18381847470,27572771206,22977309338,14618590816,21927886225,18273238520,13162362022,19743543034,16452952528,6097393306,9146089960,7621741633,1.26337,1.26751,1.25923,15,23
2022-12-31,GOOGL,2022-12-29,74465944531,79101399168,76554794085,21588402691,32382604037,26985503364,16898998243,25348497365,21123747804,15939187650,23908781476,19923984563,9068395493,13602593240,11335494366,1.1765,1.22738,1.13477,15,27
2023-03-31,GOOGL,2023-03-29,67007371514,71178535029,68887000101,20992668888,31489003332,26240836110,18569584814,27854377221,23211981018,15189096048,22783644073,18986370060,8501125246,12751687868,10626406557,1.07534,1.12184,1.0372,26,24
2023-06-30,GOOGL,2023-06-29,70866081975,75277447604,72853951526,21266128125,31899192187,26582660156,18054815625,27082223437,22568519531,14851856250,22277784375,18564820312,9547621875,14321432812,11934527343,1.34372,1.40183,1.29606,16,28
2023-09-30,GOOGL,2023-09-29,72873973055,77934435038,75955237019,20220032217,30330048326,25275040271,16080449897,24120674847,20100562372,14478598224,21717897337,18098247780,6707132636,10060698956,8383915796,1.45996,1.56065,1.27872,32,37
2023-12-31,GOOGL,2023-12-30,80555275511,89487206014,85277013289,23747242960,35620864440,29684053700,18588898067,27883347101,23236122584,17533106416,26299659623,21916383019,9975235042,14962852564,12469043803,1.59425,1.78123,1.42695,32,36
2024-03-31,GOOGL,2024-03-31,77195554419,79890363702,78745665954,23091935776,34637903665,28864919720,20426543295,30639814944,25533179119,16708005652,25062008480,20885007066,9351237770,14026856654,11689047212,1.51135,1.68379,1.37949,24,28
2024-06-30,GOOGL,2024-06-30,82752582736,85412785410,84219869413,30701777864,31688731369,31246151322,26878800050,27742858347,27355388259,20266075801,24172799521,22585727401,11248445460,11610043173,11447891732,1.84705,1.97684,1.65735,24,27
2024-09-30,GOOGL,2024-09-30,84518068801,87755536569,86391768096,31356785347,32557908176,32051940684,27452246163,28503805473,28060840929,21074958001,24156169441,22553934601,11488425567,11928490136,11743114952,1.84445,1.97548,1.7235,25,29
2024-12-31,GOOGL,2024-12-31,95195007023,98759473088,96692082771,35318002928,36640444376,35873428336,30920213906,32077985271,31406477880,24212418241,29592982802,25924460522,12939727186,13424240186,13143222646,2.12009,2.4201,1.98008,27,31
2025-03-31,GOOGL,2025-03-31,88137565897,90294737832,89210257953,32699643687,33499969325,33097619824,28627892113,29328561399,28976312359,23039019361,28186029122,24754730042,11980418860,12273640293,12126228425,2.02443,2.30504,1.88412,24,29
2025-06-30,GOOGL,2025-06-30,92940482836,95224264175,94035285231,34481558934,35328857533,34887738159,30187923713,30929716898,30543525601,24579625082,30041750402,26689933322,12633272795,12943704071,12782087788,2.18269,2.4568,2.01011,27,30
2025-09-30,GOOGL,2025-09-30,98658126779,101069586895,99940317768,36602844197,37497512501,37078545881,32045067058,32828331484,32461534485,25474470122,29516190962,27679056242,13410464321,13738250798,13584750790,2.26358,2.41382,2.08329,28,32
