date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2021-06-30,GOOGL,USD,0001652044,2021-07-28,2021-07-27 20:16:30,2021,Q2,61880000000,26227000000,35653000000,7675000000,3341000000,5276000000,8617000000,0,16292000000,42519000000,313000000,389000000,76000000,2945000000,25006000000,22061000000,-2700000000,19361000000,2624000000,21985000000,3460000000,18525000000,0,0,18525000000,0,18525000000,1.38,1.36,13379154000,13592234000
2021-09-30,GOOGL,USD,0001652044,2021-10-27,2021-10-26 19:47:06,2021,Q3,65118000000,27621000000,37497000000,7694000000,3256000000,5516000000,8772000000,0,16466000000,44087000000,310000000,387000000,77000000,3304000000,26445000000,23141000000,-2110000000,21031000000,2033000000,23064000000,4128000000,18936000000,0,0,18936000000,0,18936000000,1.42,1.4,13315154008,13530373911
2021-12-31,GOOGL,USD,0001652044,2022-02-02,2022-02-01 21:08:02,2021,Q4,75325000000,32988000000,42337000000,8708000000,4140000000,7604000000,11744000000,0,20452000000,53440000000,261000000,378000000,117000000,3439000000,27958000000,24519000000,-2634000000,21885000000,2517000000,24402000000,3760000000,20642000000,0,0,20642000000,0,20642000000,1.56,1.53,13253254036,13449853947
2022-03-31,GOOGL,USD,0001652044,2022-04-27,2022-04-26 20:51:20,2022,Q1,68011000000,29599000000,38412000000,9119000000,3374000000,5825000000,9199000000,0,18318000000,47917000000,331000000,414000000,83000000,3782000000,22799000000,19017000000,1077000000,20094000000,-1160000000,18934000000,2498000000,16436000000,0,0,16436000000,0,16436000000,1.24,1.23,13203000000,13351013992
2022-06-30,GOOGL,USD,0001652044,2022-07-27,2022-07-26 19:29:36,2022,Q2,69685000000,30104000000,39581000000,9841000000,3657000000,6630000000,10287000000,0,20128000000,50232000000,403000000,486000000,83000000,3899000000,22996000000,19097000000,356000000,19453000000,-439000000,19014000000,3012000000,16002000000,0,0,16002000000,0,16002000000,1.22,1.21,13168000000,13238994042
2022-09-30,GOOGL,USD,0001652044,2022-10-26,2022-10-25 21:32:59,2022,Q3,69092000000,31158000000,37934000000,10273000000,3597000000,6929000000,10526000000,0,20799000000,51957000000,514000000,615000000,101000000,4046000000,20380000000,16334000000,801000000,17135000000,-902000000,16233000000,2323000000,13910000000,0,0,13910000000,0,13910000000,1.07,1.06,13000000000,13097000000
2022-12-31,GOOGL,USD,0001652044,2023-02-03,2023-02-02 21:23:45,2022,Q4,76048000000,35342000000,40706000000,10267000000,5096000000,7183000000,12279000000,0,22546000000,57888000000,569000000,659000000,90000000,4201000000,21438000000,17237000000,923000000,18160000000,-1013000000,17147000000,3523000000,13624000000,0,0,13624000000,0,13624000000,1.06,1.05,12897000000,12947000000
2023-03-31,GOOGL,USD,0001652044,2023-04-26,2023-04-25 20:15:00,2023,Q1,69787000000,30612000000,39175000000,11468000000,3759000000,6533000000,10292000000,0,21760000000,52372000000,717000000,797000000,80000000,2635000000,20920000000,18285000000,-870000000,17415000000,790000000,18205000000,3154000000,15051000000,0,0,15051000000,0,15051000000,1.18,1.17,12823000000,12823000000
2023-06-30,GOOGL,USD,0001652044,2023-07-26,2023-07-25 19:13:26,2023,Q2,74604000000,31916000000,42688000000,10588000000,3481000000,6781000000,10262000000,0,20850000000,52766000000,849000000,892000000,43000000,2824000000,24770000000,21946000000,-108000000,21838000000,65000000,21903000000,3535000000,18368000000,0,0,18368000000,0,18368000000,1.45,1.44,12668000000,12764000000
2023-09-30,GOOGL,USD,0001652044,2023-10-25,2023-10-24 18:39:13,2023,Q3,76693000000,33229000000,43464000000,11258000000,3979000000,6884000000,10863000000,0,22121000000,55350000000,950000000,1066000000,116000000,3171000000,24484000000,21313000000,30000000,21343000000,-146000000,21197000000,1508000000,19689000000,0,0,19689000000,0,19689000000,1.57,1.55,12581000000,12696000000
