,abs_corr_with_target
rt_assetTurnover,0.4998240799151161
km_researchAndDdevelopementToRevenue,0.47985850554497084
rt_operatingCashFlowSalesRatio,0.41038238159965734
km_roic,0.40232749912245164
rt_returnOnCapitalEmployed,0.37734436816351746
km_pocfratio,0.3240950968712
rt_priceToOperatingCashFlowsRatio,0.3240950968712
km_operatingCashFlowPerShare,0.3017507022505362
km_freeCashFlowPerShare,0.25125416942936635
eps_surprise_pct,0.23791170803827352
rt_interestCoverage,0.21577286599755285
km_incomeQuality,0.21181507049223208
km_bookValuePerShare,0.20101889491655486
rt_grossProfitMargin,0.19713450959870568
km_freeCashFlowYield,0.18340235235926414
rt_daysOfInventoryOutstanding,0.17954476376565298
km_capexToRevenue,0.1774467825910957
rt_daysOfPayablesOutstanding,0.16870266562062544
rt_effectiveTaxRate,0.14533600841317504
rt_operatingProfitMargin,0.14491954730296133
rt_ebitPerRevenue,0.14491954730296133
rt_receivablesTurnover,0.1407422247884017
rt_netProfitMargin,0.13719952664297597
rt_enterpriseValueMultiple,0.13555157033190585
km_enterpriseValueOverEBITDA,0.13555157033190585
rt_daysOfSalesOutstanding,0.12947354241251913
km_debtToEquity,0.12656622329735653
rt_debtEquityRatio,0.12656622329735653
rt_debtRatio,0.12323221387189733
rt_priceEarningsRatio,0.12284372478615221
km_peRatio,0.12284372478615221
km_pbRatio,0.12244137176585172
rt_priceFairValue,0.12244137176585172
rt_quickRatio,0.11755716935875372
rt_currentRatio,0.11166716315558338
km_enterpriseValue,0.09886053727594812
km_marketCap,0.09745218331036705
rt_cashFlowToDebtRatio,0.08107403631711023
km_earningsYield,0.07880851527376448
rt_payoutRatio,0.07356348386558675
rt_cashRatio,0.058533612571494475
km_evToSales,0.0555122982184372
km_priceToSalesRatio,0.05413437314648425
rt_dividendYield,0.05397114591368348
rt_inventoryTurnover,0.050044671406754594
km_revenuePerShare,0.0490641364921245
revenue_surprise_pct,0.03750892319033465
rt_cashConversionCycle,0.03472592371513064
rt_returnOnAssets,0.024609099375965553
rt_priceToFreeCashFlowsRatio,0.022466806134656847
km_pfcfRatio,0.022466806134656847
rt_returnOnEquity,0.015543173894571735
km_cashPerShare,0.014743418257793765
km_netDebtToEBITDA,0.0040739268424642245
