ticker,earnings_date,day0_date,section,speaker_type,n_tokens,n_tokens_raw,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
HD,2021-02-23,2021-02-23,all,all,8094.0,16010.0,290.0,94.0,184.0,6.0,10.0,104.0,38.0,8.0,0.035829009142574746,0.011613540894489745,0.022732888559426737,0.0007412898443291327,0.001235483073881888,0.024215468248085
HD,2021-02-23,2021-02-23,prepared,all,4878.0,8876.0,192.0,62.0,126.0,4.0,6.0,62.0,14.0,6.0,0.03936039360393604,0.012710127101271012,0.025830258302583026,0.0008200082000820008,0.0012300123001230013,0.026650266502665027
HD,2021-02-23,2021-02-23,qa,all,3216.0,7134.0,98.0,32.0,58.0,2.0,4.0,42.0,24.0,2.0,0.030472636815920398,0.009950248756218905,0.018034825870646767,0.0006218905472636816,0.0012437810945273632,0.020522388059701493
HD,2021-05-18,2021-05-18,all,all,7174.0,14806.0,288.0,68.0,172.0,4.0,12.0,74.0,68.0,6.0,0.04014496793978255,0.009478672985781991,0.0239754669640368,0.0005575689991636465,0.0016727069974909396,0.03066629495400056
HD,2021-05-18,2021-05-18,prepared,all,3014.0,5546.0,148.0,24.0,56.0,2.0,6.0,42.0,4.0,4.0,0.0491041804910418,0.007962840079628402,0.0185799601857996,0.0006635700066357001,0.0019907100199071004,0.0411413404114134
HD,2021-05-18,2021-05-18,qa,all,4160.0,9260.0,140.0,44.0,116.0,2.0,6.0,32.0,64.0,2.0,0.03365384615384615,0.010576923076923078,0.027884615384615386,0.0004807692307692308,0.0014423076923076924,0.023076923076923078
HD,2021-08-17,2021-08-17,all,all,7922.0,16438.0,354.0,132.0,158.0,2.0,22.0,58.0,66.0,4.0,0.044685685432971474,0.01666245897500631,0.01994445847008331,0.00025246149962130775,0.002777076495834385,0.02802322645796516
HD,2021-08-17,2021-08-17,prepared,all,3092.0,5760.0,166.0,34.0,70.0,2.0,10.0,26.0,8.0,2.0,0.0536869340232859,0.010996119016817595,0.022639068564036222,0.000646830530401035,0.003234152652005175,0.042690815006468305
HD,2021-08-17,2021-08-17,qa,all,4830.0,10678.0,188.0,98.0,88.0,0.0,12.0,32.0,58.0,2.0,0.038923395445134575,0.020289855072463767,0.018219461697722567,0.0,0.002484472049689441,0.018633540372670808
HD,2021-11-16,2021-11-16,all,all,7928.0,16162.0,370.0,110.0,166.0,6.0,12.0,86.0,62.0,6.0,0.04667003027245207,0.013874873864783047,0.020938446014127143,0.0007568113017154389,0.0015136226034308778,0.03279515640766902
HD,2021-11-16,2021-11-16,prepared,all,2820.0,5206.0,166.0,42.0,66.0,2.0,8.0,28.0,12.0,4.0,0.058865248226950356,0.014893617021276596,0.023404255319148935,0.0007092198581560284,0.0028368794326241137,0.04397163120567376
HD,2021-11-16,2021-11-16,qa,all,5108.0,10956.0,204.0,68.0,100.0,4.0,4.0,58.0,50.0,2.0,0.039937353171495694,0.01331245105716523,0.01957713390759593,0.0007830853563038371,0.0007830853563038371,0.02662490211433046
HD,2022-02-22,2022-02-22,all,all,11408.0,23334.0,476.0,134.0,264.0,6.0,20.0,140.0,104.0,2.0,0.04172510518934081,0.011746143057503506,0.02314165497896213,0.0005259467040673212,0.0017531556802244039,0.029978962131837306
HD,2022-02-22,2022-02-22,prepared,all,4852.0,8998.0,264.0,48.0,130.0,4.0,10.0,80.0,18.0,2.0,0.05441055234954658,0.00989282769991756,0.02679307502061006,0.0008244023083264633,0.002061005770816158,0.04451772464962902
HD,2022-02-22,2022-02-22,qa,all,6556.0,14336.0,212.0,86.0,134.0,2.0,10.0,60.0,86.0,0.0,0.03233679072605247,0.013117754728492984,0.02043929225137279,0.0003050640634533252,0.001525320317266626,0.01921903599755949
HD,2022-05-17,2022-05-17,all,all,7866.0,16242.0,360.0,140.0,130.0,8.0,12.0,100.0,56.0,6.0,0.04576659038901602,0.01779811848461734,0.016526824307144673,0.0010170353419781336,0.0015255530129672007,0.02796847190439868
HD,2022-05-17,2022-05-17,prepared,all,3154.0,5798.0,194.0,54.0,56.0,2.0,10.0,32.0,10.0,4.0,0.061509194673430564,0.017121116043119847,0.017755231452124286,0.0006341154090044388,0.0031705770450221942,0.04438807863031072
HD,2022-05-17,2022-05-17,qa,all,4712.0,10444.0,166.0,86.0,74.0,6.0,2.0,68.0,46.0,2.0,0.03522920203735144,0.01825127334465195,0.015704584040747028,0.0012733446519524619,0.00042444821731748726,0.01697792869269949
HD,2022-08-16,2022-08-16,all,all,8358.0,17186.0,388.0,138.0,144.0,6.0,14.0,76.0,66.0,10.0,0.046422589136156975,0.016511127063890883,0.01722900215362527,0.0007178750897343862,0.0016750418760469012,0.029911462072266092
