date_x,symbol,date_y,revenueLow,revenueHigh,revenueAvg,ebitdaLow,ebitdaHigh,ebitdaAvg,ebitLow,ebitHigh,ebitAvg,netIncomeLow,netIncomeHigh,netIncomeAvg,sgaExpenseLow,sgaExpenseHigh,sgaExpenseAvg,epsAvg,epsHigh,epsLow,numAnalystsRevenue,numAnalystsEps
2021-01-31,HD,2021-02-01,29773355994,31563988375,30626437566,4914701523,5210282031,5055520089,4308825454,4567967299,4432284147,2523925042,2722973542,2618752642,5207687998,5520889331,5356901364,2.63456,2.73941,2.53916,6,5
2021-05-02,HD,2021-05-01,33848783622,35884520810,34818636451,3763606106,5645409160,4704507633,3228998473,4843497709,4036248091,2259429007,3389143511,2824286259,4892925190,7339387786,6116156488,3.083,3.20569,2.97136,6,5
2021-08-01,HD,2021-08-01,39660068625,42045308742,40796429393,6546705709,6940438389,6734285302,5739638933,6084832915,5904094032,4263345524,4599566024,4423528624,6936982967,7354187743,7135744985,4.45023,4.62733,4.28908,12,9
2021-10-31,HD,2021-11-01,33978214059,36021735467,34951775396,5608799371,5946124387,5769505587,4917356097,5213096257,5058250724,3273242003,3531373863,3396219683,5943164002,6300598411,6113450606,3.41672,3.55269,3.293,8,9
2022-01-31,HD,2022-02-01,33908873585,35948224711,34880448143,4420969411,6631454117,5526211764,3926964705,5890447058,4908705881,2798004705,4197007058,3497505881,4179727058,6269590588,5224658823,3.18474,3.31148,3.06942,10,10
2022-05-01,HD,2022-05-01,35682861131,37828903607,36705264896,4419509433,6629264149,5524386791,3823584905,5735377358,4779481131,2656301886,3984452830,3320377358,5096264150,7644396226,6370330188,3.68683,3.83355,3.55333,7,10
2022-07-31,HD,2022-08-01,42152555828,44687699379,43360332627,3923943609,5885915413,4904929511,3371500213,5057250321,4214375267,2397245345,3595868018,2996556681,4765572174,7148358262,5956965218,4.94757,5.14446,4.76841,15,10
2022-10-30,HD,2022-11-01,36893954070,39112834227,37951058695,4447070703,6670606055,5558838379,3993969859,5990954788,4992462323,2857143097,4285714647,3571428872,4077907605,6116861407,5097384506,4.12057,4.28455,3.97136,9,10
2023-01-31,HD,2023-02-01,34968771540,37071867162,35970714841,4863066352,7294599528,6078832940,4319661175,6479491763,5399576469,3077805175,4616707763,3847256469,4597699763,6896549646,5747124704,3.28157,3.41216,3.16274,15,9
2023-04-30,HD,2023-05-01,37245546791,39485572476,38312725433,4861460376,7292190565,6076825470,4205943395,6308915092,5257429244,2921932074,4382898113,3652415093,5605890565,8408835848,7007363206,3.8021,3.95341,3.66442,9,9
2023-07-30,HD,2023-08-01,41017958260,43484864721,42193225983,4316337969,6474506954,5395422461,3708650234,5562975353,4635812793,2636969879,3955454819,3296212349,5242129391,7863194088,6552661739,4.4545,4.63177,4.2932,8,9
2023-10-29,HD,2023-11-01,36883651648,38169595178,37591419018,4891777773,7337666660,6114722216,4393366844,6590050266,5491708555,3142857406,4714286111,3928571758,4485698365,6728547547,5607122956,3.75493,3.98401,3.57565,17,20
2024-01-31,HD,2024-02-02,33417861424,35510288371,34642562215,5516301705,5861699580,5718463626,4836261386,5139079198,5013501129,2543208642,3010120263,2751829362,5845152152,6211140679,6059365814,2.76844,3.02829,2.55856,23,26
2024-04-28,HD,2024-05-02,36048085770,36937052141,36627412170,5347606413,8021409620,6684508017,4626537734,6939806602,5783172168,3214125281,4821187924,4017656602,6166479621,9249719432,7708099526,3.60131,3.83076,3.36189,18,21
2024-07-28,HD,2024-08-02,42002410341,43342487242,42572443053,6933357130,7154564238,7027452691,6078624622,6272561693,6161120242,4313880484,4601474504,4502303124,7346684340,7581078555,7446389342,4.52948,4.62925,4.33992,10,11
2024-10-27,HD,2024-11-02,38959935135,40228305236,39309485951,6431134353,6640504787,6488834866,5638315017,5821874619,5688902309,3370137123,3838768363,3629382263,6814521906,7036373811,6875662195,3.65129,3.86194,3.39048,19,22
2025-01-31,HD,2025-02-02,38981033997,39425032314,39152578802,6434617152,6507908158,6462934131,5641368463,5705624277,5666194573,2912410062,3719219983,3020636783,6818212329,6895872527,6848217406,3.03887,3.74167,2.92999,20,22
2025-05-04,HD,2025-05-02,38235597530,40874957674,39299370060,6311567613,6747248001,6487165032,5533488262,5915458711,5687438329,3418703963,3748920703,3574095983,6687827278,7149480447,6873892814,3.59567,3.77155,3.43934,21,22
2025-08-03,HD,2025-08-02,44953373800,45841464869,45412387162,7420474021,7567071621,7496243567,6505690569,6634215865,6572119374,4569418004,4937754644,4688876924,7862840362,8018177275,7943126857,4.71718,4.96756,4.597,19,22
2025-11-02,HD,2025-11-02,40945049239,41768569974,41165993827,6758818048,6894756994,6795289473,5925602422,6044783045,5957577711,3701268343,3861322223,3811304143,7161740234,7305783084,7200385877,3.83431,3.88463,3.72361,19,22
