ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
HD,2023-02-21,2023-02-14,2023-03-07,HD,,2023-02-14 18:48:14,2023-02-14T18:48:14-05:00,2023-02-14,4 Factor Dividend Growth Portfolio - January 2023 Update,"The 4 factor dividend growth portfolio was launched on November 1st, 2022, and is thus far off to a great start. The portfolio lost by 11 bps to the S&P 500 Total Return during the month of January.",seekingalpha.com,https://seekingalpha.com/article/4578321-4-factor-dividend-growth-portfolio-january-2023-update,https://images.financialmodelingprep.com/news/4-factor-dividend-growth-portfolio-january-2023-update-20230214.jpg
HD,2023-02-21,2023-02-14,2023-03-07,HD,,2023-02-15 13:33:14,2023-02-15T13:33:14-05:00,2023-02-15,Will Home Depot (HD) Beat Estimates Again in Its Next Earnings Report?,Home Depot (HD) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,zacks.com,https://www.zacks.com/stock/news/2054815/will-home-depot-hd-beat-estimates-again-in-its-next-earnings-report,https://images.financialmodelingprep.com/news/will-home-depot-hd-beat-estimates-again-in-its-20230215.jpg
HD,2023-02-21,2023-02-14,2023-03-07,HD,,2023-02-15 22:51:03,2023-02-15T22:51:03-05:00,2023-02-15,The 10 Biggest Companies Reporting Earnings in the Fourth Week of February 2023,"Companies with a strong earnings growth rate are usually on traders' radars. Thus, it is important to keep track of stocks that are due to announce their earnings report card.",247wallst.com,https://247wallst.com/investing/2023/02/15/the-10-biggest-companies-reporting-earnings-in-the-fourth-week-of-february-2023/,https://images.financialmodelingprep.com/news/the-10-biggest-companies-reporting-earnings-in-the-fourth-20230215.jpg
HD,2023-02-21,2023-02-14,2023-03-07,HD,,2023-02-16 09:02:09,2023-02-16T09:02:09-05:00,2023-02-16,ETF Areas to Win on Upbeat January Retail Sales,"Retail sales in the United States increased 3% sequentially in January of 2023, the biggest increase since March of 2021.",zacks.com,https://www.zacks.com/stock/news/2055109/etf-areas-to-win-on-upbeat-january-retail-sales,https://images.financialmodelingprep.com/news/etf-areas-to-win-on-upbeat-january-retail-sales-20230216.jpg
HD,2023-02-21,2023-02-14,2023-03-07,HD,,2023-02-17 09:11:17,2023-02-17T09:11:17-05:00,2023-02-17,Home Depot: A Buy Despite Challenging 2023 Ahead,Home Depot is set to report its 4Q22 earnings and provide FY2023 guidance next week. I expect a downbeat commentary for FY2023.,seekingalpha.com,https://seekingalpha.com/article/4579443-home-depot-a-buy-despite-challenging-2023-ahead,https://images.financialmodelingprep.com/news/home-depot-a-buy-despite-challenging-2023-ahead-20230217.jpg
HD,2023-02-21,2023-02-14,2023-03-07,HD,,2023-02-17 09:57:57,2023-02-17T09:57:57-05:00,2023-02-17,"Dow Jones Retail Giants Walmart, Home Depot Set To Report; What To Expect","Walmart is picking up ""wallet share"" as higher-end consumers seek discounts to offset inflation.",investors.com,https://www.investors.com/research/earnings-preview/dow-jones-retail-giants-walmart-home-depot-set-to-report-what-to-expect/,https://images.financialmodelingprep.com/news/dow-jones-retail-giants-walmart-home-depot-set-to-20230217.jpg
HD,2023-02-21,2023-02-14,2023-03-07,HD,,2023-02-17 14:29:00,2023-02-17T14:29:00-05:00,2023-02-17,"Home Depot ‘one of the best long-term stories in retail,' analyst says","Home Depot Inc. reports its fourth-quarter results before market open on Feb. 21, kicking off retail earnings season.",marketwatch.com,https://www.marketwatch.com/story/home-depot-one-of-the-best-long-term-stories-in-retail-analyst-says-12a730c5,https://images.financialmodelingprep.com/news/home-depot-one-of-the-best-longterm-stories-in-20230217.jpg
HD,2023-02-21,2023-02-14,2023-03-07,HD,,2023-02-17 18:49:12,2023-02-17T18:49:12-05:00,2023-02-17,Should Investors Buy Home Depot or Walmart Stock Before Earnings?,"Home Depot (HD) and Walmart's (WMT) Q4 earnings reports on Tuesday, February 21, will give investors a broader glimpse of how the economy is currently affecting consumers.",zacks.com,https://www.zacks.com/stock/news/2056097/should-investors-buy-home-depot-or-walmart-stock-before-earnings,https://images.financialmodelingprep.com/news/should-investors-buy-home-depot-or-walmart-stock-before-20230217.jpg
HD,2023-02-21,2023-02-14,2023-03-07,HD,,2023-02-18 04:11:00,2023-02-18T04:11:00-05:00,2023-02-18,Revisiting My Investment Rules - January 2023 Dividend Income Report,"Sometimes, you don't have to go for a new stock to add to your portfolio, as you may have the answer right in front of you. I made two mistakes back-to-back with Algonquin and Sylogist. I decided to go back and revisit my investment rules to see what I might have been missing.",seekingalpha.com,https://seekingalpha.com/article/4579721-revisiting-my-investment-rules-january-2023-dividend-income-report,https://images.financialmodelingprep.com/news/revisiting-my-investment-rules-january-2023-dividend-income-report-20230218.jpg
HD,2023-02-21,2023-02-14,2023-03-07,HD,,2023-02-18 11:52:00,2023-02-18T11:52:00-05:00,2023-02-18,2 Earnings Reports for Retail Earnings Week,I'm watching one key retailer and a major semiconductor company for an indication of where our economy currently is.,thedogofwallstreet.com,https://thedogofwallstreet.com/hd/2-earnings-reports-for-retail-earnings-week?SNAPI,https://images.financialmodelingprep.com/news/2-earnings-reports-for-retail-earnings-week-20230218.webp
