ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
HD,2025-05-20,2025-05-13,2025-06-03,HD,,2025-05-13 10:06:00,2025-05-13T10:06:00-04:00,2025-05-13,"Investors Heavily Search The Home Depot, Inc. (HD): Here is What You Need to Know","Zacks.com users have recently been watching Home Depot (HD) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",zacks.com,https://www.zacks.com/stock/news/2467895/investors-heavily-search-the-home-depot-inc-hd-here-is-what-you-need-to-know?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|most_searched_stocks-2467895,https://images.financialmodelingprep.com/news/investors-heavily-search-the-home-depot-inc-hd-here-20250513.jpg
HD,2025-05-20,2025-05-13,2025-06-03,HD,,2025-05-13 11:00:44,2025-05-13T11:00:44-04:00,2025-05-13,Home Depot (HD) Expected to Beat Earnings Estimates: Should You Buy?,Home Depot (HD) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,zacks.com,https://www.zacks.com/stock/news/2468496/home-depot-hd-expected-to-beat-earnings-estimates-should-you-buy?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_9-2468496,https://images.financialmodelingprep.com/news/home-depot-hd-expected-to-beat-earnings-estimates-should-20250513.jpg
HD,2025-05-20,2025-05-13,2025-06-03,HD,,2025-05-13 18:50:52,2025-05-13T18:50:52-04:00,2025-05-13,Home Depot (HD) Stock Falls Amid Market Uptick: What Investors Need to Know,"Home Depot (HD) closed at $373.60 in the latest trading session, marking a -0.79% move from the prior day.",zacks.com,https://www.zacks.com/stock/news/2469609/home-depot-hd-stock-falls-amid-market-uptick-what-investors-need-to-know?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_6-2469609,https://images.financialmodelingprep.com/news/home-depot-hd-stock-falls-amid-market-uptick-what-20250513.jpg
HD,2025-05-20,2025-05-13,2025-06-03,HD,,2025-05-15 09:00:21,2025-05-15T09:00:21-04:00,2025-05-15,Home Depot's Setup Looks Strong: Invest Before Earnings or Hold Back?,"HD's Q1 results are expected to reflect gains from SRS Distribution gains, Pro strength and broad-based sales growth but softer demand for big-ticket items can weigh on results.",zacks.com,https://www.zacks.com/stock/news/2471640/home-depot-s-setup-looks-strong-invest-before-earnings-or-hold-back?cid=CS-STOCKNEWSAPI-FT-analyst_blog|most_popular_stocks-2471640,https://images.financialmodelingprep.com/news/home-depots-setup-looks-strong-invest-before-earnings-or-20250515.jpg
HD,2025-05-20,2025-05-13,2025-06-03,HD,,2025-05-15 10:15:22,2025-05-15T10:15:22-04:00,2025-05-15,"Exploring Analyst Estimates for Home Depot (HD) Q1 Earnings, Beyond Revenue and EPS","Evaluate the expected performance of Home Depot (HD) for the quarter ended April 2025, looking beyond the conventional Wall Street top-and-bottom-line estimates and examining some of its key metrics for better insight.",zacks.com,https://www.zacks.com/stock/news/2471693/exploring-analyst-estimates-for-home-depot-hd-q1-earnings-beyond-revenue-and-eps?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|nfm_preview-2471693,https://images.financialmodelingprep.com/news/exploring-analyst-estimates-for-home-depot-hd-q1-earnings-20250515.jpg
HD,2025-05-20,2025-05-13,2025-06-03,HD,,2025-05-16 06:35:03,2025-05-16T06:35:03-04:00,2025-05-16,How Will Home Depot's Stock React To Its Q1 Earnings?,"Note: Home Depot FY'24 concluded on February 2, 2025.",forbes.com,https://www.forbes.com/sites/greatspeculations/2025/05/16/how-will-home-depots-stock-react-to-its-q1-earnings/,https://images.financialmodelingprep.com/news/how-will-home-depots-stock-react-to-its-q1-20250516.jpg
HD,2025-05-20,2025-05-13,2025-06-03,HD,,2025-05-16 21:46:04,2025-05-16T21:46:04-04:00,2025-05-16,"Retail Earnings Continue: Target, Home Depot on Deck","The market wasn't particularly excited about Walmart's WMT results last Thursday, but we think the retail leader did an excellent job in an otherwise challenging operating environment.",zacks.com,https://www.zacks.com/commentary/2473277/retail-earnings-continue-target-home-depot-on-deck?cid=CS-STOCKNEWSAPI-FT-earnings_preview-2473277,https://images.financialmodelingprep.com/news/retail-earnings-continue-target-home-depot-on-deck-20250516.jpg
HD,2025-05-20,2025-05-13,2025-06-03,HD,,2025-05-17 15:18:11,2025-05-17T15:18:11-04:00,2025-05-17,"Top S&P 500 Index stocks to watch: PANW, HD, TGT, INTU, ADSK","The S&P 500 Index continued its strong rally last week, rising to a high of $5,958, its highest point since March 3. It has jumped by over 23% from its lowest point in April, meaning that it is in a bull market.",invezz.com,https://invezz.com/news/2025/05/17/top-sp-500-index-stocks-to-watch-panw-hd-tgt-intu-adsk/,https://images.financialmodelingprep.com/news/top-sp-500-index-stocks-to-watch-panw-hd-20250517.jpg
HD,2025-05-20,2025-05-13,2025-06-03,HD,,2025-05-18 05:06:04,2025-05-18T05:06:04-04:00,2025-05-18,What Analysts Think of Home Depot and Lowe's Stocks Ahead of Earnings,"Home Depot (HD) and rival Lowe's (LOW) are scheduled to report quarterly financial results on Tuesday and Wednesday, respectively, with analysts largely bullish on both home improvement retailers' stocks.",investopedia.com,https://www.investopedia.com/what-analysts-think-of-home-depot-and-lowes-stocks-ahead-of-earnings-11735337,https://images.financialmodelingprep.com/news/what-analysts-think-of-home-depot-and-lowes-stocks-20250518.jpg
HD,2025-05-20,2025-05-13,2025-06-03,HD,,2025-05-18 05:25:38,2025-05-18T05:25:38-04:00,2025-05-18,What To Expect in the Markets This Week,Several large retailers highlight this week's slate of scheduled earnings reports. Investors will also be reviewing housing market data for April and paying attention to a lineup of Federal Reserve officials speaking after a week when the major U.S. indexes logged gains.,investopedia.com,https://www.investopedia.com/what-to-expect-in-the-markets-this-week-11734954,https://images.financialmodelingprep.com/news/what-to-expect-in-the-markets-this-week-20250518.jpg
