ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20,pre_adj_close,react_adj_close,adj_close_p5,adj_close_p10,adj_close_p20
JNJ,2021-01-26,bmo,2021-01-25,2021-01-26,2021-02-02,2021-02-09,2021-02-24,144.0023651123047,147.9065704345703,139.89871215820312,144.2539825439453,141.94091796875
JNJ,2021-04-20,bmo,2021-04-19,2021-04-20,2021-04-27,2021-05-04,2021-05-18,142.02822875976562,145.33682250976562,142.45596313476562,146.4630126953125,148.8026580810547
JNJ,2021-07-21,bmo,2021-07-20,2021-07-21,2021-07-28,2021-08-04,2021-08-18,147.97412109375,148.88772583007812,151.250732421875,152.2873077392578,155.6517791748047
JNJ,2021-10-19,bmo,2021-10-18,2021-10-19,2021-10-26,2021-11-02,2021-11-16,141.49252319335938,144.80624389648438,146.46755981445312,146.32615661621094,143.74583435058594
JNJ,2022-01-25,bmo,2022-01-24,2022-01-25,2022-02-01,2022-02-08,2022-02-23,144.95425415039062,149.09910583496094,151.98983764648438,152.55018615722656,144.31822204589844
JNJ,2022-04-19,bmo,2022-04-18,2022-04-19,2022-04-26,2022-05-03,2022-05-17,159.03468322753906,163.88645935058594,165.31869506835938,159.5986328125,160.0730743408203
JNJ,2022-07-19,bmo,2022-07-18,2022-07-19,2022-07-26,2022-08-02,2022-08-16,156.96646118164062,154.6781463623047,156.47100830078125,155.78627014160156,150.96641540527344
JNJ,2022-10-18,bmo,2022-10-17,2022-10-18,2022-10-25,2022-11-01,2022-11-15,151.0918731689453,150.5658721923828,154.82861328125,156.98719787597656,156.35232543945312
JNJ,2023-01-24,bmo,2023-01-23,2023-01-24,2023-01-31,2023-02-07,2023-02-22,153.63717651367188,153.63717651367188,149.17349243164062,149.15524291992188,145.06106567382812
JNJ,2023-04-18,bmo,2023-04-17,2023-04-18,2023-04-25,2023-05-02,2023-05-16,152.31503295898438,148.0306854248047,151.86453247070312,151.72662353515625,146.49530029296875
JNJ,2023-07-20,bmo,2023-07-19,2023-07-20,2023-07-27,2023-08-03,2023-08-17,147.0447998046875,155.97459411621094,160.8933868408203,158.06809997558594,161.18978881835938
JNJ,2023-10-17,bmo,2023-10-16,2023-10-17,2023-10-24,2023-10-31,2023-11-14,146.98345947265625,145.63986206054688,141.105224609375,138.40870666503906,137.77423095703125
JNJ,2024-01-23,bmo,2024-01-22,2024-01-23,2024-01-30,2024-02-06,2024-02-21,152.8066864013672,150.30490112304688,149.3267364501953,148.65899658203125,150.375244140625
JNJ,2024-04-16,bmo,2024-04-15,2024-04-16,2024-04-23,2024-04-30,2024-05-14,139.86566162109375,136.88999938964844,141.73255920410156,137.0226593017578,143.45730590820312
JNJ,2024-07-17,bmo,2024-07-16,2024-07-17,2024-07-24,2024-07-31,2024-08-14,144.26344299316406,149.5846405029297,149.29803466796875,150.7978973388672,151.3997344970703
JNJ,2024-10-15,bmo,2024-10-14,2024-10-15,2024-10-22,2024-10-29,2024-11-12,155.55210876464844,157.95855712890625,157.3328857421875,154.09860229492188,146.9274444580078
JNJ,2025-01-22,bmo,2025-01-21,2025-01-22,2025-01-29,2025-02-05,2025-02-20,143.7497100830078,140.95526123046875,146.66061401367188,150.09547424316406,156.17745971679688
JNJ,2025-04-15,bmo,2025-04-14,2025-04-15,2025-04-23,2025-04-30,2025-05-14,150.97415161132812,150.25039672851562,151.97178649902344,152.8813934326172,143.14964294433594
JNJ,2025-07-16,bmo,2025-07-15,2025-07-16,2025-07-23,2025-07-30,2025-08-13,153.06747436523438,162.54725646972656,166.80873107910156,164.99365234375,172.056640625
JNJ,2025-10-14,bmo,2025-10-13,2025-10-14,2025-10-21,2025-10-28,2025-11-11,189.6955718994141,189.6459045410156,190.66940307617188,185.75062561035156,192.6071014404297
