ticker,earnings_date,day0_date,phase,n_tokens,n_tokens_raw,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
JNJ,2021-01-26,2021-01-26,post,1417.0,2524.0,28.0,42.0,22.0,3.0,9.0,14.0,10.0,9.0,0.019760056457304165,0.029640084685956247,0.015525758645024701,0.002117148906139732,0.006351446718419196,-0.009880028228652082
JNJ,2021-01-26,2021-01-26,pre,941.0,1698.0,27.0,15.0,27.0,0.0,1.0,4.0,19.0,0.0,0.028692879914984058,0.015940488841657812,0.028692879914984058,0.0,0.0010626992561105207,0.012752391073326248
JNJ,2021-04-20,2021-04-20,post,1337.0,2510.0,11.0,41.0,41.0,13.0,5.0,14.0,16.0,1.0,0.008227374719521317,0.030665669409124907,0.030665669409124907,0.009723261032161555,0.0037397157816005983,-0.02243829468960359
JNJ,2021-04-20,2021-04-20,pre,2145.0,4091.0,22.0,98.0,34.0,21.0,3.0,20.0,16.0,1.0,0.010256410256410256,0.04568764568764569,0.015850815850815853,0.009790209790209791,0.0013986013986013986,-0.035431235431235435
JNJ,2021-07-21,2021-07-21,post,749.0,1299.0,15.0,30.0,15.0,20.0,4.0,7.0,8.0,5.0,0.020026702269692925,0.04005340453938585,0.020026702269692925,0.0267022696929239,0.0053404539385847796,-0.020026702269692925
JNJ,2021-07-21,2021-07-21,pre,839.0,1549.0,8.0,34.0,21.0,18.0,0.0,4.0,12.0,8.0,0.009535160905840286,0.04052443384982122,0.025029797377830752,0.021454112038140644,0.0,-0.03098927294398093
JNJ,2021-10-19,2021-10-19,post,707.0,1332.0,13.0,16.0,8.0,16.0,1.0,5.0,7.0,6.0,0.018387553041018388,0.02263083451202263,0.011315417256011316,0.02263083451202263,0.0014144271570014145,-0.004243281471004243
JNJ,2021-10-19,2021-10-19,pre,938.0,1759.0,9.0,43.0,7.0,22.0,1.0,9.0,5.0,5.0,0.009594882729211088,0.04584221748400853,0.007462686567164179,0.023454157782515993,0.0010660980810234541,-0.03624733475479744
JNJ,2022-01-25,2022-01-25,post,569.0,1031.0,15.0,23.0,7.0,15.0,1.0,4.0,5.0,6.0,0.026362038664323375,0.040421792618629174,0.012302284710017574,0.026362038664323375,0.0017574692442882249,-0.014059753954305799
JNJ,2022-01-25,2022-01-25,pre,309.0,606.0,5.0,13.0,2.0,7.0,0.0,3.0,0.0,1.0,0.016181229773462782,0.042071197411003236,0.006472491909385114,0.022653721682847898,0.0,-0.025889967637540454
