ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
JNJ,2023-07-20,2023-07-06,2023-08-03,JNJ,,2023-07-06 07:24:17,2023-07-06T07:24:17-04:00,2023-07-06,Bausch + Lomb buys J&J's dry eye relief drops for $107 mln,Bausch + Lomb said on Thursday it has acquired Johnson & Johnson's eye and contact lens drops for $106.5 million in an all-cash deal to expand its portfolio of over-the-counter eye care products.,reuters.com,https://www.reuters.com/markets/deals/bausch-lomb-buys-jjs-dry-eye-relief-drops-107-million-2023-07-06/,https://images.financialmodelingprep.com/news/bausch-lomb-buys-jjs-dry-eye-relief-drops-for-107-20230706.jpg
JNJ,2023-07-20,2023-07-06,2023-08-03,JNJ,,2023-07-06 10:00:00,2023-07-06T10:00:00-04:00,2023-07-06,2 Best Biotech Stocks to Buy in July,Johnson & Johnson and Merck both sell numerous popular medicines. Both also have encouraging pipelines that should lead to more products.,fool.com,https://www.fool.com/investing/2023/07/06/2-best-biotech-stocks-to-buy-in-july/,https://images.financialmodelingprep.com/news/2-best-biotech-stocks-to-buy-in-july-20230706.jpg
JNJ,2023-07-20,2023-07-06,2023-08-03,JNJ,,2023-07-06 11:53:25,2023-07-06T11:53:25-04:00,2023-07-06,3 Super-Safe Dividend Stocks to Buy for the Rest of 2023,"In the ever-changing finance landscape, investors constantly hunt for dependable choices. Safe dividend stocks offer a strong option.",investorplace.com,https://investorplace.com/2023/07/3-super-safe-dividend-stocks-to-buy-for-the-rest-of-2023/,https://images.financialmodelingprep.com/news/3-supersafe-dividend-stocks-to-buy-for-the-rest-20230706.jpg
JNJ,2023-07-20,2023-07-06,2023-08-03,JNJ,,2023-07-06 13:04:50,2023-07-06T13:04:50-04:00,2023-07-06,Johnson & Johnson: A Safe and Undervalued Dividend Aristocrat,"Johnson & Johnson ( JNJ , Financial) is a leading company in the pharmaceutical and consumer health care industries that was founded in 1886. One of the most recognizable brands in the world with a well-established business, it is no hot growth stock that will explode overnight, but is instead a ""boring"" business that provides essential products and has proven its ability to grow profitably in the long run.",gurufocus.com,https://www.gurufocus.com/news/2035138/johnson--johnson-a-safe-and-undervalued-dividend-aristocrat,https://images.financialmodelingprep.com/news/johnson-johnson-a-safe-and-undervalued-dividend-aristocrat-20230706.jpg
JNJ,2023-07-20,2023-07-06,2023-08-03,JNJ,,2023-07-06 14:48:32,2023-07-06T14:48:32-04:00,2023-07-06,Johnson & Johnson: Supplemental BLA Of Carvykti Gives Great Growth Opportunity,"Johnson & Johnson's Supplemental Biologics Licensing Application of CARVYKTI was filed; approval would allow company to target a much earlier Multiple Myeloma patient population. Sales of CARVYTKI have not ramped up well since launch, but efforts are being made to increase manufacturing capacity to boost revenues. DARZALEX is another drug in the pipeline which has been approved to treat patients with Multiple Myeloma.",seekingalpha.com,https://seekingalpha.com/article/4615559-johnson-and-johnson-supplemental-bla-of-carvykti-gives-great-growth-opportunity,https://images.financialmodelingprep.com/news/johnson-johnson-supplemental-bla-of-carvykti-gives-great-growth-20230706.jpg
JNJ,2023-07-20,2023-07-06,2023-08-03,JNJ,,2023-07-06 14:50:32,2023-07-06T14:50:32-04:00,2023-07-06,The 3 Best Defensive Stocks to Buy Now (and Never Sell),Investors are always looking to buy the best defensive stocks. Investing in defense stocks provides stability during uncertain times due to their reliable government contracts.,investorplace.com,https://investorplace.com/2023/07/the-3-best-defensive-stocks-to-buy-now-and-never-sell/,https://images.financialmodelingprep.com/news/the-3-best-defensive-stocks-to-buy-now-and-20230706.png
JNJ,2023-07-20,2023-07-06,2023-08-03,JNJ,,2023-07-07 06:00:00,2023-07-07T06:00:00-04:00,2023-07-07,"2 Reasons to Buy Johnson & Johnson, and 1 Reason to Sell",Johnson & Johnson is one of today's biggest healthcare stocks by market value. The company has grown earnings and its dividend over time.,fool.com,https://www.fool.com/investing/2023/07/07/2-reasons-to-buy-johnson-johnson-1-reason-to-sell/,https://images.financialmodelingprep.com/news/2-reasons-to-buy-johnson-johnson-and-1-reason-20230707.jpg
JNJ,2023-07-20,2023-07-06,2023-08-03,JNJ,,2023-07-07 17:00:36,2023-07-07T17:00:36-04:00,2023-07-07,Dow Jones Today: Index Falls After Soft Jobs Report,"Job creation came in lower than expected, and investors are still worried about higher interest rates, sending the Dow lower by about 190 points.",investopedia.com,https://www.investopedia.com/dow-jones-today-index-falls-after-soft-jobs-report-7558156,https://images.financialmodelingprep.com/news/dow-jones-today-index-falls-after-soft-jobs-report-20230707.jpg
JNJ,2023-07-20,2023-07-06,2023-08-03,JNJ,,2023-07-07 18:07:14,2023-07-07T18:07:14-04:00,2023-07-07,3 Beaten-Down Dividend Stocks Primed for a Profitable Comeback,"The great thing about strong, consistent dividend stocks? They tend to have strong, consistent businesses.",investorplace.com,https://investorplace.com/2023/07/3-beaten-down-dividend-stocks-primed-for-a-profitable-comeback/,https://images.financialmodelingprep.com/news/3-beatendown-dividend-stocks-primed-for-a-profitable-comeback-20230707.jpg
JNJ,2023-07-20,2023-07-06,2023-08-03,JNJ,,2023-07-07 19:08:49,2023-07-07T19:08:49-04:00,2023-07-07,Passive Income: 3 Dividend Kings Worth a Look,"Dividends soften the blow from drawdowns in other positions, provide more than one way to reap a return from an investment, and allow maximum returns through dividend reinvestment.",zacks.com,https://www.zacks.com/stock/news/2118297/passive-income-3-dividend-kings-worth-a-look,https://images.financialmodelingprep.com/news/passive-income-3-dividend-kings-worth-a-look-20230707.jpg
