ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20
LLY,2021-01-29,bmo,2021-01-28,2021-01-29,2021-02-05,2021-02-12,2021-03-01
LLY,2021-04-27,bmo,2021-04-26,2021-04-27,2021-05-04,2021-05-11,2021-05-25
LLY,2021-08-03,bmo,2021-08-02,2021-08-03,2021-08-10,2021-08-17,2021-08-31
LLY,2021-10-26,bmo,2021-10-25,2021-10-26,2021-11-02,2021-11-09,2021-11-23
LLY,2022-02-03,bmo,2022-02-02,2022-02-03,2022-02-10,2022-02-17,2022-03-04
LLY,2022-04-28,bmo,2022-04-27,2022-04-28,2022-05-05,2022-05-12,2022-05-26
LLY,2022-08-04,bmo,2022-08-03,2022-08-04,2022-08-11,2022-08-18,2022-09-01
LLY,2022-11-01,bmo,2022-10-31,2022-11-01,2022-11-08,2022-11-15,2022-11-30
LLY,2023-02-02,bmo,2023-02-01,2023-02-02,2023-02-09,2023-02-16,2023-03-03
LLY,2023-04-27,bmo,2023-04-26,2023-04-27,2023-05-04,2023-05-11,2023-05-25
LLY,2023-08-08,bmo,2023-08-07,2023-08-08,2023-08-15,2023-08-22,2023-09-06
LLY,2023-11-02,bmo,2023-11-01,2023-11-02,2023-11-09,2023-11-16,2023-12-01
LLY,2024-02-06,bmo,2024-02-05,2024-02-06,2024-02-13,2024-02-21,2024-03-06
LLY,2024-04-30,bmo,2024-04-29,2024-04-30,2024-05-07,2024-05-14,2024-05-29
LLY,2024-08-08,bmo,2024-08-07,2024-08-08,2024-08-15,2024-08-22,2024-09-06
LLY,2024-10-30,bmo,2024-10-29,2024-10-30,2024-11-06,2024-11-13,2024-11-27
LLY,2025-02-06,bmo,2025-02-05,2025-02-06,2025-02-13,2025-02-21,2025-03-07
LLY,2025-05-01,bmo,2025-04-30,2025-05-01,2025-05-08,2025-05-15,2025-05-30
LLY,2025-08-07,bmo,2025-08-06,2025-08-07,2025-08-14,2025-08-21,2025-09-05
LLY,2025-10-30,bmo,2025-10-29,2025-10-30,2025-11-06,2025-11-13,2025-11-28
