ticker,earnings_date,announce_timing,pre_close_date,day0_date,dt_m10,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays
LLY,2021-01-29,bmo,2021-01-28,2021-01-29,2021-01-14,2021-01-22,2021-01-28,2021-02-01,2021-02-05,2021-02-12,2021-01-14,2021-02-12,10,10
LLY,2021-04-27,bmo,2021-04-26,2021-04-27,2021-04-13,2021-04-20,2021-04-26,2021-04-28,2021-05-04,2021-05-11,2021-04-13,2021-05-11,10,10
LLY,2021-08-03,bmo,2021-08-02,2021-08-03,2021-07-20,2021-07-27,2021-08-02,2021-08-04,2021-08-10,2021-08-17,2021-07-20,2021-08-17,10,10
LLY,2021-10-26,bmo,2021-10-25,2021-10-26,2021-10-12,2021-10-19,2021-10-25,2021-10-27,2021-11-02,2021-11-09,2021-10-12,2021-11-09,10,10
LLY,2022-02-03,bmo,2022-02-02,2022-02-03,2022-01-20,2022-01-27,2022-02-02,2022-02-04,2022-02-10,2022-02-17,2022-01-20,2022-02-17,10,10
LLY,2022-04-28,bmo,2022-04-27,2022-04-28,2022-04-13,2022-04-21,2022-04-27,2022-04-29,2022-05-05,2022-05-12,2022-04-13,2022-05-12,10,10
LLY,2022-08-04,bmo,2022-08-03,2022-08-04,2022-07-21,2022-07-28,2022-08-03,2022-08-05,2022-08-11,2022-08-18,2022-07-21,2022-08-18,10,10
LLY,2022-11-01,bmo,2022-10-31,2022-11-01,2022-10-18,2022-10-25,2022-10-31,2022-11-02,2022-11-08,2022-11-15,2022-10-18,2022-11-15,10,10
LLY,2023-02-02,bmo,2023-02-01,2023-02-02,2023-01-19,2023-01-26,2023-02-01,2023-02-03,2023-02-09,2023-02-16,2023-01-19,2023-02-16,10,10
LLY,2023-04-27,bmo,2023-04-26,2023-04-27,2023-04-13,2023-04-20,2023-04-26,2023-04-28,2023-05-04,2023-05-11,2023-04-13,2023-05-11,10,10
LLY,2023-08-08,bmo,2023-08-07,2023-08-08,2023-07-25,2023-08-01,2023-08-07,2023-08-09,2023-08-15,2023-08-22,2023-07-25,2023-08-22,10,10
LLY,2023-11-02,bmo,2023-11-01,2023-11-02,2023-10-19,2023-10-26,2023-11-01,2023-11-03,2023-11-09,2023-11-16,2023-10-19,2023-11-16,10,10
LLY,2024-02-06,bmo,2024-02-05,2024-02-06,2024-01-23,2024-01-30,2024-02-05,2024-02-07,2024-02-13,2024-02-21,2024-01-23,2024-02-21,10,10
LLY,2024-04-30,bmo,2024-04-29,2024-04-30,2024-04-16,2024-04-23,2024-04-29,2024-05-01,2024-05-07,2024-05-14,2024-04-16,2024-05-14,10,10
LLY,2024-08-08,bmo,2024-08-07,2024-08-08,2024-07-25,2024-08-01,2024-08-07,2024-08-09,2024-08-15,2024-08-22,2024-07-25,2024-08-22,10,10
LLY,2024-10-30,bmo,2024-10-29,2024-10-30,2024-10-16,2024-10-23,2024-10-29,2024-10-31,2024-11-06,2024-11-13,2024-10-16,2024-11-13,10,10
LLY,2025-02-06,bmo,2025-02-05,2025-02-06,2025-01-23,2025-01-30,2025-02-05,2025-02-07,2025-02-13,2025-02-21,2025-01-23,2025-02-21,10,10
LLY,2025-05-01,bmo,2025-04-30,2025-05-01,2025-04-16,2025-04-24,2025-04-30,2025-05-02,2025-05-08,2025-05-15,2025-04-16,2025-05-15,10,10
LLY,2025-08-07,bmo,2025-08-06,2025-08-07,2025-07-24,2025-07-31,2025-08-06,2025-08-08,2025-08-14,2025-08-21,2025-07-24,2025-08-21,10,10
LLY,2025-10-30,bmo,2025-10-29,2025-10-30,2025-10-16,2025-10-23,2025-10-29,2025-10-31,2025-11-06,2025-11-13,2025-10-16,2025-11-13,10,10
