ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
LLY,2023-02-02,2023-01-19,2023-02-16,LLY,,2023-01-19 10:00:00,2023-01-19T10:00:00-05:00,2023-01-19,Lilly Confirms Date and Conference Call for Fourth-Quarter 2022 Financial Results Announcement,"INDIANAPOLIS , Jan. 19, 2023 /PRNewswire/ -- Eli Lilly and Company (NYSE: LLY) will announce its fourth-quarter 2022 financial results on Thursday, Feb. 2, 2023. Lilly will also conduct a conference call that day with the investment community and media to further detail the company's financial performance.",prnewswire.com,https://www.prnewswire.com/news-releases/lilly-confirms-date-and-conference-call-for-fourth-quarter-2022-financial-results-announcement-301724909.html,https://images.financialmodelingprep.com/news/lilly-confirms-date-and-conference-call-for-fourthquarter-2022-20230119.jpg
LLY,2023-02-02,2023-01-19,2023-02-16,LLY,,2023-01-19 18:00:00,2023-01-19T18:00:00-05:00,2023-01-19,U.S. Food and Drug Administration Issues Complete Response Letter for Accelerated Approval of Donanemab,"Accelerated approval application was based on Phase 2 trial showing amyloid plaque lowering Complete response letter based on limited number of patients with 12-month drug exposure data in the accelerated approval submission; no other deficiencies were identified Definitive Phase 3 readout and submission for traditional approval remain on track for mid-year 2023 INDIANAPOLIS , Jan. 19, 2023 /PRNewswire/ -- Eli Lilly and Company (NYSE: LLY) today announced the U.S. Food and Drug Administration (FDA) has issued a complete response letter for the accelerated approval submission of donanemab for the treatment of early symptomatic Alzheimer's disease due to the limited number of patients with at least 12 months of drug exposure data provided in the submission . No other deficiencies in the application were noted.",prnewswire.com,https://www.prnewswire.com/news-releases/us-food-and-drug-administration-issues-complete-response-letter-for-accelerated-approval-of-donanemab-301726325.html,https://images.financialmodelingprep.com/news/us-food-and-drug-administration-issues-complete-response-letter-20230119.jpg
LLY,2023-02-02,2023-01-19,2023-02-16,LLY,,2023-01-19 19:16:00,2023-01-19T19:16:00-05:00,2023-01-19,"FDA rejects Eli Lilly's proposed Alzheimer's treatment, says more data needed","U.S. drug regulators rejected Eli Lilly & Co.'s proposed new Alzheimer's disease treatment, saying they need more data from clinical testing, according to the company.",marketwatch.com,https://www.marketwatch.com/story/fda-rejects-eli-lillys-proposed-alzheimers-treatment-says-more-data-needed-11674173770,https://images.financialmodelingprep.com/news/fda-rejects-eli-lillys-proposed-alzheimers-treatment-says-more-20230119.jpg
LLY,2023-02-02,2023-01-19,2023-02-16,LLY,,2023-01-20 09:00:00,2023-01-20T09:00:00-05:00,2023-01-20,US FDA accepts supplemental New Drug Application for Jardiance® for adults with chronic kidney disease,"The supplemental New Drug Application is based on results from the landmark EMPA-KIDNEY phase III trial, which showed Jardiance® (empagliflozin) tablets significantly reduced the risk of kidney disease progression* or cardiovascular death in adults with CKD by 28% (absolute risk reduction [ARR]: 3.8%) compared with placebo, both on top of standard of care. RIDGEFIELD, Conn.",prnewswire.com,https://www.prnewswire.com/news-releases/us-fda-accepts-supplemental-new-drug-application-for-jardiance-for-adults-with-chronic-kidney-disease-301726873.html,https://images.financialmodelingprep.com/news/us-fda-accepts-supplemental-new-drug-application-for-jardiance-20230120.jpg
LLY,2023-02-02,2023-01-19,2023-02-16,LLY,,2023-01-20 09:23:00,2023-01-20T09:23:00-05:00,2023-01-20,Why the FDA didn't grant an approval to Lilly's Alzheimer's drug,"Eli Lilly & Co. LLY, -0.26% now plans to seek full approval of its experimental Alzheimer's disease treatment after the Food and Drug Administration refused to grant a speedier approval using less rigorous clinical data.",marketwatch.com,https://www.marketwatch.com/story/why-the-fda-didnt-grant-an-approval-to-lillys-alzheimers-drug-11674224605,https://images.financialmodelingprep.com/news/why-the-fda-didnt-grant-an-approval-to-lillys-20230120.jpg
LLY,2023-02-02,2023-01-19,2023-02-16,LLY,,2023-01-20 09:58:27,2023-01-20T09:58:27-05:00,2023-01-20,"In A Stunner, Eli Lilly Stock Falls After FDA Delivers A Blow To Its Alzheimer's Drug","Eli Lilly stock dipped Friday after the FDA unexpectedly rejected its request for an accelerated approval of its Alzheimer's treatment. The post In A Stunner, Eli Lilly Stock Falls After FDA Delivers A Blow To Its Alzheimer's Drug appeared first on Investor's Business Daily.",investors.com,https://www.investors.com/news/technology/eli-lilly-stock-dips-after-fda-stuns-with-an-alzheimers-treatment-rejection/,https://images.financialmodelingprep.com/news/in-a-stunner-eli-lilly-stock-falls-after-fda-20230120.jpg
LLY,2023-02-02,2023-01-19,2023-02-16,LLY,,2023-01-20 13:56:55,2023-01-20T13:56:55-05:00,2023-01-20,Eli Lilly shares slide as US regulator wants more data on its potential Alzheimer's treatment,"Eli Lilly and Co (NYSE:LLY) shares sank after it emerged that the US Food and Drug Administration (FDA) said needed to see more data on the company's application to accelerate approval of its potential Alzheimer's disease treatment. In the complete response letter to the company's accelerated approval application, the regulator specifically requested that Eli Lilly provide data from at least 100 patients who received a minimum of 12 months of continued treatment on donanemab, the company said after markets closed on Thursday.",proactiveinvestors.ca,https://www.proactiveinvestors.ca/companies/news/1003966?SNAPI,https://images.financialmodelingprep.com/news/eli-lilly-shares-slide-as-us-regulator-wants-more-20230120.jpg
LLY,2023-02-02,2023-01-19,2023-02-16,LLY,,2023-01-20 14:18:16,2023-01-20T14:18:16-05:00,2023-01-20,FDA Rejects Accelerated Nod to Lilly's (LLY) Alzheimer's Drug,"The FDA rejects Eli Lilly's (LLY) seeking accelerated approval of a new Alzheimer's drug, donanemab, due to the limited number of patients with at least 12 months of drug exposure data.",zacks.com,https://www.zacks.com/stock/news/2042167/fda-rejects-accelerated-nod-to-lilly-s-lly-alzheimer-s-drug,https://images.financialmodelingprep.com/news/fda-rejects-accelerated-nod-to-lillys-lly-alzheimers-drug-20230120.jpg
LLY,2023-02-02,2023-01-19,2023-02-16,LLY,,2023-01-20 18:10:34,2023-01-20T18:10:34-05:00,2023-01-20,US Markets End the Week With Gains as Tech Stocks Soar,"The Nasdaq was up by roughly 2.7% during the session on Friday, Jan. 20, while the Dow and S&P 500 also posted gains to close out the trading week.",investopedia.com,https://www.investopedia.com/us-markets-end-the-week-with-gains-as-tech-stocks-soar-7097769?title=us-markets-end-the-week-with-gains-as-tech-stocks-soar,https://images.financialmodelingprep.com/news/us-markets-end-the-week-with-gains-as-tech-20230120.png
LLY,2023-02-02,2023-01-19,2023-02-16,LLY,,2023-01-21 14:44:38,2023-01-21T14:44:38-05:00,2023-01-21,Lilly's Alzheimer's drug setback is ‘not a thesis-breaker',Eli Lilly & Co (NYSE: LLY) ended slightly down on Friday after the U.S. FDA rejected its request of accelerated approval for Donanemab – its Alzheimer's drug. Why did the FDA reject its application?,invezz.com,https://invezz.com/news/2023/01/21/buy-lilly-stock-despite-alzheimers-drug-setback/,https://images.financialmodelingprep.com/news/lillys-alzheimers-drug-setback-is-not-a-thesisbreaker-20230121.jpg
