,abs_corr_with_target
km_freeCashFlowPerShare,0.7078765839202033
km_capexToRevenue,0.6419885182610005
km_cashPerShare,0.5917082764047793
km_freeCashFlowYield,0.5496864045769413
km_netDebtToEBITDA,0.5092160780620667
rt_interestCoverage,0.484173139998295
km_enterpriseValueOverEBITDA,0.4694044487569573
rt_enterpriseValueMultiple,0.4694044487569573
rt_netProfitMargin,0.4659755859650345
rt_returnOnAssets,0.4656427833853007
km_operatingCashFlowPerShare,0.45663671123480676
rt_priceFairValue,0.39239797851030395
km_pbRatio,0.39239797851030395
km_roic,0.37891392977216687
rt_debtEquityRatio,0.34295020631963147
km_debtToEquity,0.34295020631963147
km_earningsYield,0.3401823052676204
km_bookValuePerShare,0.33002123910504
rt_effectiveTaxRate,0.3158866524178399
rt_cashFlowToDebtRatio,0.31513410241419554
km_evToSales,0.3004366548170148
km_priceToSalesRatio,0.29761976710598226
rt_operatingCashFlowSalesRatio,0.28896264177052844
rt_quickRatio,0.283825168926021
rt_cashRatio,0.28172473801538284
rt_returnOnEquity,0.27398916667512013
km_revenuePerShare,0.27330074360157725
km_incomeQuality,0.23554941862983186
rt_payoutRatio,0.23025193641338024
rt_debtRatio,0.22488219714878827
rt_currentRatio,0.2192983943921919
rt_priceEarningsRatio,0.21815038090738073
km_peRatio,0.21815038090738073
eps_surprise_pct,0.16742103103209474
rt_priceToOperatingCashFlowsRatio,0.16644727168081208
km_pocfratio,0.16644727168081208
rt_assetTurnover,0.11667295410648605
revenue_surprise_pct,0.10558230048585364
rt_returnOnCapitalEmployed,0.1001868410103073
rt_daysOfSalesOutstanding,0.09760791720841151
rt_receivablesTurnover,0.09445068756575824
km_marketCap,0.07452825729794942
rt_dividendYield,0.07084431026725728
km_enterpriseValue,0.07058215202111784
rt_cashConversionCycle,0.06112332750029379
rt_priceToFreeCashFlowsRatio,0.06103643189777594
km_pfcfRatio,0.06103643189777594
rt_inventoryTurnover,0.058807921548231626
rt_daysOfPayablesOutstanding,0.055614913472921544
rt_ebitPerRevenue,0.045108410322972116
rt_operatingProfitMargin,0.045108410322972116
rt_grossProfitMargin,0.040790113290766546
km_researchAndDdevelopementToRevenue,0.03557440613702969
rt_daysOfInventoryOutstanding,0.013179331956087496
