date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-12-31,MA,USD,0001141391,2021-02-12,2021-02-12 10:44:10,2020,Q4,4120000000,970000000,3150000000,0,636000000,242000000,878000000,214000000,1092000000,2062000000,-105000000,0,105000000,150000000,2423000000,2273000000,-215000000,2058000000,110000000,2168000000,383000000,1785000000,0,0,1785000000,0,1785000000,1.79,1.78,996000014,1001000015
2021-03-31,MA,USD,0001141391,2021-04-29,2021-04-29 10:12:52,2021,Q1,4155000000,1104000000,3051000000,0,564000000,119000000,683000000,171000000,854000000,1958000000,-107000000,0,107000000,163000000,2460000000,2297000000,-100000000,2197000000,-7000000,2190000000,362000000,1828000000,0,0,1828000000,0,1828000000,1.84,1.83,994000000,998000000
2021-06-30,MA,USD,0001141391,2021-07-29,2021-07-29 10:27:00,2021,Q2,4528000000,1130000000,3398000000,0,580000000,216000000,796000000,261000000,1057000000,2187000000,-106000000,0,106000000,186000000,2770000000,2584000000,-243000000,2341000000,137000000,2478000000,412000000,2066000000,0,0,2066000000,0,2066000000,2.09,2.08,990000000,994000000
2021-09-30,MA,USD,0001141391,2021-10-28,2021-10-28 10:12:34,2021,Q3,4985000000,1166000000,3819000000,0,646000000,222000000,868000000,234000000,1102000000,2268000000,-110000000,0,110000000,188000000,3114000000,2926000000,-209000000,2717000000,99000000,2816000000,402000000,2414000000,0,0,2414000000,0,2414000000,2.45,2.44,986000000,990000000
2021-12-31,MA,USD,0001141391,2022-02-11,2022-02-11 09:52:16,2021,Q4,5216000000,1089000000,4127000000,0,757000000,338000000,1095000000,205000000,1300000000,2389000000,-108000000,0,108000000,189000000,3120000000,2931000000,-104000000,2827000000,-4000000,2823000000,444000000,2379000000,0,0,2379000000,0,2379000000,2.42,2.41,982000000,986000000
2022-03-31,MA,USD,0001141391,2022-04-28,2022-04-28 10:16:49,2022,Q1,5167000000,1181000000,3986000000,0,627000000,181000000,808000000,228000000,1036000000,2217000000,-110000000,0,110000000,192000000,3075000000,2883000000,67000000,2950000000,-177000000,2773000000,142000000,2631000000,0,0,2631000000,0,2631000000,2.69,2.68,977000000,981000000
2022-06-30,MA,USD,0001141391,2022-07-28,2022-07-28 13:25:14,2022,Q2,5497000000,1319000000,4178000000,0,593000000,210000000,803000000,357000000,1160000000,2479000000,-114000000,0,114000000,189000000,3101000000,2912000000,106000000,3018000000,-220000000,2798000000,523000000,2275000000,0,0,2275000000,0,2275000000,2.34,2.34,971000000,974000000
2022-09-30,MA,USD,0001141391,2022-10-27,2022-10-27 10:06:30,2022,Q3,5756000000,1382000000,4374000000,0,649000000,182000000,831000000,431000000,1262000000,2644000000,-120000000,0,120000000,185000000,3377000000,3192000000,-80000000,3112000000,-40000000,3072000000,573000000,2499000000,0,0,2499000000,0,2499000000,2.59,2.58,965000000,968000000
2022-12-31,MA,USD,0001141391,2023-02-14,2023-02-14 16:48:22,2022,Q4,5817000000,1381000000,4436000000,0,844000000,216000000,1060000000,192000000,1252000000,2633000000,-127000000,0,127000000,184000000,3400000000,3216000000,-32000000,3184000000,-95000000,3089000000,564000000,2525000000,0,0,2525000000,0,2525000000,2.63,2.62,960000000,963000000
2023-03-31,MA,USD,0001141391,2023-04-27,2023-04-27 10:45:20,2023,Q1,5748000000,1426000000,4322000000,0,601000000,167000000,768000000,418000000,1186000000,2612000000,-132000000,0,132000000,191000000,3176000000,2985000000,151000000,3136000000,-283000000,2853000000,492000000,2361000000,0,0,2361000000,0,2361000000,2.48,2.47,953000000,956000000
2023-06-30,MA,USD,0001141391,2023-07-27,2023-07-27 10:19:39,2023,Q2,6269000000,1495000000,4774000000,0,681000000,201000000,882000000,236000000,1118000000,2613000000,-144000000,0,144000000,192000000,4040000000,3848000000,-192000000,3656000000,48000000,3704000000,859000000,2845000000,0,0,2845000000,0,2845000000,3.01,3.0,946000000,949000000
2023-09-30,MA,USD,0001141391,2023-10-26,2023-10-26 10:11:53,2023,Q3,6533000000,1573000000,4960000000,0,687000000,193000000,880000000,236000000,1116000000,2689000000,-151000000,0,151000000,211000000,4123000000,3912000000,-68000000,3844000000,-83000000,3761000000,563000000,3198000000,0,0,3198000000,0,3198000000,3.4,3.39,941000000,943000000
2023-12-31,MA,USD,0001141391,2024-02-13,2024-02-13 12:47:32,2023,Q4,6548000000,1528000000,5020000000,0,853000000,264000000,1117000000,531000000,1648000000,3176000000,-148000000,0,148000000,205000000,3674000000,3469000000,-97000000,3372000000,-51000000,3321000000,530000000,2791000000,0,0,2791000000,0,2791000000,2.98,2.97,936000000,939000000
2024-03-31,MA,USD,0001141391,2024-05-01,2024-05-01 10:22:38,2024,Q1,6348000000,1514000000,4834000000,0,744000000,116000000,860000000,370000000,1230000000,2744000000,-150000000,0,150000000,216000000,3924000000,3708000000,-104000000,3604000000,-46000000,3558000000,547000000,3011000000,0,0,3011000000,0,3011000000,3.23,3.22,933000000,935000000
2024-06-30,MA,USD,0001141391,2024-07-31,2024-07-31 10:19:22,2024,Q2,6961000000,1607000000,5354000000,0,806000000,184000000,990000000,328000000,1318000000,2925000000,-153000000,0,153000000,225000000,4317000000,4092000000,-56000000,4036000000,-97000000,3939000000,681000000,3258000000,0,0,3258000000,0,3258000000,3.51,3.5,929000000,930000000
2024-09-30,MA,USD,0001141391,2024-10-31,2024-10-31 10:27:36,2024,Q3,7369000000,1899000000,5470000000,0,829000000,220000000,1049000000,417000000,1466000000,3365000000,-159000000,0,159000000,225000000,4250000000,4025000000,-21000000,4004000000,-138000000,3866000000,603000000,3263000000,0,0,3263000000,0,3263000000,3.54,3.53,923000000,925000000
2024-12-31,MA,USD,0001141391,2025-02-12,2025-02-12 14:30:36,2024,Q4,7489000000,1653000000,5836000000,0,1076000000,295000000,1371000000,527000000,1898000000,3551000000,-184000000,0,184000000,231000000,4306000000,4075000000,-137000000,3938000000,-47000000,3891000000,549000000,3342000000,0,0,3342000000,0,3342000000,3.64,3.64,917000000,919000000
2025-03-31,MA,USD,0001141391,2025-05-01,2025-05-01 10:14:31,2025,Q1,7250000000,1688000000,5562000000,0,834000000,152000000,986000000,427000000,1413000000,3101000000,-182000000,0,182000000,275000000,4488000000,4213000000,-64000000,4149000000,-118000000,4031000000,751000000,3280000000,0,0,3280000000,0,3280000000,3.6,3.59,912000000,914000000
2025-06-30,MA,USD,0001141391,2025-07-31,2025-07-31 10:16:14,2025,Q2,8133000000,1852000000,6281000000,0,873000000,213000000,1086000000,418000000,1504000000,3356000000,-195000000,0,195000000,281000000,5148000000,4867000000,-90000000,4777000000,-105000000,4672000000,971000000,3701000000,0,0,3701000000,0,3701000000,4.07,4.07,908000000,909000000
2025-09-30,MA,USD,0001141391,2025-10-30,2025-10-30 10:14:27,2025,Q3,8602000000,1893000000,6709000000,0,1403000000,245000000,1648000000,0,1648000000,3541000000,-186000000,0,186000000,290000000,5351000000,5061000000,6000000,5061000000,-62000000,4999000000,1072000000,3927000000,0,0,3927000000,0,3927000000,4.35,4.34,903000000,905000000
