period_end,quarter_rank,actual_revenue,actual_ebitda,actual_ebit,actual_netIncome,actual_eps,est_revenue,est_ebitda,est_ebit,est_netIncome,est_eps,surprise_revenue,surprise_revenue_pct,surprise_ebitda,surprise_ebitda_pct,surprise_ebit,surprise_ebit_pct,surprise_netIncome,surprise_netIncome_pct,surprise_eps,surprise_eps_pct
2020-12-31,1,4120000000,2423000000,2273000000,1785000000,1.79,3997379961,2214397350,1880821191,1631324502,1.51869,122620039,3.067510224105013,208602650,9.420289904158349,392178809,20.851466948407005,153675498,9.42028994302447,0.27130999999999994,17.864738689265085
2021-03-31,2,4155000000,2460000000,2297000000,1828000000,1.84,3995240959,2193630572,1959108280,1630063694,1.57741,159759041,3.998733559239124,266369428,12.142857206678281,337891720,17.247220250633617,197936306,12.142857161261333,0.2625900000000001,16.646908539948402
2021-06-30,3,4528000000,2770000000,2584000000,2066000000,2.09,4367550259,2399593022,2027959301,1789732557,1.74422,160449741,3.6736781830814413,370406978,15.436241671151185,556040699,27.418730677968373,276267443,15.436241684237295,0.34577999999999975,19.82433408629644
2021-09-30,4,4985000000,3114000000,2926000000,2414000000,2.45,4950340842,2858054794,2493684931,2215589040,2.18621,34659158,0.7001368008025335,255945206,8.955223900441426,432315069,17.336394972184237,198410960,8.955223934489224,0.2637900000000002,12.066086972431751
2021-12-31,5,5216000000,3120000000,2931000000,2379000000,2.42,5174416559,2922352940,2647914026,2228294117,2.21468,41583441,0.8036353572592222,197647060,6.763285067134977,283085974,10.690905037715147,150705883,6.763285055156837,0.20531999999999995,9.270865316885507
2022-03-31,6,5167000000,3075000000,2883000000,2631000000,2.69,4908521235,2238940091,2147926266,1915658985,2.17759,258478765,5.265919258063473,836059909,37.34177222341766,735073734,34.222484525453446,715341015,37.34177223614776,0.51241,23.531059565850324
2022-06-30,7,5497000000,3101000000,2912000000,2275000000,2.34,5266730496,2838203389,2762237287,2082203389,2.36046,230269504,4.372152783873907,262796611,9.25925929123045,149762713,5.421790289517586,192796611,9.25925930283845,-0.020459999999999923,-0.8667802038585668
2022-09-30,8,5756000000,3377000000,3192000000,2499000000,2.59,5653090751,3143860273,2743053423,2437147944,2.5765,102909249,1.8204068098817614,233139727,7.4157152912374364,448946577,16.366672746351394,61852056,2.5378868013438907,0.013500000000000068,0.5239666213856033
2022-12-31,9,5817000000,3400000000,3216000000,2525000000,2.63,5792990479,3214588234,2912705429,2451123529,2.57453,24009521,0.4144581470837249,185411766,5.767823201707146,303294571,10.4128130493487,73876471,3.0139840006407117,0.055469999999999686,2.15456801824021
2023-03-31,10,5748000000,3176000000,2985000000,2361000000,2.48,5643116173,2832259215,2717126726,2423308616,2.71672,104883827,1.858615413622462,343740785,12.136628708965116,267873274,9.858696373516146,-62308616,-2.5712208337231446,-0.23672000000000004,-8.713448570334817
2023-06-30,11,6269000000,4040000000,3848000000,2845000000,3.01,6176054290,3122023727,3038461016,2290423727,2.83142,92945710,1.504936738501371,917976273,29.403244602567362,809538984,26.643059750877512,554576273,24.212824311176025,0.17857999999999974,6.307082665235102
2023-09-30,12,6533000000,4123000000,3912000000,3198000000,3.4,6525288521,3458246299,3017358765,2680862738,3.21227,7711479,0.1181783606224084,664753701,19.22227752234486,894641235,29.649813120581967,517137262,19.289956724371464,0.18772999999999973,5.8441538226861285
2023-12-31,13,6548000000,3674000000,3469000000,2791000000,2.98,6483107586,3536047057,3203975971,2696235881,3.08337,64892414,1.0009461225066272,137952943,3.9013322157833494,265024029,8.271723364931566,94764119,3.514682067240096,-0.10336999999999996,-3.352500672964969
2024-03-31,14,6348000000,3924000000,3708000000,3011000000,3.23,6338410406,3582807907,3437165308,3065485399,3.2457,9589594,0.15129335883524359,341192093,9.523036173203355,270834692,7.87959459993479,-54485399,-1.777382434043686,-0.015699999999999825,-0.48371691776811865
2024-06-30,15,6961000000,4317000000,4092000000,3258000000,3.51,6851770003,4121362900,3887428502,3151683663,3.50967,109229997,1.5941865671523474,195637100,4.746903020842935,204571498,5.262386122207837,106316337,3.373318783484775,0.00032999999999994145,0.009402593406216011
2024-09-30,16,7369000000,4250000000,4025000000,3263000000,3.54,7265622455,4370296554,4122232329,3362022203,3.7439,103377545,1.42283122527043,-120296554,-2.75259476133024,-97232329,-2.358729960850783,-99022203,-2.945316747511081,-0.20389999999999997,-5.446192473089559
2024-12-31,17,7489000000,4306000000,4075000000,3342000000,3.64,7385341101,4442307726,4190156045,3317678963,3.69452,103658899,1.4035763221006032,-136307726,-3.0683990035678135,-115156045,-2.7482519448747644,24321037,0.7330738528723643,-0.05451999999999968,-1.4756991435964533
2025-03-31,18,7250000000,4488000000,4213000000,3280000000,3.6,7130327275,4288916044,4045471092,3212298663,3.57717,119672725,1.6783623021006424,199083956,4.641824506649168,167528908,4.141147080034554,67701337,2.1075667023057254,0.022829999999999906,0.6382140071620835
2025-06-30,19,8133000000,5148000000,4867000000,3701000000,4.07,7929589164,4769674782,4498941283,3618562844,4.02958,203410836,2.565212797196059,378325218,7.9318870843718665,368058717,8.181007349235058,82437156,2.27817394788902,0.04042000000000012,1.0030822070786565
2025-09-30,20,8602000000,5351000000,5061000000,3927000000,4.35,8534549338,5133560379,4842172218,3876432524,4.31674,67450662,0.7903248235929292,217439621,4.235649431328136,218827782,4.519206920946404,50567476,1.3044848758987453,0.0332599999999994,0.7704888411161989
