ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
MA,2022-04-28,2022-04-14,2022-05-12,MA,,2022-04-18 11:13:12,2022-04-18T11:13:12-04:00,2022-04-18,"NRF: Mastercard, Visa Should Cancel Credit Card Swipe Fee Increases","The National Retail Federation (NRF) has joined bipartisan U.S. lawmakers in calling for Mastercard and Visa to hold off on their planned credit card swipe fee increases, which are scheduled to go into effect later this month, according to a Monday (April 18) press release. In a letter last week to Mastercard and Visa, Democratic […]",pymnts.com,https://www.pymnts.com/news/retail/2022/nrf-mastercard-visa-should-cancel-credit-card-swipe-fee-increases/,https://images.financialmodelingprep.com/news/nrf-mastercard-visa-should-cancel-credit-card-swipe-fee-20220418.jpg
MA,2022-04-28,2022-04-14,2022-05-12,MA,,2022-04-19 18:50:26,2022-04-19T18:50:26-04:00,2022-04-19,Mastercard Adds 15 New Projects to Priceless Planet Coalition,"On Tuesday (April 19), Mastercard announced the expansion of the reforestation work of the Priceless Planet Coalition, the company's environmental restoration platform, with 15 new projects. These projects, now totaling 18 worldwide, will contribute to the efforts that the Coalition's companies, communities and consumers in climate action are making towards reforestation and environment restoration, which […]",pymnts.com,https://www.pymnts.com/mastercard/2022/mastercard-adds-15-new-projects-to-priceless-planet-coalition/,https://images.financialmodelingprep.com/news/mastercard-adds-15-new-projects-to-priceless-planet-coalition-20220419.jpg
MA,2022-04-28,2022-04-14,2022-05-12,MA,,2022-04-19 12:47:37,2022-04-19T12:47:37-04:00,2022-04-19,Mastercard (MA) Extends Installment Program in Philippines,"Mastercard (MA) and Pine Labs launch an installment program in the Philippines so that customers can opt for interest-free installment payments using one's credit card, subject to certain conditions.",zacks.com,https://www.zacks.com/stock/news/1902305/mastercard-ma-extends-installment-program-in-philippines,https://images.financialmodelingprep.com/news/mastercard-ma-extends-installment-program-in-philippines-20220419.jpg
MA,2022-04-28,2022-04-14,2022-05-12,MA,,2022-04-20 11:00:00,2022-04-20T11:00:00-04:00,2022-04-20,NELO ENABLES BUY NOW PAY LATER FOR ALL ECOMMERCE STORES IN MEXICO,"MEXICO CITY , April 20, 2022 /PRNewswire/ --  Nelo , a Buy Now Pay Later (BNPL) product in Mexico, announced that it has launched their all-in-one app. Nelo's customers can now use Nelo at any online merchant, through a partnership with Mastercard.",prnewswire.com,https://www.prnewswire.com/news-releases/nelo-enables-buy-now-pay-later-for-all-ecommerce-stores-in-mexico-301529064.html,https://images.financialmodelingprep.com/news/nelo-enables-buy-now-pay-later-for-all-ecommerce-20220420.jpg
MA,2022-04-28,2022-04-14,2022-05-12,MA,,2022-04-21 16:34:15,2022-04-21T16:34:15-04:00,2022-04-21,MasterCard (MA) Earnings Expected to Grow: Should You Buy?,MasterCard (MA) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,zacks.com,https://www.zacks.com/stock/news/1904774/mastercard-ma-earnings-expected-to-grow-should-you-buy,https://images.financialmodelingprep.com/news/mastercard-ma-earnings-expected-to-grow-should-you-buy-20220421.jpg
MA,2022-04-28,2022-04-14,2022-05-12,MA,,2022-04-25 16:55:47,2022-04-25T16:55:47-04:00,2022-04-25,5 Great Stocks For The Next 10 Years,Average lifetime CAGRs of 27.7%. Last 10-year average CAGRs of 34.7%.,seekingalpha.com,https://seekingalpha.com/article/4503408-5-great-stocks-for-the-next-10-years,https://images.financialmodelingprep.com/news/5-great-stocks-for-the-next-10-years-20220425.jpg
MA,2022-04-28,2022-04-14,2022-05-12,MA,,2022-04-25 13:32:23,2022-04-25T13:32:23-04:00,2022-04-25,Factors Setting the Tone for Mastercard's (MA) Q1 Earnings,"Mastercard's (MA) first-quarter earnings are likely to reflect higher worldwide GDV, improved consumer spending and rebounding cross-border volumes, partly offset by increased operating expenses.",zacks.com,https://www.zacks.com/stock/news/1907256/factors-setting-the-tone-for-mastercard-s-ma-q1-earnings,https://images.financialmodelingprep.com/news/factors-setting-the-tone-for-mastercards-ma-q1-earnings-20220425.jpg
MA,2022-04-28,2022-04-14,2022-05-12,MA,,2022-04-25 12:19:51,2022-04-25T12:19:51-04:00,2022-04-25,"Mastercard, Microsoft Debut Next-Gen ID Tech for Safer Online Shopping","Mastercard and Microsoft Corp. have launched a refreshed identity solution designed to improve online shopping and detect digital fraud, the companies announced Monday (April 25). Delivering a frictionless shopping experience is crucial as the eCommerce sector seeks to convert window shopping and price comparison visits to sales, the firms said.",pymnts.com,https://www.pymnts.com/digital-identity/2022/mastercard-microsoft-debut-next-generation-id-tech-safer-online-shopping/,https://images.financialmodelingprep.com/news/mastercard-microsoft-debut-nextgen-id-tech-for-safer-online-20220425.jpg
MA,2022-04-28,2022-04-14,2022-05-12,MA,,2022-04-25 08:30:00,2022-04-25T08:30:00-04:00,2022-04-25,Mastercard launches next-generation identity technology with Microsoft to help more consumers shop online safely,"New ""trust"" tool improves online experience and helps tackle digital fraud Microsoft named as first partner for new technology PURCHASE, N.Y., and REDMOND, Wash.",prnewswire.com,https://www.prnewswire.com/news-releases/mastercard-launches-next-generation-identity-technology-with-microsoft-to-help-more-consumers-shop-online-safely-301531380.html,https://images.financialmodelingprep.com/news/mastercard-launches-nextgeneration-identity-technology-with-microsoft-to-help-20220425.jpg
MA,2022-04-28,2022-04-14,2022-05-12,MA,,2022-04-25 07:30:00,2022-04-25T07:30:00-04:00,2022-04-25,Bonifii Selects Mastercard as Preferred Open Banking Provider,"DENVER--(BUSINESS WIRE)--Bonifii today announced that it has selected Mastercard, through its wholly owned subsidiary Finicity, as the preferred open banking provider for its MemberPass® credit unions to access consumer-permissioned bank data, to inform underwriting for different loan types across mortgage, auto, personal and small business. MemberPass, powered by Bonifii™, is a digital ID that uses distributed ledger technology and FIDO privacy principles, currently issued by credit unions. FI",businesswire.com,https://www.businesswire.com/news/home/20220425005159/en/Bonifii-Selects-Mastercard-as-Preferred-Open-Banking-Provider/,https://images.financialmodelingprep.com/news/bonifii-selects-mastercard-as-preferred-open-banking-provider-20220425.jpg
