ticker,earnings_date,px_-10,px_-5,px_-1,px_+0,px_+1,px_+5,px_+10,pct_m10_p10,logpct_m10_p10,pct_m5_p5,logpct_m5_p5,pct_m1_p1,logpct_m1_p1,pct_p0_p1,logpct_p0_p1,pct_p0_p5,logpct_p0_p5,pct_p0_p10,logpct_p0_p10,car_simple_m10_p10_pct,car_mm_1y_m10_p10_pct,car_mm_1q_m10_p10_pct,car_simple_m5_p5_pct,car_mm_1y_m5_p5_pct,car_mm_1q_m5_p5_pct,car_simple_m1_p1_pct,car_mm_1y_m1_p1_pct,car_mm_1q_m1_p1_pct,car_simple_p0_p1_pct,car_mm_1y_p0_p1_pct,car_mm_1q_p0_p1_pct,car_simple_p0_p5_pct,car_mm_1y_p0_p5_pct,car_mm_1q_p0_p5_pct,car_simple_p0_p10_pct,car_mm_1y_p0_p10_pct,car_mm_1q_p0_p10_pct,announce_timing,pre_close_date,day0_date,dt_m10,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays,event_date_dt,sur_period_end,sur_quarter_rank,sur_actual_revenue,sur_actual_ebitda,sur_actual_ebit,sur_actual_netIncome,sur_actual_eps,sur_est_revenue,sur_est_ebitda,sur_est_ebit,sur_est_netIncome,sur_est_eps,sur_surprise_revenue,sur_surprise_revenue_pct,sur_surprise_ebitda,sur_surprise_ebitda_pct,sur_surprise_ebit,sur_surprise_ebit_pct,sur_surprise_netIncome,sur_surprise_netIncome_pct,sur_surprise_eps,sur_surprise_eps_pct,sur_period_end_dt,gro_symbol,gro_date,gro_fiscalYear,gro_period,gro_reportedCurrency,gro_growthRevenue,gro_growthCostOfRevenue,gro_growthGrossProfit,gro_growthGrossProfitRatio,gro_growthResearchAndDevelopmentExpenses,gro_growthGeneralAndAdministrativeExpenses,gro_growthSellingAndMarketingExpenses,gro_growthOtherExpenses,gro_growthOperatingExpenses,gro_growthCostAndExpenses,gro_growthInterestIncome,gro_growthInterestExpense,gro_growthDepreciationAndAmortization,gro_growthEBITDA,gro_growthOperatingIncome,gro_growthIncomeBeforeTax,gro_growthIncomeTaxExpense,gro_growthNetIncome,gro_growthEPS,gro_growthEPSDiluted,gro_growthWeightedAverageShsOut,gro_growthWeightedAverageShsOutDil,gro_growthEBIT,gro_growthNonOperatingIncomeExcludingInterest,gro_growthNetInterestIncome,gro_growthTotalOtherIncomeExpensesNet,gro_growthNetIncomeFromContinuingOperations,gro_growthOtherAdjustmentsToNetIncome,gro_growthNetIncomeDeductions,gro_period_end_dt,gro_period_end,est_date_x,est_symbol,est_estimate_date_raw,est_revenueLow,est_revenueHigh,est_revenueAvg,est_ebitdaLow,est_ebitdaHigh,est_ebitdaAvg,est_ebitLow,est_ebitHigh,est_ebitAvg,est_netIncomeLow,est_netIncomeHigh,est_netIncomeAvg,est_sgaExpenseLow,est_sgaExpenseHigh,est_sgaExpenseAvg,est_epsAvg,est_epsHigh,est_epsLow,est_numAnalystsRevenue,est_numAnalystsEps,est_period_end_dt,est_period_end
META,2021-01-27,249.8944091796875,270.9771423339844,270.2522277832031,263.1617126464844,256.53802490234375,264.6413879394531,268.5143737792969,7.45113292479489,7.186598078420939,-2.338113960447008,-2.3658815237627113,-5.074593831604202,-5.207880104455416,-2.5169648265051747,-2.5491821344302332,0.5622684539055456,0.5606936252530259,2.0339817213467226,2.013572594351518,4.694390413979434,3.616378407533532,8.075474859788455,-2.7563725771111667,-3.299228231881805,-0.6163332629041667,-4.185545655926407,-4.298889559713069,-3.2002542366133193,-0.5858173091927106,-0.6489786988733328,0.6645550085587558,-1.6284674724997583,-1.891122474954948,-1.5827896914730628,-1.3109657358870068,-1.8411865613242424,-0.6462077462665959,amc,2021-01-27,2021-01-28,2021-01-13,2021-01-21,2021-01-27,2021-01-29,2021-02-04,2021-02-11,2021-01-13,2021-02-11,10,10,2021-01-27,2020-12-31,1,28072000000,14638000000,12775000000,11219000000,3.94,26357645328,11968397515,10156521738,8919453415,3.18789,1714354672,6.504202673137965,2669602485,22.30542962542968,2618478262,25.781250013999625,2299546585,25.781250016204048,0.7521100000000001,23.592721204307555,2020-12-31,META,2020-12-31,2020,Q4,USD,0.3074988355845365,0.2422508345255126,0.3233387358184765,0.0121146571536796,0.0934285114423682,-0.1067039106145251,0.2225121133060007,0,0.0921394543092247,0.1390171258376768,-0.0684931506849315,0.0,0.097173144876325,0.5031834052166769,0.5889303482587065,0.6051887372433297,5.397212543554007,0.4299005862860056,0.4327272727272727,0.4317343173431734,-0.0003459010722933,-0.000787164147039,0.5889303482587065,0.0,-0.0684931506849315,2.010752688172043,0.4299005862860056,0,0.0,2020-12-31,2020-12-31,2020-12-31,META,2020-12-29,24772740280,27112048531,26357645328,9574718012,14362077018,11968397515,8125217391,12187826086,10156521738,7135562732,10703344099,8919453415,3103801242,4655701863,3879751552,3.18789,3.30651,2.93869,5,4,2020-12-31,2020-12-31
META,2021-04-28,305.6846923828125,294.4631042480469,304.96966552734375,327.2242431640625,322.8249206542969,317.8000793457031,303.1424255371094,-0.8316631185834478,-0.835140731067043,7.925262880472084,7.626879122043549,5.854764307813487,5.689782057337771,-1.3444366062938418,-1.353555983637019,-2.880032276103184,-2.922319100915763,-7.359423432107715,-7.644294843609531,0.9285108642156558,0.3034080980828459,1.1893898732094166,6.324675942813942,5.5625236611068285,6.0387250099995144,5.9960619924641705,5.915911094653191,6.005812323760905,-0.6249659363611975,-0.5273477597527115,-0.4925680964564305,-2.6579852335831835,-2.8351539418042733,-2.612115203236377,-5.1788316413383955,-5.163097003318323,-4.7443554672159385,amc,2021-04-28,2021-04-29,2021-04-15,2021-04-22,2021-04-28,2021-04-30,2021-05-06,2021-05-13,2021-04-15,2021-05-13,10,10,2021-04-28,2021-03-31,2,26171000000,13350000000,11378000000,9497000000,3.34,23728838747,8259037974,6913215189,5770329113,2.34756,2442161253,10.291954355788938,5090962026,61.64110205119151,4464784811,64.58333335412684,3726670887,64.58333335968943,0.9924399999999998,42.27538380275689,2021-03-31,META,2021-03-31,2021,Q1,USD,-0.0677187232829866,-0.0151631477927063,-0.0796955646925028,-0.0128468110434421,-0.0021121351766513,0.014383989993746,-0.1332317073170731,0,-0.0421334390800039,-0.0329476367915277,-0.1323529411764706,0.0,0.0585077831454643,-0.0879901625905178,-0.1093542074363992,-0.118881654538491,0.0925925925925925,-0.1534896158302879,-0.1522842639593908,-0.1494845360824742,-0.0041941176470588,-0.0037761102607603,-0.1093542074363992,0.0,-0.1323529411764706,-0.5535714285714286,-0.1534896158302879,0,0.0,2021-03-31,2021-03-31,2021-03-31,META,2021-03-29,22302005817,24408000779,23728838747,6607230379,9910845569,8259037974,5530572151,8295858227,6913215189,4616263291,6924394936,5770329113,2170329113,3255493670,2712911391,2.34756,2.43491,2.16405,5,4,2021-03-31,2021-03-31
META,2021-07-28,342.07049560546875,348.75384521484375,370.6906127929687,355.8343811035156,353.828369140625,360.4521179199219,360.1343688964844,5.280745788683805,5.146036542290398,3.354306444383881,3.2992767819073734,-4.54887258279758,-4.655582428627533,-0.5637487745477454,-0.5653438355343892,1.2977208110373395,1.289372561597146,1.208423924532975,1.2011807761984976,3.137960787722517,1.491288940921828,-2.0869528286647747,2.1616102492475715,1.241436000902277,-0.5855127643998447,-4.451476532620635,-4.479308318793902,-4.783680589112967,-0.0231439694000469,0.1491121390267658,0.0696502298525785,1.0958028732095744,0.8198592183202741,-0.0216833423327286,0.297469052185206,-0.4412266651451524,-2.197284611238537,amc,2021-07-28,2021-07-29,2021-07-15,2021-07-22,2021-07-28,2021-07-30,2021-08-05,2021-08-12,2021-07-15,2021-08-12,10,10,2021-07-28,2021-06-30,3,29077000000,14353000000,12367000000,10394000000,3.67,27854034756,11821452145,9999719471,8404389438,3.04217,1222965244,4.390621519335049,2531547855,21.41486362206984,2367280529,23.673469399469717,1989610562,23.67346940164483,0.6278299999999999,20.63757120739472,2021-06-30,META,2021-06-30,2021,Q2,USD,0.1110389362271216,0.0522315338140713,0.1253802281368821,0.0129080011633059,0.172984414085049,0.2059186189889026,0.1463243053112909,0,0.1706685986338232,0.1295883187994321,0.0254237288135593,0.0,0.0070993914807302,0.0751310861423221,0.0869221304271401,0.0878031817786664,0.0563310069790628,0.0944508792250184,0.0988023952095808,0.0939393939393939,-0.0003054332722119,-0.0009632199861207,0.0869221304271401,0.0,0.0254237288135593,0.168,0.0944508792250184,0,0.0,2021-06-30,2021-06-30,2021-06-30,META,2021-06-29,26179150686,28651267316,27854034756,9457161716,14185742574,11821452145,7999775577,11999663366,9999719471,6723511551,10085267326,8404389438,3373399339,5060099009,4216749174,3.04217,3.15536,2.80436,18,17,2021-06-30,2021-06-30
META,2021-10-25,321.5240173339844,337.63153076171875,326.409912109375,313.6192626953125,310.0541687011719,325.8041076660156,333.0435791015625,3.582799774367129,3.5201104709611615,-3.503056444112218,-3.565885114073259,-5.010798631238433,-5.140697065096197,-1.136758617280531,-1.143269104087796,3.885234875557031,3.8116593024974255,6.193598007760492,6.009363858988803,-3.5347664234760376,-4.572698366272097,0.7202717626461802,-5.722177880036701,-5.800396321796366,-3.544146637599155,-4.732166200873436,-4.47001026248919,-4.264722550474839,-0.6316018104342448,-0.3827559215232707,-0.3843831183155297,2.651381486680264,2.6113784936899047,3.740294676581061,3.706015416658178,3.6411758626203223,5.885579954984299,amc,2021-10-25,2021-10-26,2021-10-12,2021-10-19,2021-10-25,2021-10-27,2021-11-02,2021-11-09,2021-10-12,2021-11-09,10,10,2021-10-25,2021-09-30,4,29010000000,12418000000,10423000000,9194000000,3.27,29490452538,12560752350,10324978056,9107536050,3.18772,-480452538,-1.629179943511927,-142752350,-1.13649521957178,98021944,0.9493670927759306,86463950,0.9493670903449238,0.0822799999999999,2.5811551830148165,2021-09-30,META,2021-09-30,2021,Q3,USD,-0.0023042267083949,0.0689016484534173,-0.0185404172649717,-0.0162736888257783,0.0360892388451443,0.5061349693251533,0.0905185639766799,0,0.1330563168596941,0.112327947336924,-0.0082644628099173,0.0,0.0045317220543806,-0.1348150212499129,-0.1571925285032748,-0.1556780947814273,-0.3529966965549788,-0.1154512218587646,-0.1089918256130789,-0.1080332409972298,-0.0075495307612095,-0.0070241148309405,-0.1571925285032748,0.0,-0.0082644628099173,-0.0273972602739726,-0.1154512218587646,0,0.0,2021-09-30,2021-09-30,2021-09-30,META,2021-09-29,27717169435,30334522317,29490452538,10048601880,15072902821,12560752350,8259982445,12389973667,10324978056,7286028840,10929043260,9107536050,5151097178,7726645768,6438871473,3.18772,3.30633,2.93854,26,17,2021-09-30,2021-09-30
META,2022-02-02,314.36407470703125,292.59613037109375,320.7594299316406,236.11070251464844,235.44532775878903,226.4879150390625,206.2691345214844,-34.38527137246358,-42.13699934780606,-22.593673828901128,-25.610167525567896,-26.59753516553932,-30.921267008048268,-0.2818062666253396,-0.2822040880511384,-4.075540571901404,-4.160918523088522,-12.638803610061956,-13.511897914550428,-34.97874802379447,-34.01590875507675,-34.11709202570212,-25.062486342814864,-26.48306079188652,-27.204603751302436,-24.748488893742664,-24.02552218368309,-23.81457061003691,-0.7974992530676699,-0.9768339468056122,-1.0621382413091474,-4.473573887285209,-4.655450374255959,-4.8298186011208815,-10.898403114129774,-10.032442831528268,-9.947383121046776,amc,2022-02-02,2022-02-03,2022-01-20,2022-01-27,2022-02-02,2022-02-04,2022-02-10,2022-02-17,2022-01-20,2022-02-17,10,10,2022-02-02,2021-12-31,5,33671000000,14599000000,12585000000,10285000000,3.72,33370161276,15475049479,13142148437,10740325520,3.83939,300838724,0.901520138041301,-876049479,-5.661044768799088,-557148437,-4.239401492616089,-455325520,-4.239401488829363,-0.1193899999999996,-3.1096085576094032,2021-12-31,META,2021-12-31,2021,Q4,USD,0.1606687349189934,0.0999826719805926,0.1757390593399027,0.012984173688686,0.1155794806839772,0.1218601493550577,0.2343837929093978,0,0.1499687890137328,0.1344488083068811,-0.15,0.0,0.0095238095238095,0.1756321468835561,0.2074258850618823,0.2023663038334122,0.7636761487964989,0.1186643463128127,0.1376146788990826,0.1428571428571428,-0.0203839903617158,-0.0209863588667366,0.2074258850618823,0.0,-0.15,-0.1690140845070422,0.1186643463128127,0,0.0,2021-12-31,2021-12-31,2021-12-31,META,2021-12-29,31363588368,34325275295,33370161276,12380039583,18570059375,15475049479,10513718750,15770578124,13142148437,8592260416,12888390624,10740325520,6426025000,9639037499,8032531249,3.83939,3.98225,3.53926,18,17,2021-12-31,2021-12-31
META,2022-04-27,213.4986572265625,186.765380859375,173.7363739013672,204.30287170410156,199.0793609619141,206.835205078125,189.9134063720703,-11.047025382208265,-11.706233097624647,10.746008776573834,10.206918415299096,14.58703580111238,13.616448624861585,-2.5567485658022693,-2.5900014005660155,1.239499647215481,1.2318807432599654,-7.04320267845866,-7.303534569892251,3.13309232143764,16.086191941417578,28.432855669284873,17.778525836374243,23.88210277142378,29.89074789005616,16.19062084270179,17.45385456382477,18.67435762322832,1.0717021448391355,4.032611416863244,5.671365585423076,4.937848662288384,8.303202605477606,11.44598048177702,1.9141999151679003,10.2824488349131,17.291063343796843,amc,2022-04-27,2022-04-28,2022-04-13,2022-04-21,2022-04-27,2022-04-29,2022-05-05,2022-05-12,2022-04-13,2022-05-12,10,10,2022-04-27,2022-03-31,6,27908000000,11069000000,8913000000,7465000000,2.74,28278997754,10443750000,7991250000,6998437500,2.55503,-370997754,-1.3119197406758278,625250000,5.986834230999402,921750000,11.534490849366495,466562500,6.666666666666667,0.1849700000000003,7.23944532940906,2022-03-31,META,2022-03-31,2022,Q1,USD,-0.1711561878174096,-0.0540327662255828,-0.1983676755846722,-0.0328306580792395,0.0938120919670735,-0.2859304084720121,-0.2450421700478687,0,-0.092210612023341,-0.0807170634544247,-0.2058823529411764,0.0,0.070506454816286,-0.2417973833824234,-0.3226857369884783,-0.298748327166811,-0.4032258064516129,-0.2741857073407875,-0.2634408602150537,-0.2608695652173913,-0.0257690346854824,-0.0203644158628081,-0.2917759237187127,0.0,-0.2549019607843137,2.2542372881355934,-0.2741857073407875,0,0.0,2022-03-31,2022-03-31,2022-03-31,META,2022-03-29,26578560339,29088393519,28278997754,8355000000,12532500000,10443750000,6393000000,9589500000,7991250000,5598750000,8398125000,6998437500,4254000000,6381000000,5317500000,2.55503,2.6501,2.3553,29,18,2022-03-31,2022-03-31
META,2022-07-27,156.95361328125,181.89938354492188,168.4036407470703,159.6051025390625,157.996337890625,169.38677978515625,176.25877380371094,12.299914681076784,11.600291601493812,-6.878859903709078,-7.126895877781905,-6.179974975764512,-6.379186636179187,-1.007965674558409,-1.0130800449866093,6.128674516342447,5.948208246184095,10.434297525401814,9.92505655991752,2.434114915495283,-1.966230136178333,-7.258329656097011,-10.039478130879845,-11.077818577628255,-13.719723939591038,-8.866747756161526,-10.551514966548387,-11.085165033271643,-2.428741682816584,-3.3531476853170816,-3.620265302663255,4.141398775336232,3.588449325216906,2.267376149576977,6.9786148412038616,6.355912667687526,3.715489938592161,amc,2022-07-27,2022-07-28,2022-07-14,2022-07-21,2022-07-27,2022-07-29,2022-08-04,2022-08-11,2022-07-14,2022-08-11,10,10,2022-07-27,2022-06-30,7,28822000000,10170000000,8191000000,6687000000,2.47,28908384447,10770779922,8777513513,7022640926,2.53718,-86384447,-0.2988214272519288,-600779922,-5.577868328484448,-586513513,-6.6820006842637145,-335640926,-4.779411756015503,-0.06718,-2.647821597206348,2022-06-30,META,2022-06-30,2022,Q2,USD,0.0327504658162534,-0.1353871773522064,0.0788476464411267,0.0446353521193228,0.1275463864019722,0.2656779661016949,0.0854468599033816,0,0.1414903953957695,0.0557160544779199,0.1851851851851851,0.0,-0.0820964749536178,-0.0812178155208239,-0.0194744251525105,-0.0810507409070498,0.0388080388080388,-0.1042196918955123,-0.0985401459854014,-0.0955882352941177,-0.0077064220183486,-0.0105762217359591,-0.0810052731964546,1.429305912596401,0.1973684210526315,-1.4479166666666667,-0.1042196918955123,0,0.0,2022-06-30,2022-06-30,2022-06-30,META,2022-06-29,27170101537,29735794391,28908384447,8616623938,12924935907,10770779922,7022010809,10533016216,8777513513,5618112741,8427169111,7022640926,5529896525,8294844787,6912370656,2.53718,2.63158,2.33885,17,19,2022-06-30,2022-06-30
META,2022-10-26,129.38619995117188,130.6175994873047,128.91946411132812,97.26058959960938,98.5118637084961,88.29325103759766,111.09397888183594,-14.137690940949732,-15.242523024965829,-32.403250875714285,-39.16102939729584,-23.58650853262437,-26.90109155186598,1.2865170919051705,1.278311761152287,-9.21990972800738,-9.673019455629378,14.223016063519855,13.29826326390988,-17.75366485033823,-19.76220330711726,-17.573077284870724,-36.419122328107264,-35.7242755282401,-35.3297390097864,-25.124954043565683,-26.091779550053,-25.557290821016775,-1.1761206976875995,-2.764457953179085,-2.0419907486017177,-7.05594900948315,-4.516581169377622,-5.222382007882997,10.415197043413915,9.30496933004826,10.443186656340652,amc,2022-10-26,2022-10-27,2022-10-13,2022-10-20,2022-10-26,2022-10-28,2022-11-03,2022-11-10,2022-10-13,2022-11-10,10,10,2022-10-26,2022-09-30,8,27714000000,7839000000,5641000000,4395000000,1.64,27439470981,13816827585,11357475861,10018289655,1.89647,274529019,1.0004894744147692,-5977827585,-43.26483447973054,-5716475861,-50.33227392214486,-5623289655,-56.130236284329115,-0.2564700000000002,-13.52354637827122,2022-09-30,META,2022-09-30,2022,Q3,USD,-0.0384428561515509,0.1009244992295839,-0.0690647482014388,-0.0318461490207324,0.0552359033371691,0.1329092735185805,0.0514603616133518,0,0.0695390256678889,0.0775019546520719,0.4791666666666667,12.0,0.0990399191510864,-0.2292035398230088,-0.3223259152907394,-0.3188370388468116,-0.2121414276184123,-0.3427545984746523,-0.3360323886639677,-0.3333333333333333,-0.0081360946745562,-0.0095834869148544,-0.3113172994750335,-0.8622754491017964,-0.1538461538461538,0.4883720930232558,-0.3427545984746523,0,0.0,2022-09-30,2022-09-30,2022-09-30,META,2022-09-29,25789514943,28224837980,27439470981,11053462068,16580193103,13816827585,9085980689,13628971033,11357475861,8014631724,12021947586,10018289655,5666206895,8499310344,7082758619,1.89647,1.96703,1.74822,17,23,2022-09-30,2022-09-30
META,2023-02-01,135.2055206298828,146.27821350097656,152.05783081054688,187.4605255126953,185.2360382080078,176.68577575683594,171.24378967285156,26.654436057845142,23.629221596419622,20.787485386985782,18.88624963561487,21.81946646259778,19.73699796913801,-1.1866430538395425,-1.1937398609094385,-5.747743278960183,-5.919541595681158,-8.650747028203288,-9.048008084615306,21.673547008827764,21.15066305889873,5.727505830612312,20.990005356238928,22.103758883527593,13.975536085840083,21.66126905154786,21.650093666845088,20.09532189934693,-0.1511819847084905,0.7626175290480769,-0.293315900284377,-3.3749709374818666,-0.8785752273146534,-5.530304376957266,-6.625836512370613,-3.53251440969622,-12.260488829251443,amc,2023-02-01,2023-02-02,2023-01-19,2023-01-26,2023-02-01,2023-02-03,2023-02-09,2023-02-16,2023-01-19,2023-02-16,10,10,2023-02-01,2022-12-31,9,32165000000,8775000000,6399000000,4653000000,1.76,31551048476,17022554426,14456363281,11814358071,2.25939,613951524,1.945898959481539,-8247554426,-48.45074493286863,-8057363281,-55.73575542051986,-7161358071,-60.61571883942267,-0.4993899999999998,-22.102868473348995,2022-12-31,META,2022-12-31,2022,Q4,USD,0.1606047485025618,0.4583624912526242,0.0832348395308664,-0.0666634433194168,0.0655398037077426,-0.0883569739952718,0.21005291005291,0,0.0670993020693033,0.1685260770975056,0.0,0.6923076923076923,0.0924137931034482,0.1194029850746268,0.1297669491525423,0.1027618364418938,0.2667231160033869,0.0587030716723549,0.0731707317073171,0.0731707317073171,-0.0164056674123788,-0.0174916263490882,0.1343733380606275,-1.0,-0.5844155844155844,-1.8409090909090908,0.0587030716723549,0,0.0,2022-12-31,2022-12-31,2022-12-31,META,2022-12-29,29653860189,32454096216,31551048476,13618043541,20427065312,17022554426,11565090625,17347635937,14456363281,9451486457,14177229686,11814358071,7068627500,10602941248,8835784374,2.25939,2.34346,2.08277,29,27,2022-12-31,2022-12-31
META,2023-04-26,218.82147216796875,211.5919647216797,207.94741821289065,236.90513610839844,238.6529235839844,231.90011596679688,234.15432739257812,7.007015843874664,6.772421495862852,9.59778943960834,9.164701897578055,14.76599499766731,13.77250431965707,0.7377583721047909,0.7350502464855792,-2.1126684814935626,-2.1353047087268795,-1.1611435534946146,-1.167937467858832,8.070916025891943,5.475753265126348,-4.318223386416579,11.752673435434064,11.453621061587125,7.376577976184831,11.881323207352905,9.714932451748034,7.169698798618827,-0.087561903241263,-0.7872769305731484,-1.7449976588919185,-0.3033149962081876,0.2117214058161174,-1.2810924727425983,-1.041909676110255,-2.3894739259031614,-7.327505842401144,amc,2023-04-26,2023-04-27,2023-04-13,2023-04-20,2023-04-26,2023-04-28,2023-05-04,2023-05-11,2023-04-13,2023-05-11,10,10,2023-04-26,2023-03-31,10,28645000000,9886000000,7362000000,5709000000,2.21,27668876188,11488125000,8790375000,7698281250,2.021,976123812,3.527876612579391,-1602125000,-13.945922419890104,-1428375000,-16.249306770188984,-1989281250,-25.84058941728064,0.189,9.35180603661554,2023-03-31,META,2023-03-31,2023,Q1,USD,-0.1094357220581377,-0.2672744721689059,-0.0542196483276679,0.0620012221409567,-0.039914031317163,-0.0648298217179902,-0.3344993441189331,0,-0.1216293746414228,-0.1687495148645501,0.3591549295774648,-0.5,0.0622895622895622,0.1266096866096866,0.1293952180028129,0.1883233046023743,0.0681818181818181,0.226950354609929,0.2556818181818182,0.2500000000000001,-0.0193328278999241,-0.0166666666666666,0.150492264416315,0.0,3.3125,1.32,0.226950354609929,0,0.0,2023-03-31,2023-03-31,2023-03-31,META,2023-03-29,26005125842,28460809176,27668876188,9190500000,13785750000,11488125000,7032300000,10548450000,8790375000,6158625000,9237937500,7698281250,4679400000,7019100000,5849250000,2.021,2.0962,1.86302,22,24,2023-03-31,2023-03-31
