ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20,pre_adj_close,react_adj_close,adj_close_p5,adj_close_p10,adj_close_p20,delta_react_vs_pre,delta_p5_vs_pre,delta_p10_vs_pre,delta_p20_vs_pre,delta_drift_5_vs_react,delta_drift_10_vs_react,delta_drift_20_vs_react,retpct_react_vs_pre,retpct_p5_vs_pre,retpct_p10_vs_pre,retpct_p20_vs_pre,retpct_drift_5_vs_react,retpct_drift_10_vs_react,retpct_drift_20_vs_react
META,2021-01-27,amc,2021-01-27,2021-01-28,2021-02-04,2021-02-11,2021-02-26,270.2522277832031,263.1617431640625,264.6413879394531,268.514404296875,255.8328857421875,-7.090484619140625,-5.61083984375,-1.737823486328125,-14.419342041015625,1.479644775390625,5.3526611328125,-7.328857421875,-2.6236544569129827,-2.0761493401086906,-0.6430376173336194,-5.335512739078274,0.5622567921919286,2.0339814854758442,-2.784925093502666
META,2021-04-28,amc,2021-04-28,2021-04-29,2021-05-06,2021-05-13,2021-05-27,304.9697265625,327.2242126464844,317.80010986328125,303.1424865722656,330.4417724609375,22.254486083984375,12.83038330078125,-1.827239990234375,25.4720458984375,-9.424102783203125,-24.08172607421875,3.217559814453125,7.297277121512447,4.207100634348304,-0.5991545491515926,8.352319486117032,-2.8800138923046115,-7.35939613986798,0.9832890385557125
META,2021-07-28,amc,2021-07-28,2021-07-29,2021-08-05,2021-08-12,2021-08-26,370.6905822753906,355.83441162109375,360.4521789550781,360.13433837890625,361.8523559570313,-14.856170654296875,-10.2384033203125,-10.556243896484375,-8.838226318359318,4.617767333984375,4.2999267578125,6.017944335937557,-4.007701129903552,-2.7619809646812876,-2.847723789389933,-2.3842597414016065,1.2977292760829373,1.208406668209272,1.6912204495684646
META,2021-10-25,amc,2021-10-25,2021-10-26,2021-11-02,2021-11-09,2021-11-23,326.4099426269531,313.6192932128906,325.8041687011719,333.0435485839844,334.9106140136719,-12.7906494140625,-0.60577392578125,6.63360595703125,8.50067138671875,12.18487548828125,19.42425537109375,21.29132080078125,-3.9185844987205676,-0.1855868485212131,2.0322928595997602,2.6042930305079537,3.8852442282656163,6.193577943531747,6.7889065697014805
META,2022-02-02,amc,2022-02-02,2022-02-03,2022-02-10,2022-02-17,2022-03-04,320.7594299316406,236.11070251464844,226.4879150390625,206.2691650390625,198.67221069335935,-84.64872741699219,-94.27151489257812,-114.49026489257812,-122.08721923828128,-9.622787475585938,-29.841537475585938,-37.43849182128909,-26.39009784841939,-29.390099275543978,-35.693499304752464,-38.06192674188883,-4.075540571901404,-12.638790684947686,-15.856329858222495
META,2022-04-27,amc,2022-04-27,2022-04-28,2022-05-05,2022-05-12,2022-05-26,173.7364044189453,204.30288696289065,206.835205078125,189.91342163085935,190.3006896972656,30.56648254394534,33.09880065917969,16.177017211914034,16.564285278320284,2.5323181152343466,-14.389465332031307,-14.002197265625057,17.593596832036297,19.051160158331438,9.311242088851458,9.53414762652589,1.2394920859313707,-7.043202152422346,-6.8536463061182324
META,2022-07-27,amc,2022-07-27,2022-07-28,2022-08-04,2022-08-11,2022-08-25,168.40365600585938,159.6051025390625,169.38677978515625,176.2587890625,167.60919189453125,-8.798553466796875,0.983123779296875,7.855133056640625,-0.794464111328125,9.78167724609375,16.6536865234375,8.00408935546875,-5.224680791069492,0.5837900450704314,4.664467056681554,-0.4717617955399267,6.128674516342447,10.434307085740935,5.014933249712228
META,2022-10-26,amc,2022-10-26,2022-10-27,2022-11-03,2022-11-10,2022-11-25,128.91944885253906,97.26060485839844,88.2932357788086,111.09397888183594,110.6371612548828,-31.658843994140625,-40.62621307373047,-17.825469970703125,-18.282287597656264,-8.967369079589844,13.8333740234375,13.37655639648436,-24.557073642436002,-31.51286592932897,-13.826827627142812,-14.181171080375899,-9.219939658657704,14.222998143572617,13.753314012347829
META,2023-02-01,amc,2023-02-01,2023-02-02,2023-02-09,2023-02-16,2023-03-03,152.05783081054688,187.4605255126953,176.685791015625,171.24380493164062,183.96495056152344,35.40269470214844,24.627960205078125,19.18597412109375,31.907119750976562,-10.774734497070312,-16.216720581054688,-3.495574951171875,23.282388360687346,16.196443204403455,12.61755084813625,20.98354263038944,-5.747735139225685,-8.65073888846879,-1.8646992168680043
META,2023-04-26,amc,2023-04-26,2023-04-27,2023-05-04,2023-05-11,2023-05-25,207.9473876953125,236.9051513671875,231.9001007080078,234.1543426513672,250.9371032714844,28.957763671875,23.952713012695312,26.206954956054688,42.9897155761719,-5.0050506591796875,-2.7508087158203125,14.031951904296903,13.92552413993502,11.518640978453254,12.602685345801735,20.673361686640202,-2.1126812271896056,-1.1611434787066943,5.923025237449697
META,2023-07-26,amc,2023-07-26,2023-07-27,2023-08-03,2023-08-10,2023-08-24,296.49884033203125,309.54766845703125,311.0174560546875,303.619140625,284.7608642578125,13.048828125,14.51861572265625,7.12030029296875,-11.73797607421875,1.46978759765625,-5.92852783203125,-24.78680419921875,4.400971049460911,4.89668550015161,2.4014597443265284,-3.958860702818967,0.4748178543817039,-1.9152228997822984,-8.007427199426454
META,2023-10-25,amc,2023-10-25,2023-10-26,2023-11-02,2023-11-09,2023-11-24,297.4521789550781,286.3497619628906,308.7135314941406,318.3263854980469,335.8837585449219,-11.1024169921875,11.2613525390625,20.87420654296875,38.43157958984375,22.36376953125,31.97662353515625,49.53399658203125,-3.73250484538028,3.7859371474845416,7.017668055516646,12.920254854024037,7.80994870676659,11.166981008107225,17.29842422165191
META,2024-02-01,amc,2024-02-01,2024-02-02,2024-02-09,2024-02-16,2024-03-04,392.0414733886719,471.6950378417969,464.86279296875,470.03662109375,495.259033203125,79.653564453125,72.82131958007812,77.99514770507812,103.21755981445312,-6.832244873046875,-1.658416748046875,23.563995361328125,20.317637255218667,18.57490202519536,19.894616513634354,26.328224644774444,-1.4484453566243283,-0.35158664285187546,4.9955995867888126
META,2024-04-24,amc,2024-04-24,2024-04-25,2024-05-02,2024-05-09,2024-05-23,490.59661865234375,438.7832946777344,439.08154296875,472.6230163574219,463.0397033691406,-51.813323974609375,-51.51507568359375,-17.973602294921875,-27.556915283203125,0.298248291015625,33.8397216796875,24.25640869140625,-10.561288440376792,-10.500495463076032,-3.6636213156737374,-5.617021038363712,0.06797166041490055,7.712171837476434,5.528106695406776
META,2024-07-31,amc,2024-07-31,2024-08-01,2024-08-08,2024-08-15,2024-08-29,472.5050659179687,495.3029479980469,507.134765625,534.6990966796875,515.6826782226562,22.797882080078182,34.62969970703131,62.19403076171881,43.17761230468756,11.831817626953125,39.396148681640625,20.379730224609375,4.824896858150529,7.328958397462637,13.162616709916142,9.138021032812293,2.388804200495054,7.953949969584273,4.114599016012677
META,2024-10-30,amc,2024-10-30,2024-10-31,2024-11-07,2024-11-14,2024-11-29,589.4641723632812,565.3397827148438,589.3646850585938,574.8820190429688,572.05322265625,-24.1243896484375,-0.0994873046875,-14.5821533203125,-17.41094970703125,24.02490234375,9.542236328125,6.71343994140625,-4.092596425617856,-0.01687758295616515,-2.473798070177813,-2.9536909151284374,4.24963943424943,1.6878763214401404,1.1875053103758804
META,2025-01-29,amc,2025-01-29,2025-01-30,2025-02-06,2025-02-13,2025-02-28,674.363525390625,684.8405151367188,709.7518920898438,726.2698364257812,666.0995483398438,10.47698974609375,35.38836669921875,51.90631103515625,-8.26397705078125,24.911376953125,41.4293212890625,-18.740966796875,1.5536115687788676,5.247669152734802,7.697081630429148,-1.225448402772722,3.637544275275806,6.049484569526631,-2.7365446965610163
META,2025-04-30,amc,2025-04-30,2025-05-01,2025-05-08,2025-05-15,2025-05-30,547.7611694335938,570.9187622070312,596.6605834960938,642.4270629882812,646.0288696289062,23.1575927734375,48.8994140625,94.6658935546875,98.2677001953125,25.7418212890625,71.50830078125,75.110107421875,4.227680614415097,8.927141387744575,17.282330117079248,17.939880677727693,4.508841361168603,12.525127131015367,13.156006142015354
META,2025-07-30,amc,2025-07-30,2025-07-31,2025-08-07,2025-08-14,2025-08-28,694.1749267578125,772.2884521484375,760.6957397460938,780.9655151367188,749.99169921875,78.113525390625,66.52081298828125,86.79058837890625,55.8167724609375,-11.59271240234375,8.67706298828125,-22.2967529296875,11.252714896439597,9.582716174865435,12.502697091677906,8.040735887945893,-1.5010858145157902,1.123552082663215,-2.887101686896898
META,2025-10-29,amc,2025-10-29,2025-10-30,2025-11-06,2025-11-13,2025-11-28,751.0574340820312,665.9268798828125,618.4356079101562,609.3930053710938,647.4219970703125,-85.13055419921875,-132.621826171875,-141.6644287109375,-103.63543701171875,-47.49127197265625,-56.53387451171875,-18.5048828125,-11.33475954515626,-17.658013908612734,-18.861996737184917,-13.798603450132363,-7.131604596140284,-8.489501808617096,-2.778816018923347
