ticker,earnings_date,day0_date,phase,n_tokens,n_tokens_raw,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
META,2021-01-27,2021-01-28,post,1727.0,3156.0,42.0,68.0,27.0,40.0,5.0,24.0,20.0,2.0,0.024319629415170817,0.03937463810075275,0.01563404748118124,0.023161551823972205,0.0028951939779965257,-0.015055008685581933
META,2021-01-27,2021-01-28,pre,1724.0,3156.0,32.0,93.0,37.0,46.0,3.0,18.0,20.0,10.0,0.018561484918793503,0.05394431554524362,0.021461716937354988,0.02668213457076566,0.0017401392111368909,-0.03538283062645012
META,2021-04-28,2021-04-29,post,1756.0,3189.0,34.0,54.0,25.0,20.0,4.0,13.0,17.0,6.0,0.0193621867881549,0.030751708428246014,0.014236902050113895,0.011389521640091117,0.002277904328018223,-0.011389521640091117
META,2021-04-28,2021-04-29,pre,1739.0,3215.0,19.0,53.0,21.0,26.0,0.0,17.0,18.0,8.0,0.010925819436457734,0.030477285796434734,0.012075905692926969,0.014951121334100058,0.0,-0.019551466359977
META,2021-07-28,2021-07-29,post,1377.0,2621.0,22.0,68.0,24.0,17.0,6.0,22.0,14.0,2.0,0.01597676107480029,0.04938271604938271,0.017429193899782137,0.012345679012345678,0.004357298474945534,-0.03340595497458242
META,2021-07-28,2021-07-29,pre,2099.0,3851.0,42.0,114.0,24.0,32.0,8.0,27.0,16.0,3.0,0.020009528346831826,0.054311576941400666,0.011434016198189614,0.015245354930919485,0.003811338732729871,-0.03430204859456884
META,2021-10-25,2021-10-26,post,2278.0,4281.0,29.0,87.0,20.0,34.0,6.0,25.0,16.0,10.0,0.012730465320456541,0.038191395961369626,0.00877963125548727,0.014925373134328358,0.0026338893766461808,-0.025460930640913083
META,2021-10-25,2021-10-26,pre,2855.0,5335.0,41.0,170.0,37.0,79.0,6.0,35.0,25.0,12.0,0.01436077057793345,0.0595446584938704,0.012959719789842382,0.0276707530647986,0.0021015761821366026,-0.04518388791593695
META,2022-02-02,2022-02-03,post,3640.0,6634.0,48.0,218.0,48.0,70.0,5.0,23.0,26.0,22.0,0.013186813186813187,0.05989010989010989,0.013186813186813187,0.019230769230769232,0.0013736263736263737,-0.046703296703296704
META,2022-02-02,2022-02-03,pre,1707.0,3169.0,14.0,74.0,20.0,23.0,1.0,18.0,12.0,4.0,0.008201523140011716,0.043350908025776215,0.011716461628588167,0.013473930872876391,0.0005858230814294083,-0.0351493848857645
META,2022-04-27,2022-04-28,post,1895.0,3405.0,35.0,78.0,33.0,27.0,9.0,10.0,24.0,1.0,0.018469656992084433,0.04116094986807388,0.017414248021108178,0.01424802110817942,0.00474934036939314,-0.022691292875989446
META,2022-04-27,2022-04-28,pre,1324.0,2434.0,18.0,67.0,36.0,12.0,1.0,14.0,25.0,1.0,0.013595166163141994,0.05060422960725076,0.027190332326283987,0.00906344410876133,0.0007552870090634441,-0.03700906344410876
META,2022-07-27,2022-07-28,post,1120.0,2032.0,23.0,53.0,12.0,13.0,1.0,11.0,8.0,5.0,0.020535714285714286,0.04732142857142857,0.010714285714285714,0.011607142857142858,0.0008928571428571428,-0.026785714285714284
META,2022-07-27,2022-07-28,pre,2332.0,4206.0,31.0,140.0,30.0,33.0,0.0,23.0,17.0,8.0,0.013293310463121783,0.060034305317324184,0.012864493996569469,0.014150943396226415,0.0,-0.046740994854202404
META,2022-10-26,2022-10-27,post,3977.0,7256.0,68.0,248.0,70.0,25.0,4.0,46.0,42.0,9.0,0.017098315313050037,0.0623585617299472,0.01760120693990445,0.006286145335680161,0.0010057832537088258,-0.04526024641689716
META,2022-10-26,2022-10-27,pre,2197.0,3960.0,43.0,132.0,28.0,25.0,5.0,26.0,12.0,6.0,0.01957214383249886,0.06008192990441511,0.012744651797906235,0.01137915339098771,0.002275830678197542,-0.04050978607191625
META,2023-02-01,2023-02-02,post,2695.0,5033.0,94.0,102.0,37.0,47.0,3.0,33.0,26.0,7.0,0.034879406307977735,0.03784786641929499,0.013729128014842301,0.017439703153988868,0.0011131725417439704,-0.002968460111317254
META,2023-02-01,2023-02-02,pre,1367.0,2423.0,30.0,52.0,20.0,14.0,2.0,15.0,16.0,1.0,0.021945866861741038,0.038039502560351136,0.014630577907827359,0.010241404535479151,0.001463057790782736,-0.016093635698610095
META,2023-04-26,2023-04-27,post,2632.0,4762.0,85.0,119.0,44.0,54.0,8.0,23.0,28.0,8.0,0.03229483282674772,0.04521276595744681,0.016717325227963525,0.020516717325227963,0.00303951367781155,-0.012917933130699088
META,2023-04-26,2023-04-27,pre,2416.0,4324.0,63.0,87.0,46.0,23.0,6.0,25.0,34.0,4.0,0.026076158940397352,0.036009933774834434,0.01903973509933775,0.009519867549668874,0.0024834437086092716,-0.009933774834437087
META,2023-07-26,2023-07-27,post,3376.0,6167.0,106.0,86.0,49.0,42.0,8.0,14.0,33.0,9.0,0.03139810426540284,0.0254739336492891,0.014514218009478674,0.012440758293838863,0.002369668246445498,0.005924170616113744
META,2023-07-26,2023-07-27,pre,3833.0,6972.0,101.0,95.0,59.0,43.0,21.0,37.0,38.0,3.0,0.026350117401513176,0.02478476389251239,0.015392642838507697,0.01121836681450561,0.0054787372815027395,0.0015653535090007827
META,2023-10-25,2023-10-26,post,3123.0,5621.0,99.0,88.0,60.0,25.0,16.0,31.0,32.0,6.0,0.03170028818443804,0.0281780339417227,0.01921229586935639,0.008005123278898496,0.005123278898495036,0.0035222542427153377
META,2023-10-25,2023-10-26,pre,2692.0,4878.0,63.0,107.0,31.0,67.0,3.0,25.0,15.0,18.0,0.023402674591381872,0.03974739970282318,0.011515601783060922,0.02488855869242199,0.001114413075780089,-0.01634472511144131
META,2024-02-01,2024-02-02,post,4068.0,7215.0,129.0,66.0,60.0,9.0,6.0,53.0,35.0,9.0,0.03171091445427729,0.016224188790560472,0.014749262536873156,0.0022123893805309734,0.0014749262536873156,0.015486725663716814
META,2024-02-01,2024-02-02,pre,3149.0,5649.0,98.0,60.0,46.0,17.0,6.0,40.0,33.0,9.0,0.031120990790727214,0.01905366783105748,0.014607812003810734,0.005398539218799619,0.001905366783105748,0.012067322959669736
META,2024-04-24,2024-04-25,post,4656.0,8346.0,149.0,165.0,74.0,28.0,7.0,32.0,41.0,8.0,0.03200171821305842,0.035438144329896906,0.015893470790378006,0.006013745704467354,0.0015034364261168386,-0.003436426116838488
META,2024-04-24,2024-04-25,pre,3932.0,7107.0,118.0,98.0,61.0,29.0,10.0,39.0,40.0,9.0,0.030010172939979655,0.024923702950152594,0.015513733468972533,0.007375381485249237,0.00254323499491353,0.00508646998982706
META,2024-07-31,2024-08-01,post,3521.0,6341.0,154.0,89.0,52.0,11.0,2.0,24.0,27.0,13.0,0.0437375745526839,0.025276909968758875,0.014768531667140017,0.0031241124680488497,0.0005680204487361545,0.01846066458392502
META,2024-07-31,2024-08-01,pre,3342.0,6057.0,82.0,90.0,63.0,39.0,3.0,24.0,38.0,11.0,0.024536205864751647,0.026929982046678635,0.018850987432675045,0.011669658886894075,0.0008976660682226212,-0.0023937761819269898
META,2024-10-30,2024-10-31,post,4089.0,7421.0,97.0,122.0,53.0,44.0,5.0,32.0,33.0,16.0,0.02372218146246026,0.02983614575690878,0.012961604304230863,0.010760577158229395,0.001222792858889704,-0.006113964294448521
META,2024-10-30,2024-10-31,pre,2477.0,4390.0,72.0,78.0,33.0,18.0,3.0,26.0,18.0,10.0,0.029067420266451354,0.031489705288655634,0.013322567622123537,0.0072668550666128385,0.0012111425111021397,-0.0024222850222042794
META,2025-01-29,2025-01-30,post,4145.0,7685.0,161.0,96.0,54.0,44.0,9.0,36.0,24.0,13.0,0.03884197828709288,0.02316043425814234,0.013027744270205066,0.010615199034981907,0.0021712907117008443,0.015681544028950542
META,2025-01-29,2025-01-30,pre,4758.0,9103.0,136.0,127.0,83.0,33.0,8.0,65.0,47.0,6.0,0.028583438419503993,0.02669188734762505,0.01744430432955023,0.0069356872635561164,0.0016813787305590584,0.0018915510718789407
META,2025-04-30,2025-05-01,post,4995.0,9059.0,179.0,185.0,116.0,20.0,4.0,31.0,59.0,11.0,0.035835835835835834,0.037037037037037035,0.023223223223223222,0.004004004004004004,0.0008008008008008008,-0.0012012012012012011
META,2025-04-30,2025-05-01,pre,5391.0,9758.0,112.0,221.0,111.0,74.0,7.0,42.0,47.0,11.0,0.020775366351326284,0.040994249675384904,0.020589872008903727,0.013726581339269153,0.0012984603969578928,-0.020218883324058617
META,2025-07-30,2025-07-31,post,6437.0,11878.0,230.0,100.0,77.0,24.0,2.0,46.0,40.0,17.0,0.035730930557713224,0.015535187199005748,0.011962094143234426,0.0037284449277613795,0.00031070374398011494,0.020195743358707472
META,2025-07-30,2025-07-31,pre,5751.0,10754.0,179.0,111.0,88.0,46.0,7.0,70.0,46.0,18.0,0.031125021735350374,0.019300991131977047,0.01530168666318901,0.007998608937576073,0.0012171796209354895,0.011824030603373326
META,2025-10-29,2025-10-30,post,11101.0,21171.0,184.0,178.0,172.0,16.0,10.0,18.0,35.0,16.0,0.016575083325826502,0.016034591478245205,0.015494099630663904,0.0014413115935501305,0.0009008197459688316,0.000540491847581299
META,2025-10-29,2025-10-30,pre,5083.0,9494.0,95.0,78.0,74.0,14.0,11.0,43.0,23.0,10.0,0.01868975014755066,0.015345268542199489,0.014558331693881566,0.0027542789691127286,0.0021640763328742867,0.0033444816053511705
META,2021-01-27,2021-01-28,all,3451.0,6312.0,74.0,161.0,64.0,86.0,8.0,42.0,40.0,12.0,0.021443059982613734,0.04665314401622718,0.01854534917415242,0.024920312952767313,0.0023181686467690526,-0.025210084033613446
META,2021-04-28,2021-04-29,all,3495.0,6404.0,53.0,107.0,46.0,46.0,4.0,30.0,35.0,14.0,0.015164520743919885,0.03061516452074392,0.013161659513590844,0.013161659513590844,0.0011444921316165952,-0.015450643776824034
META,2021-07-28,2021-07-29,all,3476.0,6472.0,64.0,182.0,48.0,49.0,14.0,49.0,30.0,5.0,0.018411967779056387,0.0523590333716916,0.01380897583429229,0.014096662830840045,0.004027617951668585,-0.03394706559263521
META,2021-10-25,2021-10-26,all,5133.0,9616.0,70.0,257.0,57.0,113.0,12.0,60.0,41.0,22.0,0.013637249172024158,0.05006818624586012,0.011104617182933957,0.022014416520553283,0.0023378141437755697,-0.03643093707383596
META,2022-02-02,2022-02-03,all,5347.0,9803.0,62.0,292.0,68.0,93.0,6.0,41.0,38.0,26.0,0.011595287076865532,0.05461006171685057,0.012717411632691229,0.0173929306152983,0.0011221245558256966,-0.043014774639985036
META,2022-04-27,2022-04-28,all,3219.0,5839.0,53.0,145.0,69.0,39.0,10.0,24.0,49.0,2.0,0.016464740602671637,0.04504504504504504,0.021435228331780055,0.012115563839701771,0.0031065548306927616,-0.02858030444237341
META,2022-07-27,2022-07-28,all,3452.0,6238.0,54.0,193.0,42.0,46.0,1.0,34.0,25.0,13.0,0.015643105446118192,0.05590961761297798,0.01216685979142526,0.013325608342989572,0.00028968713789107763,-0.040266512166859794
META,2022-10-26,2022-10-27,all,6174.0,11216.0,111.0,380.0,98.0,50.0,9.0,72.0,54.0,15.0,0.017978620019436346,0.06154842889536767,0.015873015873015872,0.008098477486232589,0.0014577259475218659,-0.04356980887593132
META,2023-02-01,2023-02-02,all,4062.0,7456.0,124.0,154.0,57.0,61.0,5.0,48.0,42.0,8.0,0.03052683407188577,0.0379123584441162,0.014032496307237814,0.01501723289020187,0.0012309207287050715,-0.007385524372230428
META,2023-04-26,2023-04-27,all,5048.0,9086.0,148.0,206.0,90.0,77.0,14.0,48.0,62.0,12.0,0.029318541996830427,0.04080824088748019,0.017828843106180665,0.015253565768621236,0.0027733755942947703,-0.011489698890649762
META,2023-07-26,2023-07-27,all,7209.0,13139.0,207.0,181.0,108.0,85.0,29.0,51.0,71.0,12.0,0.02871410736579276,0.02510750450825357,0.0149812734082397,0.011790817034262727,0.004022749341101401,0.003606602857539187
META,2023-10-25,2023-10-26,all,5815.0,10499.0,162.0,195.0,91.0,92.0,19.0,56.0,47.0,24.0,0.027858985382631127,0.03353396388650043,0.015649183147033535,0.015821152192605333,0.0032674118658641443,-0.005674978503869304
META,2024-02-01,2024-02-02,all,7217.0,12864.0,227.0,126.0,106.0,26.0,12.0,93.0,68.0,18.0,0.0314535125398365,0.01745877788554801,0.01468754330054039,0.003602604960509907,0.0016627407510045726,0.013994734654288486
META,2024-04-24,2024-04-25,all,8588.0,15453.0,267.0,263.0,135.0,57.0,17.0,71.0,81.0,17.0,0.031089892873777364,0.030624126688402423,0.015719608756404286,0.00663716814159292,0.0019795062878435027,0.0004657661853749418
META,2024-07-31,2024-08-01,all,6863.0,12398.0,236.0,179.0,115.0,50.0,5.0,48.0,65.0,24.0,0.03438729418621594,0.026081888387002768,0.01675652047209675,0.007285443683520326,0.0007285443683520326,0.008305405799213171
META,2024-10-30,2024-10-31,all,6566.0,11811.0,169.0,200.0,86.0,62.0,8.0,58.0,51.0,26.0,0.025738653670423394,0.03045994517209869,0.013097776424002438,0.009442583003350593,0.0012183978068839476,-0.004721291501675297
META,2025-01-29,2025-01-30,all,8903.0,16788.0,297.0,223.0,137.0,77.0,17.0,101.0,71.0,19.0,0.03335954172750758,0.025047736717960237,0.015388071436594406,0.008648770077501965,0.001909468718409525,0.008311805009547344
META,2025-04-30,2025-05-01,all,10386.0,18817.0,291.0,406.0,227.0,94.0,11.0,73.0,106.0,22.0,0.02801848642403235,0.03909108415174273,0.02185634507991527,0.009050645099171962,0.0010591180435201232,-0.01107259772771038
META,2025-07-30,2025-07-31,all,12188.0,22632.0,409.0,211.0,165.0,70.0,9.0,116.0,86.0,35.0,0.03355759763702002,0.01731211027239908,0.013537906137184115,0.005743354118805382,0.0007384312438464063,0.016245487364620937
META,2025-10-29,2025-10-30,all,16184.0,30665.0,279.0,256.0,246.0,30.0,21.0,61.0,58.0,26.0,0.017239248640632723,0.015818091942659415,0.015200197726149283,0.0018536826495304003,0.0012975778546712802,0.001421156697973307
