earnings_date,fiscalYear,period,transcript_dir,symbol,fiscal_period_end,calendarYear,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
2021-01-27,2020,Q4,data/META/transcripts/2021-01-27,META,2020-12-31,2020,5.051064681930446,5.051064681930446,1.1732194112542553,36.34048161869479,0,36.34048161869479,22.99232245681382,13.348159161880968,0.8144058136221146,0.45507979481333716,0.46505414648047877,0.39965089769165,0.14063577173496744,0.07041979462200909,0.08745030789617274,0.08850937056154086,0.8593642282650326,1.021917808219178,0.45507979481333716,0.06687338371538326,0.08304622340010913,0.0,0.07667837402118839,0.0,1.3178149051999248,1.2418427001325123,2.4765769739744155,3.91435011269722,0,0.5105763809315945,0.17620326897486757,4.858131487889273,3.2619377162629757,21.437370242214534,0.0,0.500142490738102,0.6714387464387465,1.3178149051999248,0.0,3.0435725124647734,3.0435725124647734,0.0,6.153499103593422,6.153499103593422,28.121701339412944,17.59141634726803,83.74163572716667,56.22737891737892,56.22737891737892,0.40652432735283267,28.121701339412944,0.0,53.45746686705835,6.153499103593422
2021-04-28,2021,Q1,data/META/transcripts/2021-04-28,META,2021-03-31,2021,6.080207596131163,6.080207596131163,1.5344027679484156,35.33835161056131,0,35.338351610561304,15.400506723835509,19.937844886725795,0.8039432960146727,0.43475602766420846,0.4395323067517481,0.3628825799549119,0.17438928975049986,0.05807745699381738,0.07105501395362757,0.07544792647507394,0.8256107102495002,1.0109861135524696,0.43475602766420846,0.07102364804950985,0.0868940646580426,0.0,0.07994713328881883,0.0,1.0540726709144137,1.2234525688890219,2.546808096535617,5.8439635535307515,0,0.45183177376471806,0.16004476434507683,4.253827210942503,2.769400659304995,22.3146977339909,0.0,0.4677696687172825,0.6510374121875511,1.0540726709144137,0.0,2.8656367041198503,2.8656367041198503,0.0,6.341768121909065,6.341768121909065,32.38782247029154,22.312880432505,106.35153097490588,69.23882550808692,69.23882550808692,-1.465212481734495,32.38782247029154,0.0,62.90057691910111,6.341768121909065
2021-07-29,2021,Q2,data/META/transcripts/2021-07-29,META,2021-06-30,2021,5.425373134328358,5.425373134328358,1.0882076105956704,36.2079994497369,0,36.2079994497369,16.21967030931654,19.988329140420362,0.8143205970354576,0.42531898063761736,0.4303401313753138,0.35746466279189737,0.16934388236234316,0.060922929036569,0.07519515000687275,0.07941053713038174,0.8306561176376568,1.0118056117085792,0.42531898063761736,0.07037729545334655,0.08686436079781808,0.0,0.07992198836481755,0.0,1.1031898059465313,1.2342668219667647,2.4856385706958455,5.548818088386434,0,0.4733046847022821,0.1704306337883699,4.6041014946124434,3.0010427528675705,22.27320125130344,0.0,0.4555490593940228,0.6518194171825457,1.1031898059465313,0.0,2.8720728534258457,2.8720728534258457,0.0,7.237093114948599,7.237093114948599,34.40388176221756,24.061036896286318,115.86306115357887,75.52179299411142,75.52179299411142,2.43526858283625,34.40388176221756,0.0,69.40588518079844,7.237093114948599
2021-10-25,2021,Q3,data/META/transcripts/2021-10-25,META,2021-09-30,2021,4.23428026049854,4.23428026049854,0.8138333707612845,37.501551189245085,0,37.50155118924509,34.23150233928262,3.270048849962471,0.801068597035505,0.35928990003447087,0.36418476387452603,0.31692519820751464,0.1297681022243256,0.05421470059262317,0.06894121175764847,0.0686749290058179,0.8702318977756744,1.0136237167801976,0.35928990003447087,0.07453489400595571,0.09478104379124175,0.0,0.08657534246575342,0.0,1.1147943037974684,1.271633173365327,2.3999007279947056,2.629157175398633,0,0.44776119402985076,0.1710646578412006,4.935067664117004,3.4245327953825893,20.339511361407638,0.0,0.4857290589451913,0.6939181037541693,1.1147943037974684,0.0,3.2670994667284954,3.2670994667284954,0.0,7.266447804439112,7.266447804439112,33.40411855222337,26.35015986512943,99.10548979341378,68.77109354907388,68.77109354907388,-2.4176271676256267,33.40411855222337,0.0,77.88673531969721,7.266447804439112
2022-02-02,2021,Q4,data/META/transcripts/2022-02-02,META,2021-12-31,2021,3.154293825408091,3.154293825408091,0.7854743316773125,37.525170027620206,0,37.525170027620206,57.8875236294896,-20.3623536018694,0.8114698108164295,0.37376377297971547,0.3772682724005821,0.30545573342045085,0.19034873651893253,0.06196268382463687,0.08235972421303822,0.08688178278518764,0.8096512634810674,1.0093762415574097,0.37376377297971547,0.08357883448703814,0.111091536607436,0.0,0.09998414437269372,0.0,1.3049808981474806,1.3291826488040424,2.3983901987321032,1.5547391623806024,0,0.481261791778629,0.20285323549434595,6.472468769194138,4.552608114611034,17.160050595657324,0.0,0.5376733687743162,0.7033804684047724,1.3049808981474806,0.0,3.371322160148976,3.371322160148976,0.0,7.533670075032632,7.533670075032632,27.940874500311846,22.868186322314052,73.88072760326685,51.96626078767123,51.96626078767123,1.6617548727548204,27.940874500311846,0.0,64.25571513802316,7.533670075032632
2022-04-27,2022,Q1,data/META/transcripts/2022-04-27,META,2022-03-31,2022,2.8106326472541023,2.8106326472541023,0.7059660438205444,36.73140318188333,0,36.73140318188333,48.64945878434638,-11.918055602463049,0.7848287229468253,0.30543213415508097,0.3191916296402465,0.26748602551239786,0.1619892231701841,0.045457866981695065,0.06057876456649463,0.05955341922141799,0.838010776829816,1.0450492726419522,0.30543213415508097,0.08557527189467659,0.11404064011425974,0.0,0.1023666785644044,1704.8,1.0016366612111294,1.3326354399974032,2.4502194907813872,1.8499691928527418,0,0.378039364425721,0.16994482943404499,5.165504587155963,3.168807339449541,16.106422018348624,0.0,0.5043715063780995,0.6134555271383916,1.0016366612111294,0.0,2.5870244440360226,2.5870244440360226,0.0,4.91715356899406,4.91715356899406,21.711731403181883,20.292397856664437,70.17151129125651,43.04710144927537,43.04710144927537,-0.7702828574162419,21.711731403181883,0.0,54.666004155750294,4.91715356899406
2022-07-29,2022,Q2,data/META/transcripts/2022-07-29,META,2022-06-30,2022,2.5200072016923976,2.5200072016923976,0.5707791330962776,35.98813406425647,0,35.98813406425647,69.47611710323575,-33.48798303897928,0.8198598292970647,0.2899868156269516,0.2840191520366387,0.2320102699326903,0.18311751771316884,0.03938649656317919,0.05316975041147519,0.05664059852807633,0.8168824822868311,0.9794209140942809,0.2899868156269516,0.09463478993279499,0.1277521130344208,0.0,0.1132803136060465,1671.6,0.7591336279330304,1.3499487146866824,2.500824295010846,1.2954091816367266,0,0.35270075136444845,0.16976186689755507,4.5107248520710055,1.7104289940828403,14.973742603550296,0.0,0.42318367913399485,0.3791916044929081,0.7591336279330304,0.0,1.6108029582673007,1.6108029582673007,0.0,3.466887180261913,3.466887180261913,15.128027201443341,16.30103185284881,94.27459459459459,35.74813478724277,35.74813478724277,-1.6542528621039154,15.128027201443341,0.0,43.20609636184857,3.466887180261913
2022-10-26,2022,Q3,data/META/transcripts/2022-10-26,META,2022-09-30,2022,2.5704147749812667,2.5704147749812667,0.6306695464362851,36.459190300930935,0,36.45919030093094,60.949965010496854,-24.490774709565905,0.7937504510355777,0.204373240961247,0.201197950494335,0.15858410911452694,0.21180057388809181,0.024567621049336477,0.0354167002433639,0.03625957863604064,0.7881994261119082,0.9844632768361582,0.204373240961247,0.14477847216787595,0.2087127500120876,0.07403593600764088,0.17267357360961105,87.13846153846154,0.37416988416988417,1.4416007220332974,2.4685134051839315,1.4766210281580987,0,0.3171700294121013,0.15491855512202757,3.6133482475764356,0.11782252050708426,15.576435495898583,0.0,0.3496788626686873,0.032607574037767,0.37416988416988417,0.0,1.0337066666666668,1.0337066666666668,0.0,2.932404145244734,2.932404145244734,13.130322580645162,20.69930375426621,1151.5625316455696,37.54966050975132,37.54966050975132,-0.6159913285908136,13.130322580645162,0.0,47.89970149253731,2.932404145244734
2023-02-01,2022,Q4,data/META/transcripts/2023-02-01,META,2022-12-31,2022,2.203396729075705,2.203396729075705,0.5432176422704063,37.678843463391885,0,37.678843463391885,53.87476007677543,-16.195916613383545,0.7408363127623193,0.19894295041193844,0.19117052697030934,0.1446603450956008,0.24329159212880144,0.02505290022452309,0.037012878540803255,0.040321106987353576,0.7567084078711985,0.9609313955305516,0.19894295041193844,0.1431725058822896,0.21152148146969685,0.07315904332183196,0.17459160626116188,58.17272727272727,0.5457109548343424,1.477388973296318,2.3886083469478687,1.6705410821643287,0,0.34889522838454945,0.17318429738271765,5.500758150113723,2.0727824109173616,15.44275966641395,0.0,0.4511425462459195,0.3768175866583971,0.5457109548343424,0.0,1.6046665929448192,1.6046665929448192,0.0,2.5252513264340206,2.5252513264340206,9.869638426861496,17.05657210401891,58.057227505486466,21.876984356694923,21.876984356694923,2.331064854215916,9.869638426861496,0.0,37.53469173789174,2.5252513264340206
2023-04-26,2023,Q1,data/META/transcripts/2023-04-26,META,2023-03-31,2023,2.067806627004452,2.067806627004452,0.45510421181198535,34.69924943271077,0,34.699249432710765,54.10609037328094,-19.406840940570177,0.7867690696456624,0.2522953395007855,0.25508814801885143,0.1993017978704835,0.21869440262761736,0.030944598923524726,0.04574702512119876,0.045421406574068256,0.7813055973723827,1.011069600110696,0.2522953395007855,0.14946528556948577,0.22096237830041268,0.07367131828978622,0.18097394500229705,131.4,0.5076337262012692,1.478352498096879,2.593716044911264,1.6633986928104576,0,0.2951419298335995,0.15526502647825638,5.410900657131813,2.7661383842288365,14.471975260919985,0.0,0.4886716704485949,0.5112158879839978,0.5076337262012692,0.0,2.045893013738673,2.045893013738673,0.0,4.393515605593173,4.393515605593173,19.140819689300052,24.009843229987737,76.61944941307993,39.16907986855265,39.16907986855265,0.9390516463284094,19.140819689300052,0.0,57.08201294760267,4.393515605593173
