date_x,symbol,date_y,revenueLow,revenueHigh,revenueAvg,ebitdaLow,ebitdaHigh,ebitdaAvg,ebitLow,ebitHigh,ebitAvg,netIncomeLow,netIncomeHigh,netIncomeAvg,sgaExpenseLow,sgaExpenseHigh,sgaExpenseAvg,epsAvg,epsHigh,epsLow,numAnalystsRevenue,numAnalystsEps
2020-12-31,META,2020-12-29,24772740280,27112048531,26357645328,9574718012,14362077018,11968397515,8125217391,12187826086,10156521738,7135562732,10703344099,8919453415,3103801242,4655701863,3879751552,3.18789,3.30651,2.93869,5,4
2021-03-31,META,2021-03-29,22302005817,24408000779,23728838747,6607230379,9910845569,8259037974,5530572151,8295858227,6913215189,4616263291,6924394936,5770329113,2170329113,3255493670,2712911391,2.34756,2.43491,2.16405,5,4
2021-06-30,META,2021-06-29,26179150686,28651267316,27854034756,9457161716,14185742574,11821452145,7999775577,11999663366,9999719471,6723511551,10085267326,8404389438,3373399339,5060099009,4216749174,3.04217,3.15536,2.80436,18,17
2021-09-30,META,2021-09-29,27717169435,30334522317,29490452538,10048601880,15072902821,12560752350,8259982445,12389973667,10324978056,7286028840,10929043260,9107536050,5151097178,7726645768,6438871473,3.18772,3.30633,2.93854,26,17
2021-12-31,META,2021-12-29,31363588368,34325275295,33370161276,12380039583,18570059375,15475049479,10513718750,15770578124,13142148437,8592260416,12888390624,10740325520,6426025000,9639037499,8032531249,3.83939,3.98225,3.53926,18,17
2022-03-31,META,2022-03-29,26578560339,29088393519,28278997754,8355000000,12532500000,10443750000,6393000000,9589500000,7991250000,5598750000,8398125000,6998437500,4254000000,6381000000,5317500000,2.55503,2.6501,2.3553,29,18
2022-06-30,META,2022-06-29,27170101537,29735794391,28908384447,8616623938,12924935907,10770779922,7022010809,10533016216,8777513513,5618112741,8427169111,7022640926,5529896525,8294844787,6912370656,2.53718,2.63158,2.33885,17,19
2022-09-30,META,2022-09-29,25789514943,28224837980,27439470981,11053462068,16580193103,13816827585,9085980689,13628971033,11357475861,8014631724,12021947586,10018289655,5666206895,8499310344,7082758619,1.89647,1.96703,1.74822,17,23
2022-12-31,META,2022-12-29,29653860189,32454096216,31551048476,13618043541,20427065312,17022554426,11565090625,17347635937,14456363281,9451486457,14177229686,11814358071,7068627500,10602941248,8835784374,2.25939,2.34346,2.08277,29,27
2023-03-31,META,2023-03-29,26005125842,28460809176,27668876188,9190500000,13785750000,11488125000,7032300000,10548450000,8790375000,6158625000,9237937500,7698281250,4679400000,7019100000,5849250000,2.021,2.0962,1.86302,22,24
2023-06-30,META,2023-06-29,29209108659,31967346469,31077842728,9478286331,14217429497,11847857914,7724211891,11586317837,9655264864,6179924015,9269886022,7724905018,6082886177,9124329265,7603607721,2.9094,3.01765,2.68197,34,28
2023-09-30,META,2023-09-29,32965299302,34568867445,33579330193,12158808274,18238212413,15198510343,9994578757,14991868136,12493223446,8816094896,13224142344,11020118620,6232827584,9349241378,7791034481,3.64349,4.29335,3.0682,36,37
2023-12-31,META,2023-12-30,36556769222,40314464688,39124159358,14979847895,22469771843,18724809869,12721599687,19082399530,15901999608,10396635102,15594952653,12995793878,7775490250,11663235372,9719362811,4.82198,5.46703,3.9443,36,36
2024-03-31,META,2024-03-31,35568807676,36903883371,36146676261,10109550000,15164325000,12636937500,7735530000,11603295000,9669412500,6774487500,10161731250,8468109375,5147340000,7721010000,6434175000,4.32021,4.59022,3.90019,28,27
2024-06-30,META,2024-06-30,37542919128,38920091600,38261443896,17104616368,17732058436,17431977447,14012951170,14526982872,14281141623,10979345524,13717721165,12141866884,6447703744,6684222382,6571104773,4.71712,5.32934,4.26548,27,27
2024-09-30,META,2024-09-30,39723028008,41152777065,40202943776,18097877598,18749273645,18316528020,14826680097,15360336088,15005809381,12306422704,15026806085,13446395825,6822120452,7067668709,6904542245,5.22393,5.83792,4.78105,29,29
2024-12-31,META,2024-12-31,46553731396,47554456490,47004057689,21209957417,21665889434,21415126825,17376250435,17749772586,17544335403,12261429184,21607159868,17389866786,7995240519,8167107254,8072580550,6.75597,8.39439,4.76357,31,31
2025-03-31,META,2025-03-31,40610976718,41917790266,41339201062,18502428506,19097814931,18834208728,15158108291,15645878419,15429919126,11553038644,16933239186,13474529645,6974618722,7199053764,7099685577,5.23486,6.57857,4.48836,28,30
2025-06-30,META,2025-06-30,43662435726,45590776709,44821438597,19892678303,20771233661,20420721938,16297069967,17016826146,16729669536,13049613725,20280443047,15143382545,7498683023,7829860557,7697732733,5.88321,7.87896,5.06978,30,30
2025-09-30,META,2025-09-30,49037575785,51029915022,49508128269,22341601050,23249314119,22555985544,18303349099,19046992723,18478983523,15733369086,19791048427,17304075366,8421821434,8763990169,8502635155,6.72264,7.68883,6.11242,31,32
