ticker,earnings_date,date,offset,ret,ret_pct
MSFT,2021-01-26,2021-01-20,-5,,
MSFT,2021-01-26,2021-01-21,-4,0.0028082253634702514,0.28082253634702514
MSFT,2021-01-26,2021-01-22,-3,0.00435608618951866,0.435608618951866
MSFT,2021-01-26,2021-01-25,-2,0.015844203939705093,1.5844203939705093
MSFT,2021-01-26,2021-01-26,-1,0.012198820065741245,1.2198820065741245
MSFT,2021-01-26,2021-01-27,0,0.0024535365704330125,0.24535365704330125
MSFT,2021-01-26,2021-01-28,1,0.025890876257367523,2.5890876257367523
MSFT,2021-01-26,2021-01-29,2,-0.029171707442458006,-2.9171707442458006
MSFT,2021-01-26,2021-02-01,3,0.03315233468376766,3.315233468376766
MSFT,2021-01-26,2021-02-02,4,-0.0005842638146541512,-0.05842638146541512
MSFT,2021-01-26,2021-02-03,5,0.014571446744607863,1.4571446744607863
MSFT,2021-01-26,2021-02-04,6,-0.004074037742126446,-0.4074037742126446
MSFT,2021-01-26,2021-02-05,7,0.0007850891412606309,0.07850891412606309
MSFT,2021-01-26,2021-02-08,8,0.0011149263830805278,0.11149263830805278
MSFT,2021-01-26,2021-02-09,9,0.005361308739883386,0.5361308739883386
MSFT,2021-01-26,2021-02-10,10,-0.003897039205235986,-0.3897039205235986
MSFT,2021-04-27,2021-04-21,-5,,
MSFT,2021-04-27,2021-04-22,-4,-0.01308620958393003,-1.308620958393003
MSFT,2021-04-27,2021-04-23,-3,0.015475812237842446,1.5475812237842446
MSFT,2021-04-27,2021-04-26,-2,0.001531827212757797,0.1531827212757797
MSFT,2021-04-27,2021-04-27,-1,0.001605855400221845,0.1605855400221845
MSFT,2021-04-27,2021-04-28,0,-0.028285583954425708,-2.828558395442571
MSFT,2021-04-27,2021-04-29,1,-0.008053239685097746,-0.8053239685097746
MSFT,2021-04-27,2021-04-30,2,-0.0013069011733271019,-0.1306901173327102
MSFT,2021-04-27,2021-05-03,3,-0.001268849745050482,-0.1268849745050482
MSFT,2021-04-27,2021-05-04,4,-0.016159772284468188,-1.6159772284468188
MSFT,2021-04-27,2021-05-05,5,-0.005327181804293479,-0.5327181804293479
MSFT,2021-04-27,2021-05-06,6,0.013226807865224455,1.3226807865224455
MSFT,2021-04-27,2021-05-07,7,0.010931882449433994,1.0931882449433994
MSFT,2021-04-27,2021-05-10,8,-0.020914243964173518,-2.091424396417352
MSFT,2021-04-27,2021-05-11,9,-0.003843367652218266,-0.3843367652218266
MSFT,2021-04-27,2021-05-12,10,-0.02936270368321836,-2.936270368321836
MSFT,2021-07-27,2021-07-21,-5,,
MSFT,2021-07-27,2021-07-22,-4,0.016844439394331445,1.6844439394331445
MSFT,2021-07-27,2021-07-23,-3,0.012336565647848685,1.2336565647848685
MSFT,2021-07-27,2021-07-26,-2,-0.002140456340701591,-0.21404563407015909
MSFT,2021-07-27,2021-07-27,-1,-0.008683582515555566,-0.8683582515555566
MSFT,2021-07-27,2021-07-28,0,-0.0011165556611173466,-0.11165556611173466
MSFT,2021-07-27,2021-07-29,1,0.0009781059343034748,0.09781059343034748
MSFT,2021-07-27,2021-07-30,2,-0.005549633991345226,-0.5549633991345226
MSFT,2021-07-27,2021-08-02,3,-0.0003162375773134718,-0.03162375773134718
MSFT,2021-07-27,2021-08-03,4,0.008075390167324281,0.8075390167324281
MSFT,2021-07-27,2021-08-04,5,-0.002124403583093848,-0.2124403583093848
MSFT,2021-07-27,2021-08-05,6,0.01050573794637888,1.050573794637888
MSFT,2021-07-27,2021-08-06,7,-0.00020721297995229815,-0.020721297995229815
MSFT,2021-07-27,2021-08-09,8,-0.003903848562086809,-0.3903848562086809
MSFT,2021-07-27,2021-08-10,9,-0.006554861763116038,-0.6554861763116038
MSFT,2021-07-27,2021-08-11,10,0.001780525231733554,0.1780525231733554
MSFT,2021-10-26,2021-10-20,-5,,
MSFT,2021-10-26,2021-10-21,-4,0.010897362365282381,1.0897362365282381
