ticker,earnings_date,day0_date,phase,n_tokens,n_tokens_raw,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
MSFT,2021-01-26,2021-01-27,post,3871.0,9956.0,130.0,38.0,39.0,9.0,7.0,40.0,17.0,18.0,0.03358305347455438,0.009816584861792819,0.010074916042366313,0.002324980625161457,0.0018083182640144665,0.02376646861276156
MSFT,2021-01-26,2021-01-27,pre,1042.0,1841.0,22.0,12.0,21.0,0.0,0.0,11.0,12.0,7.0,0.02111324376199616,0.011516314779270634,0.02015355086372361,0.0,0.0,0.009596928982725527
MSFT,2021-04-27,2021-04-28,post,1217.0,2163.0,35.0,37.0,20.0,19.0,5.0,7.0,19.0,2.0,0.02875924404272802,0.030402629416598194,0.016433853738701727,0.015612161051766639,0.004108463434675432,-0.0016433853738701725
MSFT,2021-04-27,2021-04-28,pre,846.0,1463.0,10.0,11.0,16.0,0.0,0.0,1.0,11.0,4.0,0.01182033096926714,0.013002364066193853,0.018912529550827423,0.0,0.0,-0.001182033096926714
MSFT,2021-07-27,2021-07-28,post,1277.0,2307.0,31.0,36.0,17.0,11.0,6.0,9.0,9.0,5.0,0.02427564604541895,0.028191072826938137,0.01331245105716523,0.008613938919342208,0.004698512137823023,-0.003915426781519186
MSFT,2021-07-27,2021-07-28,pre,907.0,1582.0,9.0,17.0,11.0,1.0,2.0,9.0,8.0,3.0,0.009922822491730982,0.018743109151047408,0.012127894156560088,0.0011025358324145535,0.002205071664829107,-0.008820286659316428
MSFT,2021-10-26,2021-10-27,post,1008.0,1828.0,33.0,20.0,10.0,0.0,3.0,3.0,7.0,6.0,0.03273809523809524,0.01984126984126984,0.00992063492063492,0.0,0.002976190476190476,0.012896825396825396
MSFT,2021-10-26,2021-10-27,pre,653.0,1190.0,14.0,13.0,9.0,0.0,0.0,3.0,7.0,1.0,0.021439509954058193,0.019908116385911178,0.013782542113323124,0.0,0.0,0.0015313935681470138
MSFT,2022-01-25,2022-01-26,post,1646.0,2932.0,66.0,28.0,31.0,20.0,0.0,18.0,22.0,4.0,0.040097205346294046,0.01701093560145808,0.018833535844471446,0.012150668286755772,0.0,0.023086269744835967
MSFT,2022-01-25,2022-01-26,pre,2106.0,3843.0,46.0,64.0,46.0,14.0,2.0,23.0,37.0,4.0,0.02184235517568851,0.030389363722697058,0.02184235517568851,0.006647673314339981,0.000949667616334283,-0.008547008547008548
MSFT,2022-04-26,2022-04-27,post,1562.0,2751.0,66.0,30.0,13.0,6.0,0.0,11.0,9.0,2.0,0.04225352112676056,0.019206145966709345,0.008322663252240717,0.0038412291933418692,0.0,0.023047375160051217
MSFT,2022-04-26,2022-04-27,pre,719.0,1330.0,20.0,13.0,11.0,1.0,0.0,4.0,8.0,1.0,0.027816411682892908,0.01808066759388039,0.015299026425591099,0.0013908205841446453,0.0,0.009735744089012517
MSFT,2022-07-26,2022-07-27,post,1012.0,1767.0,35.0,50.0,13.0,0.0,1.0,6.0,5.0,4.0,0.03458498023715415,0.04940711462450593,0.012845849802371542,0.0,0.0009881422924901185,-0.014822134387351778
MSFT,2022-07-26,2022-07-27,pre,698.0,1246.0,18.0,34.0,12.0,0.0,0.0,7.0,6.0,0.0,0.025787965616045846,0.04871060171919771,0.017191977077363897,0.0,0.0,-0.022922636103151862
MSFT,2022-10-25,2022-10-26,post,1424.0,2539.0,30.0,76.0,30.0,4.0,2.0,8.0,14.0,5.0,0.021067415730337078,0.05337078651685393,0.021067415730337078,0.0028089887640449437,0.0014044943820224719,-0.032303370786516857
MSFT,2022-10-25,2022-10-26,pre,944.0,1651.0,32.0,43.0,10.0,1.0,2.0,11.0,4.0,1.0,0.03389830508474576,0.045550847457627115,0.01059322033898305,0.001059322033898305,0.00211864406779661,-0.011652542372881356
MSFT,2023-01-24,2023-01-25,post,1847.0,3438.0,50.0,71.0,27.0,7.0,6.0,18.0,17.0,5.0,0.02707092582566324,0.0384407146724418,0.014618299945858148,0.003789929615592853,0.0032485110990795887,-0.01136978884677856
MSFT,2023-01-24,2023-01-25,pre,1382.0,2493.0,33.0,76.0,25.0,1.0,2.0,14.0,20.0,7.0,0.023878437047756874,0.05499276410998553,0.01808972503617945,0.000723589001447178,0.001447178002894356,-0.031114327062228653
MSFT,2023-04-25,2023-04-26,post,3793.0,6770.0,140.0,103.0,62.0,21.0,2.0,30.0,46.0,6.0,0.036910097548114945,0.027155286053255998,0.01634590034273662,0.005536514632217242,0.0005272871078302136,0.009754811494858951
MSFT,2023-04-25,2023-04-26,pre,1648.0,2916.0,47.0,38.0,26.0,14.0,4.0,16.0,20.0,10.0,0.028519417475728157,0.023058252427184466,0.015776699029126214,0.00849514563106796,0.0024271844660194173,0.0054611650485436895
MSFT,2023-07-25,2023-07-26,post,3083.0,5606.0,137.0,69.0,42.0,5.0,5.0,31.0,32.0,3.0,0.04443723645799546,0.0223807979240999,0.013623094388582549,0.001621796951021732,0.001621796951021732,0.022056438533895557
MSFT,2023-07-25,2023-07-26,pre,3210.0,5859.0,116.0,78.0,57.0,27.0,17.0,30.0,33.0,6.0,0.03613707165109034,0.024299065420560748,0.017757009345794394,0.008411214953271028,0.00529595015576324,0.011838006230529595
MSFT,2023-10-24,2023-10-25,post,3092.0,5571.0,121.0,52.0,49.0,16.0,5.0,16.0,34.0,2.0,0.039133247089262614,0.016817593790426907,0.015847347994825355,0.00517464424320828,0.0016170763260025874,0.022315653298835704
