date_x,symbol,date_y,revenueLow,revenueHigh,revenueAvg,ebitdaLow,ebitdaHigh,ebitdaAvg,ebitLow,ebitHigh,ebitAvg,netIncomeLow,netIncomeHigh,netIncomeAvg,sgaExpenseLow,sgaExpenseHigh,sgaExpenseAvg,epsAvg,epsHigh,epsLow,numAnalystsRevenue,numAnalystsEps
2020-12-31,MSFT,2020-12-29,39354481980,40960452807,40217191298,13212804878,19819207317,16516006097,10912804878,16369207317,13641006097,9428658536,14142987804,11785823170,3710975609,5566463414,4638719511,1.64156,1.681,1.59578,12,11
2021-03-31,MSFT,2021-03-29,40155222654,41793869967,41035485410,14306359550,21459539325,17882949437,11722894382,17584341573,14653617977,10628858426,15943287640,13286073033,4407087640,6610631460,5508859550,1.7813,1.8241,1.73163,11,10
2021-06-30,MSFT,2021-06-29,43272537354,45038395501,44221136327,15992530526,23988795789,19990663157,13105200000,19657800000,16381500000,11295385263,16943077894,14119231578,5064324210,7596486315,6330405262,1.91602,1.96205,1.86259,16,16
2021-09-30,MSFT,2021-09-29,43067689989,44825188760,44011798400,17440291262,26160436892,21800364077,14539922330,21809883494,18174902912,14731747572,22097621359,18414684465,4191417475,6287126213,5239271844,2.07687,2.12677,2.01895,16,16
2021-12-31,MSFT,2021-12-29,49650532131,51676662375,50738946323,19666507359,29499761038,24583134198,16487819913,24731729870,20609774891,13907220779,20860831168,17384025973,5012232034,7518348051,6265290042,2.31896,2.37467,2.25429,17,31
2022-03-31,MSFT,2022-03-29,47970998248,49928590366,49022594536,19304679452,28957019178,24130849315,16068032876,24102049315,20085041095,13199079452,19798619178,16498849315,5582465753,8373698630,6978082191,2.18879,2.24138,2.12775,15,20
2022-06-30,MSFT,2022-06-29,51260584432,53352417408,52384293387,20492820960,30739231441,25616026200,16857606986,25286410480,21072008733,13742882096,20614323144,17178602620,6611196506,9916794759,8263995632,2.29224,2.34731,2.22832,15,17
2022-09-30,MSFT,2022-09-29,48545024089,50526040953,49609203885,19184320388,28776480582,23980400485,15993914563,23990871844,19992393203,16204922328,24307383494,20256152911,4610559222,6915838834,5763199028,2.30459,2.35996,2.24032,15,17
2022-12-31,MSFT,2022-12-29,51850104624,53965994638,52986736747,21633158094,32449737141,27041447617,18136601904,27204902857,22670752380,15297942856,22946914284,19122428570,5513455237,8270182856,6891819046,2.29332,2.34842,2.22937,17,17
2023-03-31,MSFT,2023-03-29,49924193934,51961491721,51018607204,21235147397,31852721095,26543934246,17674836163,26512254246,22093545204,14518987397,21778481095,18148734246,6140712328,9211068493,7675890410,2.2391,2.2929,2.17666,16,23
2023-06-30,MSFT,2023-06-29,54295153922,56510821080,55485385195,22542103056,33813154585,28177628820,18543367684,27815051528,23179209606,15117170305,22675755458,18896462881,7272316156,10908474234,9090395195,2.55063,2.61191,2.4795,16,17
2023-09-30,MSFT,2023-09-29,53892334021,55379062262,54523411175,21102752426,31654128639,26378440533,17593306019,26389959028,21991632523,17825414561,26738121842,22281768202,5071615144,7607422717,6339518930,2.65401,2.73894,2.55847,33,34
2023-12-31,MSFT,2023-12-30,59855821497,62602767202,61140881926,23796473903,35694710855,29745592379,19950262094,29925393141,24937827618,16827737141,25241605712,21034671426,6064800760,9097201141,7581000950,2.77132,3.00411,2.61613,33,34
2024-03-31,MSFT,2024-03-31,60498991592,61362259101,60860359387,23358662136,35037993204,29198327670,19442319779,29163479670,24302899724,15970886136,23956329204,19963607670,6754783560,10132175342,8443479451,2.82465,2.96538,2.73418,24,23
2024-06-30,MSFT,2024-06-30,64021178956,64753365398,64382257202,33538599238,33922167739,33727756307,28160654915,28482717864,28319480479,21535901002,22216029202,21913750002,8713959201,8813617515,8763105767,2.9375,2.97802,2.88685,23,24
2024-09-30,MSFT,2024-09-30,64402023454,64963348483,64562402034,33738111200,34032171001,33822128286,28328174955,28575082005,28398719827,22233709402,23510637603,23135101203,8765796162,8842198432,8787625382,3.10122,3.15156,2.98039,22,24
2024-12-31,MSFT,2024-12-31,68434669953,69567395558,68865707131,35850682649,36444080501,36076488912,30101993687,30600239664,30291591714,22523082803,24319003203,23271395403,9314681979,9468857907,9373350695,3.11949,3.25992,3.01918,24,23
2025-03-31,MSFT,2025-03-31,68269683180,68770194054,68439856878,35764251481,36026452738,35853399909,30029421834,30249578886,30104275232,23662150203,24563616603,24037761203,9292225535,9360350355,9315387974,3.22222,3.29271,3.17187,24,25
2025-06-30,MSFT,2025-06-30,72686009866,75899774959,73926767276,38077820416,39761406711,38727812594,31972007925,33385629655,32517773277,24568689403,26085307403,25175336603,9893334280,10330761681,10062214479,3.37471,3.49669,3.29339,27,25
2025-09-30,MSFT,2025-09-30,70569798814,76159386133,75494678452,36969206743,39897408504,39549189917,31041161444,33499823439,33207442013,26802362603,28003571803,27402967203,9605295586,10366097506,10275623764,3.67332,3.75383,3.59281,26,25
