ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-13 07:02:00,2021-04-13T07:02:00-04:00,2021-04-13,1 Big-Cap Fintech Many Investors Haven't Heard of,"This stock isn't a household name for American investors, but it should be.",fool.com,https://www.fool.com/investing/2021/04/13/1-big-cap-fintech-many-investors-havent-heard-of/,https://images.financialmodelingprep.com/news/1-bigcap-fintech-many-investors-havent-heard-of-20210413.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-13 08:29:19,2021-04-13T08:29:19-04:00,2021-04-13,BOE: Global Exposure At A Discount,BOE: Global Exposure At A Discount,seekingalpha.com,https://seekingalpha.com/article/4418810-boe-closed-end-fund-global-exposure-discount,https://images.financialmodelingprep.com/news/boe-global-exposure-at-a-discount-20210413.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-13 09:00:14,2021-04-13T09:00:14-04:00,2021-04-13,Microsoft's latest MacBook Air competitor lets you pick between Intel or AMD,"It shows Microsoft is taking a different path to its devices than Apple, which has ditched using processors from Intel in its new computers.",cnbc.com,https://www.cnbc.com/2021/04/13/microsoft-surface-laptop-4-price-release-date-intel-amd.html,https://images.financialmodelingprep.com/news/microsofts-latest-macbook-air-competitor-lets-you-pick-between-20210413.jpeg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-13 09:55:44,2021-04-13T09:55:44-04:00,2021-04-13,Microsoft's $16 Billion Nuance Bid Is About to Beat Google and Amazon at Their Own Game,Microsoft announced it will buy voice-recognition leader Nuance for $16 billion. Buy MSFT stock before the market figures out the real story.,investorplace.com,https://investorplace.com/2021/04/msft-stock-nuance-bid-is-about-to-beat-google-and-amazon-at-their-own-game/,https://images.financialmodelingprep.com/news/microsofts-16-billion-nuance-bid-is-about-to-beat-20210413.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-13 11:10:06,2021-04-13T11:10:06-04:00,2021-04-13,"Here's Why Microsoft, Plug Power And FuelCell Are Moving","One of the most common questions traders have about stocks is “Why Is It Moving?” That's why Benzinga created the Why Is It Moving, or WIIM, feature in Benzinga Pro.",benzinga.com,https://www.benzinga.com/news/21/04/20601020/heres-why-microsoft-plug-power-and-fuelcell-are-moving,https://images.financialmodelingprep.com/news/heres-why-microsoft-plug-power-and-fuelcell-are-moving-20210413.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-13 11:22:11,2021-04-13T11:22:11-04:00,2021-04-13,3 Office Equipment Stocks to Watch in a Prospering Industry,3 Office Equipment Stocks to Watch in a Prospering Industry,zacks.com,https://www.zacks.com/commentary/1389670/3-office-equipment-stocks-to-watch-in-a-prospering-industry,https://images.financialmodelingprep.com/news/3-office-equipment-stocks-to-watch-in-a-prospering-20210413.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-13 12:04:05,2021-04-13T12:04:05-04:00,2021-04-13,JnJ Amid Trending Stocks This Week,This week is marred by some mixed sentiment with the advised suspension of the JnJ vaccine and inflation data. Make the most of it with these trending stocks.,forbes.com,https://www.forbes.com/sites/qai/2021/04/13/jnj-amid-trending-stocks-this-week/,https://images.financialmodelingprep.com/news/jnj-amid-trending-stocks-this-week-20210413.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-13 12:53:21,2021-04-13T12:53:21-04:00,2021-04-13,Microsoft (MSFT) Set to Acquire Nuance Communications for $19.7B,Microsoft's (MSFT) acquisition of Nuance Communications will help it expand presence in the lucrative healthcare vertical.,zacks.com,https://www.zacks.com/stock/news/1390203/microsoft-msft-set-to-acquire-nuance-communications-for-%24197b,https://images.financialmodelingprep.com/news/microsoft-msft-set-to-acquire-nuance-communications-for-197b-20210413.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-13 16:06:00,2021-04-13T16:06:00-04:00,2021-04-13,Microsoft announces quarterly earnings release date,"REDMOND, Wash., April 13, 2021 /PRNewswire/ -- Microsoft Corp. will publish fiscal year 2021 third-quarter financial results after the close of the market on Tuesday, April 27, 2021, on the Microsoft Investor Relations website at https://www.microsoft.com/en-us/Investor/.",prnewswire.com,https://www.prnewswire.com/news-releases/microsoft-announces-quarterly-earnings-release-date-301268177.html,https://images.financialmodelingprep.com/news/microsoft-announces-quarterly-earnings-release-date-20210413.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-13 16:31:37,2021-04-13T16:31:37-04:00,2021-04-13,Government agencies must update Microsoft Exchange as feds warn of 'unacceptable' security risk,"CISA warns the vulnerabilities being patched ""pose an unacceptable risk to the Federal enterprise and require an immediate and emergency action.""",cnbc.com,https://www.cnbc.com/2021/04/13/cisa-orders-all-agencies-to-install-new-microsoft-exchange-patches.html,https://images.financialmodelingprep.com/news/government-agencies-must-update-microsoft-exchange-as-feds-warn-20210413.jpeg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-13 18:48:00,2021-04-13T18:48:00-04:00,2021-04-13,U.S. directs agencies to apply patches to Microsoft servers,The top cybersecurity official in the White House on Tuesday directed all government agencies to urgently apply new patches for Microsoft Corp Exchange email servers to head off exploitation by hackers.,reuters.com,https://www.reuters.com/article/us-usa-cyber-microsoft/u-s-directs-agencies-to-apply-patches-to-microsoft-servers-idUSKBN2C0308,https://images.financialmodelingprep.com/news/us-directs-agencies-to-apply-patches-to-microsoft-servers-20210413.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-13 18:56:17,2021-04-13T18:56:17-04:00,2021-04-13,Microsoft (MSFT) Outpaces Stock Market Gains: What You Should Know,"Microsoft (MSFT) closed at $258.49 in the latest trading session, marking a +1.01% move from the prior day.",zacks.com,https://www.zacks.com/stock/news/1391585/microsoft-msft-outpaces-stock-market-gains-what-you-should-know,https://images.financialmodelingprep.com/news/microsoft-msft-outpaces-stock-market-gains-what-you-should-20210413.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-14 04:37:04,2021-04-14T04:37:04-04:00,2021-04-14,Find 'Strong Buy' Stocks Near Highs as Market Climb Continues,Find 'Strong Buy' Stocks Near Highs as Market Climb Continues,zacks.com,https://www.zacks.com/commentary/1391745/find-strong-buy-stocks-near-highs-as-market-climb-continues,https://images.financialmodelingprep.com/news/find-strong-buy-stocks-near-highs-as-market-climb-20210414.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-14 09:09:20,2021-04-14T09:09:20-04:00,2021-04-14,3 e-Learning Stocks to Leverage EduTech Concept Amid Coronavirus,"Here are three companies, which are constantly gaining traction from the trend of e-learning methods and tools amid the deadly pandemic.",zacks.com,https://www.zacks.com/stock/news/1394858/3-e-learning-stocks-to-leverage-edutech-concept-amid-coronavirus,https://images.financialmodelingprep.com/news/3-elearning-stocks-to-leverage-edutech-concept-amid-coronavirus-20210414.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-14 12:04:27,2021-04-14T12:04:27-04:00,2021-04-14,"Microsoft, Amazon, Starbucks, Nordstrom join corporate push for fair elections",Four Seattle-area corporate giants on Wednesday joined hundreds of companies pushing back against voting restriction legislation currently being proposed in several states.,geekwire.com,https://www.geekwire.com/2021/microsoft-amazon-starbucks-nordstrom-join-corporate-push-fair-elections/,https://images.financialmodelingprep.com/news/microsoft-amazon-starbucks-nordstrom-join-corporate-push-for-fair-elections-20210414.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-14 21:16:02,2021-04-14T21:16:02-04:00,2021-04-14,2 Great Tech Stocks to Buy Now Amid Hot Start to Q1 Earnings,Today we explore highly-ranked technology stocks to buy amid the strong start to the first quarter earnings season.,zacks.com,https://www.zacks.com/stock/news/1397249/2-great-tech-stocks-to-buy-now-amid-hot-start-to-q1-earnings,https://images.financialmodelingprep.com/news/2-great-tech-stocks-to-buy-now-amid-hot-20210414.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-15 05:30:00,2021-04-15T05:30:00-04:00,2021-04-15,"3 Vanguard ETFs That Can Turn Your Stimulus Check Into $100,000",Your stimulus check can go further than you may think.,fool.com,https://www.fool.com/investing/2021/04/15/3-etfs-that-can-turn-your-stimulus-check-into-1000/,https://images.financialmodelingprep.com/news/3-vanguard-etfs-that-can-turn-your-stimulus-check-20210415.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-15 09:15:39,2021-04-15T09:15:39-04:00,2021-04-15,Better Buy: Microsoft vs. Alphabet,The two tech giants have beaten the market over the past decade. But which is the better buy going forward?,fool.com,https://www.fool.com/investing/2021/04/15/better-buy-microsoft-vs-alphabet/,https://images.financialmodelingprep.com/news/better-buy-microsoft-vs-alphabet-20210415.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-15 09:51:17,2021-04-15T09:51:17-04:00,2021-04-15,4 GARP Stocks for a Winning Portfolio,Growth at a reasonable price or GARP strategy helps investors gain exposure to stocks that have impressive prospects and are trading at a discount.,zacks.com,https://www.zacks.com/stock/news/1400081/4-garp-stocks-for-a-winning-portfolio,https://images.financialmodelingprep.com/news/4-garp-stocks-for-a-winning-portfolio-20210415.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-15 14:54:14,2021-04-15T14:54:14-04:00,2021-04-15,3 Big Data Stocks To Watch Today,"Three of the biggest Big Data stocks are at important inflection points, and that could mean big moves are coming. Microsoft Corporation (NASDAQ: MSFT) is overbought.",benzinga.com,https://www.benzinga.com/trading-ideas/long-ideas/21/04/20647078/3-big-data-stocks-to-watch-today,https://images.financialmodelingprep.com/news/3-big-data-stocks-to-watch-today-20210415.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-16 10:00:00,2021-04-16T10:00:00-04:00,2021-04-16,Better Buy: Amazon vs. Microsoft,Both of these tech companies have made investors rich.,fool.com,https://www.fool.com/investing/2021/04/16/better-buy-amazon-vs-microsoft/,https://images.financialmodelingprep.com/news/better-buy-amazon-vs-microsoft-20210416.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-16 15:02:21,2021-04-16T15:02:21-04:00,2021-04-16,"Microsoft Competes With Google, Amazon In Healthcare","Microsoft showed just how seriously it takes its ambitions in the health sector when it announced its second most expensive purchase in history after LinkedIn – that of Nuance Communications. Nuance, which specializes in speech recognition, will enable Microsoft to develop technology that can process patient/doctor consultations and incorporate relevant information into a patient's electronic […]",pymnts.com,https://www.pymnts.com/healthcare/2021/microsoft-competes-with-google-amazon-in-healthcare/,https://images.financialmodelingprep.com/news/microsoft-competes-with-google-amazon-in-healthcare-20210416.jpg
MSFT,2021-04-27,2021-04-13,2021-05-11,MSFT,,2021-04-16 19:39:03,2021-04-16T19:39:03-04:00,2021-04-16,Apple and Microsoft: Buy Biggest Tech Stocks Ahead of Earnings?,Let's look at two of the biggest technology companies in the world ahead of their upcoming financial releases to help investors decide if they should buy MSFT or AAPL as the Nasdaq storms back.,zacks.com,https://www.zacks.com/stock/news/1407299/apple-and-microsoft-buy-biggest-tech-stocks-ahead-of-earnings,https://images.financialmodelingprep.com/news/apple-and-microsoft-buy-biggest-tech-stocks-ahead-of-20210416.jpg
