ticker,earnings_date,px_-10,px_-5,px_-1,px_+0,px_+1,px_+5,px_+10,pct_m10_p10,logpct_m10_p10,pct_m5_p5,logpct_m5_p5,pct_m1_p1,logpct_m1_p1,pct_p0_p1,logpct_p0_p1,pct_p0_p5,logpct_p0_p5,pct_p0_p10,logpct_p0_p10,car_simple_m10_p10_pct,car_mm_1y_m10_p10_pct,car_mm_1q_m10_p10_pct,car_simple_m5_p5_pct,car_mm_1y_m5_p5_pct,car_mm_1q_m5_p5_pct,car_simple_m1_p1_pct,car_mm_1y_m1_p1_pct,car_mm_1q_m1_p1_pct,car_simple_p0_p1_pct,car_mm_1y_p0_p1_pct,car_mm_1q_p0_p1_pct,car_simple_p0_p5_pct,car_mm_1y_p0_p5_pct,car_mm_1q_p0_p5_pct,car_simple_p0_p10_pct,car_mm_1y_p0_p10_pct,car_mm_1q_p0_p10_pct,announce_timing,pre_close_date,day0_date,dt_m10,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays,event_date_dt,sur_period_end,sur_quarter_rank,sur_actual_revenue,sur_actual_ebitda,sur_actual_ebit,sur_actual_netIncome,sur_actual_eps,sur_est_revenue,sur_est_ebitda,sur_est_ebit,sur_est_netIncome,sur_est_eps,sur_surprise_revenue,sur_surprise_revenue_pct,sur_surprise_ebitda,sur_surprise_ebitda_pct,sur_surprise_ebit,sur_surprise_ebit_pct,sur_surprise_netIncome,sur_surprise_netIncome_pct,sur_surprise_eps,sur_surprise_eps_pct,sur_period_end_dt,gro_symbol,gro_date,gro_fiscalYear,gro_period,gro_reportedCurrency,gro_growthRevenue,gro_growthCostOfRevenue,gro_growthGrossProfit,gro_growthGrossProfitRatio,gro_growthResearchAndDevelopmentExpenses,gro_growthGeneralAndAdministrativeExpenses,gro_growthSellingAndMarketingExpenses,gro_growthOtherExpenses,gro_growthOperatingExpenses,gro_growthCostAndExpenses,gro_growthInterestIncome,gro_growthInterestExpense,gro_growthDepreciationAndAmortization,gro_growthEBITDA,gro_growthOperatingIncome,gro_growthIncomeBeforeTax,gro_growthIncomeTaxExpense,gro_growthNetIncome,gro_growthEPS,gro_growthEPSDiluted,gro_growthWeightedAverageShsOut,gro_growthWeightedAverageShsOutDil,gro_growthEBIT,gro_growthNonOperatingIncomeExcludingInterest,gro_growthNetInterestIncome,gro_growthTotalOtherIncomeExpensesNet,gro_growthNetIncomeFromContinuingOperations,gro_growthOtherAdjustmentsToNetIncome,gro_growthNetIncomeDeductions,gro_period_end_dt,gro_period_end,est_date_x,est_symbol,est_estimate_date_raw,est_revenueLow,est_revenueHigh,est_revenueAvg,est_ebitdaLow,est_ebitdaHigh,est_ebitdaAvg,est_ebitLow,est_ebitHigh,est_ebitAvg,est_netIncomeLow,est_netIncomeHigh,est_netIncomeAvg,est_sgaExpenseLow,est_sgaExpenseHigh,est_sgaExpenseAvg,est_epsAvg,est_epsHigh,est_epsLow,est_numAnalystsRevenue,est_numAnalystsEps,est_period_end_dt,est_period_end
MU,2021-03-31,87.63709259033203,82.04634857177734,86.06621551513672,90.1641616821289,91.4715576171875,92.9839096069336,88.45665740966797,0.935180293083282,0.9308345548290538,13.330954058958078,12.514214913620863,6.2804458981934985,6.0911130398987305,1.450017291424266,1.43960507265396,3.127348906925609,3.0794435686634034,-1.8937726926144929,-1.911934225325008,-5.169021856038488,-9.737609224263691,-16.585761349884347,7.288250667281184,4.054363165386546,-0.8506450614149605,3.585062134508786,2.258104122487714,0.2163318843242924,0.0061946496498984,-0.7154555059434058,-1.827062020230172,0.4133759803320169,-1.1774641937953352,-3.5892586629418792,-5.867614625186222,-8.463056228660772,-12.372380776574245,amc,2021-03-31,2021-04-01,2021-03-18,2021-03-25,2021-03-31,2021-04-05,2021-04-09,2021-04-16,2021-03-18,2021-04-16,10,10,2021-03-31,2021-03-04,1,6236000000,2217000000,668000000,603000000,0.54,6192240214,1821360674,436254052,401552025,0.94711,43759786,0.7066874747698539,395639326,21.722184499081813,231745948,53.121786935287886,201447975,50.16734133018007,-0.4071099999999999,-42.98444742426962,2021-03-04,MU,2021-03-04,2021,Q2,USD,0.0802009353888792,0.1362397820163488,-0.0501152073732718,-0.1206406499489216,-0.0389805097451274,0,0,12.909090909090908,0.1333333333333333,0.1357244752394538,0.0,-0.125,0.0416946872898453,-0.0609911054637865,-0.2344110854503464,-0.2377049180327868,-0.0588235294117647,-0.24906600249066,-0.2499999999999999,-0.2535211267605633,0.0044843049327354,0.0079295154185022,-0.2356979405034324,0.375,0.1578947368421052,0.0,-0.24906600249066,0.0,0.0,2021-03-04,2021-03-04,2021-03-04,MU,2021-02-27,5313709832,7580075573,6192240214,1457088539,2185632809,1821360674,349003242,523504863,436254052,321241620,481862431,401552025,176881189,265321783,221101486,0.94711,1.22306,0.77243,3,2,2021-03-04,2021-03-04
MU,2021-06-30,78.6801986694336,78.62164306640625,82.91473388671875,78.16307830810547,78.37771606445312,76.82637786865234,73.18701171875,-6.981663803065152,-7.237354886108413,-2.2834236575767997,-2.309897559479374,-5.471907837832868,-5.627312410750483,0.2746024862296137,0.2742261424112881,-1.710143034776701,-1.7249348642850524,-6.366262303207493,-6.577942197085849,-9.198304809316722,-11.051880260093874,-5.921506579510018,-4.380276994617603,-5.834998200118463,-4.041692086367192,-6.7283418432021165,-7.382730303186867,-7.555453427703172,-0.4754056801617815,-0.8549025213495817,-1.01773466001617,-2.77972628320137,-3.486001055412993,-2.5585188376503716,-6.595706428390987,-7.0323838589910395,-3.750616796611363,amc,2021-06-30,2021-07-01,2021-06-17,2021-06-24,2021-06-30,2021-07-02,2021-07-09,2021-07-16,2021-06-17,2021-07-16,10,10,2021-06-30,2021-06-03,2,7422000000,3809000000,2252000000,1735000000,1.55,7234925428,2446174358,926707691,838002563,1.71991,187074572,2.5857152760137616,1362825642,55.71253077455405,1325292309,143.0108244348217,896997437,107.03993956639007,-0.16991,-9.879005296788783,2021-06-03,MU,2021-06-03,2021,Q3,USD,0.1901860166773572,-0.0634401569653368,0.8956943602183142,0.5927714945008212,0.0452418096723869,0,0,2.2595419847328246,0.345841784989858,0.0089718284586398,-0.2,0.0952380952380952,0.0051646223369916,0.7180875056382499,1.7134238310708898,1.7649769585253456,0.3541666666666667,1.8772802653399667,1.8703703703703705,1.8679245283018864,0.0008928571428571,0.0008741258741258,2.37125748502994,-89.6,-0.1875,1.0833333333333333,1.8772802653399667,0.0,0.0,2021-06-03,2021-06-03,2021-06-03,MU,2021-05-27,6208463020,8856452530,7234925428,1956939485,2935409230,2446174358,741366153,1112049230,926707691,670402051,1005603076,838002563,180332307,270498461,225415384,1.71991,2.22103,1.40269,3,2,2021-06-03,2021-06-03
MU,2021-09-28,72.02591705322266,72.17230987548828,71.32344818115234,69.89892578125,69.35176086425781,68.33563232421875,64.8572769165039,-9.952862011352902,-10.483689734041567,-5.315996616830709,-5.462511893278617,-2.764430726745992,-2.8033602435806095,-0.7827944576781487,-0.7858743769802535,-2.236505696702129,-2.2618947511924534,-7.212770165487282,-7.486116520688698,-7.693830134369785,-6.519802542179526,-3.8533695143014266,-4.708729979640369,-4.468156822767358,-2.737746613593254,-1.7460122612479183,-1.1811852840543118,-1.427513204486759,0.4081769548413747,1.077947298951906,0.5106792602950333,-2.376452213716038,-2.5205197018278267,-1.3522330396657407,-7.531242148796699,-7.756231346152156,-5.492054566596636,amc,2021-09-28,2021-09-29,2021-09-15,2021-09-22,2021-09-28,2021-09-30,2021-10-06,2021-10-13,2021-09-15,2021-10-13,10,10,2021-09-28,2021-09-02,3,8274000000,4574000000,2953000000,2720000000,2.42,8226748364,2263988570,704785713,608284285,2.33318,47251636,0.5743658844212584,2310011430,102.0328221003342,2248214287,318.9926023656498,2111715715,347.1593409650555,0.0868199999999999,3.7211016723956103,2021-09-02,MU,2021-09-02,2021,Q4,USD,0.1147938561034761,0.0153631284916201,0.2514395393474088,0.1225748440196005,0.0522388059701492,0,0,-0.9625292740046838,-0.2788244159758855,-0.054063667081629,0.125,0.0217391304347826,0.0411046885035324,0.2008401155158834,0.6425792106725959,0.6388888888888888,2.5384615384615383,0.5677233429394812,0.561290322580645,0.5723684210526316,0.0017841213202497,-0.0061135371179039,0.311278863232682,1.0044150110375276,0.0,-6.0,0.5677233429394812,0.0,0.0,2021-09-02,2021-09-02,2021-09-02,MU,2021-08-27,7059570067,10070567705,8226748364,1811190856,2716786284,2263988570,563828570,845742856,704785713,486627428,729941142,608284285,183894856,275842284,229868570,2.33318,3.01298,1.90285,12,11,2021-09-02,2021-09-02
MU,2021-12-20,83.86112213134766,81.37938690185547,80.14830780029297,88.59986114501953,88.26765441894531,93.9639129638672,92.33287048339844,10.10211661463567,9.62380820301935,15.464021714969212,14.378879514416296,10.13040305090842,9.649495995604433,-0.3749517457261708,-0.3756564518744699,6.054244046802548,5.87805135222033,4.21333542754514,4.1269914293647245,10.151542903322431,11.046359476751404,7.421709366623153,11.744612671067742,10.088197811063166,9.878409061496034,7.374128134296367,5.672573883668439,6.6743870780019785,-1.3929714677840537,-1.996923659754206,-1.6840299748905403,2.9859198909402354,1.2829341561793308,1.8443809588008289,3.252865691047693,3.0889849088794756,1.7422944902465092,amc,2021-12-20,2021-12-21,2021-12-07,2021-12-14,2021-12-20,2021-12-22,2021-12-29,2022-01-05,2021-12-07,2022-01-05,10,10,2021-12-20,2021-12-02,4,7687000000,4345000000,2674000000,2306000000,2.06,7677203204,2368811266,858681689,796214083,2.09905,9796796,0.1276089187647872,1976188734,83.42533499247551,1815318311,211.4075954168856,1509785917,189.62059943870648,-0.03905,-1.860365403396776,2021-12-02,MU,2021-12-02,2022,Q1,USD,-0.0709451293207638,-0.0550206327372764,-0.0887014314928425,-0.0191122211025216,0.0382978723404255,0,0,-4.25,-0.0240334378265412,-0.0494453844707651,0.1111111111111111,-0.0425531914893617,0.0308451573103022,-0.0500655881066899,-0.1096446700507614,-0.1440677966101695,-0.0478260869565217,-0.1522058823529411,-0.1487603305785123,-0.1464435146443514,-0.0035618878005342,-0.0070298769771528,-0.0944801896376566,-22.5,0.0789473684210526,-20.2,-0.1522058823529411,0.0,0.0,2021-12-02,2021-12-02,2021-12-02,MU,2021-11-27,6587992186,9397855779,7677203204,1895049013,2842573519,2368811266,686945351,1030418027,858681689,636971266,955456901,796214083,169753238,254629859,212191548,2.09905,2.71063,1.7119,8,7,2021-12-02,2021-12-02
MU,2022-03-29,77.9254150390625,73.99343872070312,80.25331115722656,77.4266128540039,76.18439483642578,72.16439819335938,70.89178466796875,-9.026105754544812,-9.459759705172337,-2.471895561237092,-2.5029598866549385,-5.0700915166344345,-5.20313721381907,-1.6043811963212915,-1.6173907273980708,-6.796390112747142,-7.038373235079125,-8.440028492990216,-8.817600209851188,-11.11212202726453,-10.58916581218574,-11.995827008871633,-2.788888483927198,-2.214285369316734,-2.8204119691668907,-2.9319772657585075,-1.203523714373811,-0.8238569024332457,-0.0391271250035556,1.15102812683962,1.4420401368468911,-4.2540805524523,-1.9142233615630784,-1.5801078664135584,-5.267165457207533,-1.904018092293349,-1.6444915345147244,amc,2022-03-29,2022-03-30,2022-03-16,2022-03-23,2022-03-29,2022-03-31,2022-04-06,2022-04-13,2022-03-16,2022-04-13,10,10,2022-03-29,2022-03-03,5,7786000000,4293000000,2551000000,2263000000,2.0,7527711316,2003496740,479879457,441707228,1.97568,258288684,3.43117148303778,2289503260,114.27536737594092,2071120543,431.59183265475775,1821292772,412.3303076217716,0.0243199999999998,1.2309685779073485,2022-03-03,MU,2022-03-03,2022,Q2,USD,0.0128788864316378,-0.0029112081513828,0.0311360448807854,0.0180250162290951,0.081967213114754,0,0,2.4423076923076925,0.2098501070663811,0.0363924050632911,0.2,0.2222222222222222,0.042489527229204,-0.0119677790563866,-0.032307107563664,-0.0027722772277227,0.1643835616438356,-0.0186470078057242,-0.029126213592233,-0.0196078431372549,0.0,0.0,-0.0459985041136873,0.8837209302325582,-0.2285714285714285,0.7358490566037735,-0.0186470078057242,0.0,0.0,2022-03-03,2022-03-03,2022-03-03,MU,2022-02-27,6459709612,9214859033,7527711316,1602797392,2404196089,2003496740,383903566,575855349,479879457,353365782,530048673,441707228,194569307,291853961,243211634,1.97568,2.55132,1.61129,7,8,2022-03-03,2022-03-03
MU,2022-06-30,53.878944396972656,57.2384147644043,54.14338684082031,52.54690933227539,55.563575744628906,56.73224258422851,59.32301712036133,10.10426760271599,9.625761814026616,-0.8843224995996435,-0.8882558371116712,2.6230145298887564,2.58920347509537,5.7409017022826525,5.582159232477381,7.9649465689553,7.663641964630398,12.89534983920342,12.129109600397,5.656309839984947,4.552034806151313,5.76712228396747,0.8833481372560021,2.292731411669903,2.517081485146574,1.5784970973707069,1.0643020509332035,1.2646889658435931,5.582488850858988,5.563538982815324,5.61720901145765,7.113039739816672,7.02660035843024,7.293327106366916,12.278676943773004,12.82934029352025,13.221445935516163,amc,2022-06-30,2022-07-01,2022-06-16,2022-06-24,2022-06-30,2022-07-05,2022-07-11,2022-07-18,2022-06-16,2022-07-18,10,10,2022-06-30,2022-06-02,6,8642000000,4820000000,2999000000,2626000000,2.36,8642347225,2690791793,1019378460,921802819,2.44297,-347225,-0.0040177163791287,2129208207,79.12942995214495,1979621540,194.19887879522196,1704197181,184.87654256132188,-0.0829699999999999,-3.3962758445662447,2022-06-02,MU,2022-06-02,2022,Q3,USD,0.1099409195992807,0.1209245742092457,0.0976605005440696,-0.0110640294839925,-0.0239898989898989,0,0,-1.08,-0.0876106194690265,0.0759541984732824,0.6666666666666666,-0.2,0.0453501722158438,0.12275797810389,0.1798900235663786,0.1850675138999205,0.403921568627451,0.1604065399911621,0.1799999999999999,0.1699999999999999,-0.0062555853440571,-0.0079646017699115,0.1756174049392395,2.0,0.4418604651162791,0.2857142857142857,0.1604065399911621,0.0,0.0,2022-06-02,2022-06-02,2022-06-02,MU,2022-05-27,7416205417,10579312629,8642347225,2152633434,3228950153,2690791793,815502768,1223254153,1019378460,737442256,1106163383,921802819,198365536,297548307,247956922,2.44297,3.15476,1.99239,7,8,2022-06-02,2022-06-02
MU,2022-09-29,51.86470031738281,49.16596603393555,49.077640533447266,49.16596603393555,50.755767822265625,52.03313827514648,51.846290588378906,-0.0354956818245377,-0.0355019830328273,5.831619863284976,5.667915327730801,3.4193316357062464,3.362171833781179,3.2335412411763853,3.1823626281306328,5.831619863284976,5.667915327730801,5.451585254306468,5.3081754055619115,8.143791037611221,12.211474251866983,11.904810467186213,7.254242092736243,7.965826359442782,8.221244910311936,2.3317922824546327,1.7583436555343337,2.030692507029136,0.645151745918765,-0.7374438889308339,-0.2625019066533069,4.244123909352019,3.390786588597234,3.892274995488087,5.698993909008294,5.662214778020387,6.14897548985794,amc,2022-09-29,2022-09-30,2022-09-16,2022-09-23,2022-09-29,2022-10-03,2022-10-07,2022-10-14,2022-09-16,2022-10-14,10,10,2022-09-29,2022-09-01,7,6643000000,3298000000,1501000000,1492000000,1.36,6728346474,2490387426,775264284,669112713,1.36988,-85346474,-1.2684613423193938,807612574,32.42919417149354,725735716,93.6113956205417,822887287,122.98186404358454,-0.0098799999999998,-0.7212310567348884,2022-09-01,MU,2022-09-01,2022,Q4,USD,-0.2313121962508678,-0.1271977425656609,-0.3501858736059479,-0.1546449374566015,0.0853816300129366,0,0,-2.0,0.0678952473326867,-0.091521816246896,1.7,0.0227272727272727,-0.0131795716639209,-0.3157676348547718,-0.4936750998668442,-0.4812332439678284,-0.8435754189944135,-0.4318354912414318,-0.4237288135593219,-0.423076923076923,-0.0134892086330935,-0.0133809099018733,-0.4994998332777592,3.0,1.375,2.35,-0.4318354912414318,0.0,0.0,2022-09-01,2022-09-01,2022-09-01,MU,2022-08-27,5773755470,8236336607,6728346474,1992309941,2988464912,2490387426,620211427,930317141,775264284,535290170,802935256,669112713,202284341,303426512,252855426,1.36988,1.41899,1.32077,11,12,2022-09-01,2022-09-01
MU,2022-12-21,54.28519058227539,51.17756271362305,50.34164047241211,48.61081314086914,49.368064880371094,49.2635498046875,55.55209732055664,2.3337980850617335,2.306981446851782,-3.7399454124962705,-3.811675502931078,-1.9339369613402768,-1.9528821789999553,1.5577845556862258,1.5457756467939934,1.34278079637713,1.3338453947425783,14.279300697094644,13.347527214937635,4.6339591036304215,7.236653312710558,4.7484389752031175,-2.2434131681570033,-0.6789493316162546,-2.0629752886571993,-1.0220180948433766,-0.4367468596406399,-0.8583959950031137,0.9709743031580174,0.7855724193377045,0.8289560407221513,0.944641545326192,1.1761353640345034,0.7769909042448471,11.916142381203915,11.944017079794548,11.377110158257338,amc,2022-12-21,2022-12-22,2022-12-08,2022-12-15,2022-12-21,2022-12-23,2022-12-30,2023-01-09,2022-12-08,2023-01-09,10,10,2022-12-21,2022-12-01,8,4085000000,1725000000,-196000000,-195000000,-0.17,4133514968,2605692393,944549857,875835491,-0.019823,-48514968,-1.1736976489884092,-880692393,-33.798785895292745,-1140549857,-120.75062513084474,-1070835491,-122.2644551406972,-0.150177,-757.5896685668164,2022-12-01,MU,2022-12-01,2023,Q1,USD,-0.3850669878067138,-0.2061676199950261,-0.6594202898550725,-0.4461515263151885,0.0393325387365911,0,0,-0.1666666666666666,0.0009082652134423,-0.1616556032799687,0.6296296296296297,0.1333333333333333,0.0690038953811908,-0.4769557307459066,-1.1374095989480606,-1.120801033591731,-0.8571428571428571,-1.1306970509383378,-1.125,-1.1259259259259258,-0.0063810391978122,-0.0144665461121157,-1.1305796135909394,-1.65,3.111111111111111,-0.1851851851851851,-1.1306970509383378,0.0,0.0,2022-12-01,2022-12-01,2022-12-01,MU,2022-11-27,3547068325,5059938690,4133514968,2084553914,3126830872,2605692393,755639886,1133459829,944549857,700668392,1051002591,875835491,186728561,280092844,233410702,-0.019823,-0.01616687,-0.02559868,7,8,2022-12-01,2022-12-01
MU,2023-03-28,53.35404968261719,57.336143493652344,58.430233001708984,62.62916564941406,62.18562316894531,56.20263671875,62.22240447998047,16.62170884893972,15.376525283644373,-1.9769498013549436,-1.9967528865516604,6.4271353618023275,6.229039000030985,-0.7082043579370256,-0.7107240283244932,-10.261239893628035,-10.82674020459329,-0.6494756320251205,-0.6515939017531936,10.09739415335934,7.840229238509864,3.315397440025007,-5.239189549713405,-6.615473296900248,-8.876885731592893,4.4827747497659,3.735272553355248,3.284903183483205,-1.2797312968038157,-1.4892627581582258,-1.7151127144947982,-12.195040268457094,-12.741096113525618,-13.872377936646064,-2.9898301450539786,-4.008738791918841,-6.271598991556485,amc,2023-03-28,2023-03-29,2023-03-15,2023-03-22,2023-03-28,2023-03-30,2023-04-05,2023-04-13,2023-03-15,2023-04-13,10,10,2023-03-28,2023-03-02,9,3693000000,-275000000,-2217000000,-2312000000,-2.13,3714225777,2203846414,527867402,485877950,-0.66723,-21225777,-0.5714724487520026,-2478846414,-112.47818351828214,-2744867402,-519.9918372682539,-2797877950,-575.8396630264864,-1.46277,-219.23025043837953,2023-03-02,MU,2023-03-02,2023,Q2,USD,-0.0959608323133414,0.5347744360902256,-2.3505039193729003,-2.4938555401606206,-0.0963302752293578,0,0,4.714285714285714,-0.0045372050816696,0.3963670237540754,0.3522727272727273,0.7450980392156863,0.0109318063508589,-1.1594202898550725,-10.019138755980862,-11.074866310160427,5.75,-10.856410256410255,-11.52941176470588,-11.52941176470588,0.0009174311926605,0.0009174311926605,-10.31122448979592,-5.615384615384615,-0.1891891891891892,1.0454545454545454,-10.856410256410255,0.0,0.0,2023-03-02,2023-03-02,2023-03-02,MU,2023-02-27,3187266215,4546676342,3714225777,1763077131,2644615697,2203846414,422293922,633440883,527867402,388702360,583053541,485877950,214026236,321039357,267532797,-0.66723,-0.54417,-0.86164,8,7,2023-03-02,2023-03-02
MU,2023-06-28,68.2668685913086,65.43228912353516,66.2421646118164,63.535987854003906,62.33104705810547,60.014122009277344,63.408172607421875,-7.117209393291701,-7.383180375794238,-8.28057093345519,-8.643595276105835,-5.904271964284913,-6.08575385599609,-1.896469759260233,-1.9146833920123465,-5.543103937911975,-5.702658187276166,-0.2011698423194929,-0.2013724606303483,-10.112210401497016,-11.518122854488734,-11.622070589766226,-8.856241869038962,-9.177662903099018,-9.15500798016966,-7.656002948147693,-8.269280842517187,-8.372133752639357,-3.123370208831641,-3.5644216844261805,-3.642139408631754,-5.690845151202444,-5.804209318101374,-5.783620847644208,-2.5199134066612903,-3.5508438591306075,-3.666969921133515,amc,2023-06-28,2023-06-29,2023-06-14,2023-06-22,2023-06-28,2023-06-30,2023-07-07,2023-07-14,2023-06-14,2023-07-14,10,10,2023-06-28,2023-06-01,10,3752000000,307000000,-1649000000,-1896000000,-1.73,3649706046,2959870972,1121316306,1013983101,-1.61046,102293954,2.802799806634071,-2652870972,-89.62792625407727,-2770316306,-247.059307991549,-2909983101,-286.98536475905235,-0.1195399999999999,-7.422723942227686,2023-06-01,MU,2023-06-01,2023,Q3,USD,0.0159761711345789,-0.0977750561339048,0.4461028192371476,0.4548128229851368,-0.0380710659898477,-1,-1,0.4871794871794871,-0.0036463081130355,-0.0805537024683122,0.0672268907563025,0.3370786516853932,0.0072090628218331,2.116363636363636,0.2353452019105514,0.2218777679362267,1.5740740740740742,0.1799307958477508,0.1877934272300469,0.1877934272300469,0.0027497708524289,0.0027497708524289,0.2562020748759585,-0.3023255813953488,-0.7333333333333333,-0.9111111111111112,0.1799307958477508,0.0,0.0,2023-06-01,2023-06-01,2023-06-01,MU,2023-05-27,3131900286,4467696131,3649706046,2367896777,3551845168,2959870972,897053044,1345579568,1121316306,811186481,1216779721,1013983101,218202090,327303137,272752613,-1.61046,-1.31343,-2.07969,8,7,2023-06-01,2023-06-01
