ticker,earnings_date,day0_date,phase,n_tokens,n_tokens_raw,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
MU,2021-03-31,2021-04-01,post,465.0,758.0,22.0,5.0,4.0,0.0,0.0,3.0,3.0,3.0,0.047311827956989246,0.010752688172043012,0.008602150537634409,0.0,0.0,0.03655913978494624
MU,2021-03-31,2021-04-01,pre,479.0,750.0,12.0,12.0,7.0,0.0,0.0,1.0,7.0,0.0,0.025052192066805846,0.025052192066805846,0.014613778705636743,0.0,0.0,0.0
MU,2021-06-30,2021-07-01,post,720.0,1215.0,31.0,7.0,11.0,0.0,2.0,6.0,8.0,4.0,0.043055555555555555,0.009722222222222222,0.015277777777777777,0.0,0.002777777777777778,0.03333333333333333
MU,2021-06-30,2021-07-01,pre,557.0,926.0,15.0,4.0,3.0,0.0,0.0,4.0,1.0,2.0,0.026929982046678635,0.00718132854578097,0.005385996409335727,0.0,0.0,0.019748653500897665
MU,2021-09-28,2021-09-29,post,616.0,957.0,18.0,15.0,8.0,0.0,0.0,6.0,5.0,4.0,0.02922077922077922,0.024350649350649352,0.012987012987012988,0.0,0.0,0.00487012987012987
MU,2021-09-28,2021-09-29,pre,296.0,463.0,4.0,5.0,3.0,0.0,0.0,1.0,2.0,0.0,0.013513513513513514,0.016891891891891893,0.010135135135135136,0.0,0.0,-0.0033783783783783786
MU,2021-12-20,2021-12-21,post,619.0,1041.0,35.0,6.0,9.0,6.0,0.0,5.0,5.0,2.0,0.05654281098546042,0.009693053311793215,0.014539579967689823,0.009693053311793215,0.0,0.046849757673667204
MU,2021-12-20,2021-12-21,pre,330.0,502.0,13.0,3.0,2.0,0.0,2.0,2.0,2.0,1.0,0.03939393939393939,0.00909090909090909,0.006060606060606061,0.0,0.006060606060606061,0.030303030303030304
MU,2022-03-29,2022-03-30,post,623.0,1039.0,24.0,6.0,3.0,2.0,0.0,5.0,3.0,0.0,0.038523274478330656,0.009630818619582664,0.004815409309791332,0.0032102728731942215,0.0,0.028892455858747994
MU,2022-03-29,2022-03-30,pre,562.0,920.0,20.0,12.0,6.0,9.0,3.0,9.0,3.0,1.0,0.03558718861209965,0.021352313167259787,0.010676156583629894,0.01601423487544484,0.005338078291814947,0.014234875444839857
MU,2022-06-30,2022-07-01,post,919.0,1516.0,20.0,35.0,14.0,1.0,2.0,10.0,11.0,7.0,0.02176278563656148,0.03808487486398259,0.015233949945593036,0.001088139281828074,0.002176278563656148,-0.01632208922742111
MU,2022-06-30,2022-07-01,pre,518.0,831.0,12.0,14.0,4.0,0.0,2.0,3.0,2.0,1.0,0.023166023166023165,0.02702702702702703,0.007722007722007722,0.0,0.003861003861003861,-0.003861003861003861
MU,2022-09-29,2022-09-30,post,856.0,1415.0,19.0,25.0,12.0,2.0,4.0,4.0,8.0,4.0,0.02219626168224299,0.029205607476635514,0.014018691588785047,0.002336448598130841,0.004672897196261682,-0.007009345794392523
MU,2022-09-29,2022-09-30,pre,542.0,881.0,5.0,42.0,11.0,0.0,0.0,4.0,8.0,0.0,0.00922509225092251,0.07749077490774908,0.02029520295202952,0.0,0.0,-0.06826568265682657
MU,2022-12-21,2022-12-22,post,599.0,1002.0,9.0,39.0,9.0,2.0,0.0,5.0,5.0,0.0,0.015025041736227046,0.0651085141903172,0.015025041736227046,0.00333889816360601,0.0,-0.05008347245409015
MU,2022-12-21,2022-12-22,pre,369.0,617.0,4.0,36.0,10.0,0.0,0.0,2.0,6.0,1.0,0.01084010840108401,0.0975609756097561,0.02710027100271003,0.0,0.0,-0.08672086720867209
MU,2023-03-28,2023-03-29,post,1109.0,1841.0,23.0,48.0,14.0,4.0,6.0,7.0,8.0,1.0,0.020739404869251576,0.04328223624887286,0.012623985572587917,0.0036068530207394047,0.005410279531109108,-0.02254283137962128
MU,2023-03-28,2023-03-29,pre,613.0,954.0,13.0,19.0,20.0,0.0,0.0,0.0,14.0,2.0,0.021207177814029365,0.03099510603588907,0.03262642740619902,0.0,0.0,-0.009787928221859706
MU,2023-06-28,2023-06-29,post,1100.0,1865.0,35.0,54.0,22.0,1.0,5.0,9.0,18.0,4.0,0.031818181818181815,0.04909090909090909,0.02,0.0009090909090909091,0.004545454545454545,-0.017272727272727273
MU,2023-06-28,2023-06-29,pre,875.0,1458.0,21.0,19.0,8.0,1.0,3.0,14.0,6.0,3.0,0.024,0.021714285714285714,0.009142857142857144,0.001142857142857143,0.0034285714285714284,0.002285714285714286
MU,2023-09-27,2023-09-28,post,884.0,1476.0,30.0,30.0,12.0,0.0,1.0,4.0,7.0,3.0,0.033936651583710405,0.033936651583710405,0.013574660633484163,0.0,0.0011312217194570137,0.0
MU,2023-09-27,2023-09-28,pre,503.0,856.0,15.0,13.0,13.0,0.0,2.0,9.0,9.0,0.0,0.02982107355864811,0.02584493041749503,0.02584493041749503,0.0,0.003976143141153081,0.003976143141153081
MU,2023-12-20,2023-12-21,post,817.0,1357.0,36.0,19.0,13.0,2.0,1.0,4.0,12.0,1.0,0.044063647490820076,0.023255813953488372,0.01591187270501836,0.0024479804161566705,0.0012239902080783353,0.0208078335373317
MU,2023-12-20,2023-12-21,pre,364.0,598.0,11.0,3.0,5.0,0.0,0.0,0.0,3.0,1.0,0.03021978021978022,0.008241758241758242,0.013736263736263736,0.0,0.0,0.02197802197802198
MU,2024-03-20,2024-03-21,post,1482.0,2499.0,63.0,7.0,19.0,0.0,3.0,12.0,14.0,1.0,0.04251012145748988,0.004723346828609987,0.01282051282051282,0.0,0.0020242914979757085,0.037786774628879895
