ticker,earnings_date,date,offset,ret,ret_pct
NVDA,2021-02-24,2021-02-10,-10,,
NVDA,2021-02-24,2021-02-11,-9,0.032951371620016934,3.2951371620016934
NVDA,2021-02-24,2021-02-12,-8,-0.018982579872507843,-1.8982579872507843
NVDA,2021-02-24,2021-02-16,-7,0.024663551865454547,2.4663551865454547
NVDA,2021-02-24,2021-02-17,-6,-0.027673990522558145,-2.7673990522558145
NVDA,2021-02-24,2021-02-18,-5,-0.005165580954948568,-0.5165580954948568
NVDA,2021-02-24,2021-02-19,-4,0.00657473033680267,0.657473033680267
NVDA,2021-02-24,2021-02-22,-3,-0.038237400735548266,-3.8237400735548266
NVDA,2021-02-24,2021-02-23,-2,-0.014889400221705817,-1.4889400221705817
NVDA,2021-02-24,2021-02-24,-1,0.025243895519807102,2.5243895519807102
NVDA,2021-02-24,2021-02-25,0,-0.0821781071915828,-8.21781071915828
NVDA,2021-02-24,2021-02-26,1,0.030584285371690445,3.0584285371690445
NVDA,2021-02-24,2021-03-01,2,0.009278563093956915,0.9278563093956915
NVDA,2021-02-24,2021-03-02,3,-0.031462836198066335,-3.1462836198066335
NVDA,2021-02-24,2021-03-03,4,-0.04486715342005487,-4.486715342005487
NVDA,2021-02-24,2021-03-04,5,-0.03393282595544134,-3.3932825955441337
NVDA,2021-02-24,2021-03-05,6,0.007376706350402662,0.7376706350402662
NVDA,2021-02-24,2021-03-08,7,-0.06967452344885927,-6.967452344885928
NVDA,2021-02-24,2021-03-09,8,0.08033292983501328,8.033292983501328
NVDA,2021-02-24,2021-03-10,9,-0.0041531337299135496,-0.41531337299135496
NVDA,2021-02-24,2021-03-11,10,0.04212703131367812,4.212703131367812
NVDA,2021-05-26,2021-05-13,-10,,
NVDA,2021-05-26,2021-05-14,-9,0.04227874726953318,4.227874726953318
NVDA,2021-05-26,2021-05-17,-8,-0.005441154507698109,-0.5441154507698109
NVDA,2021-05-26,2021-05-18,-7,-0.010571528957630028,-1.0571528957630028
NVDA,2021-05-26,2021-05-19,-6,0.0035676323936899568,0.3567632393689957
NVDA,2021-05-26,2021-05-20,-5,0.03887083875551012,3.8870838755510118
NVDA,2021-05-26,2021-05-21,-4,0.025953929380785556,2.5953929380785556
NVDA,2021-05-26,2021-05-24,-3,0.04137267033294023,4.137267033294023
NVDA,2021-05-26,2021-05-25,-2,0.002289882435473789,0.2289882435473789
NVDA,2021-05-26,2021-05-26,-1,0.0033390580962626704,0.33390580962626704
NVDA,2021-05-26,2021-05-27,0,-0.01350317151075664,-1.350317151075664
NVDA,2021-05-26,2021-05-28,1,0.048844438384234135,4.8844438384234135
