ticker,earnings_date,announce_timing,pre_close_date,day0_date,dt_m10,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays
NVDA,2021-02-24,amc,2021-02-24,2021-02-25,2021-02-10,2021-02-18,2021-02-24,2021-02-26,2021-03-04,2021-03-11,2021-02-10,2021-03-11,10,10
NVDA,2021-05-26,amc,2021-05-26,2021-05-27,2021-05-13,2021-05-20,2021-05-26,2021-05-28,2021-06-04,2021-06-11,2021-05-13,2021-06-11,10,10
NVDA,2021-08-18,amc,2021-08-18,2021-08-19,2021-08-05,2021-08-12,2021-08-18,2021-08-20,2021-08-26,2021-09-02,2021-08-05,2021-09-02,10,10
NVDA,2021-11-17,amc,2021-11-17,2021-11-18,2021-11-04,2021-11-11,2021-11-17,2021-11-19,2021-11-26,2021-12-03,2021-11-04,2021-12-03,10,10
NVDA,2022-02-16,amc,2022-02-16,2022-02-17,2022-02-03,2022-02-10,2022-02-16,2022-02-18,2022-02-25,2022-03-04,2022-02-03,2022-03-04,10,10
NVDA,2022-05-25,amc,2022-05-25,2022-05-26,2022-05-12,2022-05-19,2022-05-25,2022-05-27,2022-06-03,2022-06-10,2022-05-12,2022-06-10,10,10
NVDA,2022-08-24,amc,2022-08-24,2022-08-25,2022-08-11,2022-08-18,2022-08-24,2022-08-26,2022-09-01,2022-09-09,2022-08-11,2022-09-09,10,10
NVDA,2022-11-16,amc,2022-11-16,2022-11-17,2022-11-03,2022-11-10,2022-11-16,2022-11-18,2022-11-25,2022-12-02,2022-11-03,2022-12-02,10,10
NVDA,2023-02-22,amc,2023-02-22,2023-02-23,2023-02-08,2023-02-15,2023-02-22,2023-02-24,2023-03-02,2023-03-09,2023-02-08,2023-03-09,10,10
NVDA,2023-05-24,amc,2023-05-24,2023-05-25,2023-05-11,2023-05-18,2023-05-24,2023-05-26,2023-06-02,2023-06-09,2023-05-11,2023-06-09,10,10
NVDA,2023-08-23,amc,2023-08-23,2023-08-24,2023-08-10,2023-08-17,2023-08-23,2023-08-25,2023-08-31,2023-09-08,2023-08-10,2023-09-08,10,10
NVDA,2023-11-21,amc,2023-11-21,2023-11-22,2023-11-08,2023-11-15,2023-11-21,2023-11-24,2023-11-30,2023-12-07,2023-11-08,2023-12-07,10,10
NVDA,2024-02-21,amc,2024-02-21,2024-02-22,2024-02-07,2024-02-14,2024-02-21,2024-02-23,2024-02-29,2024-03-07,2024-02-07,2024-03-07,10,10
NVDA,2024-05-22,amc,2024-05-22,2024-05-23,2024-05-09,2024-05-16,2024-05-22,2024-05-24,2024-05-31,2024-06-07,2024-05-09,2024-06-07,10,10
NVDA,2024-08-28,amc,2024-08-28,2024-08-29,2024-08-15,2024-08-22,2024-08-28,2024-08-30,2024-09-06,2024-09-13,2024-08-15,2024-09-13,10,10
NVDA,2024-11-20,amc,2024-11-20,2024-11-21,2024-11-07,2024-11-14,2024-11-20,2024-11-22,2024-11-29,2024-12-06,2024-11-07,2024-12-06,10,10
NVDA,2025-02-26,amc,2025-02-26,2025-02-27,2025-02-12,2025-02-20,2025-02-26,2025-02-28,2025-03-06,2025-03-13,2025-02-12,2025-03-13,10,10
NVDA,2025-05-28,amc,2025-05-28,2025-05-29,2025-05-14,2025-05-21,2025-05-28,2025-05-30,2025-06-05,2025-06-12,2025-05-14,2025-06-12,10,10
NVDA,2025-08-27,amc,2025-08-27,2025-08-28,2025-08-14,2025-08-21,2025-08-27,2025-08-29,2025-09-05,2025-09-12,2025-08-14,2025-09-12,10,10
NVDA,2025-11-19,amc,2025-11-19,2025-11-20,2025-11-06,2025-11-13,2025-11-19,2025-11-21,2025-11-28,2025-12-05,2025-11-06,2025-12-05,10,10
