ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
PLTR,2025-08-04,2025-07-28,2025-08-18,PLTR,,2025-08-05 06:27:03,2025-08-05T06:27:03-04:00,2025-08-05,"Palantir Q2 Earnings: I'm Dumbfounded, But 110x FCF Is Still Cheap","Palantir remains a buy due to its strong fundamentals and an adjusted PEG ratio of 3.1x, making it cheaper than many believe. Revenue growth is accelerating, with Q2 up 48% year-over-year and U.S. commercial revenue surging 93%, supporting a bullish outlook for 2026. Despite a rich valuation at 110x forward free cash flow, Palantir's path to $3.5 billion FCF and 35%+ growth justifies upside potential.",seekingalpha.com,https://seekingalpha.com/article/4808625-palantir-earnings-still-cheap,https://images.financialmodelingprep.com/news/palantir-q2-earnings-im-dumbfounded-but-110x-fcf-is-20250805.jpg
PLTR,2025-08-04,2025-07-28,2025-08-18,PLTR,,2025-08-05 06:34:43,2025-08-05T06:34:43-04:00,2025-08-05,"Morning Bid: Fed coos, Palantir soars",What matters in U.S. and global markets today,reuters.com,https://www.reuters.com/business/finance/global-markets-view-usa-2025-08-05/,https://images.financialmodelingprep.com/news/morning-bid-fed-coos-palantir-soars-20250805.jpg
PLTR,2025-08-04,2025-07-28,2025-08-18,PLTR,,2025-08-05 06:53:00,2025-08-05T06:53:00-04:00,2025-08-05,"Palantir, Tesla Have Extreme Valuations and CEO Pay. Why Karp and Musk Are Worth It.","More drama as countries brace for Trump tariffs this week, Wall Street's year-end bonus outlook is improving, and more news to start your day.",barrons.com,https://www.barrons.com/articles/palantir-tesla-stock-market-things-to-know-today-349ebc48,https://images.financialmodelingprep.com/news/palantir-tesla-have-extreme-valuations-and-ceo-pay-why-karp-20250805.jpg
PLTR,2025-08-04,2025-07-28,2025-08-18,PLTR,,2025-08-05 07:00:00,2025-08-05T07:00:00-04:00,2025-08-05,Palantir Stock Pops as Powerful AI Demand Drives 78% Q2 Earnings Growth and Big Annual Guidance Raises,"Palantir Technologies (PLTR 4.18%) stock gained 4.6% in after-hours trading on Monday, following the artificial intelligence (AI)-powered data analytics company's release of its second-quarter 2025 earnings report.",fool.com,https://www.fool.com/investing/2025/08/05/pltr-stock-q2-earnings-best-ai-stocks/,https://images.financialmodelingprep.com/news/palantir-stock-pops-as-powerful-ai-demand-drives-78-20250805.jpg
PLTR,2025-08-04,2025-07-28,2025-08-18,PLTR,,2025-08-05 07:04:31,2025-08-05T07:04:31-04:00,2025-08-05,Wall Street Breakfast Podcast: AI Powers Palantir's 48% Revenue Jump,"Palantir's Q2 revenue surged 48% to $1B, driven by strong AI demand, beating estimates and boosting full-year guidance. Figma stock plunged 27% after its IPO rally, with analysts cautioning that valuation risk outweighs business fundamentals amid market euphoria.",seekingalpha.com,https://seekingalpha.com/article/4808650-wall-street-breakfast-podcast-ai-powers-palantirs-48-percent-revenue-jump,https://images.financialmodelingprep.com/news/wall-street-breakfast-podcast-ai-powers-palantirs-48-revenue-20250805.jpg
PLTR,2025-08-04,2025-07-28,2025-08-18,PLTR,,2025-08-05 07:30:19,2025-08-05T07:30:19-04:00,2025-08-05,Big Data And Big Returns For Palantir,Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m.,seekingalpha.com,https://seekingalpha.com/article/4808631-big-data-and-big-returns-for-palantir,https://images.financialmodelingprep.com/news/big-data-and-big-returns-for-palantir-20250805.jpg
PLTR,2025-08-04,2025-07-28,2025-08-18,PLTR,,2025-08-05 07:37:20,2025-08-05T07:37:20-04:00,2025-08-05,Jim Cramer picks 3 stocks he likes right now,"Jim Cramer, former hedge fund manager and Mad Money host, has singled out three stocks he believes have strong upside potential.",finbold.com,https://finbold.com/jim-cramer-picks-3-stocks-he-likes-right-now/,https://images.financialmodelingprep.com/news/jim-cramer-picks-3-stocks-he-likes-right-now-20250805.jpg
PLTR,2025-08-04,2025-07-28,2025-08-18,PLTR,,2025-08-05 07:54:01,2025-08-05T07:54:01-04:00,2025-08-05,"Palantir's Q2 Reinforces Optimism, Just Not Enough To Justify The Price","Palantir delivered a stellar Q2, beating expectations on revenue, EPS, and guidance, with accelerating growth and strong margins. Despite operational excellence and promising AI/defense tailwinds, Palantir's valuation remains stretched, offering virtually no margin of safety. Even under optimistic growth scenarios, future returns are likely to lag safer alternatives, as much of the upside appears priced in.",seekingalpha.com,https://seekingalpha.com/article/4808646-palantirs-q2-reinforces-optimism-just-not-enough-justify-price,https://images.financialmodelingprep.com/news/palantirs-q2-reinforces-optimism-just-not-enough-to-justify-the-20250805.jpg
PLTR,2025-08-04,2025-07-28,2025-08-18,PLTR,,2025-08-05 08:48:09,2025-08-05T08:48:09-04:00,2025-08-05,Nasdaq tipped to rise as Palantir jumps after continuing AI theme,"Wall Street stock indices are set to start higher on Tuesday, further recouping losses from the end of last week as earnings season continued with strong results from Palantir overnight. Nasdaq 100 futures were up 0.4%, while those for the S&P 500 gained 0.3% and for the Dow Jones just 0.1%.",proactiveinvestors.com,https://www.proactiveinvestors.com/companies/news/1076100,https://images.financialmodelingprep.com/news/nasdaq-tipped-to-rise-as-palantir-jumps-after-continuing-20250805.jpg
PLTR,2025-08-04,2025-07-28,2025-08-18,PLTR,,2025-08-05 09:02:00,2025-08-05T09:02:00-04:00,2025-08-05,Here's the Palantir stock price if market cap hits $1 trillion,"The Palantir stock price continued soaring after it published strong financial results. PLTR shares jumped by 4.5% to a record high, bringing its market capitalization to over $380 billion.",invezz.com,https://invezz.com/news/2025/08/05/heres-the-palantir-stock-price-if-market-cap-hits-1-trillion/,https://images.financialmodelingprep.com/news/heres-the-palantir-stock-price-if-market-cap-hits-1-20250805.jpg
