ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20
TSLA,2021-01-27,amc,2021-01-27,2021-01-28,2021-02-04,2021-02-11,2021-02-26
TSLA,2021-04-26,amc,2021-04-26,2021-04-27,2021-05-04,2021-05-11,2021-05-25
TSLA,2021-07-26,amc,2021-07-26,2021-07-27,2021-08-03,2021-08-10,2021-08-24
TSLA,2021-10-20,amc,2021-10-20,2021-10-21,2021-10-28,2021-11-04,2021-11-18
TSLA,2022-01-26,amc,2022-01-26,2022-01-27,2022-02-03,2022-02-10,2022-02-25
TSLA,2022-04-20,amc,2022-04-20,2022-04-21,2022-04-28,2022-05-05,2022-05-19
TSLA,2022-07-20,amc,2022-07-20,2022-07-21,2022-07-28,2022-08-04,2022-08-18
TSLA,2022-10-19,amc,2022-10-19,2022-10-20,2022-10-27,2022-11-03,2022-11-17
TSLA,2023-01-25,amc,2023-01-25,2023-01-26,2023-02-02,2023-02-09,2023-02-24
TSLA,2023-04-19,amc,2023-04-19,2023-04-20,2023-04-27,2023-05-04,2023-05-18
TSLA,2023-07-19,amc,2023-07-19,2023-07-20,2023-07-27,2023-08-03,2023-08-17
TSLA,2023-10-18,amc,2023-10-18,2023-10-19,2023-10-26,2023-11-02,2023-11-16
TSLA,2024-01-24,amc,2024-01-24,2024-01-25,2024-02-01,2024-02-08,2024-02-23
TSLA,2024-04-23,amc,2024-04-23,2024-04-24,2024-05-01,2024-05-08,2024-05-22
TSLA,2024-07-23,amc,2024-07-23,2024-07-24,2024-07-31,2024-08-07,2024-08-21
TSLA,2024-10-23,amc,2024-10-23,2024-10-24,2024-10-31,2024-11-07,2024-11-21
TSLA,2025-01-29,amc,2025-01-29,2025-01-30,2025-02-06,2025-02-13,2025-02-28
TSLA,2025-04-22,amc,2025-04-22,2025-04-23,2025-04-30,2025-05-07,2025-05-21
TSLA,2025-07-23,amc,2025-07-23,2025-07-24,2025-07-31,2025-08-07,2025-08-21
TSLA,2025-10-22,amc,2025-10-22,2025-10-23,2025-10-30,2025-11-06,2025-11-20
