ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20,pre_adj_close,react_adj_close,adj_close_p5,adj_close_p10,adj_close_p20
TSLA,2021-01-27,amc,2021-01-27,2021-01-28,2021-02-04,2021-02-11,2021-02-26,288.0533447265625,278.4766540527344,283.3299865722656,270.5533447265625,225.1666717529297
TSLA,2021-04-26,amc,2021-04-26,2021-04-27,2021-05-04,2021-05-11,2021-05-25,246.0666656494141,234.913330078125,224.53334045410156,205.73333740234375,201.56333923339844
TSLA,2021-07-26,amc,2021-07-26,2021-07-27,2021-08-03,2021-08-10,2021-08-24,219.2066650390625,214.9266662597656,236.5800018310547,236.663330078125,236.163330078125
TSLA,2021-10-20,amc,2021-10-20,2021-10-21,2021-10-28,2021-11-04,2021-11-18,288.6000061035156,298.0,359.0133361816406,409.9700012207031,365.4599914550781
TSLA,2022-01-26,amc,2022-01-26,2022-01-27,2022-02-03,2022-02-10,2022-02-25,312.4700012207031,276.3666687011719,297.0466613769531,301.51666259765625,269.9566650390625
TSLA,2022-04-20,amc,2022-04-20,2022-04-21,2022-04-28,2022-05-05,2022-05-19,325.73333740234375,336.260009765625,292.5033264160156,291.09332275390625,236.47332763671875
TSLA,2022-07-20,amc,2022-07-20,2022-07-21,2022-07-28,2022-08-04,2022-08-18,247.5,271.7066650390625,280.8999938964844,308.6333312988281,302.8699951171875
TSLA,2022-10-19,amc,2022-10-19,2022-10-20,2022-10-27,2022-11-03,2022-11-17,222.0399932861328,207.27999877929688,225.08999633789065,215.30999755859375,183.1699981689453
TSLA,2023-01-25,amc,2023-01-25,2023-01-26,2023-02-02,2023-02-09,2023-02-24,144.42999267578125,160.27000427246094,188.27000427246097,207.32000732421875,196.8800048828125
TSLA,2023-04-19,amc,2023-04-19,2023-04-20,2023-04-27,2023-05-04,2023-05-18,180.58999633789065,162.99000549316406,160.19000244140625,161.1999969482422,176.88999938964844
TSLA,2023-07-19,amc,2023-07-19,2023-07-20,2023-07-27,2023-08-03,2023-08-17,291.260009765625,262.8999938964844,255.7100067138672,259.32000732421875,219.22000122070312
TSLA,2023-10-18,amc,2023-10-18,2023-10-19,2023-10-26,2023-11-02,2023-11-16,242.67999267578125,220.11000061035156,205.7599945068359,218.5099945068359,233.58999633789065
TSLA,2024-01-24,amc,2024-01-24,2024-01-25,2024-02-01,2024-02-08,2024-02-23,207.8300018310547,182.6300048828125,188.86000061035156,189.55999755859375,191.97000122070312
TSLA,2024-04-23,amc,2024-04-23,2024-04-24,2024-05-01,2024-05-08,2024-05-22,144.67999267578125,162.1300048828125,179.99000549316406,174.72000122070312,180.11000061035156
TSLA,2024-07-23,amc,2024-07-23,2024-07-24,2024-07-31,2024-08-07,2024-08-21,246.3800048828125,215.9900054931641,232.07000732421875,191.7599945068359,223.27000427246097
TSLA,2024-10-23,amc,2024-10-23,2024-10-24,2024-10-31,2024-11-07,2024-11-21,213.6499938964844,260.4800109863281,249.8500061035156,296.9100036621094,339.6400146484375
TSLA,2025-01-29,amc,2025-01-29,2025-01-30,2025-02-06,2025-02-13,2025-02-28,389.1000061035156,400.2799987792969,374.3200073242187,355.94000244140625,292.9800109863281
TSLA,2025-04-22,amc,2025-04-22,2025-04-23,2025-04-30,2025-05-07,2025-05-21,237.97000122070312,250.7400054931641,282.1600036621094,276.2200012207031,334.6199951171875
TSLA,2025-07-23,amc,2025-07-23,2025-07-24,2025-07-31,2025-08-07,2025-08-21,332.55999755859375,305.29998779296875,308.2699890136719,322.2699890136719,320.1099853515625
TSLA,2025-10-22,amc,2025-10-22,2025-10-23,2025-10-30,2025-11-06,2025-11-20,438.9700012207031,448.9800109863281,440.1000061035156,445.9100036621094,395.2300109863281
