ticker,earnings_date,day0_date,section,speaker_type,n_tokens,n_tokens_raw,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
TSLA,2021-01-27,2021-01-28,all,all,7576.0,16358.0,268.0,126.0,140.0,20.0,42.0,108.0,84.0,20.0,0.03537486800422387,0.016631467793030624,0.018479408658922915,0.0026399155227032735,0.0055438225976768745,0.01874340021119324
TSLA,2021-01-27,2021-01-28,prepared,all,2082.0,4298.0,86.0,30.0,48.0,2.0,2.0,46.0,24.0,10.0,0.04130643611911623,0.01440922190201729,0.023054755043227664,0.0009606147934678194,0.0009606147934678194,0.026897214217098942
TSLA,2021-01-27,2021-01-28,qa,all,5494.0,12060.0,182.0,96.0,92.0,18.0,40.0,62.0,60.0,10.0,0.03312704768838733,0.017473607571896616,0.016745540589734254,0.0032763014197306154,0.0072806698216235895,0.015653440116490717
TSLA,2021-04-26,2021-04-27,all,all,7684.0,16636.0,232.0,168.0,208.0,14.0,22.0,148.0,124.0,22.0,0.03019260801665799,0.021863612701717855,0.02706923477355544,0.0018219677251431546,0.0028630921395106715,0.008328995314940135
TSLA,2021-04-26,2021-04-27,prepared,all,2130.0,4534.0,92.0,68.0,38.0,0.0,6.0,46.0,6.0,10.0,0.0431924882629108,0.03192488262910798,0.01784037558685446,0.0,0.0028169014084507044,0.011267605633802818
TSLA,2021-04-26,2021-04-27,qa,all,5554.0,12102.0,140.0,100.0,170.0,14.0,16.0,102.0,118.0,12.0,0.025207057976233346,0.018005041411595247,0.030608570399711918,0.0025207057976233344,0.0028808066258552397,0.007202016564638099
TSLA,2021-07-26,2021-07-27,all,all,6670.0,14472.0,204.0,196.0,148.0,20.0,30.0,120.0,86.0,4.0,0.030584707646176913,0.029385307346326838,0.022188905547226388,0.0029985007496251873,0.004497751124437781,0.0011994002998500749
TSLA,2021-07-26,2021-07-27,prepared,all,5052.0,10850.0,176.0,140.0,100.0,14.0,18.0,100.0,56.0,4.0,0.03483768804433888,0.027711797307996833,0.01979414093428345,0.0027711797307996833,0.0035629453681710215,0.007125890736342043
TSLA,2021-07-26,2021-07-27,qa,all,1618.0,3622.0,28.0,56.0,48.0,6.0,12.0,20.0,30.0,0.0,0.0173053152039555,0.034610630407911,0.029666254635352288,0.003708281829419036,0.007416563658838072,-0.0173053152039555
TSLA,2021-10-20,2021-10-21,all,all,7632.0,16918.0,220.0,172.0,168.0,50.0,42.0,74.0,92.0,10.0,0.028825995807127882,0.022536687631027254,0.0220125786163522,0.006551362683438155,0.00550314465408805,0.006289308176100629
TSLA,2021-10-20,2021-10-21,qa,all,7632.0,16918.0,220.0,172.0,168.0,50.0,42.0,74.0,92.0,10.0,0.028825995807127882,0.022536687631027254,0.0220125786163522,0.006551362683438155,0.00550314465408805,0.006289308176100629
TSLA,2022-01-26,2022-01-27,all,all,6600.0,14294.0,204.0,150.0,148.0,12.0,38.0,104.0,98.0,2.0,0.03090909090909091,0.022727272727272728,0.022424242424242423,0.0018181818181818182,0.005757575757575757,0.008181818181818182
TSLA,2022-01-26,2022-01-27,prepared,all,2044.0,4038.0,82.0,38.0,36.0,6.0,20.0,34.0,14.0,0.0,0.040117416829745595,0.018590998043052837,0.01761252446183953,0.0029354207436399216,0.009784735812133072,0.021526418786692758
TSLA,2022-01-26,2022-01-27,qa,all,4556.0,10256.0,122.0,112.0,112.0,6.0,18.0,70.0,84.0,2.0,0.026777875329236173,0.024582967515364356,0.024582967515364356,0.0013169446883230904,0.003950834064969272,0.0021949078138718174
TSLA,2022-04-20,2022-04-21,all,all,7530.0,16020.0,212.0,208.0,172.0,38.0,36.0,98.0,94.0,4.0,0.028154050464807436,0.027622841965471448,0.022841965471447543,0.005046480743691899,0.004780876494023904,0.0005312084993359894
TSLA,2022-04-20,2022-04-21,prepared,all,1404.0,2682.0,70.0,46.0,20.0,4.0,2.0,34.0,8.0,0.0,0.04985754985754986,0.03276353276353276,0.014245014245014245,0.002849002849002849,0.0014245014245014246,0.017094017094017096
TSLA,2022-04-20,2022-04-21,qa,all,6126.0,13338.0,142.0,162.0,152.0,34.0,34.0,64.0,86.0,4.0,0.02317988899771466,0.02644466209598433,0.024812275546849494,0.00555011426705844,0.00555011426705844,-0.00326477309826967
TSLA,2022-07-20,2022-07-21,all,all,7316.0,16002.0,244.0,210.0,160.0,16.0,22.0,124.0,86.0,12.0,0.03335155822854018,0.028704209950792783,0.02186987424822307,0.002186987424822307,0.0030071077091306723,0.004647348277747403
TSLA,2022-07-20,2022-07-21,prepared,all,1682.0,3524.0,90.0,64.0,34.0,8.0,8.0,36.0,14.0,8.0,0.0535077288941736,0.03804994054696789,0.020214030915576695,0.0047562425683709865,0.0047562425683709865,0.015457788347205707
TSLA,2022-07-20,2022-07-21,qa,all,5634.0,12478.0,154.0,146.0,126.0,8.0,14.0,88.0,72.0,4.0,0.027334043308484202,0.025914093006744764,0.022364217252396165,0.0014199503017394391,0.0024849130280440185,0.0014199503017394391
TSLA,2022-10-19,2022-10-20,all,all,5858.0,12712.0,194.0,94.0,144.0,26.0,30.0,82.0,78.0,4.0,0.03311710481392967,0.01604643222942984,0.024581768521679755,0.004438374871969956,0.005121201775349949,0.01707067258449983
TSLA,2022-10-19,2022-10-20,prepared,all,1750.0,3626.0,82.0,16.0,36.0,2.0,8.0,28.0,16.0,2.0,0.046857142857142854,0.009142857142857144,0.02057142857142857,0.001142857142857143,0.004571428571428572,0.037714285714285714
TSLA,2022-10-19,2022-10-20,qa,all,4108.0,9086.0,112.0,78.0,108.0,24.0,22.0,54.0,62.0,2.0,0.027263875365141188,0.0189873417721519,0.02629016553067186,0.005842259006815969,0.005355404089581304,0.008276533592989289
TSLA,2023-01-25,2023-01-26,all,all,7404.0,15844.0,288.0,152.0,158.0,4.0,16.0,114.0,62.0,8.0,0.03889789303079417,0.020529443544030253,0.021339816315505133,0.0005402485143165856,0.0021609940572663426,0.018368449486763912
TSLA,2023-01-25,2023-01-26,prepared,all,1624.0,3156.0,88.0,26.0,38.0,0.0,2.0,30.0,14.0,0.0,0.054187192118226604,0.01600985221674877,0.023399014778325122,0.0,0.0012315270935960591,0.038177339901477834
TSLA,2023-01-25,2023-01-26,qa,all,5780.0,12688.0,200.0,126.0,120.0,4.0,14.0,84.0,48.0,8.0,0.03460207612456748,0.02179930795847751,0.020761245674740483,0.0006920415224913495,0.002422145328719723,0.012802768166089966
TSLA,2023-04-19,2023-04-20,all,all,7766.0,16580.0,242.0,148.0,174.0,16.0,22.0,130.0,94.0,10.0,0.031161473087818695,0.019057429822302345,0.02240535668297708,0.0020602626834921455,0.0028328611898017,0.012104043265516354
TSLA,2023-04-19,2023-04-20,prepared,all,1338.0,2640.0,70.0,10.0,28.0,0.0,4.0,22.0,12.0,4.0,0.052316890881913304,0.007473841554559043,0.02092675635276532,0.0,0.0029895366218236174,0.04484304932735426
TSLA,2023-04-19,2023-04-20,qa,all,6428.0,13940.0,172.0,138.0,146.0,16.0,18.0,108.0,82.0,6.0,0.026757934038581208,0.021468574984443062,0.02271313005600498,0.002489110143123833,0.0028002489110143126,0.005289359054138146
TSLA,2023-07-19,2023-07-20,all,all,7548.0,16442.0,258.0,120.0,168.0,26.0,10.0,92.0,96.0,16.0,0.03418124006359301,0.01589825119236884,0.022257551669316374,0.003444621091679915,0.0013248542660307366,0.018282988871224166
TSLA,2023-07-19,2023-07-20,prepared,all,1710.0,3568.0,64.0,18.0,42.0,2.0,4.0,22.0,18.0,8.0,0.03742690058479532,0.010526315789473684,0.02456140350877193,0.0011695906432748538,0.0023391812865497076,0.026900584795321637
TSLA,2023-07-19,2023-07-20,qa,all,5838.0,12874.0,194.0,102.0,126.0,24.0,6.0,70.0,78.0,8.0,0.03323055841041452,0.017471736896197326,0.02158273381294964,0.0041109969167523125,0.0010277492291880781,0.0157588215142172
TSLA,2023-10-18,2023-10-19,all,all,6458.0,14208.0,200.0,126.0,136.0,18.0,20.0,92.0,60.0,2.0,0.03096934035305048,0.019510684422421803,0.021059151440074326,0.002787240631774543,0.003096934035305048,0.011458655930628678
TSLA,2023-10-18,2023-10-19,prepared,all,1224.0,2478.0,54.0,18.0,16.0,2.0,12.0,24.0,2.0,0.0,0.04411764705882353,0.014705882352941176,0.013071895424836602,0.0016339869281045752,0.00980392156862745,0.029411764705882353
TSLA,2023-10-18,2023-10-19,qa,all,5234.0,11730.0,146.0,108.0,120.0,16.0,8.0,68.0,58.0,2.0,0.027894535727932747,0.020634314100114636,0.02292701566679404,0.003056935422239205,0.0015284677111196026,0.0072602216278181125
TSLA,2024-01-24,2024-01-25,all,all,6848.0,14772.0,236.0,100.0,148.0,14.0,20.0,106.0,62.0,4.0,0.0344626168224299,0.014602803738317757,0.02161214953271028,0.0020443925233644858,0.0029205607476635513,0.01985981308411215
TSLA,2024-01-24,2024-01-25,prepared,all,1794.0,3664.0,76.0,24.0,44.0,0.0,4.0,30.0,22.0,0.0,0.042363433667781496,0.013377926421404682,0.024526198439241916,0.0,0.002229654403567447,0.028985507246376812
TSLA,2024-01-24,2024-01-25,qa,all,5054.0,11108.0,160.0,76.0,104.0,14.0,16.0,76.0,40.0,4.0,0.031658092599920855,0.015037593984962405,0.020577760189948554,0.002770083102493075,0.0031658092599920855,0.01662049861495845
TSLA,2024-04-23,2024-04-24,all,all,7880.0,17010.0,234.0,132.0,164.0,28.0,24.0,110.0,98.0,18.0,0.02969543147208122,0.016751269035532996,0.02081218274111675,0.003553299492385787,0.003045685279187817,0.012944162436548223
TSLA,2024-04-23,2024-04-24,prepared,all,1534.0,3164.0,54.0,28.0,28.0,0.0,6.0,30.0,8.0,0.0,0.035202086049543675,0.018252933507170794,0.018252933507170794,0.0,0.003911342894393742,0.01694915254237288
TSLA,2024-04-23,2024-04-24,qa,all,6346.0,13846.0,180.0,104.0,136.0,28.0,18.0,80.0,90.0,18.0,0.028364323983611724,0.016388276079420106,0.021430822565395524,0.00441222817522849,0.0028364323983611725,0.011976047904191617
TSLA,2024-07-23,2024-07-24,all,all,6624.0,15182.0,152.0,124.0,150.0,44.0,32.0,102.0,76.0,22.0,0.022946859903381644,0.018719806763285024,0.022644927536231884,0.006642512077294686,0.004830917874396135,0.004227053140096618
TSLA,2024-07-23,2024-07-24,prepared,all,1860.0,3802.0,66.0,30.0,32.0,8.0,16.0,36.0,8.0,4.0,0.035483870967741936,0.016129032258064516,0.017204301075268817,0.004301075268817204,0.008602150537634409,0.01935483870967742
TSLA,2024-07-23,2024-07-24,qa,all,4764.0,11380.0,86.0,94.0,118.0,36.0,16.0,66.0,68.0,18.0,0.018052057094878254,0.019731318219983206,0.02476910159529807,0.007556675062972292,0.0033585222502099076,-0.0016792611251049538
TSLA,2024-10-23,2024-10-24,all,all,7664.0,17262.0,240.0,124.0,94.0,42.0,28.0,102.0,36.0,6.0,0.031315240083507306,0.016179540709812108,0.012265135699373696,0.005480167014613779,0.0036534446764091857,0.015135699373695199
TSLA,2024-10-23,2024-10-24,prepared,all,3640.0,7854.0,138.0,54.0,56.0,20.0,12.0,56.0,16.0,6.0,0.03791208791208791,0.014835164835164835,0.015384615384615385,0.005494505494505495,0.0032967032967032967,0.023076923076923078
TSLA,2024-10-23,2024-10-24,qa,all,4024.0,9408.0,102.0,70.0,38.0,22.0,16.0,46.0,20.0,0.0,0.025347912524850896,0.01739562624254473,0.009443339960238568,0.0054671968190854875,0.003976143141153081,0.007952286282306162
TSLA,2025-01-29,2025-01-30,all,all,8284.0,18024.0,200.0,162.0,184.0,28.0,30.0,158.0,102.0,6.0,0.024142926122646065,0.019555770159343313,0.02221149203283438,0.003380009657170449,0.0036214389183969096,0.0045871559633027525
TSLA,2025-01-29,2025-01-30,prepared,all,3390.0,7166.0,94.0,32.0,82.0,6.0,18.0,86.0,38.0,2.0,0.027728613569321534,0.00943952802359882,0.024188790560471976,0.0017699115044247787,0.005309734513274336,0.018289085545722714
TSLA,2025-01-29,2025-01-30,qa,all,4894.0,10858.0,106.0,130.0,102.0,22.0,12.0,72.0,64.0,4.0,0.021659174499387004,0.02656313853698406,0.020841847159787496,0.004495300367797303,0.002451982018798529,-0.004903964037597058
TSLA,2025-04-22,2025-04-23,all,all,9730.0,21578.0,256.0,226.0,186.0,22.0,32.0,144.0,80.0,6.0,0.0263103802672148,0.023227132579650565,0.019116135662898253,0.0022610483042137717,0.00328879753340185,0.003083247687564234
TSLA,2025-04-22,2025-04-23,prepared,all,3284.0,7210.0,128.0,90.0,74.0,12.0,4.0,60.0,28.0,0.0,0.0389768574908648,0.027405602923264313,0.02253349573690621,0.0036540803897685747,0.001218026796589525,0.011571254567600487
TSLA,2025-04-22,2025-04-23,qa,all,6446.0,14368.0,128.0,136.0,112.0,10.0,28.0,84.0,52.0,6.0,0.019857275829972074,0.02109835556934533,0.017375116351225565,0.0015513496742165685,0.004343779087806391,-0.0012410797393732546
TSLA,2025-07-23,2025-07-24,all,all,6806.0,14824.0,190.0,98.0,162.0,22.0,28.0,132.0,72.0,4.0,0.02791654422568322,0.014399059653247136,0.023802527181898327,0.0032324419629738465,0.004114017043784896,0.013517484572436086
