earnings_date,fiscalYear,period,transcript_dir,symbol,fiscal_period_end,calendarYear,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
2021-01-27,2020,Q4,data/TSLA/transcripts/2021-01-27,TSLA,2020-12-31,2020,3.7658604977216963,0.08377146862951279,1.0581843673326323,0.6484402383456012,6.794251664914126,8.299684542586752,8.117420259376095,7.790045566070803,4.74062390466176,671082660000.0,664977660000.0,701.969309623431,62.46115599404319,222.28640609473337,362.7473837837838,30.19494533183352,30.19494533183352,61.892931868950114,534.9780048270313,220.26421331566743,359.4473837837838,0.0003561409260671405,0.0027567393858753553,0.5974803149606299,0.2546406381836312,-4.911504424778761,1.8751403705783267,2.33739837398374,10.199324324324325,0,0,0.09018987341772151,0.048585256887565154,0.009971619237554652,0.3872143093739649,0.10880491437081162,1.8915857605177993,0.05891660461653016,3.831857258512241,0.01113753421667111,0.004629270938250562,-1.969856291622853,12469000000,23159000000,-1752000000,36367000000,1821500000,5504500000,4159500000,15.798585256887565,62.75524314358147,42.531689329338555,5.696712619300106,1.4341431168401917,2.116069251402097,0.010753655793025872,0.4097441289870312
2021-04-27,2021,Q1,data/TSLA/transcripts/2021-04-27,TSLA,2021-03-31,2021,3.6035379812695107,0.15192507804370448,0.5691987513007284,-0.42282344779743325,5.945542837322233,8.485952133194589,8.31078737426292,7.983697537287548,4.373916059660076,641871120000.0,637241120000.0,366.36479452054795,61.78372509384926,391.14632541133454,-526.5554716981133,27.88682799669809,27.88682799669809,61.3380614111079,508.57232242617715,388.32487507617304,-522.7572764561115,0.0006823799768402106,-0.0018991351410233258,0.5435547638701829,0.2361813788416522,-3.6951316839584996,1.660617059891107,6.0,3.5366379310344827,0,0,0.10164597170083742,0.06410626624314178,0.009533338367439402,1.7428397318708104,0.2752911733564347,4.605475040257649,0.0591009721821157,5.224058490021833,0.012857186640479211,0.00834810452284293,-2.7341311134235173,9828000000,23960000000,-3802000000,35177000000,1888000000,6349500000,4116500000,16.373086918856483,73.19794470271593,45.49547345241008,5.496825396825397,1.2295427196149218,1.9782187802516942,0.01902941304253378,0.9920221990981616
2021-07-26,2021,Q2,data/TSLA/transcripts/2021-07-26,TSLA,2021-06-30,2021,4.105046343975284,0.3920357020254034,0.729145211122554,0.2090628218331617,5.571232406453828,9.011328527291452,8.844490216271884,8.514933058702368,3.847579814624099,659998410000.0,654902410000.0,144.48301444833623,55.1930431510286,310.7337146892655,1083.7412315270935,26.60854741170779,26.60854741170779,54.7668849305904,319.6205026842362,308.33446798493407,1075.3734154351396,0.001730307198770373,0.0009227294956665122,0.4488388969521045,0.2018822761397019,-2.4870668618838456,1.5083379146050944,17.493333333333332,1.8598949211908933,0,0,0.08136812175949155,0.0481685900652283,0.008812969209008812,0.713276836158192,0.1266934269944807,2.2246696035242293,0.03963873557451079,8.666518885098746,0.029421570174445192,0.02089279180387852,-2.987899073120494,8322000000,25764000000,-4203000000,35838000000,2009500000,7103000000,4432500000,16.0235825388861,74.9636323561825,46.9440158695173,5.61672146547675,1.200582164593808,1.9171772660046482,0.046040961135300755,0.5200823892893924
2021-10-20,2021,Q3,data/TSLA/transcripts/2021-10-20,TSLA,2021-09-30,2021,4.594856379425518,0.5404141616566466,1.0511022044088176,0.4415497661990648,5.375751503006012,9.517034068136272,9.360053440213761,9.035738142952571,3.424181696726787,773919060000.0,767980060000.0,119.57958281829421,56.25638293232536,245.92280266920878,585.4153252647503,28.607513399622967,28.607513399622967,55.82467543795886,277.34924521487903,244.03560851604703,580.9228895612708,0.002090657904199956,0.0017081889674612743,0.3743022954940302,0.17508731887816856,-2.144817623690863,1.3850756190792755,15.904761904761905,1.9449938195302843,0,0,0.07225412517263938,0.044413752998473506,0.008126707473112702,0.5799173816333015,0.13265973686123428,2.3981603153745072,0.03452787671730755,10.481813736330928,0.04221939921655583,0.02820584338609581,-3.064128256513026,6951000000,28024000000,-4338000000,36669000000,2045500000,7909000000,4966000000,12.835647306825617,73.62582945429335,46.34148757056551,7.011722731906218,1.2223970944309928,1.9421042508174648,0.0598085240084279,0.6095524382097528
2022-01-26,2021,Q4,data/TSLA/transcripts/2022-01-26,TSLA,2021-12-31,2021,5.819047619047619,0.7622331691297208,1.5057471264367817,0.910016420361248,5.815106732348112,10.372085385878488,9.808210180623973,9.914285714285715,2.9372742200328408,1072631700000.0,1063928700000.0,115.53551271003877,60.53567921440262,233.9436641221374,387.0919162757127,35.530547550432274,35.530547550432274,60.04451154128337,299.3609172763084,232.0455179934569,383.95117286178277,0.002163836850989953,0.00258336575359464,0.2939150021531021,0.14281115707134925,-2.4487900956668542,1.3752854605430094,36.80281690140845,1.95689287238583,0,0,0.08431627066990237,0.04176307918054066,0.027635157972670646,0.39563794983642314,0.10237598058581183,2.1391509433962264,0.031491619165867145,13.039648842752406,0.052354445811400356,0.03841824742609329,-2.800574712643678,7395000000,29866000000,-3448000000,40284000000,1937500000,9142500000,5478000000,9.71668830069417,70.09400248601617,40.25248601615911,9.262415054887612,1.283990024937656,2.2358867465693937,0.07688230812547617,0.5957307060755337
2022-04-20,2022,Q1,data/TSLA/transcripts/2022-04-20,TSLA,2022-03-31,2022,6.044473090557525,1.0692877860135352,1.2874637447631325,0.7135030615533354,5.805027392845633,11.41024814695456,10.857557202707058,10.984531098936513,2.2835965194972605,1114597600000.0,1104117600000.0,83.98113321277879,59.426188952868415,278.9981476846057,503.4316169828365,32.700531025377735,32.700531025377735,58.86743442098528,241.75992993212174,276.37486858573214,498.6981029810298,0.0029768590924652985,0.0019863670978656333,0.20610239108112072,0.10637814591598777,-2.294723012918765,1.3539967373572595,59.0655737704918,1.2179878048780488,0,0,0.05288974194924291,0.046118575389208785,0.025969896120415517,0.4458072590738423,0.09495628065685648,2.0238636363636364,0.022286201748773726,16.256585162066468,0.06988131617120845,0.05158341495266079,-2.429987109249114,7595000000,33691000000,-1582000000,41949000000,2112000000,10598000000,6224000000,11.089251439539348,75.61597472924187,45.291064981949454,8.115967113803547,1.1902246889266852,1.9871469137647586,0.0973448731113393,0.573960683209797
2022-07-20,2022,Q2,data/TSLA/transcripts/2022-07-20,TSLA,2022-06-30,2022,5.443265830922533,0.7261330761812922,0.7557055609128898,0.19961427193828352,6.080038572806171,12.104789456766314,11.894246223079396,11.69270331083253,2.1565413050466087,698326170000.0,686667170000.0,77.28266600265604,41.238110901145625,297.03367503190134,1124.5187922705313,19.19744254453486,19.19744254453486,40.549614385260426,199.61254941860466,292.07450871969377,1105.74423510467,0.0032348780513266457,0.0008892692651057314,0.1832252034308335,0.09728080802183527,-3.3892441860465117,1.4308235186288438,56.0,1.0421099290780143,0,0,0.056749734262430615,0.039388213062477855,0.009560229445506692,0.7358570820927265,0.10216133223101452,1.876355748373102,0.021318058344159677,13.8215527000162,0.04646984613660872,0.03329010580918978,-2.0331886853101895,9401000000,37003000000,367000000,43740000000,2196000000,11191500000,7399500000,11.059997637888273,79.45511811023623,57.45826771653544,8.137433925997117,1.132714948269711,1.5663542180562406,0.06210138552892017,0.5560912889746062
2022-10-19,2022,Q3,data/TSLA/transcripts/2022-10-19,TSLA,2022-09-30,2022,6.819453273998729,1.0464081373172283,1.621106166560712,1.0479974570883661,6.709154481881755,13.071837253655435,12.86935791481246,12.667196439923712,1.8839796567069294,834476500000.0,820818500000.0,63.37154465370595,38.89607998508437,163.6228431372549,253.10175917500757,20.939913678452236,20.939913678452236,38.25946210496877,176.71011840688914,160.94480392156862,248.95920533818622,0.003944988265097938,0.003950980045573482,0.14739906150410279,0.07892403192432752,-2.940365984930032,1.4623542318475478,69.58490566037736,1.5492102065613609,0,0,0.044793511699449985,0.034166122867530534,0.008558836965576546,0.35352941176470587,0.08404027221031043,1.8859832635983265,0.016873310338398433,17.269591547398274,0.06534577718950914,0.04461369580831831,-1.7124920534011443,11379000000,40487000000,2688000000,46585000000,2136500000,12554500000,9217500000,9.195488020881886,77.82043305126928,57.82914385266301,9.787408759124087,1.1565085989781967,1.5563087053355282,0.08260771373365787,0.5731087094723458
2023-01-25,2022,Q4,data/TSLA/transcripts/2023-01-25,TSLA,2022-12-31,2022,7.695569620253164,1.1753164556962026,1.0373417721518987,0.44936708860759494,7.0205696202531644,14.524683544303798,14.337025316455696,14.146835443037975,1.8294303797468354,389248800000.0,378743800000.0,26.20145395799677,16.006612385886996,118.7458206223307,274.1188732394366,8.707247673586256,8.707247673586256,15.574627847684843,75.67308691308692,115.54112263575351,266.720985915493,0.00954145523377336,0.0036480523510926685,0.12857909806728704,0.06980980835094368,-2.098901098901099,1.53195552061103,118.21212121212122,0.8890697043666937,0,0,0.04243770046878855,0.033308660251665435,0.007202020938084481,0.5668090298962782,0.07640430956493133,1.878665318503539,0.01723003536475039,19.34186369187696,0.06301517198579941,0.04543397149672763,-1.7789556962025317,14208000000,45305000000,4477000000,51436000000,2572000000,14576000000,11583000000,10.925240562546263,74.04940402351545,62.32188123617928,8.237804878048781,1.2154047853162897,1.44411558532596,0.0830798138869005,0.5879746835443038
2023-04-19,2023,Q1,data/TSLA/transcripts/2023-04-19,TSLA,2023-03-31,2023,7.368603916614024,0.793746051800379,0.793746051800379,0.13897662665824384,7.075805432722678,15.551168667087808,15.367024636765635,15.178142766898294,1.7697409981048642,656818360000.0,646344360000.0,65.34205730202945,28.15458699472759,261.3682292081178,1492.769,13.66833895201232,13.66833895201232,27.705617900467228,166.79854451612903,257.20030242737766,1468.9644545454546,0.003826019723321985,0.0006698960120420507,0.11599450618054688,0.06419218499879079,-2.702967741935484,1.567174515235457,91.86206896551724,0.9980142970611596,0,0,0.0461228513866861,0.03304899481332248,0.006714037289970403,0.8249104655789893,0.08885935959535342,1.9818355640535372,0.01791761327103605,16.46422774183411,0.03940295794700675,0.02913623188405797,-1.8205148452305748,15561000000,48652000000,5399000000,54813000000,2972500000,15579500000,13607000000,11.546572934973637,76.0633436071846,68.75066425762567,7.794520547945205,1.1832243460764587,1.3090782608695652,0.052295334415449285,0.6547694251421352
