ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
TSLA,2025-04-22,2025-04-08,2025-05-06,TSLA,,2025-04-08 03:08:42,2025-04-08T03:08:42-04:00,2025-04-08,"Dow Falls For 3rd Session Amid Trump's Tariff Threats As Apple, Tesla Decline: Greed Index Remains In 'Extreme Fear' Zone","The CNN Money Fear and Greed index showed some easing in the overall fear level, while the index remained in the “Extreme Fear” zone on Monday.",benzinga.com,https://www.benzinga.com/news/earnings/25/04/44678688/dow-falls-for-3rd-session-amid-trumps-tariff-threats-as-apple-tesla-decline-greed-index-remains-in-extreme-fear-zone,https://images.financialmodelingprep.com/news/dow-falls-for-3rd-session-amid-trumps-tariff-threats-20250408.jpg
TSLA,2025-04-22,2025-04-08,2025-05-06,TSLA,,2025-04-08 03:55:00,2025-04-08T03:55:00-04:00,2025-04-08,"Tesla's Deliveries Plummet: Should You Buy, Hold, or Sell Now?","On April 2, Tesla (TSLA -3.23%) released its quarterly vehicle delivery report for the first quarter of 2025. Global electric vehicle (EV) deliveries dropped 13% year over year to 336,681, falling more than 53,000 short of the analyst expectations of 390,000 vehicle deliveries (based on Bloomberg data).",fool.com,https://www.fool.com/investing/2025/04/08/tesla-deliveries-plummet-buy-sell-hold-stock-now/,https://images.financialmodelingprep.com/news/teslas-deliveries-plummet-should-you-buy-hold-or-sell-20250408.jpg
TSLA,2025-04-22,2025-04-08,2025-05-06,TSLA,,2025-04-08 04:11:31,2025-04-08T04:11:31-04:00,2025-04-08,"Musk urged Trump to reverse tariffs, says Washington Post","Elon Musk made a direct appeal to US President Donald Trump over the weekend to roll back new tariffs, but the effort was unsuccessful, according to a report in the Washington Post citing two unnamed sources. The intervention marks a rare public disagreement between Trump and Musk, a close adviser to the president.",proactiveinvestors.co.uk,https://www.proactiveinvestors.co.uk/companies/news/1069290,https://images.financialmodelingprep.com/news/musk-urged-trump-to-reverse-tariffs-says-washington-post-20250408.jpg
TSLA,2025-04-22,2025-04-08,2025-05-06,TSLA,,2025-04-08 04:16:15,2025-04-08T04:16:15-04:00,2025-04-08,Used Tesla prices drop sharply amid surge in off-lease vehicles,"Prices for used Teslas are falling faster than those of other electric vehicles in both the US and UK, but analysts suggest the trend is being driven more by a wave of ex-lease vehicles than by political backlash against Elon Musk, according to a report in the Financial Times. In March, second-hand Tesla prices in the US fell 7% year-on-year, compared with a 1.5% drop across other electric car brands, according to CarGurus.",proactiveinvestors.co.uk,https://www.proactiveinvestors.co.uk/companies/news/1069291,https://images.financialmodelingprep.com/news/used-tesla-prices-drop-sharply-amid-surge-in-offlease-20250408.jpg
TSLA,2025-04-22,2025-04-08,2025-05-06,TSLA,,2025-04-08 04:23:00,2025-04-08T04:23:00-04:00,2025-04-08,Tesla Stock Rises. Why Trump's Tariffs Have Hit It Harder Than Most.,"Coming into Tuesday trading the shares lost 17.5% over the past three trading sessions, which followed President Donald Trump's “Liberation Day.”",barrons.com,https://www.barrons.com/articles/tesla-stock-price-trump-tariffs-768c537a,https://images.financialmodelingprep.com/news/tesla-stock-rises-why-trumps-tariffs-have-hit-it-20250408.jpg
TSLA,2025-04-22,2025-04-08,2025-05-06,TSLA,,2025-04-08 05:58:51,2025-04-08T05:58:51-04:00,2025-04-08,Elon Musk fires back at Trump as Tesla stock slides 38% amid China tariff tensions,"Elon Musk's clash with President Donald Trump over new 50% tariffs on Chinese imports has put the tech industry on high alert. The world's richest man is pushing back as sweeping protectionist measures threaten US-China supply chains, raising costs for manufacturers and consumers alike.",invezz.com,https://invezz.com/news/2025/04/08/elon-musk-fires-back-at-trump-as-tesla-stock-slides-38-amid-china-tariff-tensions/,https://images.financialmodelingprep.com/news/elon-musk-fires-back-at-trump-as-tesla-stock-20250408.jpg
TSLA,2025-04-22,2025-04-08,2025-05-06,TSLA,,2025-04-08 06:00:00,2025-04-08T06:00:00-04:00,2025-04-08,The Next 3 Months Will Be Critical for Tesla Stock,"In this week's video, I cover need-to-know news about Tesla (TSLA -3.23%) from the week of March 31. Watch the short video to learn more, consider subscribing, and click the special offer link below.",fool.com,https://www.fool.com/investing/2025/04/08/the-next-3-months-will-be-critical-for-tesla-stock/,https://images.financialmodelingprep.com/news/the-next-3-months-will-be-critical-for-tesla-20250408.jpg
TSLA,2025-04-22,2025-04-08,2025-05-06,TSLA,,2025-04-08 07:45:00,2025-04-08T07:45:00-04:00,2025-04-08,Is It Finally Time to Buy Tesla Stock?,"Tesla (TSLA -3.23%) shares have taken a beating for nearly all of 2025, and now it has to contend with rising trade barriers.",fool.com,https://www.fool.com/investing/2025/04/08/is-it-finally-time-to-buy-tesla-stock/,https://images.financialmodelingprep.com/news/is-it-finally-time-to-buy-tesla-stock-20250408.jpg
TSLA,2025-04-22,2025-04-08,2025-05-06,TSLA,,2025-04-08 08:33:33,2025-04-08T08:33:33-04:00,2025-04-08,"TSLA, PLTR and SMCI Forecast – Major Tech Stocks Look to Recover","The three technology stocks in this article are all trying to do whatever they can to recover. After all, we have seen a lot of selling in these names, so a bounce makes sense sooner or later.",fxempire.com,https://www.fxempire.com/forecasts/article/tsla-pltr-and-smci-forecast-major-tech-stocks-look-to-recover-1510204,https://images.financialmodelingprep.com/news/tsla-pltr-and-smci-forecast-major-tech-stocks-look-20250408.jpg
TSLA,2025-04-22,2025-04-08,2025-05-06,TSLA,,2025-04-08 08:37:26,2025-04-08T08:37:26-04:00,2025-04-08,"EXCLUSIVE: Tesla Bulls Are Bruised Not Beaten, Says Direxion's Egilinsky",Tesla Inc‘s TSLA brutal year continues.,benzinga.com,https://www.benzinga.com/trading-ideas/technicals/25/04/44683368/exclusive-tesla-bulls-are-bruised-not-beaten-says-direxions-egilinsky,https://images.financialmodelingprep.com/news/exclusive-tesla-bulls-are-bruised-not-beaten-says-direxions-20250408.jpg
