ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20
V,2021-01-28,amc,2021-01-28,2021-01-29,2021-02-05,2021-02-12,2021-03-01
V,2021-04-27,amc,2021-04-27,2021-04-28,2021-05-05,2021-05-12,2021-05-26
V,2021-07-27,amc,2021-07-27,2021-07-28,2021-08-04,2021-08-11,2021-08-25
V,2021-10-26,amc,2021-10-26,2021-10-27,2021-11-03,2021-11-10,2021-11-24
V,2022-01-27,amc,2022-01-27,2022-01-28,2022-02-04,2022-02-11,2022-02-28
V,2022-04-26,amc,2022-04-26,2022-04-27,2022-05-04,2022-05-11,2022-05-25
V,2022-07-26,amc,2022-07-26,2022-07-27,2022-08-03,2022-08-10,2022-08-24
V,2022-10-25,amc,2022-10-25,2022-10-26,2022-11-02,2022-11-09,2022-11-23
V,2023-01-26,amc,2023-01-26,2023-01-27,2023-02-03,2023-02-10,2023-02-27
V,2023-04-25,amc,2023-04-25,2023-04-26,2023-05-03,2023-05-10,2023-05-24
V,2023-07-25,amc,2023-07-25,2023-07-26,2023-08-02,2023-08-09,2023-08-23
V,2023-10-24,amc,2023-10-24,2023-10-25,2023-11-01,2023-11-08,2023-11-22
V,2024-01-25,amc,2024-01-25,2024-01-26,2024-02-02,2024-02-09,2024-02-26
V,2024-04-23,amc,2024-04-23,2024-04-24,2024-05-01,2024-05-08,2024-05-22
V,2024-07-23,amc,2024-07-23,2024-07-24,2024-07-31,2024-08-07,2024-08-21
V,2024-10-29,amc,2024-10-29,2024-10-30,2024-11-06,2024-11-13,2024-11-27
V,2025-01-30,amc,2025-01-30,2025-01-31,2025-02-07,2025-02-14,2025-03-03
V,2025-04-29,amc,2025-04-29,2025-04-30,2025-05-07,2025-05-14,2025-05-29
V,2025-07-29,amc,2025-07-29,2025-07-30,2025-08-06,2025-08-13,2025-08-27
V,2025-10-28,amc,2025-10-28,2025-10-29,2025-11-05,2025-11-12,2025-11-26
