ticker,earnings_date,day0_date,day0_dt,call_date,call_dt,call_gap_days,transcript_folder_date,section,qa_marker,speaker,text,n_tokens_raw,n_tokens,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
V,2021-01-28,2021-01-29,,2021-01-28,2021-01-28T17:00:00-05:00,0,2021-01-28,prepared,,Operator,"Welcome to Visa's Fiscal First Quarter 2021 Earnings Conference Call. All participants are in a listen-only mode until the questions-and-answer session. Today's conference is being recorded. If you have any objections, you may disconnect at this time. I would now like to turn the conference over to your host, Mr. Mike Milotich, Senior Vice President of Investor Relations. Mr. Milotich, you may now begin.",68.0,34.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,-0.058823529411764705
V,2021-01-28,2021-01-29,,2021-01-28,2021-01-28T17:00:00-05:00,0,2021-01-28,prepared,,Mike Milotich,"Thank you, Michelle. Good afternoon, everyone, and welcome to Visa's fiscal first quarter 2021 earnings call. Joining us today are Al Kelly, Visa's Chairman and Chief Executive Officer; and Vasant Prabhu, Visa's Vice Chairman and Chief Financial Officer. This call is being webcast on the Investor Relations section of our website at www.investor.visa.com. A replay will be archived on our site for 30 days. A slide deck containing financial and statistical highlights has been posted on our IR website. Let me remind you that this presentation includes forward-looking statements. These statements are not guarantees of future performance, and our actual results could differ materially as the result of many factors. Additional information concerning those factors is available in our most recent reports on Forms 10-K and 10-Q, which you can find on the SEC's website and the Investor Relations section of our website. For historical non-GAAP financial information disclosed in this call, the related GAAP measures and reconciliation are available in today's earnings release. With that, let me turn the call over to Al.",182.0,97.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.010309278350515464,0.010309278350515464,0.020618556701030927,0.0,0.0,0.0
V,2021-01-28,2021-01-29,,2021-01-28,2021-01-28T17:00:00-05:00,0,2021-01-28,prepared,,Al Kelly,"Thank you, Mike, and good afternoon, and thank you for joining us today. Even with vaccine proliferation on the horizon, COVID-19 infections really continue to rise causing restrictions to be implemented in many parts of the world. Amidst the pandemic Visa delivered strong financial results in our fiscal first quarter, and our strategy to enable money movement globally remains clear. Pursuing growth through core consumer payments, new flows and value added services. On our call today, let me discuss our Q1 results and that provide detail on our momentum this quarter with clients and the valuable solutions they utilize to drive money movement globally. As a review of Q1 results, recall we're growing over a quarter where no one had ever heard of COVID-19. Payment volume process transactions and cross border volume all improved from Q4. Payments volume improved half a point, processing transaction growth improved a point and cross border volume improved 8 points. Net revenues in the fiscal first quarter were $5.7 billion a year-over-year decrease of 6%. Non-GAAP EPS was $1.42 a decrease of 3%. Through our dividends and buybacks we returned $2.5 billion of capital to shareholders in Q1. Vasant will cover spending in great detail, so I'll only make a few high level comments on holiday spending. U.S. holiday spending was quite different this year, but had a similar overall growth for the last three years of holiday seasons, led by strong retail growth somewhat offset by travel entertainment and fuel. This year in the U.S., we generally saw a continuation of the trends that have been occurring during COVID, strong debit and e-commerce and weaker credit and card present. Outside the United States, holiday retail spending growth broadly accelerated with growth in Canada, the UK, Brazil, and Australia, all rising by five or more points over last year. Now, let me transition to our progress with clients. We continue to win and renew business as we transfer money movement globally through consumer payments, new flows and value added services. In consumer payments, we continue to focus on digitizing $18 trillion spent in cash and check globally, by working with partners to grow endpoints and deepen customer engagement with innovation. We are growing credentials with traditional issuers FinTechs and wallets. Let me start with North America. We are very pleased to have renewed our long standing partnership with Wells Fargo across consumer debit, credit, small business and commercial for the next six years. The Bank of Montreal, Canada's fourth largest bank and the only top five Canadian bank, not previously issuing with Visa announced a new partnership with us to issue two affluent lifestyle credit card products in the Canadian market. These products are digital first targeting the affluent millennial segment and offer strong rewards and value to cardholders in a differentiated and innovative way. In our Asia-Pacific region, we won the debit business of Malaysia's AmBank after winning the credit business just a quarter ago. Our relationship with LINE Pay also deepen this quarter on two fronts. First in Japan LINE Pay is now issuing a Visa virtual prepaid card, and second Visa secured an exclusive partnership with LINE BK, Thailand's first social banking platform issuance of Visa Debit cards. Within the first month LINE BK issued 180,000 Visa Debit credentials. In Russia YooMoney [ph], one of the country's largest electronic payment services with more than 120,000 merchants worldwide and 40 million endpoints, signed on to issue Visa credentials in their wallet and enable Visa Direct. In Europe, we had several notable wins as we continue to increase our business on the continent. Visa secured a business agreement with Santander Group, becoming the preferred partner in credit and commercial for Santander Bank across seven countries in continental Europe. We also want the prepaid issuance of Moody, the first proximity banking and payments company in Italy, which offers its services through both digital and retail channels with over 45,000 points of sale in rural and urban areas that can reach 20 million customers. İşbank, the largest private bank in Turkey, with 20 million cards have selected Visa for its consumer and commercial credit and debit portfolios. Last we renewed two portfolios with a leading UK issuer, one for consumer credit, and one for commercial charge card. We also continue to deepen engagement with our partners to find new ways to remove friction and enhance the client experience through innovation. Just yesterday, we announced the global partnership with TransferWise and the first use case of Visa Cloud Connect a new way to securely connect to VisaNet through the cloud. The new platform will enable the expansion of TransferWise as multicurrency debit cards in Asia Pacific, Europe, the Middle East, UK and the U.S. and deliver a range of Financial Services via mobile app to their customers, including currency exchange, and P2P payments, all linked to a Visa card. Pay continues to expand representing almost two thirds of all face to face transactions, excluding the United States. In the United States, we have approximately 300 million contactless cards in place now and have high single digit penetration of face to face transactions. Even at this level, the U.S. is now the fourth largest country in the number of tap to pay transactions. Enablement continues to grow as all 500 of Costco field locations and Chipotle and Nordstrom Stores now accept tap to pay. I'm also pleased to report that the New York City MTA has completed their rollout to all subways and buses. Processing is also a way to bring Visa's innovations to market and we have made significant progress in Latin America this past quarter in Ecuador, Colombia and Peru and now have reached 100% processing penetration in Chile. As I close out the consumer payments section, I wanted to note some progress in India. We continue to grow credentials. The Amazon Pay, ICICI bank cobranded credit card in India has set a country record by issuing over a million cards in just 20 months. On the acceptance front, India now has 6.5 million acceptance points including over 1 million QR points, up almost 20 percentage points from a year ago and 65% of all terminals are tap to pay enabled. The Reserve Bank of India recently raised the contactless limit which will soon cover 90% plus of all transactions in India. Visa has entered into new partnerships with leading acquires such as SBI payments to large acceptance solutions, such as tap the phone and contactless, and Visa is partnering with the largest acquire in India HDFC Bank, in the largest scale up of Smart Hub and absolution bundling payments banking and value added services to help small merchants grow their businesses. We're also contributing to India's Payment Infrastructure Development Fund to encourage growth of physical and digital acceptance in underpenetrated geographies by adding 1 million points of sale and 2 million QR points per year over the next three years. All of these efforts build on our leading credit and debit market share in India. Now on to the second level, last level of growth new flows, which represents 185 trillion in opportunity. We're pursuing this opportunity with our traditional commercial card solutions as well as newer capabilities like Visa Direct and Visa B2B CONNECT. While we're making progress across all new flows, I'll highlight a few advancements from this quarter. In B2C, gig economy payouts and earned wage access continue to grow meaningfully in the wake of COVID. This quarter with DoorDash, we launched the Dasher direct business prepaid card in the U.S., offering the over 1 million dashers on the DoorDash platform access to daily deposits of earned wages and rich card benefits. In Canada, Skip The Dishes, the country's largest food delivery network rolled out their visa direct enabled courier payouts called fast cash. P2P, which represents 20 trillion of the flows was Visa Direct first use case and continues to grow substantially. A key area of future growth is cross border P2P or remittance. Four of the top five global money transfer operators were on boarded in fiscal year '20 TransferWise, Western Union, Remitly and MoneyGram, which noted a 500% increase year-over-year in real time transfers in December alone. Our efforts to expand remittance also extends to FinTechs and banks who can enable this capability. ZPay a fast growing African FinTech will use Visa Direct to allow Africans to send money across European and North American corridors, and soon will expand to all major corridors globally. TransferGo, a global money transfer company that supports migrant workers to send money back to their relatives, without paying unnecessary bank fees has enabled Visa Direct in 55 markets that has the potential to expand to a total of 178 countries in the future, with its upcoming additions such as the UK, Italy and Nigeria. Across the globe, in the first quarter Visa Direct transactions grew almost 60%. Now onto B2B, the cross-border Goldman Sachs transaction banking recently signed on to employ Visa B2B Connect for cross-border B2B money movement, offering its corporate clients the ability to transact in over 80 markets globally. We are very pleased that our partnership with Goldman continues to deepen on multiple fronts. In the virtual card based business, we've expanded our relationship with UK based Conformer Pay to launch Visa commercial pay, which has three offerings, a mobile app, enabling virtual card issuance and management for business incidentals, two, a solution to manage business travel spend with enhanced data, and three, an integrated payables platform that can seamlessly send payments to suppliers. Barclays has already launched this functionality for their commercial clients. Currently, essentially, all of these new flows are transacted in traditional Fiat currencies. But there's a growing interest in digital currencies. And I wanted to take a minute to talk about how Visa thinks about crypto in general and our approach. In this space, we see ways that we can add differentiated value to the ecosystem, and we believe that we are uniquely positioned to help make crypto currencies more safe, useful and applicable for payments through our global presence, our partnership approach and our trusted brand. We think of the crypto market in two segments. First, there are crypto currencies that represent new assets, such as Bitcoin. Secondary, digital currencies or stable coins that are directly backed by existing Fiat currencies. We see all currencies in that first segment as digital gold. They are predominantly held as assets that are not used as a form of payment in a significant way at this point. Our strategy here is to work with wallets and exchanges to enable users to purchase these currencies using their Visa credentials, or to cash out onto a Visa credential to make a Fiat purchase at any of the 70 million merchants where Visa is accepted globally. This is similar to our approach to connect close with wallets such as, LINE Pay and Paytm. For the second segment, Fiat backed digital currencies, including stable coins and central bank digital currencies, these are an emerging payments innovation that could have the potential to be used for global commerce, much like any other fiat currency. We think of digital currencies running on public block chains as additional networks, just like RTP or ACH networks. So we see them as part of our network of network strategy. Across both of these segments, we are the clear leader in this space. Today, 35 of the leading digital currency platforms and wallets have already chosen to issue Visa, including Coinbase, crypto.com, BlockFi, Ford and Bitpanda. These wallet relationships represent the potential for more than 50 million Visa credentials. The next leading network has a fraction of that. And it goes without saying to the extent a specific digital currency becomes a recognized means of exchange, there's no reason why we cannot add it to our network, which already supports over 160 currencies today. Let me now turn to our third growth lever, value added services. Here we saw revenue grow at 19% in Q1, and let me name a few services with notable progress this quarter. As e-commerce explodes, interest in CyberSource remains strong for merchants, as well as from FinTechs and acquirers looking to leverage our capabilities to offer to their clients. This quarter, two additional leading acquirers signed on to use CyberSource, K Bank in Thailand and NAB in Australia. As one of the largest debit and prepaid issuer processes we've been looking to expand Visa DPF globally, in that vein, we are pleased to share that we're bringing our Visa debit processing system to Europe. DKB, our largest issuing bank in Germany has chosen DPF as its debit processor and recently processed Visa's inaugural European DPF transaction via their platform. DKB will also be able to take advantage of nearly 20 value added services through this connection. We have believed for years that installments represent an important opportunity in payments. To enable this capability, we offer our own network solution for issuers, merchants and FinTechs installment providers to use directly or also work with many. And we also work with many installment providers to develop new solutions. This quarter we had updates on both fronts. We signed a global deal with Afterpay, extending our U.S. relationship to an additional seven countries, where Afterpay will use Visa technology to accelerate its global expansion. In addition, Visa and Afterpay will test and collaborate on the application of new technologies, like tokenization and Visa direct. We announced in July that Commerce Bank in the United States was piloting the network solution, and it is now launched with about 300,000 customers live. Visa also signed Scotiabank as the first Canadian bank to launch a post purchase installment pilot with employees in December, with a full market rollout slated for mid-2021. All of these growth levers, consumer payments, new flows and value added services are driven by our network of network strategy, which is enabling all forms of payment, utilizing all networks and providing the value added services you would expect from Visa as we enable money movement. In closing, a few points, domestic volumes driven by debit and e-commerce are really holding up well, holiday spending will different in terms of categories and timing was quite good. Q1 overall was a very solid quarter and positive momentum continued, albeit we are still impacted by COVID-19. We are continuing to work very hard to balance expense management and recognition of the short term realities and investing in an exciting set of growth opportunities, as we always manage the business for the long-term. We continue to be focused on our three growth levers, all of which are supported by our network of network. And lastly, we are hopeful that as vaccines roll out and become more readily available, lockdowns, travel restrictions and capacity constraints will be lessened or eliminated, enabling travel, entertainment and other commerce to grow. With that over to Vasant, for more color on our volumes and our financials.",2507.0,1386.0,62.0,3.0,9.0,0.0,4.0,11.0,6.0,11.0,0.044733044733044736,0.0021645021645021645,0.006493506493506494,0.0,0.002886002886002886,0.04256854256854257
V,2021-01-28,2021-01-29,,2021-01-28,2021-01-28T17:00:00-05:00,0,2021-01-28,prepared,,Vasant Prabhu,"Thank you, Al. Good afternoon, everyone. During our fiscal first quarter last year, COVID-19 was not yet a word in the English language. This will be the last quarter where our performance is compared to a quarter of with no COVID impact whatsoever. As such, our results this quarter provide a clear picture of the state of the recovery. Overall, the quarter was stronger than we expected, but net revenue down 6%, largely due to the cross-border business. EPS declined only 3% helped by lower expenses and a lower tax rate. Exchange rates shifts with the last year, increased reported net revenue growth by less than half a point and EPS growth by less than one point. As we approach the first anniversary of the pandemic, where do we stand across our key business drivers, relative to where we might have been had the pandemic never happened? Global payments volume is 4 to 5 points short of where we might have been. Debit has outperformed helped by accelerated cash displacement and credit is still a drag. In the U.S., we are actually back to our pre-pandemic growth trajectory, with debit significantly ahead of setting credit under performance. As you know, where we are well behind is in our cross-border business. In the first quarter of fiscal '21 our cross border volumes were almost 40% lower, excluding Intra-Europe volumes than they might have been had the pandemic never happened, largely due to travel. Cross border travel volume, both card present and card not present is still down almost 70% relative to where it might have been at this point. Let's start with a review of the key business drivers in the fiscal first quarter. Global payments volume and transaction growth rates were modestly better than the prior quarter. The cross model volume recovery continued even as most borders remain completely or partially closed. The trajectory of the domestic spending recovery varies across the globe. Some regions and countries are recovering fast, others are holding steady, while some have slowed in recent weeks as a result of new restrictions. What remains consistent globally is very strong debit and e-commerce spending, which is partially offset by weaker credit and in store spending. Although, constant dollar cross border volume, excluding transactions within Europe is still down 33%, there was an 8 point improvement from last quarter. Payment volume on a constant dollar basis grew 4.5%, debit was up 17%, 3 percentage points lower than last quarter, while credit declined 6%, up 3 percentage points from Q4. Growth excluding China was 7%, up almost a point, as Chinese domestic volumes continue to be impacted by dual branded card conversions, which have minimal revenue impact. U.S. payments volume growth was 8%, up half a point from last quarter. Debit growth remained strong at 21%, debit growth was 3 points lower than the fourth quarter, largely driven by a step down in unemployment benefits distributed via Visa prepaid cards. Credit spending declined 3% year-over-year, a 4 point improvement versus last quarter, driven by an acceleration in retail spending and some recovery in travel and restaurants spending. Card not present volume excluding travel continued to grow over 30% in the quarter, primarily driven by retail spending. The decline in card present spending was consistent with last quarter. However, performance did deteriorate through the quarter as rising COVID cases led to further government imposed restrictions in several states and cities. Card present spending slowdowns the most significant in the restaurant segment, as well as during the Thanksgiving holiday weekend across most segments. Across spend categories, growth was relatively consistent with the prior quarter. Categories which have been growing above their pre-COVID levels have remained elevated, including food and drug stores, home improvement and retail goods. For categories that are the hardest hit by this pandemic including travel, entertainment, fuel and restaurants spending remain depressed, with year-over-year declines consistent with last quarter. International payments volume grew 2% in Q1, while 6%, excluding China, both of which are up one point versus last quarter. A few regional highlights. EMEA remains our best performing region, growing 19% in constant dollars in the quarter, and more than 4 point improvement over Q4. The easing of COVID-related restrictions particularly in the Middle East, and clients win drove the robust growth. Latin America grew 16% in constant dollars, a nearly 10-point acceleration from last quarter. This growth acceleration is fueled by limited COVID-related restrictions in most countries, elevated e-commerce spending compared to other regions, and growing our market share with client wins in a few of the larger countries. Europe grew 5% in constant dollars, but 4 point slowdown versus last quarter. This deceleration was driven partially by renewed restrictions in the second half of the quarter due to rapidly rising COVID infection rates, particularly in the UK, France, Italy and Germany. And also, as you may remember, growth in Europe last quarter benefited from a non-recurring event in the UK related to purchases of higher interest bearing savings funds. Asia Pacific declined 8% in constant dollars, excluding China, Q1 spending was flat, a 4 point improvement since last quarter. There continue to be more COVID-related restrictions in effect across Asia than other parts of the world, however, several larger markets, such as New Zealand, Australia, Korea and Japan have returned to growth. Process transactions growth was 4%, up one point from last quarter. Growth accelerated faster than payments volume as transaction sizes continue to normalize ex Europe. Increased COVID-related restrictions in Europe are driving higher average ticket sizes, causing transactions growth to slow. Latin America is benefiting from processing wins in several countries, including Ecuador, Colombia, Peru and Chile. Visa Direct continues to perform very well, the transaction is growing almost 60% globally this quarter. Growth remains strong in every region as we continue to launch new use cases, further penetrate existing use cases such as earned wage access and cross-border remittance, and expand existing use cases to new geographies. Constant dollar cross border volume, excluding transactions within Europe, declined 33% in Q1, an 8 point improvement from the last quarter. Travel related spend declined 64%, but improved 6 points versus the fourth quarter. Card not present non-travel growth was 20%, up 3 points fueled by strong retail spending in November and December. Constant dollar cross-border volume, including transactions within Europe, declined 21% in the quarter. Although cross-border travel performance improved steadily through the quarter, the travel improvement was concentrated in only a few markets, where borders are open. Travel from the U.S. to several countries in Latin America remains strong, including Mexico and the Caribbean. The UAE has been open to travelers attracting people from Europe, Russia and other Gulf countries. Also, travel across countries within the former Soviet Union has been growing. Unfortunately, the majority of borders remain closed or impose significant requirements on international travelers. The World Tourism Organization reported in December that out of 217 countries, 118 countries, or 54%, still have completely or partially closed their borders to foreign visitors, of the remaining 99 countries, the majority are mandating COVID tests with quarantines. Very few countries have no COVID restrictions. Significant obstacles in crossing borders remain the single most important factor, driving the slow recovery of cross-border travel. A quick review of first quarter financial results. Net revenue declined 6% better than our expectations, primarily due to stronger than expected cross-border volumes and lower client incentives. Value added services continue to perform well, growing 19%. It's important to note that had we recognized service revenues on current quarter payments volume, it would have had minimal impact on our Q1 net revenue growth, because payment volume growth was very similar across both quarters. Service revenues grew 5%, roughly in line with nominal payments volume growth last quarter. Data processing grew 6% with high teens, value added services growth continuing to be partially offset by the mix shift away from higher yielding cross-border transactions. International transaction revenues were down 28%, 4 points better than cross-border volumes, excluding Intra-Europe due to favorable country mix and currency volatility benefits. Other revenues grew 5%, led by value added services, but continue to be negatively impacted by declines in the usage of travel related card benefits. Client incentives were 24.6% of gross revenues, approximately one point lower than expected. This was driven by three factors; first, a few large deals expected to be signed in the first quarter were delayed to the second quarter. Second, cross-border volume was better than we expected, particularly in the month of December. As we have said in the past, client incentives are mostly tied to payments volumes. So outperformance in high yielding cross-border volume lowers our incentives as a percent of gross revenues. And third, payments volume growth only improved a half point versus last quarter, as such there was minimal impact on current quarter client incentives from current quarter volume. On the operating expense front, we continue to benefit from actions we implemented last spring. Our headcount is lower, our spending on external services has been scaled back, travel continues to be very restricted and some marketing spend has been curtailed. Both GAAP and non-GAAP operating expenses declined 10%, which is better than expected partly due to timing shifts in client co-marketing, as well as certain product and technology investments to later in the year. Non-GAAP non-operating expense was $112 million for the fiscal quarter. This was over $30 million lower than expected due to two non-recurring items. First investment income tax deferred compensation was higher, this is offset in personnel costs and therefore income neutral. And second, an interest expense reserve was released, due to the conclusion of certain tax audits. The non-GAAP tax rate was lower than expected at 16.6%. During the quarter, the conclusion of tax audits in certain jurisdictions resulted in an $81 million benefit. In addition to this specific benefit, our tax rate is typically lower in the first quarter due to the impact of employee equity vesting. GAAP and non-GAAP EPS was $1.42, a decrease of 3%. We bought 8.7 million shares of class A common stock at an average price of $202.30 for $1.8 billion this quarter. Our board has authorized a new $8 billion share repurchase program, bringing total funds available for repurchases to over $11 billion. Including our quarterly dividend of $0.32 per share, we returned approximately $2.5 billion of capital to shareholders in the quarter. In December, we repaid $3 billion of debt upon maturity of senior notes issued five years ago. Moving on to some perspective on the second fiscal quarter, starting with business driver trends through January 21. Through January 21, U.S. payments volume growth was 12%, with us debit growing 30% and credit declining 6%. Debit growth is 10 points higher than the November, December run rate, fueled by government stimulus payments distributed right around January 1. Weekly growth trends show a sharp step up in growth in the first week of January and a step down in week three. January credit growth has slowed 3 points since December, which is more in line with the November trend. While U.S. payments volume growth has accelerated, there are many countries where constant dollar growth is slowing due to increased restrictions as COVID infections rise. In Asia-Pacific, Japan, Australia, India and Singapore payments volume growth has slowed 4 to 5 points versus December. In Europe, countries such as the UK, Italy, Denmark, and Germany all have at least 10 points slower growth in January. So far, growth rates are relatively steady in both EMEA and Latin America. Through January 21, processed transactions growth remained at 4% with acceleration in the U.S. offset by slowing growth in Europe and Asia-Pacific. Cross border volume excluding transactions within Europe on a constant dollar basis declined 33% in line with the first quarter, but below the trends we saw in December. In a fast changing environment, accurate forecasting remains difficult. How long will elevated spending driven by stimulus payments last? How long will stepped up restrictions and lockdowns persist? How will these two countervailing trends balance out country by country? Will cross border travel sustain the slow recovery even if some new restrictions go into place? These are just some of the uncertainties as we look ahead to the next three months. Based on the trends to this point, our best sense is that the second quarter gross revenue growth rate will recover to be flattish with last year, with most of the improvement driven by international revenues. Growth in the other revenue lines is expected to have a small uptick due to easier year-over-year comparisons in the second half of March. First quarter client incentives were a point below our expectations. Second quarter client incentives could be a point above the high end of the 25.5% to 26.5% range, we expect for the year. This would put first half incentives right in the middle of the range. There are several reasons for this type of client incentives as a percent of gross revenues in the second quarter, even with continued improvement in cross border. First, as I mentioned earlier, a few large deals moved from the first to the second quarter one of which was Wells Fargo was signed in January as Al noted. Second, as we told you in October, many clients did not need certain volume thresholds in calendar year 2020, and as such did not earn corresponding incentives. As volume recovers in 2021, we expect clients will hit growth thresholds and earn these incentives. We accrue incentives accordingly, starting with the first quarter of the new calendar year. This causes a larger increase unique to the year of the recovery. And third, the impact of renewals we had already expected in the second quarter. Due to the step up in client incentives as a percent of gross revenue, the net revenue decline in the second quarter is expected to be comparable to the decline we reported in the first quarter, even as the growth, revenue growth rate continues to recover. Exchange rate shifts could benefit second quarter net revenue growth by less than a point. We expect operating expenses to grow in the low to mid-single digits in the second quarter, as we begin to lap the expense reductions implemented last year. We still plan to grow expenses in the double digits in the second half as we step up investments on three key growth initiatives in anticipation of a return to normal fee by the end of fiscal 2021. Non-operating expense should be $145 million, approximately, which is similar to the first quarter, if you exclude the two nonrecurring items I mentioned earlier. There is no change in our prior tax rate expectations. It is still too early to predict what impact the U.S. elections will have on our taxes. As always, we will provide updates as the year progresses. In summary, as you can see, our business remains resilient. Both debit and e-commerce growth are sustaining well above pre-COVID levels, as the accelerated shift to digital payments becomes a habit. Cross border growth is poised to recover sharply, once vaccines facilitate reopening of borders, and we lap last year steep declines. Our new flows and value added services businesses have continued to grow robustly through the worst of the pandemic. As Al indicated, we have stayed focused on our long-term growth initiatives, and will be stepping up the level of investment in the second half in anticipation of a post-COVID world with accelerating growth. With that, I'll turn this back to Mike.",2565.0,1499.0,34.0,45.0,22.0,2.0,16.0,15.0,12.0,7.0,0.02268178785857238,0.030020013342228154,0.01467645096731154,0.00133422281521014,0.01067378252168112,-0.00733822548365577
V,2021-01-28,2021-01-29,,2021-01-28,2021-01-28T17:00:00-05:00,0,2021-01-28,qa,,James Faucette,"Great. Thank you very much. I just wanted to ask, strategically, how you're thinking about going forward post the Plaid deal that you decided to turn away from. And I guess, I'm looking for just comments of how you feel your relationships are with regulators and what makes sense in the future for future technology acquisitions, et cetera? Thanks.",61.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0
V,2021-01-28,2021-01-29,,2021-01-28,2021-01-28T17:00:00-05:00,0,2021-01-28,qa,,Al Kelly,"Well, thanks, James. Well, first of all, I mean, that's the last part of the question. This was a single lawsuit brought by a single regulator about one specific M&A transaction. So I don't believe that this portends anything about the future and our ability to continue to try to acquire companies. As we said a couple weeks ago, we ended up making the decision that this was just going to go on for too long. And we all know that the payments marketplace is moving with great speed on so many fronts. And the idea that we would tie ourselves up on this transaction, and frankly, the plan would tie themselves up through a long-term litigation that could go all the way through and appeal in and of itself which is not appealing to us, in terms of all the other things that we thought, we could be investing in and spending management time on and spending our dollars on. We're continuing to forge down a path of making sure that we are a real player in this space of open banking, and believe that we have a lot of the assets already. What Plaid was going to do was going to get us into specifically into the data extraction type of business, which would have added to our network of networks, but it doesn't in and of itself prevent us from doing more going forward. We also still have the ability in that space to partner with Plaid, we have the ability to partner with other players around the world. In many cases, that might give us the ability to partner with players that understand the nuances of specific markets in which they do work.  We'll continue to look to make sure that we to the degree that any use cases are going to form via the most -- the use case that probably would have the most chance of stepping out and being something that takes has some legs behind it would be account to account. And I think we're very well positioned there, we're positioned well to make sure that we can provide payments capabilities for the various FinTechs that we are doing business with today. And we have the ability to continue to sell value added services to all those players. So I think that ultimately, as we have in the past, we will invest to grow internally, we will look to partner and we will look to buy. And it will be a combination of capabilities and approaches that will allow us to continue to be a player in this space.",445.0,196.0,0.0,2.0,6.0,5.0,1.0,5.0,3.0,2.0,0.0,0.01020408163265306,0.030612244897959183,0.025510204081632654,0.00510204081632653,-0.01020408163265306
V,2021-01-28,2021-01-29,,2021-01-28,2021-01-28T17:00:00-05:00,0,2021-01-28,qa,,James Faucette,"That's great context, Al. And just quick operational follow up. Obviously, you've taken expenses out of the cost base in the last year as a result of the pandemic. How should we think about what components of that cost base are likely to flow back in as things return to normal versus what could be more permanent changes?",60.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
V,2021-01-28,2021-01-29,,2021-01-28,2021-01-28T17:00:00-05:00,0,2021-01-28,qa,,Al Kelly,"Well, I think when you look at our cost base, the big parts of our cost base are people marketing and technology. And we think we have the Tokyo Olympics coming up in the summer months. I mean, there's some people that might be in some peril at the moment is going forward. We have marketing to really relatively modest levels in this past quarter. But I would certainly expect us to be driving marketing up. Basically, when we go to market, in our business it's a combination of putting people resources, our technology resources and our marketing muscle behind whatever we're doing. And so those are the areas that I would expect to see us grow going forward. And then of course, I mean, we really have dramatically curtailed TD and professional services. And I think that to the degree that later in the year, we begin to get some people back to offices, and we begin to see some people get back on airplanes, we'll see some modest increases in those expenses, those expense areas. So we've been really careful about both our people level spending in our technology level spending and our marketing level spending. And I think as conditions warrant, we'll be dialing those up. Vasant gave you some insight into where we think expenses are going to be in the second half. And we think there's some really good opportunities. And I want to make sure that if, in fact as we believe that will be in some form or normalcy by the end of this fiscal year, we want to make sure that we have good momentum going into fiscal '22.",283.0,131.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.022900763358778626,0.015267175572519083,0.015267175572519083,0.007633587786259542,0.0,0.007633587786259542
V,2021-01-28,2021-01-29,,2021-01-28,2021-01-28T17:00:00-05:00,0,2021-01-28,qa,,Tien-Tsin Huang,"Hey, thanks so much. I appreciate all the color on the volume trends. I want to ask about value added services that was up in the high teens. Curious how sustainable that is. And if that growth could actually step up with the eventual recovery in volume, just trying to understand how procyclical or not that business is?",58.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0
V,2021-01-28,2021-01-29,,2021-01-28,2021-01-28T17:00:00-05:00,0,2021-01-28,qa,,Al Kelly,"Tien-Tsin, thank you. I guess a little bit of color for everybody, about two-thirds of our value added services are in data processing and they basically are transaction based revenue streams. And, that CyberSource that our risk and identity products that DPS and all of those will tend to continue to produce very good volumes and they'll move with transactions as transactions move. About a third of our value added services is split between our services revenue, which tends to be card benefits that are offered as a package. And then in other revenue, we have volumes that are -- I'm sorry, we have services not tied to volumes, things like consulting or practice and travel related card benefits that obviously have been down. So I think as travel would be to come back at some point that obviously would help that volume. So with that color we saw our, obviously in a world where e-commerce and omni commerce are becoming a big deal, cyber volume was very, very good and good revenue. We continue to have more and more customers engage with us on risk and identity services. And as I said earlier, now we're excited about the fact that we're going to take our debit processing system beyond the United States, and we've now got it, starting to use it in Europe. I think that that gives us a good platform for growth going forward as well.",246.0,115.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.043478260869565216,0.0,0.017391304347826087,0.0,0.0,0.043478260869565216
