date_x,symbol,date_y,revenueLow,revenueHigh,revenueAvg,ebitdaLow,ebitdaHigh,ebitdaAvg,ebitLow,ebitHigh,ebitAvg,netIncomeLow,netIncomeHigh,netIncomeAvg,sgaExpenseLow,sgaExpenseHigh,sgaExpenseAvg,epsAvg,epsHigh,epsLow,numAnalystsRevenue,numAnalystsEps
2020-12-31,V,2020-12-29,5469144778,5606690073,5522366651,2907712500,4361568750,3634640625,2738850000,4108275000,3423562500,2227275000,3340912500,2784093750,349837500,524756250,437296875,1.2761,1.30143,1.26011,14,13
2021-03-31,V,2021-03-29,5510901131,5649496570,5564529348,2886299212,4329448818,3607874015,2616667716,3925001574,3270834645,2211124409,3316686614,2763905511,475691338,713537007,594614172,1.27478,1.30008,1.25881,10,9
2021-06-30,V,2021-06-29,5800125624,5945994863,5856568370,3324559398,4986839097,4155699247,2860078195,4290117293,3575097744,1812180451,2718270676,2265225563,408180451,612270676,510225563,1.34331,1.36998,1.32648,11,11
2021-09-30,V,2021-09-29,6460300327,6622772514,6523167429,3482352941,5223529411,4352941176,3248941176,4873411764,4061176470,2698541176,4047811764,3373176470,603858823,905788235,754823529,1.55042,1.5812,1.531,11,11
2021-12-31,V,2021-12-29,6726712642,6895884919,6792172282,3912522352,5868783529,4890652940,3573571764,5360357646,4466964705,2962263529,4443395294,3702829411,465402352,698103529,581752940,1.70298,1.79726,1.6087,11,11
2022-03-31,V,2022-03-29,6767084142,6937271735,6832936649,3574947878,5362421817,4468684848,3515646060,5273469090,4394557575,2670046060,4005069090,3337557575,559340606,839010909,699175757,1.65137,1.68415,1.63068,17,12
2022-06-30,V,2022-06-29,7008378793,7184634783,7076579410,3657015337,5485523006,4571269171,3146086014,4719129022,3932607518,1993398496,2990097743,2491748119,448998496,673497743,561248119,1.74875,1.78346,1.72684,18,12
2022-09-30,V,2022-09-29,7481378851,7669530473,7554182372,3830588235,5745882352,4788235293,3573835293,5360752940,4467294116,2968395293,4452592940,3710494116,664244705,996367058,830305881,1.86582,1.90286,1.84244,19,12
2022-12-31,V,2022-12-29,7628672204,7820528154,7702909080,4303774587,6455661881,5379718234,3930928940,5896393411,4913661175,3258489881,4887734823,4073112352,511942587,767913881,639928234,2.0089,2.03639,1.98141,20,12
2023-03-31,V,2023-03-29,7723757222,7918004496,7798919399,3932442665,5898663999,4915553332,3867210666,5800815999,4834013332,2937050666,4405575999,3671313332,615274666,922911999,769093332,1.98993,2.02943,1.965,13,11
2023-06-30,V,2023-06-29,7986212671,8187060522,8063928880,4022716870,6034075306,5028396088,3460694615,5191041924,4325868269,2192738345,3289107517,2740922931,493898345,740847517,617372931,2.11489,2.15687,2.08839,14,11
2023-09-30,V,2023-09-29,8414818344,8638538883,8557196570,4213647058,6320470587,5267058822,3931218822,5896828234,4914023528,3265234822,4897852234,4081543528,730669175,1096003763,913336469,2.24556,2.27734,2.17141,23,25
2023-12-31,V,2023-12-30,8384906597,8731142863,8553917724,4734152045,7101228069,5917690057,4324021834,6486032752,5405027293,3584338869,5376508305,4480423587,563136845,844705269,703921057,2.33859,2.40095,2.27623,17,21
2024-03-31,V,2024-03-31,8320174859,8701098527,8620904071,4325686931,6488530398,5407108664,4253931732,6380897598,5317414665,3230755732,4846133598,4038444665,676802132,1015203198,846002665,2.43696,2.49713,2.22636,17,19
2024-06-30,V,2024-06-30,8778412371,9088709729,8918546662,6044410862,6258067346,6140900887,5779495005,5983787302,5871756043,5151314542,5437499902,5305421102,915676477,948043604,930293889,2.41815,2.47835,2.34791,19,21
2024-09-30,V,2024-09-30,9435203014,9584809827,9485071952,6496646680,6599659048,6530984136,6211910125,6310407643,6244742631,5616947162,5704707162,5660827162,984186330,999791822,989388161,2.58014,2.60014,2.56014,18,20
2024-12-31,V,2024-12-31,9268334745,9448496760,9348406752,6381748867,6505800141,6436882767,6102048081,6220662407,6154765559,5751285782,5948855482,5839089662,966780296,985573001,975132609,2.66139,2.71142,2.62137,18,20
2025-03-31,V,2025-03-31,9481455571,9671284502,9551392546,6528494062,6659201530,6576649445,6242361693,6367340484,6288406511,5726318062,5989598062,5879898062,989010936,1008811998,996306064,2.67999,2.72999,2.60999,19,21
2025-06-30,V,2025-06-30,9717737373,9977676850,9847707112,6691186840,6870169204,6780678022,6397923934,6569061817,6483492875,6091421602,6422496202,6245923082,1013657498,1040771793,1027214646,2.84682,2.9273,2.7764,18,20
2025-09-30,V,2025-09-30,10318870203,10868809991,10618837361,7105099248,7483762483,7311642832,6793695292,7155762386,6991186435,6227252142,6731564983,6512296622,1076361683,1133725920,1107651267,2.96823,3.06817,2.83831,19,21
