ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
V,2022-01-27,2022-01-20,2022-02-10,V,,2022-01-21 13:52:13,2022-01-21T13:52:13-05:00,2022-01-21,Why Visa (V) Could Beat Earnings Estimates Again,Visa (V) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,zacks.com,https://www.zacks.com/stock/news/1855511/why-visa-v-could-beat-earnings-estimates-again,https://images.financialmodelingprep.com/news/why-visa-v-could-beat-earnings-estimates-again-20220121.jpg
V,2022-01-27,2022-01-20,2022-02-10,V,,2022-01-22 01:18:32,2022-01-22T01:18:32-05:00,2022-01-22,The 7 Weakest Short-Term Momentum Names In The Dow Industrials,The 7 Weakest Short-Term Momentum Names In The Dow Industrials,seekingalpha.com,https://seekingalpha.com/article/4480934-7-weakest-short-term-momentum-names-dow-industrials,https://images.financialmodelingprep.com/news/the-7-weakest-shortterm-momentum-names-in-the-dow-20220122.jpg
V,2022-01-27,2022-01-20,2022-02-10,V,,2022-01-24 11:35:11,2022-01-24T11:35:11-05:00,2022-01-24,Here's Why Visa (V) is Anticipated to Post Q1 Earnings Beat,Visa's (V) fiscal first-quarter 2022 results are likely to reflect improved total volume and processed transactions growth.,zacks.com,https://www.zacks.com/stock/news/1856146/here-s-why-visa-v-is-anticipated-to-post-q1-earnings-beat,https://images.financialmodelingprep.com/news/heres-why-visa-v-is-anticipated-to-post-q1-20220124.jpg
V,2022-01-27,2022-01-20,2022-02-10,V,,2022-01-24 13:45:00,2022-01-24T13:45:00-05:00,2022-01-24,Cannabis Watch: Visa cracks down on cashless ATMs at cannabis dispensaries,Visa Inc. has issued a warning that cashless ATMs used by many cannabis dispensaries violate its service rules in a move that may force legal pot businesses to operate more in cash.,marketwatch.com,https://www.marketwatch.com/story/visa-cracks-down-on-cashless-atms-at-cannabis-dispensaries-11643049918,https://images.financialmodelingprep.com/news/cannabis-watch-visa-cracks-down-on-cashless-atms-at-20220124.jpg
V,2022-01-27,2022-01-20,2022-02-10,V,,2022-01-24 15:41:04,2022-01-24T15:41:04-05:00,2022-01-24,Visa Cracks Down On Cashless ATMs At Cannabis Dispensaries,"Cashless ATMs allow customers to use their bank cards to buy cannabis, in spite of federal prohibition. Money gets taken out of their account and goes to the dispensary.",benzinga.com,https://www.benzinga.com/markets/cannabis/22/01/25193231/visa-cracks-down-on-cashless-atms-at-cannabis-dispensaries,https://images.financialmodelingprep.com/news/visa-cracks-down-on-cashless-atms-at-cannabis-dispensaries-20220124.jpg
V,2022-01-27,2022-01-20,2022-02-10,V,,2022-01-24 17:20:40,2022-01-24T17:20:40-05:00,2022-01-24,"Why Shares of Visa, Citigroup, and Goldman Sachs Traded With Volatility Today","On a bumpy day for markets, shares of these financial stocks all saw some significant lows before battling back to cut their losses.",fool.com,https://www.fool.com/investing/2022/01/24/why-shares-of-visa-citigroup-and-goldman-sachs-fel/,https://images.financialmodelingprep.com/news/why-shares-of-visa-citigroup-and-goldman-sachs-traded-20220124.jpg
V,2022-01-27,2022-01-20,2022-02-10,V,,2022-01-25 10:50:21,2022-01-25T10:50:21-05:00,2022-01-25,Why Earnings Season Could Be Great for Visa (V),Visa (V) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,zacks.com,https://www.zacks.com/stock/news/1856758/why-earnings-season-could-be-great-for-visa-v,https://images.financialmodelingprep.com/news/why-earnings-season-could-be-great-for-visa-v-20220125.jpg
V,2022-01-27,2022-01-20,2022-02-10,V,,2022-01-25 11:16:59,2022-01-25T11:16:59-05:00,2022-01-25,7 Best Technology Stocks to Buy After the Big Dip,"Technology stocks are suffering in 2022, but you can't expect that to last forever. You'll want these stocks when the sector bounces back.",investorplace.com,https://investorplace.com/2022/01/7-best-technology-stocks-to-buy-after-the-big-dip/,https://images.financialmodelingprep.com/news/7-best-technology-stocks-to-buy-after-the-big-20220125.jpg
V,2022-01-27,2022-01-20,2022-02-10,V,,2022-01-25 15:14:13,2022-01-25T15:14:13-05:00,2022-01-25,Pagaya Partners With Visa for Increased Access to Financial Products,"Artificial intelligence (AI) infrastructure platform Pagaya Technologies Ltd. and digital payments behemoth Visa launched a strategic partnership on Tuesday (Jan. 25) to give Visa's merchant partner network access to Pagaya's technology, expanding customers' access to financial products.",pymnts.com,https://www.pymnts.com/partnerships/2022/pagaya-partners-with-visa-for-increased-access-to-financial-products/,https://images.financialmodelingprep.com/news/pagaya-partners-with-visa-for-increased-access-to-financial-20220125.jpg
V,2022-01-27,2022-01-20,2022-02-10,V,,2022-01-25 15:23:26,2022-01-25T15:23:26-05:00,2022-01-25,7 Dividend Paying Stocks With Large Share Buyback Programs,These 7 buyback stocks have attractive total yields for shareholders and look primed to prosper in the rocky markets of 2022. The post 7 Dividend Paying Stocks With Large Share Buyback Programs appeared first on InvestorPlace.,investorplace.com,https://investorplace.com/2022/01/7-dividend-paying-stocks-with-large-share-buyback-programs/,https://images.financialmodelingprep.com/news/7-dividend-paying-stocks-with-large-share-buyback-programs-20220125.jpg
V,2022-01-27,2022-01-20,2022-02-10,V,,2022-01-25 16:10:50,2022-01-25T16:10:50-05:00,2022-01-25,S&P 500 Corrects Ahead Of Fed Meeting: Let's Check The Technicals,It's been a crazy start to what is expected to be the most pivotal week of Q1 market action.,zacks.com,https://www.zacks.com/stock/news/1857116/s-p-500-corrects-ahead-of-fed-meeting-let-s-check-the-technicals,https://images.financialmodelingprep.com/news/sp-500-corrects-ahead-of-fed-meeting-lets-check-20220125.jpg
V,2022-01-27,2022-01-20,2022-02-10,V,,2022-01-26 05:30:20,2022-01-26T05:30:20-05:00,2022-01-26,"Visa Stock To Report Strong Earnings In Q1, Is It A Buy?","Visa is scheduled to report its fiscal Q1 2022 results on Thursday, January 27, 2022 (after market close). We expect Visa to top the revenues and earnings consensus estimates.",forbes.com,https://www.forbes.com/sites/greatspeculations/2022/01/26/visa-stock-to-report-strong-earnings-in-q1-is-it-a-buy/,https://images.financialmodelingprep.com/news/visa-stock-to-report-strong-earnings-in-q1-is-20220126.jpg
