ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20,pre_adj_close,react_adj_close,adj_close_p5,adj_close_p10,adj_close_p20
WMT,2021-05-18,bmo,2021-05-17,2021-05-18,2021-05-25,2021-06-02,2021-06-16,43.60633087158203,44.554500579833984,44.689510345458984,44.37868881225586,43.060035705566406
WMT,2021-08-17,bmo,2021-08-16,2021-08-17,2021-08-24,2021-08-31,2021-09-15,47.50410461425781,47.48834991455078,46.92112350463867,46.66903305053711,45.55037307739258
WMT,2021-11-16,bmo,2021-11-15,2021-11-16,2021-11-23,2021-12-01,2021-12-15,46.29405212402344,45.11550521850586,45.94742202758789,43.2153434753418,46.11976623535156
WMT,2022-05-17,bmo,2022-05-16,2022-05-17,2022-05-24,2022-06-01,2022-06-15,47.24422454833984,41.86983871459961,39.5683479309082,39.98912048339844,38.05421829223633
WMT,2022-08-16,bmo,2022-08-15,2022-08-16,2022-08-23,2022-08-30,2022-09-14,42.45238494873047,44.61982727050781,42.900604248046875,42.41395568847656,43.19513702392578
WMT,2022-11-15,bmo,2022-11-14,2022-11-15,2022-11-22,2022-11-30,2022-12-14,44.30607223510742,47.203468322753906,48.56411361694336,48.79783630371094,47.13396835327149
WMT,2023-02-21,bmo,2023-02-17,2023-02-21,2023-02-28,2023-03-07,2023-03-21,47.06005859375,47.3460578918457,45.67498779296875,44.74946594238281,45.3104133605957
WMT,2023-05-18,bmo,2023-05-17,2023-05-18,2023-05-25,2023-06-02,2023-06-16,48.43329620361328,49.061668395996094,47.34174728393555,48.20332717895508,50.376712799072266
WMT,2023-08-17,bmo,2023-08-16,2023-08-17,2023-08-24,2023-08-31,2023-09-15,51.76826095581055,50.60781478881836,50.99788284301758,52.8571891784668,53.51705551147461
WMT,2023-11-16,bmo,2023-11-15,2023-11-16,2023-11-24,2023-12-01,2023-12-15,55.18783950805664,50.721580505371094,50.72808837890625,50.16899108886719,49.83329772949219
WMT,2024-02-20,bmo,2024-02-16,2024-02-20,2024-02-27,2024-03-05,2024-03-19,55.582035064697266,57.37648391723633,58.32590866088867,58.766361236572266,59.78166198730469
WMT,2024-05-16,bmo,2024-05-15,2024-05-16,2024-05-23,2024-05-31,2024-06-14,58.96365737915039,63.0831298828125,63.90110397338867,64.80778503417969,66.0495376586914
WMT,2024-08-15,bmo,2024-08-14,2024-08-15,2024-08-22,2024-08-29,2024-09-13,67.66580200195312,72.12034606933594,74.69791412353516,75.52810668945312,79.65931701660156
WMT,2024-11-19,bmo,2024-11-18,2024-11-19,2024-11-26,2024-12-04,2024-12-18,83.09870147705078,85.58929443359375,90.24431610107422,93.34767150878906,92.66303253173828
WMT,2025-02-20,bmo,2025-02-19,2025-02-20,2025-02-27,2025-03-06,2025-03-20,103.01394653320312,96.28832244873048,95.87230682373048,93.74269104003906,84.99640655517578
WMT,2025-05-15,bmo,2025-05-14,2025-05-15,2025-05-22,2025-05-30,2025-06-13,96.40784454345705,95.92993927001952,95.51177215576172,98.28961181640624,94.02826690673828
WMT,2025-08-21,bmo,2025-08-20,2025-08-21,2025-08-28,2025-09-05,2025-09-19,102.36134338378906,97.7607192993164,95.91448211669922,100.30553436279295,102.12183380126952
WMT,2025-11-20,bmo,2025-11-19,2025-11-20,2025-11-28,2025-12-05,2025-12-19,100.40532684326172,106.89210510253906,110.28519439697266,114.8758316040039,114.36000061035156
