ticker,earnings_date,announce_timing,pre_close_date,day0_date,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays
WMT,2021-03-19,bmo,2021-03-18,2021-03-19,2021-03-12,2021-03-18,2021-03-22,2021-03-26,2021-04-05,2021-03-12,2021-04-05,5,10
WMT,2021-05-18,bmo,2021-05-17,2021-05-18,2021-05-11,2021-05-17,2021-05-19,2021-05-25,2021-06-02,2021-05-11,2021-06-02,5,10
WMT,2021-08-17,bmo,2021-08-16,2021-08-17,2021-08-10,2021-08-16,2021-08-18,2021-08-24,2021-08-31,2021-08-10,2021-08-31,5,10
WMT,2021-11-16,bmo,2021-11-15,2021-11-16,2021-11-09,2021-11-15,2021-11-17,2021-11-23,2021-12-01,2021-11-09,2021-12-01,5,10
WMT,2022-02-17,bmo,2022-02-16,2022-02-17,2022-02-10,2022-02-16,2022-02-18,2022-02-25,2022-03-04,2022-02-10,2022-03-04,5,10
WMT,2022-05-17,bmo,2022-05-16,2022-05-17,2022-05-10,2022-05-16,2022-05-18,2022-05-24,2022-06-01,2022-05-10,2022-06-01,5,10
WMT,2022-08-16,bmo,2022-08-15,2022-08-16,2022-08-09,2022-08-15,2022-08-17,2022-08-23,2022-08-30,2022-08-09,2022-08-30,5,10
WMT,2022-11-15,bmo,2022-11-14,2022-11-15,2022-11-08,2022-11-14,2022-11-16,2022-11-22,2022-11-30,2022-11-08,2022-11-30,5,10
WMT,2023-02-21,bmo,2023-02-17,2023-02-21,2023-02-13,2023-02-17,2023-02-22,2023-02-28,2023-03-07,2023-02-13,2023-03-07,5,10
WMT,2023-05-18,bmo,2023-05-17,2023-05-18,2023-05-11,2023-05-17,2023-05-19,2023-05-25,2023-06-02,2023-05-11,2023-06-02,5,10
WMT,2023-08-17,bmo,2023-08-16,2023-08-17,2023-08-10,2023-08-16,2023-08-18,2023-08-24,2023-08-31,2023-08-10,2023-08-31,5,10
WMT,2023-11-16,bmo,2023-11-15,2023-11-16,2023-11-09,2023-11-15,2023-11-17,2023-11-24,2023-12-01,2023-11-09,2023-12-01,5,10
WMT,2024-03-15,bmo,2024-03-14,2024-03-15,2024-03-08,2024-03-14,2024-03-18,2024-03-22,2024-04-01,2024-03-08,2024-04-01,5,10
WMT,2024-06-07,bmo,2024-06-06,2024-06-07,2024-05-31,2024-06-06,2024-06-10,2024-06-14,2024-06-24,2024-05-31,2024-06-24,5,10
WMT,2024-08-15,bmo,2024-08-14,2024-08-15,2024-08-08,2024-08-14,2024-08-16,2024-08-22,2024-08-29,2024-08-08,2024-08-29,5,10
WMT,2024-11-19,bmo,2024-11-18,2024-11-19,2024-11-12,2024-11-18,2024-11-20,2024-11-26,2024-12-04,2024-11-12,2024-12-04,5,10
WMT,2025-03-14,bmo,2025-03-13,2025-03-14,2025-03-07,2025-03-13,2025-03-17,2025-03-21,2025-03-28,2025-03-07,2025-03-28,5,10
WMT,2025-06-05,bmo,2025-06-04,2025-06-05,2025-05-29,2025-06-04,2025-06-06,2025-06-12,2025-06-20,2025-05-29,2025-06-20,5,10
WMT,2025-08-21,bmo,2025-08-20,2025-08-21,2025-08-14,2025-08-20,2025-08-22,2025-08-28,2025-09-05,2025-08-14,2025-09-05,5,10
WMT,2025-11-20,bmo,2025-11-19,2025-11-20,2025-11-13,2025-11-19,2025-11-21,2025-11-28,2025-12-05,2025-11-13,2025-12-05,5,10
