ticker,event_date,window_start,window_end,symbol,symbols,publishedDate,publishedDateET,date_et,title,text,site,url,image
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-06 07:10:56,2025-02-06T07:10:56-05:00,2025-02-06,Walmart to cut jobs amid a changing retail landscape,Major changes are afoot behind-the-scenes at Walmart. The retailer is cutting hundreds of jobs and shuttering its North Carolina office.,fastcompany.com,https://www.fastcompany.com/91273274/walmart-to-cut-jobs-amid-a-changing-retail-landscape,https://images.financialmodelingprep.com/news/walmart-to-cut-jobs-amid-a-changing-retail-landscape-20250206.jpg
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-06 08:00:01,2025-02-06T08:00:01-05:00,2025-02-06,Amazon set to pass Walmart in revenue for first time,"Analysts surveyed by LSEG are expecting Amazon to report revenue of $187 billion for its latest quarter on Thursday. Walmart is projected to post quarterly revenue of $180 billion, when the retailer announces results on Feb. 20.",cnbc.com,https://www.cnbc.com/2025/02/06/amazon-set-to-pass-walmart-in-revenue-for-first-time.html,https://images.financialmodelingprep.com/news/amazon-set-to-pass-walmart-in-revenue-for-first-20250206.jpg
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-06 11:00:06,2025-02-06T11:00:06-05:00,2025-02-06,Nasdaq 100: Amazon Earnings Today – Will It Finally Surpass Walmart in Revenue?,"Amazon reports earnings today—will it surpass Walmart in revenue? Key insights on cloud growth, AI spending, and retail sales impact on US stocks.",fxempire.com,https://www.fxempire.com/forecasts/article/nasdaq-100-amazon-earnings-today-will-it-finally-surpass-walmart-in-revenue-1495978,https://images.financialmodelingprep.com/news/nasdaq-100-amazon-earnings-today-will-it-finally-surpass-20250206.jpg
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-07 02:37:13,2025-02-07T02:37:13-05:00,2025-02-07,"The Zacks Analyst Blog Walmart, Visa, AbbVie and AstroNova","Walmart, Visa, AbbVie and AstroNova are included in this Analyst Blog.",zacks.com,https://www.zacks.com/stock/news/2411708/the-zacks-analyst-blog-walmart-visa-abbvie-and-astronova?cid=CS-STOCKNEWSAPI-FT-press_releases-2411708,https://images.financialmodelingprep.com/news/the-zacks-analyst-blog-walmart-visa-abbvie-and-astronova-20250207.jpg
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-07 10:31:49,2025-02-07T10:31:49-05:00,2025-02-07,Walmart (WMT) Boasts Earnings & Price Momentum: Should You Buy?,"Finding strong, market-beating stocks with a positive earnings outlook becomes easier with the Focus List, a top feature of the Zacks Premium portfolio service.",zacks.com,https://www.zacks.com/stock/news/2411988/walmart-wmt-boasts-earnings-price-momentum-should-you-buy?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|zacks_education_focus_list-2411988,https://images.financialmodelingprep.com/news/walmart-wmt-boasts-earnings-price-momentum-should-you-buy-20250207.jpg
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-07 14:25:00,2025-02-07T14:25:00-05:00,2025-02-07,What Trade War? Walmart Stock Keeps Soaring Despite Tariff Concerns.,The retailer was one of the best stocks in the Dow in 2024.,barrons.com,https://www.barrons.com/articles/buy-walmart-stock-retail-tariffs-target-3209c5c6,https://images.financialmodelingprep.com/news/what-trade-war-walmart-stock-keeps-soaring-despite-tariff-20250207.jpg
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-08 04:41:00,2025-02-08T04:41:00-05:00,2025-02-08,"4 Stocks That Turned $1,000 Into $1 Million (or More)",Turning a small investment into a fortune is the ultimate dream for any investor. But it's exceedingly rare to find an investment that delivers outsize returns quickly that doesn't come with a few risks.,fool.com,https://www.fool.com/investing/2025/02/08/4-stocks-that-turned-1000-into-1-million-or-more/,https://images.financialmodelingprep.com/news/4-stocks-that-turned-1000-into-1-million-or-20250208.jpg
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-08 07:55:20,2025-02-08T07:55:20-05:00,2025-02-08,Walmart Acquires Mall Outside Pittsburgh For $34 Million To Redevelop,"Walmart just went shopping and came back with the Monroeville Mall about 20 miles east of Pittsburgh, according to the Pittsburgh Post-Gazette. CBL Properties sold the property at a bargain price of $34 million.",forbes.com,https://www.forbes.com/sites/pamdanziger/2025/02/08/walmart-acquires-mall-outside-pittsburgh-for-34-million-to-redevelop/,https://images.financialmodelingprep.com/news/walmart-acquires-mall-outside-pittsburgh-for-34-million-to-20250208.jpg
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-09 08:55:47,2025-02-09T08:55:47-05:00,2025-02-09,Amazon's Passing Walmart To Be America's Largest Company,"Walmart (NYSE: WMT) has been the largest public company in the US for almost all of the 20th Century, having taken the crown from General Motors (NYSE: GM).",247wallst.com,https://247wallst.com/companies-and-brands/2025/02/09/amazons-passing-walmart-to-be-americas-largest-company/,https://images.financialmodelingprep.com/news/amazons-passing-walmart-to-be-americas-largest-company-20250209.jpg
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-10 09:41:00,2025-02-10T09:41:00-05:00,2025-02-10,Walmart Grocery Market Share to Increase with Rising Demand for Digital Shopping and Value-Oriented Options,"The report covers Walmart's US sales trends and e-commerce performance from fiscal years 2019 to 2024, and provides estimates of Walmart's US grocery market share from 2021 to 2024. It analyzes the reasons behind and implications of shifts in consumer perceptions and behaviors, highlighting future market opportunities. The report covers Walmart's US sales trends and e-commerce performance from fiscal years 2019 to 2024, and provides estimates of Walmart's US grocery market share from 2021 to 2024. It analyzes the reasons behind and implications of shifts in consumer perceptions and behaviors, highlighting future market opportunities.",globenewswire.com,https://www.globenewswire.com/news-release/2025/02/10/3023541/28124/en/Walmart-Grocery-Market-Share-to-Increase-with-Rising-Demand-for-Digital-Shopping-and-Value-Oriented-Options.html,https://images.financialmodelingprep.com/news/walmart-grocery-market-share-to-increase-with-rising-demand-20250210.jpg
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-10 10:36:17,2025-02-10T10:36:17-05:00,2025-02-10,Brokers Suggest Investing in Walmart (WMT): Read This Before Placing a Bet,"The recommendations of Wall Street analysts are often relied on by investors when deciding whether to buy, sell, or hold a stock. Media reports about these brokerage-firm-employed (or sell-side) analysts changing their ratings often affect a stock's price.",zacks.com,https://www.zacks.com/stock/news/2412771/brokers-suggest-investing-in-walmart-wmt-read-this-before-placing-a-bet?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|average_broker_rating-2412771,https://images.financialmodelingprep.com/news/brokers-suggest-investing-in-walmart-wmt-read-this-before-placing-20250210.jpg
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-10 13:10:21,2025-02-10T13:10:21-05:00,2025-02-10,Will Walmart (WMT) Beat Estimates Again in Its Next Earnings Report?,Walmart (WMT) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,zacks.com,https://www.zacks.com/stock/news/2413070/will-walmart-wmt-beat-estimates-again-in-its-next-earnings-report?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_7-2413070,https://images.financialmodelingprep.com/news/will-walmart-wmt-beat-estimates-again-in-its-next-20250210.jpg
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-10 15:15:33,2025-02-10T15:15:33-05:00,2025-02-10,Walmart Pilots Solution That Keeps Produce Fresh During Transport,"Walmart is working with Indian AgriTech startup GreenPod Labs to pilot a solution that aims to keep produce fresh during as it moves through the supply chain. The solution may enable the retailer to source fresh produce from new countries of origin, Kyle Carlyle, vice president, sourcing and surety of supply at Walmart, wrote in a Monday (Feb.",pymnts.com,https://www.pymnts.com/walmart/2025/walmart-pilots-solution-that-keeps-produce-fresh-during-transport/,https://images.financialmodelingprep.com/news/walmart-pilots-solution-that-keeps-produce-fresh-during-transport-20250210.jpg
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-10 18:46:07,2025-02-10T18:46:07-05:00,2025-02-10,Walmart (WMT) Surpasses Market Returns: Some Facts Worth Knowing,"Walmart (WMT) concluded the recent trading session at $102.92, signifying a +1.75% move from its prior day's close.",zacks.com,https://www.zacks.com/stock/news/2413168/walmart-wmt-surpasses-market-returns-some-facts-worth-knowing?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_6-2413168,https://images.financialmodelingprep.com/news/walmart-wmt-surpasses-market-returns-some-facts-worth-knowing-20250210.jpg
WMT,2025-02-20,2025-02-06,2025-03-06,WMT,,2025-02-11 09:15:32,2025-02-11T09:15:32-05:00,2025-02-11,Jim Cramer Recommends Walmart,"Recently, Jim Cramer reviewed the 10 stocks that are taking the Dow Jones industrial average higher.",247wallst.com,https://247wallst.com/investing/2025/02/11/jim-cramer-recommends-walmart/,https://images.financialmodelingprep.com/news/jim-cramer-recommends-walmart-20250211.jpg
