y_type,window,feature,corr,abs_corr
car_mm_1q_pct,m1_p1,px_-5,,
car_mm_1q_pct,m1_p1,px_-1,,
car_mm_1q_pct,m1_p1,px_+0,,
car_mm_1q_pct,m1_p1,px_+1,,
car_mm_1q_pct,m1_p1,px_+5,,
car_mm_1q_pct,m1_p1,px_+10,,
car_mm_1q_pct,m1_p1,logpct_m5_p5,,
car_mm_1q_pct,m1_p1,logpct_m1_p1,,
car_mm_1q_pct,m1_p1,logpct_p0_p1,,
car_mm_1q_pct,m1_p1,logpct_p0_p5,,
car_mm_1q_pct,m1_p1,logpct_p0_p10,,
car_mm_1q_pct,m1_p1,sur_quarter_rank,,
car_mm_1q_pct,m1_p1,sur_actual_revenue,,
car_mm_1q_pct,m1_p1,sur_actual_ebitda,,
car_mm_1q_pct,m1_p1,sur_actual_ebit,,
car_mm_1q_pct,m1_p1,sur_actual_netIncome,,
car_mm_1q_pct,m1_p1,sur_actual_eps,,
car_mm_1q_pct,m1_p1,sur_est_revenue,,
car_mm_1q_pct,m1_p1,sur_est_ebitda,,
car_mm_1q_pct,m1_p1,sur_est_ebit,,
car_mm_1q_pct,m1_p1,sur_est_netIncome,,
car_mm_1q_pct,m1_p1,sur_est_eps,,
car_mm_1q_pct,m1_p1,sur_surprise_revenue,,
car_mm_1q_pct,m1_p1,sur_surprise_revenue_pct,,
car_mm_1q_pct,m1_p1,sur_surprise_ebitda,,
car_mm_1q_pct,m1_p1,sur_surprise_ebitda_pct,,
car_mm_1q_pct,m1_p1,sur_surprise_ebit,,
car_mm_1q_pct,m1_p1,sur_surprise_ebit_pct,,
car_mm_1q_pct,m1_p1,sur_surprise_netIncome,,
car_mm_1q_pct,m1_p1,sur_surprise_netIncome_pct,,
car_mm_1q_pct,m1_p1,sur_surprise_eps,,
car_mm_1q_pct,m1_p1,sur_surprise_eps_pct,,
car_mm_1q_pct,m1_p1,gro_fiscalYear,,
car_mm_1q_pct,m1_p1,gro_growthRevenue,,
car_mm_1q_pct,m1_p1,gro_growthCostOfRevenue,,
car_mm_1q_pct,m1_p1,gro_growthGrossProfit,,
car_mm_1q_pct,m1_p1,gro_growthGrossProfitRatio,,
car_mm_1q_pct,m1_p1,gro_growthResearchAndDevelopmentExpenses,,
car_mm_1q_pct,m1_p1,gro_growthGeneralAndAdministrativeExpenses,,
car_mm_1q_pct,m1_p1,gro_growthSellingAndMarketingExpenses,,
car_mm_1q_pct,m1_p1,gro_growthOtherExpenses,,
car_mm_1q_pct,m1_p1,gro_growthOperatingExpenses,,
car_mm_1q_pct,m1_p1,gro_growthCostAndExpenses,,
car_mm_1q_pct,m1_p1,gro_growthInterestIncome,,
car_mm_1q_pct,m1_p1,gro_growthInterestExpense,,
car_mm_1q_pct,m1_p1,gro_growthDepreciationAndAmortization,,
car_mm_1q_pct,m1_p1,gro_growthEBITDA,,
car_mm_1q_pct,m1_p1,gro_growthOperatingIncome,,
car_mm_1q_pct,m1_p1,gro_growthIncomeBeforeTax,,
car_mm_1q_pct,m1_p1,gro_growthIncomeTaxExpense,,
car_mm_1q_pct,m1_p1,gro_growthNetIncome,,
car_mm_1q_pct,m1_p1,gro_growthEPS,,
car_mm_1q_pct,m1_p1,gro_growthEPSDiluted,,
car_mm_1q_pct,m1_p1,gro_growthWeightedAverageShsOut,,
car_mm_1q_pct,m1_p1,gro_growthWeightedAverageShsOutDil,,
car_mm_1q_pct,m1_p1,gro_growthEBIT,,
car_mm_1q_pct,m1_p1,gro_growthNonOperatingIncomeExcludingInterest,,
car_mm_1q_pct,m1_p1,gro_growthNetInterestIncome,,
car_mm_1q_pct,m1_p1,gro_growthTotalOtherIncomeExpensesNet,,
car_mm_1q_pct,m1_p1,gro_growthNetIncomeFromContinuingOperations,,
car_mm_1q_pct,m1_p1,gro_growthOtherAdjustmentsToNetIncome,,
car_mm_1q_pct,m1_p1,gro_growthNetIncomeDeductions,,
car_mm_1q_pct,m1_p1,est_revenueLow,,
car_mm_1q_pct,m1_p1,est_revenueHigh,,
car_mm_1q_pct,m1_p1,est_revenueAvg,,
car_mm_1q_pct,m1_p1,est_ebitdaLow,,
car_mm_1q_pct,m1_p1,est_ebitdaHigh,,
car_mm_1q_pct,m1_p1,est_ebitdaAvg,,
car_mm_1q_pct,m1_p1,est_ebitLow,,
car_mm_1q_pct,m1_p1,est_ebitHigh,,
car_mm_1q_pct,m1_p1,est_ebitAvg,,
car_mm_1q_pct,m1_p1,est_netIncomeLow,,
car_mm_1q_pct,m1_p1,est_netIncomeHigh,,
car_mm_1q_pct,m1_p1,est_netIncomeAvg,,
car_mm_1q_pct,m1_p1,est_sgaExpenseLow,,
car_mm_1q_pct,m1_p1,est_sgaExpenseHigh,,
car_mm_1q_pct,m1_p1,est_sgaExpenseAvg,,
car_mm_1q_pct,m1_p1,est_epsAvg,,
car_mm_1q_pct,m1_p1,est_epsHigh,,
car_mm_1q_pct,m1_p1,est_epsLow,,
car_mm_1q_pct,m1_p1,est_numAnalystsRevenue,,
car_mm_1q_pct,m1_p1,est_numAnalystsEps,,
car_mm_1q_pct,m5_p5,px_-5,-0.083,0.083
car_mm_1q_pct,m5_p5,px_-1,-0.08,0.08
car_mm_1q_pct,m5_p5,px_+0,-0.018,0.018
car_mm_1q_pct,m5_p5,px_+1,-0.01,0.01
car_mm_1q_pct,m5_p5,px_+5,0.01,0.01
car_mm_1q_pct,m5_p5,px_+10,0.015,0.015
car_mm_1q_pct,m5_p5,logpct_m5_p5,0.876,0.876
car_mm_1q_pct,m5_p5,logpct_m1_p1,0.8,0.8
car_mm_1q_pct,m5_p5,logpct_p0_p1,0.307,0.307
car_mm_1q_pct,m5_p5,logpct_p0_p5,0.459,0.459
car_mm_1q_pct,m5_p5,logpct_p0_p10,0.355,0.355
car_mm_1q_pct,m5_p5,sur_quarter_rank,0.018,0.018
car_mm_1q_pct,m5_p5,sur_actual_revenue,-0.089,0.089
car_mm_1q_pct,m5_p5,sur_actual_ebitda,-0.049,0.049
car_mm_1q_pct,m5_p5,sur_actual_ebit,-0.043,0.043
car_mm_1q_pct,m5_p5,sur_actual_netIncome,-0.04,0.04
car_mm_1q_pct,m5_p5,sur_actual_eps,0.006,0.006
car_mm_1q_pct,m5_p5,sur_est_revenue,-0.093,0.093
car_mm_1q_pct,m5_p5,sur_est_ebitda,-0.029,0.029
car_mm_1q_pct,m5_p5,sur_est_ebit,-0.054,0.054
car_mm_1q_pct,m5_p5,sur_est_netIncome,-0.018,0.018
car_mm_1q_pct,m5_p5,sur_est_eps,-0.002,0.002
car_mm_1q_pct,m5_p5,sur_surprise_revenue,0.021,0.021
car_mm_1q_pct,m5_p5,sur_surprise_revenue_pct,0.047,0.047
car_mm_1q_pct,m5_p5,sur_surprise_ebitda,-0.03,0.03
car_mm_1q_pct,m5_p5,sur_surprise_ebitda_pct,-0.036,0.036
car_mm_1q_pct,m5_p5,sur_surprise_ebit,0.014,0.014
car_mm_1q_pct,m5_p5,sur_surprise_ebit_pct,-0.007,0.007
car_mm_1q_pct,m5_p5,sur_surprise_netIncome,-0.015,0.015
car_mm_1q_pct,m5_p5,sur_surprise_netIncome_pct,-0.01,0.01
car_mm_1q_pct,m5_p5,sur_surprise_eps,0.014,0.014
car_mm_1q_pct,m5_p5,sur_surprise_eps_pct,0.053,0.053
car_mm_1q_pct,m5_p5,gro_fiscalYear,0.015,0.015
car_mm_1q_pct,m5_p5,gro_growthRevenue,0.054,0.054
car_mm_1q_pct,m5_p5,gro_growthCostOfRevenue,0.017,0.017
car_mm_1q_pct,m5_p5,gro_growthGrossProfit,0.141,0.141
car_mm_1q_pct,m5_p5,gro_growthGrossProfitRatio,0.14,0.14
car_mm_1q_pct,m5_p5,gro_growthResearchAndDevelopmentExpenses,0.022,0.022
car_mm_1q_pct,m5_p5,gro_growthGeneralAndAdministrativeExpenses,-0.06,0.06
car_mm_1q_pct,m5_p5,gro_growthSellingAndMarketingExpenses,0.001,0.001
car_mm_1q_pct,m5_p5,gro_growthOtherExpenses,-0.017,0.017
car_mm_1q_pct,m5_p5,gro_growthOperatingExpenses,-0.07,0.07
